# lat,lng,id,name,building_type,type,url,page_type
# Mori -- Tutti
45.851147,10.981325,osm_guardia_medica_45.8511_10.9813,Guardia Medica,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/guardia_medica_45.8511_10.9813.json,custom
45.853780,10.982879,ov_ristorante_boccondivino___tenute_sajni_f_45.8538_10.9829,Ristorante Boccondivino - Tenute Sajni Fasanotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ristorante_boccondivino_-_tenute_sajni_f_45.8538_10.9829.json,custom
45.846184,10.986649,ov_caffe_castel_albano_45.8462_10.9866,Caffe Castel Albano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/caffe_castel_albano_45.8462_10.9866.json,custom
45.855397,10.986391,osm_borgo_antico_45.8554_10.9864,Borgo Antico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/borgo_antico_45.8554_10.9864.json,custom
45.854069,10.968041,osm_da_neni_45.8541_10.9680,Da Neni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/da_neni_45.8541_10.9680.json,custom
45.853213,10.967828,osm_la_movida_45.8532_10.9678,La Movida,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/la_movida_45.8532_10.9678.json,custom
45.861922,10.999541,osm_3_pini_45.8619_10.9995,3 Pini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/3_pini_45.8619_10.9995.json,custom
45.854323,10.934618,ov_duchi_s_45.8543_10.9346,DUCHI'S,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/duchis_45.8543_10.9346.json,custom
45.852938,10.969770,ov_ice_cafe_garda_45.8529_10.9698,Ice Cafe Garda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ice_cafe_garda_45.8529_10.9698.json,custom
45.851700,10.971740,ov_napo_s_caf__45.8517_10.9717,Napo's Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/napos_caf_45.8517_10.9717.json,custom
45.848825,10.973593,ov_nerovite_45.8488_10.9736,Nerovite,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/nerovite_45.8488_10.9736.json,custom
45.848907,10.973769,ov_teos_cafe__bar_45.8489_10.9738,Teos Cafe' Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/teos_cafe_bar_45.8489_10.9738.json,custom
45.840365,10.970062,ov_besagno_city_45.8404_10.9701,Besagno City,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/besagno_city_45.8404_10.9701.json,custom
45.837710,10.969260,ov_elenabarcaffe_45.8377_10.9693,Elenabarcaffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/elenabarcaffe_45.8377_10.9693.json,custom
45.852290,10.978238,ov_artesan_birrante_45.8523_10.9782,Artesan Birrante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/artesan_birrante_45.8523_10.9782.json,custom
45.852118,10.977717,ov_bar_sani_45.8521_10.9777,Bar Sani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/bar_sani_45.8521_10.9777.json,custom
45.852586,10.976525,ov_caffe_del_gelso_45.8526_10.9765,Caffe del Gelso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/caffe_del_gelso_45.8526_10.9765.json,custom
45.852609,10.978514,ov_vineria_baroldi_45.8526_10.9785,Vineria Baroldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/vineria_baroldi_45.8526_10.9785.json,custom
45.851796,10.978665,ov_pub_la_torcia_45.8518_10.9787,Pub La Torcia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/pub_la_torcia_45.8518_10.9787.json,custom
45.850065,10.980511,ov_devil_games_cafe_45.8501_10.9805,Devil Games Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/devil_games_cafe_45.8501_10.9805.json,custom
45.850150,10.980949,ov_snack_bar_45.8501_10.9809,Snack Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/snack_bar_45.8501_10.9809.json,custom
45.848584,10.982629,ov_teddy_bier_45.8486_10.9826,Teddy Bier,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/teddy_bier_45.8486_10.9826.json,custom
45.852925,10.969773,osm_ice_garda_caff__45.8529_10.9698,ICE Garda Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ice_garda_caff_45.8529_10.9698.json,custom
45.853001,10.975889,osm_gelateria_pasticceria_bologna_45.8530_10.9759,Gelateria Pasticceria Bologna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/gelateria_pasticceria_bologna_45.8530_10.9759.json,custom
45.854773,10.967992,osm_circolo_mori_vecio_45.8548_10.9680,Circolo Mori Vecio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/circolo_mori_vecio_45.8548_10.9680.json,custom
45.837747,10.969370,osm_bar_caff__elena_45.8377_10.9694,Bar Caffè Elena,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/bar_caff_elena_45.8377_10.9694.json,custom
45.858233,10.980164,ov_via_attrezzata_ottorino_marangoni_45.8582_10.9802,Via Attrezzata Ottorino Marangoni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/via_attrezzata_ottorino_marangoni_45.8582_10.9802.json,custom
45.858233,10.980164,ov_via_ferrata_monte_albano_start_45.8582_10.9802,Via Ferrata Monte Albano Start,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/via_ferrata_monte_albano_start_45.8582_10.9802.json,custom
45.845897,10.979961,ov_adb_agonistica_del_baldo_45.8459_10.9800,ADB Agonistica del Baldo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/adb_agonistica_del_baldo_45.8459_10.9800.json,custom
45.852092,10.978168,ov_via_ferrata_monte_albano_start_45.8521_10.9782,Via Ferrata Monte Albano Start,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/via_ferrata_monte_albano_start_45.8521_10.9782.json,custom
45.850729,10.979587,ov_golden_gym_srl_45.8507_10.9796,Golden Gym Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/golden_gym_srl_45.8507_10.9796.json,custom
45.853739,10.985605,ov_velodromo_di_mori_45.8537_10.9856,Velodromo di Mori,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/velodromo_di_mori_45.8537_10.9856.json,custom
45.852902,10.985980,ov_inmovimento_danza_asd_45.8529_10.9860,InMovimento Danza ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/inmovimento_danza_asd_45.8529_10.9860.json,custom
45.873237,10.934157,ov_castel_gresta_45.8732_10.9342,Castel Gresta,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/castel_gresta_45.8732_10.9342.json,custom
45.839464,10.976850,ov_castel_palt_45.8395_10.9768,Castel Palt,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/castel_palt_45.8395_10.9768.json,custom
45.851900,10.975420,ov_biblioteca_mori_45.8519_10.9754,Biblioteca Mori,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/biblioteca_mori_45.8519_10.9754.json,custom
