# lat,lng,id,name,building_type,type,url,page_type
# Spadafora -- Tutti
38.222930,15.377480,ov_laboratorio_analisi_cliniche_la_spada____38.2229_15.3775,Laboratorio Analisi Cliniche La Spada & Galí,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/laboratorio_analisi_cliniche_la_spada_ga_38.2229_15.3775.json,custom
38.224710,15.386113,ov_tre_stelle_38.2247_15.3861,Tre Stelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/tre_stelle_38.2247_15.3861.json,custom
38.221878,15.377192,ov_bar_ruggeri_38.2219_15.3772,Bar Ruggeri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/bar_ruggeri_38.2219_15.3772.json,custom
38.222034,15.376725,ov_bar_al_castello_38.2220_15.3767,Bar Al Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/bar_al_castello_38.2220_15.3767.json,custom
38.222655,15.372668,ov_little_miceli_38.2227_15.3727,Little Miceli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/little_miceli_38.2227_15.3727.json,custom
38.223319,15.376592,ov_lounge_bar_spadafora_38.2233_15.3766,Lounge Bar Spadafora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/lounge_bar_spadafora_38.2233_15.3766.json,custom
38.223062,15.380588,ov_bar_ferrara_dal_1949_di_inferrera_emma_m_38.2231_15.3806,Bar Ferrara dal 1949 di Inferrera Emma Maria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/bar_ferrara_dal_1949_di_inferrera_emma_m_38.2231_15.3806.json,custom
38.225808,15.384169,ov_miceli_beach_bar_38.2258_15.3842,Miceli Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/miceli_beach_bar_38.2258_15.3842.json,custom
38.228691,15.391626,ov_barhino_beach_club_38.2287_15.3916,Barhino Beach Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/barhino_beach_club_38.2287_15.3916.json,custom
38.226898,15.390130,ov_bar_ferrara_dal_1949_38.2269_15.3901,Bar Ferrara dal 1949,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/bar_ferrara_dal_1949_38.2269_15.3901.json,custom
38.217899,15.374212,ov_palazzetto_dello_sport_spadafora_38.2179_15.3742,Palazzetto dello sport Spadafora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/palazzetto_dello_sport_spadafora_38.2179_15.3742.json,custom
38.222641,15.377676,ov_rampage_fitness_center_38.2226_15.3777,Rampage Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/rampage_fitness_center_38.2226_15.3777.json,custom
38.220739,15.377671,ov_museo_dell_argilla_38.2207_15.3777,Museo dell'Argilla,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/museo_dellargilla_38.2207_15.3777.json,custom
38.221521,15.374702,ov_castello_di_spadafora_38.2215_15.3747,Castello di Spadafora,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/castello_di_spadafora_38.2215_15.3747.json,custom
