# lat,lng,id,name,building_type,type,url,page_type
# Rosolina -- Tutti
45.074989,12.246237,ov_azienda_u_l_s_s__n__19_adria_dipartiment_45.0750_12.2462,Azienda U.L.S.S. N. 19 Adria/Dipartimento di Prevenzione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/azienda_ulss_n_19_adriadipartimento_di_p_45.0750_12.2462.json,custom
45.133501,12.319195,ov_pizzeria_doppio_gusto_45.1335_12.3192,Pizzeria Doppio Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/pizzeria_doppio_gusto_45.1335_12.3192.json,custom
45.133741,12.318986,ov_la_chiesetta_2_0_by_ristorante_europa_45.1337_12.3190,La Chiesetta 2.0 By Ristorante Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/la_chiesetta_20_by_ristorante_europa_45.1337_12.3190.json,custom
45.133931,12.318653,ov_veranda_ristorante_pizzeria_45.1339_12.3187,Veranda ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/veranda_ristorante_pizzeria_45.1339_12.3187.json,custom
45.133543,12.318861,ov_tiratardi_45.1335_12.3189,Tiratardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/tiratardi_45.1335_12.3189.json,custom
45.132866,12.320876,ov_ristorante_pizzeria_alexander_45.1329_12.3209,Ristorante Pizzeria Alexander,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_pizzeria_alexander_45.1329_12.3209.json,custom
45.133742,12.323157,ov_il_terrazzino_45.1337_12.3232,Il Terrazzino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/il_terrazzino_45.1337_12.3232.json,custom
45.132700,12.319396,ov_ristorante_pizzeria_zefrido_45.1327_12.3194,Ristorante Pizzeria Zefrido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_pizzeria_zefrido_45.1327_12.3194.json,custom
45.129757,12.324296,ov_in_anguriara___ristorante_e_bistrot_del__45.1298_12.3243,In Anguriara - Ristorante e Bistrot del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/in_anguriara_-_ristorante_e_bistrot_del__45.1298_12.3243.json,custom
45.131347,12.324561,ov_terrazza_a_mare_rosolina_mare_45.1313_12.3246,Terrazza A Mare Rosolina Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/terrazza_a_mare_rosolina_mare_45.1313_12.3246.json,custom
45.131533,12.324669,ov_a_mare_45.1315_12.3247,A Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/a_mare_45.1315_12.3247.json,custom
45.131739,12.323860,ov_ristorante_pizzeria_europa_45.1317_12.3239,Ristorante Pizzeria Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_pizzeria_europa_45.1317_12.3239.json,custom
45.126923,12.324292,ov_pepe_rosa_45.1269_12.3243,Pepe Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/pepe_rosa_45.1269_12.3243.json,custom
45.123609,12.324846,ov_terrazza_mare_45.1236_12.3248,Terrazza Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/terrazza_mare_45.1236_12.3248.json,custom
45.119761,12.323923,ov_joy_96_restaurant_45.1198_12.3239,Joy 96 Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/joy_96_restaurant_45.1198_12.3239.json,custom
45.123062,12.321181,ov_bar_del_bagno_perla_45.1231_12.3212,Bar del Bagno Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_del_bagno_perla_45.1231_12.3212.json,custom
45.121123,12.322020,ov_la_taverna_di_penzo_antonio_45.1211_12.3220,La Taverna di Penzo Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/la_taverna_di_penzo_antonio_45.1211_12.3220.json,custom
45.121201,12.322330,ov_central_park_45.1212_12.3223,Central park,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/central_park_45.1212_12.3223.json,custom
45.124017,12.322018,ov_al_corsaro_45.1240_12.3220,Al Corsaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/al_corsaro_45.1240_12.3220.json,custom
45.127193,12.322247,ov_ristorante_la_chiesetta_45.1272_12.3222,Ristorante La Chiesetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_la_chiesetta_45.1272_12.3222.json,custom
45.133021,12.318305,ov_mr_jack_burger_45.1330_12.3183,Mr Jack Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/mr_jack_burger_45.1330_12.3183.json,custom
45.133646,12.318078,ov_rosa_del_mare_45.1336_12.3181,Rosa del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/rosa_del_mare_45.1336_12.3181.json,custom
45.135636,12.316208,ov_ristorante_pizzeria_corallo_45.1356_12.3162,Ristorante Pizzeria Corallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_pizzeria_corallo_45.1356_12.3162.json,custom
45.072246,12.344343,ov_ristorante_pizzeria_tennis_farm_45.0722_12.3443,Ristorante Pizzeria Tennis Farm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_pizzeria_tennis_farm_45.0722_12.3443.json,custom
45.077326,12.340664,ov_ristorante_la_palancana_45.0773_12.3407,Ristorante La Palancana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_la_palancana_45.0773_12.3407.json,custom
45.079545,12.335985,ov_la_barca_45.0795_12.3360,La Barca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/la_barca_45.0795_12.3360.json,custom
45.074221,12.335540,ov_mare_vostrum_45.0742_12.3355,Mare Vostrum,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/mare_vostrum_45.0742_12.3355.json,custom
45.069680,12.341940,ov_ristorante_kokoro_rovigo_45.0697_12.3419,Ristorante Kokoro Rovigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_kokoro_rovigo_45.0697_12.3419.json,custom
45.063646,12.347563,ov_il_rustico_45.0636_12.3476,Il Rustico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/il_rustico_45.0636_12.3476.json,custom
45.062025,12.353823,ov_caffe_veneto_45.0620_12.3538,Caffe Veneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/caffe_veneto_45.0620_12.3538.json,custom
45.059156,12.357310,ov_in_marinetta_45.0592_12.3573,In Marinetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/in_marinetta_45.0592_12.3573.json,custom
45.068458,12.244447,ov_cappello_45.0685_12.2444,Cappello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/cappello_45.0685_12.2444.json,custom
45.065833,12.262510,ov_san_gaetano_45.0658_12.2625,San Gaetano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/san_gaetano_45.0658_12.2625.json,custom
45.076516,12.247779,ov_regina_45.0765_12.2478,Regina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/regina_45.0765_12.2478.json,custom
45.076428,12.247671,ov_fucco_fuoco___brace_45.0764_12.2477,Fucco Fuoco & Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/fucco_fuoco_brace_45.0764_12.2477.json,custom
45.075332,12.247190,ov_ristorante_aurora_ii_da_daniele_45.0753_12.2472,Ristorante Aurora II da Daniele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_aurora_ii_da_daniele_45.0753_12.2472.json,custom
45.075957,12.245060,ov_pizzeria_marconi_45.0760_12.2451,Pizzeria Marconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/pizzeria_marconi_45.0760_12.2451.json,custom
45.073187,12.242204,ov_villa_laflaf_45.0732_12.2422,Villa Laflaf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/villa_laflaf_45.0732_12.2422.json,custom
45.076179,12.242554,ov_da_berto_pizzeria_rosolina_45.0762_12.2426,Da Berto Pizzeria Rosolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/da_berto_pizzeria_rosolina_45.0762_12.2426.json,custom
45.076152,12.242462,ov_pizzeriadaberto_rosolina_45.0762_12.2425,Pizzeriadaberto Rosolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/pizzeriadaberto_rosolina_45.0762_12.2425.json,custom
45.067604,12.233301,ov_sottovento_sapori_e_tradizioni_da_mirka_45.0676_12.2333,Sottovento sapori e tradizioni da Mirka,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/sottovento_sapori_e_tradizioni_da_mirka_45.0676_12.2333.json,custom
45.064725,12.226716,ov_ristorante_sottovento_45.0647_12.2267,Ristorante Sottovento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_sottovento_45.0647_12.2267.json,custom
45.063730,12.347498,osm_il_rustico_45.0637_12.3475,Il Rustico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/il_rustico_45.0637_12.3475.json,custom
45.097829,12.250439,ov_bar_castigo_45.0978_12.2504,bar castigo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_castigo_45.0978_12.2504.json,custom
45.081441,12.339245,ov_bar_19th_45.0814_12.3392,BAR 19TH,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_19th_45.0814_12.3392.json,custom
45.086775,12.337204,ov_enoteca_wine_shop_45.0868_12.3372,Enoteca Wine Shop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/enoteca_wine_shop_45.0868_12.3372.json,custom
45.083202,12.347021,ov_chiringuito_45.0832_12.3470,Chiringuito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/chiringuito_45.0832_12.3470.json,custom
45.139342,12.326562,ov_miramare_rosapineta_beach_bar_45.1393_12.3266,Miramare Rosapineta Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/miramare_rosapineta_beach_bar_45.1393_12.3266.json,custom
45.133690,12.324688,ov_paninoteca_da_otello_45.1337_12.3247,Paninoteca da Otello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/paninoteca_da_otello_45.1337_12.3247.json,custom
45.133521,12.319153,ov_rosa_latina_45.1335_12.3192,Rosa Latina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/rosa_latina_45.1335_12.3192.json,custom
45.133980,12.318460,ov_bar_pit_stop_di_caniato_stefano_45.1340_12.3185,Bar Pit Stop di Caniato Stefano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_pit_stop_di_caniato_stefano_45.1340_12.3185.json,custom
45.132361,12.322888,ov_barique_45.1324_12.3229,Barique,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/barique_45.1324_12.3229.json,custom
45.132041,12.322940,ov_lanterna_45.1320_12.3229,Lanterna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/lanterna_45.1320_12.3229.json,custom
45.131645,12.318499,ov_le_nozze_di_figaro_45.1316_12.3185,Le Nozze Di Figaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/le_nozze_di_figaro_45.1316_12.3185.json,custom
45.120111,12.324406,ov_beach_cafe_45.1201_12.3244,Beach Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/beach_cafe_45.1201_12.3244.json,custom
45.121781,12.326301,ov_blu_marlin_beach_rosolina_mare_45.1218_12.3263,Blu Marlin beach Rosolina mare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/blu_marlin_beach_rosolina_mare_45.1218_12.3263.json,custom
45.127328,12.321893,ov_bar_lucia_45.1273_12.3219,Bar Lucia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_lucia_45.1273_12.3219.json,custom
45.079807,12.335211,ov_bar_gelateria_piazzetta_fjords_45.0798_12.3352,Bar Gelateria Piazzetta Fjords,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_gelateria_piazzetta_fjords_45.0798_12.3352.json,custom
45.075231,12.246626,ov_caff__roma_45.0752_12.2466,Caffè Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/caff_roma_45.0752_12.2466.json,custom
45.075368,12.246358,ov_la_vidara_rosolina_45.0754_12.2464,La Vidara Rosolina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/la_vidara_rosolina_45.0754_12.2464.json,custom
45.074961,12.246472,ov_bar_centrale_45.0750_12.2465,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_centrale_45.0750_12.2465.json,custom
45.073924,12.246240,ov_bar_pasticceria_caramel_caf__45.0739_12.2462,Bar Pasticceria Caramel Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_pasticceria_caramel_caf_45.0739_12.2462.json,custom
45.076132,12.242726,ov_bar_capolinea_45.0761_12.2427,Bar Capolinea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_capolinea_45.0761_12.2427.json,custom
45.075027,12.239806,ov_colibr__da_erika_45.0750_12.2398,Colibrì da Erika,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/colibr_da_erika_45.0750_12.2398.json,custom
45.068814,12.237486,ov_mivago_wine_bar_45.0688_12.2375,Mivago Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/mivago_wine_bar_45.0688_12.2375.json,custom
45.120075,12.322862,osm_il_gattaccio_45.1201_12.3229,Il gattaccio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/il_gattaccio_45.1201_12.3229.json,custom
45.133451,12.319106,osm_queens_garden_45.1335_12.3191,Queens Garden,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/queens_garden_45.1335_12.3191.json,custom
45.082898,12.346700,ov_centro_sportivo_45.0829_12.3467,Centro Sportivo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/centro_sportivo_45.0829_12.3467.json,custom
45.137000,12.318480,ov_easy_sub_rosolina_mare_45.1370_12.3185,Easy Sub Rosolina Mare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/easy_sub_rosolina_mare_45.1370_12.3185.json,custom
45.120222,12.326002,ov_ruspadina_45.1202_12.3260,Ruspadina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ruspadina_45.1202_12.3260.json,custom
45.062313,12.355049,ov_albarella_diving_center_45.0623_12.3550,Albarella Diving Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/albarella_diving_center_45.0623_12.3550.json,custom
45.068319,12.345746,ov_circolo_ippico_in_albarella_45.0683_12.3457,Circolo Ippico in Albarella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/circolo_ippico_in_albarella_45.0683_12.3457.json,custom
45.073549,12.244078,ov_rosolina_fitness_45.0735_12.2441,Rosolina Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/rosolina_fitness_45.0735_12.2441.json,custom
45.078193,12.246830,ov_palazzetto_dello_sport_rosolina_45.0782_12.2468,Palazzetto dello Sport Rosolina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/palazzetto_dello_sport_rosolina_45.0782_12.2468.json,custom
45.074320,12.240280,ov_posturologia_e_chinesiologia___dott__ssa_45.0743_12.2403,Posturologia e chinesiologia - Dott. ssa Elena Zausa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/posturologia_e_chinesiologia_-_dott_ssa__45.0743_12.2403.json,custom
45.131788,12.323751,ov_edicola_libreria_bazar___piazzale_europa_45.1318_12.3238,Edicola Libreria BAZAR _ Piazzale Europa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/edicola_libreria_bazar_piazzale_europa_45.1318_12.3238.json,custom
