# lat,lng,id,name,building_type,type,url,page_type
# San Martino Buon Albergo -- Tutti
45.423993,11.086785,ov_il_mandorlo_45.4240_11.0868,Il Mandorlo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/il_mandorlo_45.4240_11.0868.json,custom
45.422116,11.104631,ov_the_loft_37_45.4221_11.1046,The Loft 37,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/the_loft_37_45.4221_11.1046.json,custom
45.423141,11.104252,ov_pizza_ninja_45.4231_11.1043,Pizza Ninja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/pizza_ninja_45.4231_11.1043.json,custom
45.424356,11.098360,ov_jolly_pizza_45.4244_11.0984,Jolly Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/jolly_pizza_45.4244_11.0984.json,custom
45.425747,11.099729,ov_pizzeria_luketta_cotoletteria_polenteria_45.4257_11.0997,Pizzeria Luketta Cotoletteria Polenteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/pizzeria_luketta_cotoletteria_polenteria_45.4257_11.0997.json,custom
45.425799,11.100031,ov_pizzeria_ristorante_lui_e_lei_45.4258_11.1000,Pizzeria Ristorante Lui E Lei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/pizzeria_ristorante_lui_e_lei_45.4258_11.1000.json,custom
45.425824,11.072639,ov_fabbrica_in_pedavena_verona_45.4258_11.0726,Fabbrica in Pedavena Verona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/fabbrica_in_pedavena_verona_45.4258_11.0726.json,custom
45.424692,11.074964,ov_happy_family_asd_45.4247_11.0750,Happy Family ASD,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/happy_family_asd_45.4247_11.0750.json,custom
45.443477,11.078573,ov_osteria_trattoria_al_ponte_45.4435_11.0786,Osteria Trattoria Al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/osteria_trattoria_al_ponte_45.4435_11.0786.json,custom
45.457741,11.107071,ov_locanda_marcellise_45.4577_11.1071,Locanda Marcellise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/locanda_marcellise_45.4577_11.1071.json,custom
45.464742,11.104651,ov_albergo_ristorante_grobberio_45.4647_11.1047,Albergo Ristorante Grobberio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/albergo_ristorante_grobberio_45.4647_11.1047.json,custom
45.471708,11.099168,ov_pizzeria_agli_olivi_45.4717_11.0992,Pizzeria Agli Olivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/pizzeria_agli_olivi_45.4717_11.0992.json,custom
45.425913,11.099649,osm_il_gelato_di_camilla_45.4259_11.0996,Il Gelato di Camilla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/il_gelato_di_camilla_45.4259_11.0996.json,custom
45.443409,11.079817,osm_opificio_dei_sensi_45.4434_11.0798,Opificio dei sensi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/opificio_dei_sensi_45.4434_11.0798.json,custom
45.423233,11.088851,osm_iris_45.4232_11.0889,Iris,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/iris_45.4232_11.0889.json,custom
45.412457,11.085126,ov_caffetteria_dolce_equilibrio_45.4125_11.0851,Caffetteria Dolce Equilibrio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/caffetteria_dolce_equilibrio_45.4125_11.0851.json,custom
45.413621,11.090520,ov_peacocks___corti_venete_45.4136_11.0905,Peacocks @ Corti Venete,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/peacocks_corti_venete_45.4136_11.0905.json,custom
45.414167,11.090040,ov_beer_gravity_45.4142_11.0900,Beer Gravity,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/beer_gravity_45.4142_11.0900.json,custom
45.416279,11.085607,ov_civico_41_45.4163_11.0856,Civico 41,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/civico_41_45.4163_11.0856.json,custom
45.416370,11.085379,ov_ok_caffe_cucina_45.4164_11.0854,Ok caffe cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/ok_caffe_cucina_45.4164_11.0854.json,custom
45.417919,11.093711,ov_centro_birra_verona_est_srl_45.4179_11.0937,Centro birra Verona est srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/centro_birra_verona_est_srl_45.4179_11.0937.json,custom
45.421278,11.109510,ov_tricot_caf__45.4213_11.1095,Tricot Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/tricot_caf_45.4213_11.1095.json,custom
45.418606,11.097361,ov_foolery_verona_45.4186_11.0974,Foolery Verona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/foolery_verona_45.4186_11.0974.json,custom
45.419963,11.090684,ov_bar_ai_morti_45.4200_11.0907,Bar ai Morti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bar_ai_morti_45.4200_11.0907.json,custom
45.420740,11.086020,ov_birra_solution_45.4207_11.0860,Birra Solution,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/birra_solution_45.4207_11.0860.json,custom
45.421816,11.089151,ov_37036_winecafe_45.4218_11.0892,37036 Winecafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/37036_winecafe_45.4218_11.0892.json,custom
45.422602,11.090676,ov_le_2_spighette___caffetteria_panificio_45.4226_11.0907,Le 2 Spighette - Caffetteria Panificio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/le_2_spighette_-_caffetteria_panificio_45.4226_11.0907.json,custom
45.422411,11.091689,ov_bar_sissi_45.4224_11.0917,Bar Sissi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bar_sissi_45.4224_11.0917.json,custom
45.422621,11.093658,ov_circolo_noi_5_san_martino_45.4226_11.0937,Circolo Noi 5 San Martino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/circolo_noi_5_san_martino_45.4226_11.0937.json,custom
45.422750,11.092204,ov_urban_style_cafe_45.4227_11.0922,Urban Style Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/urban_style_cafe_45.4227_11.0922.json,custom
45.422998,11.093111,ov_bar_cardinal_45.4230_11.0931,Bar Cardinal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bar_cardinal_45.4230_11.0931.json,custom
45.422170,11.092050,ov_napoleone_lounge_caf__45.4222_11.0921,Napoleone Lounge Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/napoleone_lounge_caf_45.4222_11.0921.json,custom
45.423206,11.101072,ov_bar_new_comba_45.4232_11.1011,Bar New Comba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bar_new_comba_45.4232_11.1011.json,custom
45.424100,11.103457,ov_bar_jenry_carrarini_of_glory_45.4241_11.1035,Bar Jenry Carrarini Of Glory,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bar_jenry_carrarini_of_glory_45.4241_11.1035.json,custom
45.423401,11.094298,ov_blend_bistro_45.4234_11.0943,Blend Bistro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/blend_bistro_45.4234_11.0943.json,custom
45.424155,11.086006,ov_pasticceria_tosi_45.4242_11.0860,Pasticceria Tosi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/pasticceria_tosi_45.4242_11.0860.json,custom
45.426585,11.101088,ov_caff__da_stella_45.4266_11.1011,Caffè da Stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/caff_da_stella_45.4266_11.1011.json,custom
45.426051,11.076188,ov_lem_caffe_45.4261_11.0762,Lem Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/lem_caffe_45.4261_11.0762.json,custom
45.425734,11.078572,ov_sprint_caf__45.4257_11.0786,Sprint Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/sprint_caf_45.4257_11.0786.json,custom
45.425721,11.078704,ov_distributore_e_bar_eni_45.4257_11.0787,Distributore e BAR ENI,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/distributore_e_bar_eni_45.4257_11.0787.json,custom
45.425101,11.082719,ov_maison_caffe_capsule_e_cialde_45.4251_11.0827,Maison Caffe Capsule e Cialde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/maison_caffe_capsule_e_cialde_45.4251_11.0827.json,custom
45.425153,11.082734,ov_alexander_cafe_45.4252_11.0827,Alexander Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/alexander_cafe_45.4252_11.0827.json,custom
45.424893,11.083842,ov_bar_da_gino_pisani_45.4249_11.0838,Bar Da Gino Pisani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bar_da_gino_pisani_45.4249_11.0838.json,custom
45.422611,11.090502,osm_i_dolci_sapori_45.4226_11.0905,I Dolci Sapori,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/i_dolci_sapori_45.4226_11.0905.json,custom
45.422534,11.091928,osm_napoleone_lounge_caf__45.4225_11.0919,Napoleone Lounge Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/napoleone_lounge_caf_45.4225_11.0919.json,custom
45.425863,11.072302,osm_fabbrica_in_pedavena_verona_45.4259_11.0723,Fabbrica in Pedavena Verona,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/fabbrica_in_pedavena_verona_45.4259_11.0723.json,custom
45.411596,10.988073,ov_el_flaco_bailador_45.4116_10.9881,El Flaco Bailador,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/el_flaco_bailador_45.4116_10.9881.json,custom
45.404455,11.123792,ov_footgolfpark_45.4045_11.1238,Footgolfpark,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/footgolfpark_45.4045_11.1238.json,custom
45.414225,11.094680,ov_verona_boxing_club_45.4142_11.0947,Verona Boxing Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/verona_boxing_club_45.4142_11.0947.json,custom
45.413800,11.095352,ov_fashionbody_gym_s_s_d_a_r_l_45.4138_11.0954,Fashionbody Gym S.S.D a R.L,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/fashionbody_gym_ssd_a_rl_45.4138_11.0954.json,custom
45.416249,11.085549,ov_ludovica_nicolis_pole_studio_45.4162_11.0855,Ludovica Nicolis Pole Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/ludovica_nicolis_pole_studio_45.4162_11.0855.json,custom
45.417301,11.089500,ov_gaev___ginnastica_artistica_est_veronese_45.4173_11.0895,GAEV - Ginnastica Artistica Est Veronese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/gaev_-_ginnastica_artistica_est_veronese_45.4173_11.0895.json,custom
45.419969,11.117221,ov___athena2_0_45.4200_11.1172,♀ Athena2.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/_athena20_45.4200_11.1172.json,custom
45.420879,11.105342,ov_scuola_di_danza_la_libellula_45.4209_11.1053,Scuola di Danza La Libellula,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/scuola_di_danza_la_libellula_45.4209_11.1053.json,custom
45.419734,11.086463,ov_l_a_accademia_danza_45.4197_11.0865,L&A Accademia Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/la_accademia_danza_45.4197_11.0865.json,custom
45.420645,11.091786,ov_crossfit_tigers_verona_45.4206_11.0918,Crossfit Tigers Verona,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/crossfit_tigers_verona_45.4206_11.0918.json,custom
45.421176,11.088258,ov_move_your_body_45.4212_11.0883,Move Your Body,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/move_your_body_45.4212_11.0883.json,custom
45.421568,11.085590,ov_rossoaovest_asd_45.4216_11.0856,RossoAOvest ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/rossoaovest_asd_45.4216_11.0856.json,custom
45.422380,11.089836,ov_scacchi_san_martino_buon_albergo___vr_45.4224_11.0898,Scacchi San Martino Buon Albergo - VR,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/scacchi_san_martino_buon_albergo_-_vr_45.4224_11.0898.json,custom
45.422082,11.092421,ov_studio_livello_24_ems_45.4221_11.0924,Studio Livello 24 Ems,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/studio_livello_24_ems_45.4221_11.0924.json,custom
45.424719,11.099248,ov_spazio_corpomente_45.4247_11.0992,Spazio CorpoMente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/spazio_corpomente_45.4247_11.0992.json,custom
45.426293,11.082055,ov_gym_club_45.4263_11.0821,GYM CLUB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/gym_club_45.4263_11.0821.json,custom
45.425483,11.077755,ov_accademia_dello_sport_45.4255_11.0778,Accademia dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/accademia_dello_sport_45.4255_11.0778.json,custom
