# lat,lng,id,name,building_type,type,url,page_type
# Sant'Arpino -- Tutti
40.960512,14.250108,ov_centro_medico_specialistico_guarino_piet_40.9605_14.2501,Centro Medico Specialistico Guarino Pietronudo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/centro_medico_specialistico_guarino_piet_40.9605_14.2501.json,custom
40.947307,14.252467,ov_pizzeria_tarumb__40.9473_14.2525,Pizzeria Tarumbò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/pizzeria_tarumb_40.9473_14.2525.json,custom
40.950844,14.254353,ov_cisbu_40.9508_14.2544,Cisbu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/cisbu_40.9508_14.2544.json,custom
40.962940,14.262445,ov_e_bell_o_magna_40.9629_14.2624,E Bell o Magna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/e_bell_o_magna_40.9629_14.2624.json,custom
40.962308,14.260653,ov_milord_pizzaagogo_40.9623_14.2607,Milord Pizzaagogo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/milord_pizzaagogo_40.9623_14.2607.json,custom
40.961654,14.260643,ov_franco_comodoro_40.9617_14.2606,Franco Comodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/franco_comodoro_40.9617_14.2606.json,custom
40.961651,14.260709,ov_la_bistecca_40.9617_14.2607,La Bistecca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/la_bistecca_40.9617_14.2607.json,custom
40.961650,14.260780,ov_giulio__s_pizza_di_alvino_francesco_40.9616_14.2608,Giulio 's pizza di Alvino Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/giulio_s_pizza_di_alvino_francesco_40.9616_14.2608.json,custom
40.959349,14.249742,ov_fatte_na_pizza_40.9593_14.2497,Fatte na pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/fatte_na_pizza_40.9593_14.2497.json,custom
40.957867,14.252840,ov_pizzeria_vesuvio_40.9579_14.2528,Pizzeria Vesuvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/pizzeria_vesuvio_40.9579_14.2528.json,custom
40.961739,14.248571,ov_ristodoc_40.9617_14.2486,RistoDoc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/ristodoc_40.9617_14.2486.json,custom
40.962452,14.248362,ov_cocapizza_40.9625_14.2484,Cocapizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/cocapizza_40.9625_14.2484.json,custom
40.966074,14.248541,ov_paravi_40.9661_14.2485,Paravi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/paravi_40.9661_14.2485.json,custom
40.950970,14.254332,osm_cisb__40.9510_14.2543,Cisbù,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/cisb_40.9510_14.2543.json,custom
40.966395,14.237355,ov_bar_tabacchi_7000_caff__40.9664_14.2374,Bar Tabacchi 7000 Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/bar_tabacchi_7000_caff_40.9664_14.2374.json,custom
40.963980,14.243830,ov_newboomerang_bar_elio_t__40.9640_14.2438,NewBoomerang Bar Elio T.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/newboomerang_bar_elio_t_40.9640_14.2438.json,custom
40.963290,14.246070,ov_bar_tabacchi_al__caf__40.9633_14.2461,Bar Tabacchi Alì Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/bar_tabacchi_al_caf_40.9633_14.2461.json,custom
40.962878,14.247176,ov_magic_pub_40.9629_14.2472,Magic Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/magic_pub_40.9629_14.2472.json,custom
40.961478,14.245733,ov_pasticceria_orabona_40.9615_14.2457,Pasticceria Orabona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/pasticceria_orabona_40.9615_14.2457.json,custom
40.957747,14.245832,ov_taormina_40.9577_14.2458,Taormina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/taormina_40.9577_14.2458.json,custom
40.952768,14.253215,ov_bar_marconi_40.9528_14.2532,Bar Marconi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/bar_marconi_40.9528_14.2532.json,custom
40.950202,14.253716,ov_meck_food_and_drink_40.9502_14.2537,Meck Food and Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/meck_food_and_drink_40.9502_14.2537.json,custom
40.959007,14.249771,ov_caffe_divina_40.9590_14.2498,Caffe Divina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/caffe_divina_40.9590_14.2498.json,custom
40.958419,14.250390,ov_bar_caffettiera_la_biglia_40.9584_14.2504,Bar Caffettiera La Biglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/bar_caffettiera_la_biglia_40.9584_14.2504.json,custom
40.957894,14.250567,ov_louis_cafe_40.9579_14.2506,Louis Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/louis_cafe_40.9579_14.2506.json,custom
40.957943,14.250647,ov_enoteca_56_40.9579_14.2506,Enoteca 56,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/enoteca_56_40.9579_14.2506.json,custom
40.957516,14.251700,ov_caffe_ducale_40.9575_14.2517,Caffe Ducale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/caffe_ducale_40.9575_14.2517.json,custom
40.957613,14.252947,ov_caff__letterario_macr__40.9576_14.2529,Caffè Letterario Macrí,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/caff_letterario_macr_40.9576_14.2529.json,custom
40.960974,14.251065,ov_royal_caff__40.9610_14.2511,Royal Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/royal_caff_40.9610_14.2511.json,custom
40.960761,14.248341,ov_elegance_cafe_40.9608_14.2483,Elegance Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/elegance_cafe_40.9608_14.2483.json,custom
40.962943,14.247768,ov_hamburgeria_la_bistecca_40.9629_14.2478,Hamburgeria La Bistecca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/hamburgeria_la_bistecca_40.9629_14.2478.json,custom
40.965220,14.249630,ov_bar_2_puffi_40.9652_14.2496,Bar 2 Puffi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/bar_2_puffi_40.9652_14.2496.json,custom
40.961905,14.255998,ov_dinamik_lounge_bar_40.9619_14.2560,Dinamik Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/dinamik_lounge_bar_40.9619_14.2560.json,custom
40.960490,14.247175,ov_centro_studi_danza_paquita_40.9605_14.2472,Centro Studi Danza Paquita,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/centro_studi_danza_paquita_40.9605_14.2472.json,custom
40.960320,14.241714,ov_la_terrazza_40.9603_14.2417,La Terrazza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/la_terrazza_40.9603_14.2417.json,custom
40.953007,14.252714,ov_palestra_akros_40.9530_14.2527,Palestra Akros,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/palestra_akros_40.9530_14.2527.json,custom
40.947796,14.254695,ov_olympians_fitness_club_40.9478_14.2547,Olympians Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/olympians_fitness_club_40.9478_14.2547.json,custom
40.961852,14.261602,ov_aura___fitness_hub_40.9619_14.2616,AURA | Fitness Hub,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/aura_fitness_hub_40.9619_14.2616.json,custom
40.955026,14.250717,ov_pilates_movement_studio_40.9550_14.2507,Pilates Movement Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/pilates_movement_studio_40.9550_14.2507.json,custom
40.958150,14.249159,ov_the_everydance_40.9582_14.2492,The Everydance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/the_everydance_40.9582_14.2492.json,custom
40.958253,14.249071,ov_groove_dance_and_music_40.9583_14.2491,Groove Dance And Music,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/groove_dance_and_music_40.9583_14.2491.json,custom
40.958000,14.249130,ov_studiodanza78_40.9580_14.2491,Studiodanza78,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/studiodanza78_40.9580_14.2491.json,custom
40.961717,14.250828,ov_perfect_line_fitness___wellness_center_40.9617_14.2508,Perfect-Line Fitness & Wellness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/perfect-line_fitness_wellness_center_40.9617_14.2508.json,custom
40.962840,14.260188,ov_medora_ballet_40.9628_14.2602,Medora Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/medora_ballet_40.9628_14.2602.json,custom
40.965750,14.248222,ov_passo_a_due_centro_studi_danza_40.9658_14.2482,Passo a Due Centro Studi Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/passo_a_due_centro_studi_danza_40.9658_14.2482.json,custom
