# lat,lng,id,name,building_type,type,url,page_type
# Oliveto Citra -- Tutti
40.691049,15.236537,ov_presidio_ospedaliero_san_francesco_d_ass_40.6910_15.2365,Presidio Ospedaliero San Francesco D'Assisi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/presidio_ospedaliero_san_francesco_dassi_40.6910_15.2365.json,custom
40.721942,15.290921,ov_la_cerza_ristorante_pizzeria_40.7219_15.2909,La Cerza ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/la_cerza_ristorante_pizzeria_40.7219_15.2909.json,custom
40.684200,15.253250,ov_da_vali_40.6842_15.2532,Da Vali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/da_vali_40.6842_15.2532.json,custom
40.690849,15.252128,ov_colorado_cafe_40.6908_15.2521,Colorado Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/colorado_cafe_40.6908_15.2521.json,custom
40.690655,15.249227,ov_dubai_bar_40.6907_15.2492,Dubai bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/dubai_bar_40.6907_15.2492.json,custom
40.688667,15.229733,ov_bar_o_paris_40.6887_15.2297,Bar O'Paris,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/bar_oparis_40.6887_15.2297.json,custom
40.690967,15.230858,ov_beautiful_cafe_40.6910_15.2309,Beautiful Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/beautiful_cafe_40.6910_15.2309.json,custom
40.690897,15.230437,ov_beckett_pub_40.6909_15.2304,Beckett Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/beckett_pub_40.6909_15.2304.json,custom
40.690675,15.230147,ov_bibliocaf__40.6907_15.2301,Bibliocafé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/bibliocaf_40.6907_15.2301.json,custom
40.693437,15.239767,ov_kaffetteria_vece_40.6934_15.2398,Kaffetteria Vece,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/kaffetteria_vece_40.6934_15.2398.json,custom
40.693709,15.239701,ov_l_etoile_40.6937_15.2397,L'Etoile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/letoile_40.6937_15.2397.json,custom
40.694704,15.241195,ov_maya_pub_grill_40.6947_15.2412,MAYA pub&grill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/maya_pubgrill_40.6947_15.2412.json,custom
40.695623,15.237261,ov_king_brothers_pub_40.6956_15.2373,King Brothers pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/king_brothers_pub_40.6956_15.2373.json,custom
40.687820,15.230456,ov_palazzetto_dello_sport__oliveto_citra_40.6878_15.2305,"Palazzetto Dello Sport, Oliveto Citra",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/palazzetto_dello_sport_oliveto_citra_40.6878_15.2305.json,custom
40.691368,15.231349,ov_biciclasse_c_s__srl_40.6914_15.2313,Biciclasse C.s. SRL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/biciclasse_cs_srl_40.6914_15.2313.json,custom
40.709141,15.218124,ov_varchera_wellness_club_40.7091_15.2181,Varchera Wellness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/varchera_wellness_club_40.7091_15.2181.json,custom
