# lat,lng,id,name,building_type,type,url,page_type
# monte_compatri -- Tutti
41.805023,12.736875,ov_san_raffaele_montecompatri_41.8050_12.7369,San Raffaele Montecompatri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/san_raffaele_montecompatri_41.8050_12.7369.json,custom
41.824813,12.727136,ov_freedo_41.8248_12.7271,Freedo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/freedo_41.8248_12.7271.json,custom
41.865280,12.705750,ov_elite_caff___ristorante_pizzeria_lounge__41.8653_12.7058,Elite caffè' ristorante pizzeria lounge bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/elite_caff_ristorante_pizzeria_lounge_ba_41.8653_12.7058.json,custom
41.865267,12.705836,ov_iqos_partner___monte_compatri_bar_tabacc_41.8653_12.7058,"IQOS PARTNER - Monte Compatri Bar Tabacchi, Laghetto",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/iqos_partner_-_monte_compatri_bar_tabacc_41.8653_12.7058.json,custom
41.859910,12.724342,ov_l_ingrosso_del_caff__41.8599_12.7243,L'Ingrosso del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/lingrosso_del_caff_41.8599_12.7243.json,custom
41.870600,12.688270,ov_chinottissimo_41.8706_12.6883,Chinottissimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/chinottissimo_41.8706_12.6883.json,custom
41.848736,12.736906,osm_la_dolce_vita_41.8487_12.7369,La Dolce Vita,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/la_dolce_vita_41.8487_12.7369.json,custom
41.849047,12.735873,osm_aveo_bar_41.8490_12.7359,Aveo Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/aveo_bar_41.8490_12.7359.json,custom
41.807682,12.737934,ov_centro_anziani_monte_compatri_41.8077_12.7379,Centro Anziani Monte Compatri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/centro_anziani_monte_compatri_41.8077_12.7379.json,custom
41.813477,12.728037,ov_nima_soluzione_movimento_41.8135_12.7280,NiMa Soluzione Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/nima_soluzione_movimento_41.8135_12.7280.json,custom
41.863652,12.710042,ov_ginnastica_artistica_p4_41.8637_12.7100,Ginnastica Artistica P4,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/ginnastica_artistica_p4_41.8637_12.7100.json,custom
41.868752,12.722295,ov_acquedotto_romano_polo_club_41.8688_12.7223,Acquedotto Romano Polo Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/acquedotto_romano_polo_club_41.8688_12.7223.json,custom
41.846972,12.737169,ov_palazzetto_dello_sport_monte_compatri_41.8470_12.7372,Palazzetto Dello Sport Monte Compatri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/palazzetto_dello_sport_monte_compatri_41.8470_12.7372.json,custom
41.840178,12.745784,ov_danza___benessere_41.8402_12.7458,Danza & Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/danza_benessere_41.8402_12.7458.json,custom
41.889121,12.701508,ov_skydive_the_drop_roma_latina_41.8891_12.7015,Skydive The Drop Roma Latina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/skydive_the_drop_roma_latina_41.8891_12.7015.json,custom
41.810852,12.736096,ov_biblioteca_di_monte_compatri_41.8109_12.7361,Biblioteca di Monte Compatri,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/biblioteca_di_monte_compatri_41.8109_12.7361.json,custom
41.809406,12.738144,ov_palazzo_annibaldeschi_41.8094_12.7381,Palazzo Annibaldeschi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/palazzo_annibaldeschi_41.8094_12.7381.json,custom
41.809347,12.737891,osm_biblioteca_di_monte_compatri_marco_mastr_41.8093_12.7379,Biblioteca di Monte Compatri Marco Mastrofini,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/biblioteca_di_monte_compatri_marco_mastr_41.8093_12.7379.json,custom
