# lat,lng,id,name,building_type,type,url,page_type
# Camisano Vicentino -- Tutti
45.521137,11.714182,ov_cmr_camisano_45.5211_11.7142,CMR Camisano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/cmr_camisano_45.5211_11.7142.json,custom
45.527086,11.692299,ov_agriturismo_cascina_mattarello_45.5271_11.6923,Agriturismo Cascina Mattarello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/agriturismo_cascina_mattarello_45.5271_11.6923.json,custom
45.526911,11.692107,osm_cascina_mattarello_45.5269_11.6921,Cascina Mattarello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/cascina_mattarello_45.5269_11.6921.json,custom
45.538971,11.686472,osm_cleptomania_45.5390_11.6865,Cleptomania,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/cleptomania_45.5390_11.6865.json,custom
45.502239,11.710006,ov_bar_benza_giornale_e_caff__45.5022_11.7100,Bar Benza Giornale e Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/bar_benza_giornale_e_caff_45.5022_11.7100.json,custom
45.517738,11.692182,ov_per_bacco_45.5177_11.6922,PER BACCO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/per_bacco_45.5177_11.6922.json,custom
45.518314,11.692105,ov_bar_alessi_45.5183_11.6921,Bar Alessi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/bar_alessi_45.5183_11.6921.json,custom
45.520142,11.693841,ov_bar_a_gonfie_vele_45.5201_11.6938,Bar a gonfie vele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/bar_a_gonfie_vele_45.5201_11.6938.json,custom
45.518844,11.696955,ov_bar_vicenza_45.5188_11.6970,Bar Vicenza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/bar_vicenza_45.5188_11.6970.json,custom
45.520643,11.712791,ov_bar_concordia_45.5206_11.7128,Bar Concordia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/bar_concordia_45.5206_11.7128.json,custom
45.520633,11.712937,ov_concordia___vino__sali_e_tabacchi_45.5206_11.7129,"Concordia - Vino, Sali e Tabacchi",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/concordia_-_vino_sali_e_tabacchi_45.5206_11.7129.json,custom
45.516572,11.704155,ov_la_ciacoea_45.5166_11.7042,La Ciacoea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/la_ciacoea_45.5166_11.7042.json,custom
45.522170,11.713456,ov_bar_caffe_la_meridiana_45.5222_11.7135,Bar Caffe La Meridiana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/bar_caffe_la_meridiana_45.5222_11.7135.json,custom
45.523057,11.713724,ov_bar_la_piazzetta_45.5231_11.7137,Bar La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/bar_la_piazzetta_45.5231_11.7137.json,custom
45.525347,11.734625,ov_dany_bar_45.5253_11.7346,Dany Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/dany_bar_45.5253_11.7346.json,custom
45.524108,11.714782,ov_cr_me_de_la_cr_me_45.5241_11.7148,Crème de la Crème,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/crme_de_la_crme_45.5241_11.7148.json,custom
45.521840,11.713201,ov_skizzo_divino_45.5218_11.7132,Skizzo Divino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/skizzo_divino_45.5218_11.7132.json,custom
45.539000,11.686400,ov_circolo_san_gaetano_rampazzo_45.5390_11.6864,Circolo San Gaetano Rampazzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/circolo_san_gaetano_rampazzo_45.5390_11.6864.json,custom
45.520954,11.714068,osm_liol__45.5210_11.7141,Liolà,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/liol_45.5210_11.7141.json,custom
45.506552,11.710024,ov_centro_equestre_il_moraro_45.5066_11.7100,Centro Equestre Il Moraro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/centro_equestre_il_moraro_45.5066_11.7100.json,custom
45.513010,11.704200,ov_danziamo_il_natale_2020_45.5130_11.7042,Danziamo il Natale 2020,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/danziamo_il_natale_2020_45.5130_11.7042.json,custom
45.512537,11.702975,ov_a_s_d__dance_and_dance_45.5125_11.7030,A.S.D. Dance and Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/asd_dance_and_dance_45.5125_11.7030.json,custom
45.517823,11.712930,ov_dyamond_fitness___vicenza_45.5178_11.7129,Dyamond Fitness - Vicenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/dyamond_fitness_-_vicenza_45.5178_11.7129.json,custom
45.518340,11.714920,ov_la_stalla_del_sorriso_45.5183_11.7149,La Stalla del Sorriso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/la_stalla_del_sorriso_45.5183_11.7149.json,custom
45.522130,11.713760,ov_sboccia_45.5221_11.7138,Sboccia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/sboccia_45.5221_11.7138.json,custom
45.522712,11.714259,ov_polisportiva_aurora_76_45.5227_11.7143,Polisportiva Aurora 76,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/polisportiva_aurora_76_45.5227_11.7143.json,custom
45.518206,11.686629,osm_sportingmed_45.5182_11.6866,SportingMed,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/sportingmed_45.5182_11.6866.json,custom
45.517977,11.707146,ov_biblioteca_civica_l__grisotto_camisano_v_45.5180_11.7071,Biblioteca Civica L. Grisotto Camisano Vic.no,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/camisano_vicentino/pages/biblioteca_civica_l_grisotto_camisano_vi_45.5180_11.7071.json,custom
