# lat,lng,id,name,building_type,type,url,page_type
# pineto -- Tutti
42.642840,14.039930,ov_kl___studio_di_fisioterapia_del_dott__ga_42.6428_14.0399,KL - Studio di Fisioterapia del Dott. Gabriele Tavolieri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/kl_-_studio_di_fisioterapia_del_dott_gab_42.6428_14.0399.json,custom
42.599856,14.008899,ov_ristorante_ferretti_gaetano_42.5999_14.0089,Ristorante Ferretti Gaetano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ristorante_ferretti_gaetano_42.5999_14.0089.json,custom
42.587654,14.028122,ov_il_castellaro_42.5877_14.0281,Il Castellaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/il_castellaro_42.5877_14.0281.json,custom
42.587944,14.034458,ov_bacucco_d_oro_42.5879_14.0345,Bacucco D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bacucco_doro_42.5879_14.0345.json,custom
42.614437,14.034008,ov_agriturismo_col_morino_42.6144_14.0340,Agriturismo Col Morino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/agriturismo_col_morino_42.6144_14.0340.json,custom
42.612387,14.045371,ov_pier_delle_vigne_42.6124_14.0454,Pier Delle Vigne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pier_delle_vigne_42.6124_14.0454.json,custom
42.585574,14.053153,ov_il_contadino_42.5856_14.0532,Il Contadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/il_contadino_42.5856_14.0532.json,custom
42.591925,14.080281,ov_osteria_altri_tempi_42.5919_14.0803,Osteria ALTRI TEMPI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/osteria_altri_tempi_42.5919_14.0803.json,custom
42.610258,14.065986,ov_pizza_garage_42.6103_14.0660,Pizza Garage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pizza_garage_42.6103_14.0660.json,custom
42.608800,14.066966,ov_morsi_burger_42.6088_14.0670,Morsi Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/morsi_burger_42.6088_14.0670.json,custom
42.609191,14.066518,ov_pausa_piadina_42.6092_14.0665,Pausa Piadina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pausa_piadina_42.6092_14.0665.json,custom
42.609241,14.066316,ov_pizzeria_esposito___pizzeria_gastronomia_42.6092_14.0663,Pizzeria Esposito - Pizzeria Gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pizzeria_esposito_-_pizzeria_gastronomia_42.6092_14.0663.json,custom
42.607244,14.067713,ov_villa_filiani_42.6072_14.0677,Villa Filiani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/villa_filiani_42.6072_14.0677.json,custom
42.608380,14.067701,ov_ristorante_resilienza_42.6084_14.0677,Ristorante Resilienza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ristorante_resilienza_42.6084_14.0677.json,custom
42.607357,14.068342,ov_matcha_pok__42.6074_14.0683,Matcha Pokè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/matcha_pok_42.6074_14.0683.json,custom
42.606167,14.070693,ov_lido_marco_polo_42.6062_14.0707,Lido Marco Polo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/lido_marco_polo_42.6062_14.0707.json,custom
42.600550,14.072210,ov_kookstudio_abruzzo_42.6005_14.0722,Kookstudio Abruzzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/kookstudio_abruzzo_42.6005_14.0722.json,custom
42.604705,14.070429,ov_a_la_piazz_42.6047_14.0704,A la piazz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/a_la_piazz_42.6047_14.0704.json,custom
42.606119,14.069077,ov_pizzetta_42.6061_14.0691,Pizzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pizzetta_42.6061_14.0691.json,custom
42.601978,14.068980,ov_ristorante_grani_e_braci_42.6020_14.0690,Ristorante Grani e Braci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ristorante_grani_e_braci_42.6020_14.0690.json,custom
42.598778,14.073885,ov_damanzi_ristorante_braceria_42.5988_14.0739,Damanzi Ristorante Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/damanzi_ristorante_braceria_42.5988_14.0739.json,custom
42.598803,14.073871,ov_la_dolce_vita_42.5988_14.0739,La Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/la_dolce_vita_42.5988_14.0739.json,custom
42.600390,14.073054,ov_trattoria_saraceni_42.6004_14.0731,Trattoria SaraCeni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/trattoria_saraceni_42.6004_14.0731.json,custom
42.600862,14.072645,ov_pescado_42.6009_14.0726,Pescado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pescado_42.6009_14.0726.json,custom
42.600534,14.072916,ov_oblo_42.6005_14.0729,Oblo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/oblo_42.6005_14.0729.json,custom
42.602807,14.073503,ov_stabilimento_balneare_la_cambusa_42.6028_14.0735,Stabilimento Balneare La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/stabilimento_balneare_la_cambusa_42.6028_14.0735.json,custom
42.600388,14.075520,ov_marco_s_beach_42.6004_14.0755,Marco's Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/marcos_beach_42.6004_14.0755.json,custom
42.591239,14.065885,ov_agriturismo_fattoria_di_leopoldo_42.5912_14.0659,Agriturismo Fattoria di Leopoldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/agriturismo_fattoria_di_leopoldo_42.5912_14.0659.json,custom
42.591230,14.061363,ov_country_house_la_foggetta_42.5912_14.0614,Country House La Foggetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/country_house_la_foggetta_42.5912_14.0614.json,custom
42.611567,14.062790,ov_ristorante_lu_straccapanz_42.6116_14.0628,Ristorante Lu Straccapanz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ristorante_lu_straccapanz_42.6116_14.0628.json,custom
42.608689,14.064209,ov_lido_la_lucciola__pineto_42.6087_14.0642,Lido La Lucciola  Pineto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/lido_la_lucciola_pineto_42.6087_14.0642.json,custom
42.608627,14.065538,ov_pasta_all_uovo_come_una_volta_42.6086_14.0655,Pasta All'uovo Come una Volta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pasta_alluovo_come_una_volta_42.6086_14.0655.json,custom
42.609264,14.064639,ov_l_angolo_dei_sapori___ristorante_pizzeri_42.6093_14.0646,L'Angolo dei Sapori - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/langolo_dei_sapori_-_ristorante_pizzeria_42.6093_14.0646.json,custom
42.609902,14.065814,ov_ismail_doner_kebab_42.6099_14.0658,Ismail doner kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ismail_doner_kebab_42.6099_14.0658.json,custom
42.610225,14.064267,ov_i_briganti_42.6102_14.0643,I Briganti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/i_briganti_42.6102_14.0643.json,custom
42.610463,14.063543,ov_locanda_d_annunzio_42.6105_14.0635,Locanda D'Annunzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/locanda_dannunzio_42.6105_14.0635.json,custom
42.612989,14.063096,ov_pizz_ardente_42.6130_14.0631,Pizz'Ardente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/pizzardente_42.6130_14.0631.json,custom
42.615225,14.064088,ov_lido_dei_pini_pineto_42.6152_14.0641,Lido Dei Pini Pineto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/lido_dei_pini_pineto_42.6152_14.0641.json,custom
42.618030,14.061573,ov_il_gabbiano___beach___food_42.6180_14.0616,Il Gabbiano - Beach & Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/il_gabbiano_-_beach_food_42.6180_14.0616.json,custom
42.614853,14.061902,ov_trattoria_abruzzese_nonna_michi_42.6149_14.0619,Trattoria Abruzzese Nonna Michi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/trattoria_abruzzese_nonna_michi_42.6149_14.0619.json,custom
42.614537,14.060945,ov_la_conchiglia_d_oro_42.6145_14.0609,La Conchiglia D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/la_conchiglia_doro_42.6145_14.0609.json,custom
42.626392,14.054214,ov_heliopolis_ristorante_42.6264_14.0542,Heliopolis Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/heliopolis_ristorante_42.6264_14.0542.json,custom
42.608278,14.067677,osm_resilienza_42.6083_14.0677,Resilienza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/resilienza_42.6083_14.0677.json,custom
42.625115,14.053904,osm_fiestamania_pineto_42.6251_14.0539,Fiestamania Pineto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/fiestamania_pineto_42.6251_14.0539.json,custom
42.606026,14.069046,osm_bonass__42.6060_14.0690,Bonassì,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bonass_42.6060_14.0690.json,custom
42.614248,14.062473,osm_treasure_island_42.6142_14.0625,Treasure Island,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/treasure_island_42.6142_14.0625.json,custom
42.642120,14.041390,ov_center_service_42.6421_14.0414,Center Service,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/center_service_42.6421_14.0414.json,custom
42.643273,14.045055,ov_fuoriluogo_beach_42.6433_14.0451,Fuoriluogo Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/fuoriluogo_beach_42.6433_14.0451.json,custom
42.641352,14.041858,ov_columbia_42.6414_14.0419,Columbia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/columbia_42.6414_14.0419.json,custom
42.642112,14.040335,ov_bar_jolly_42.6421_14.0403,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_jolly_42.6421_14.0403.json,custom
42.646285,14.040151,ov_bar_black_panther_42.6463_14.0402,Bar Black Panther,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_black_panther_42.6463_14.0402.json,custom
42.648718,14.037687,ov_lu_na___lounge_bar___finger_food_42.6487_14.0377,LU.NA / lounge bar + finger food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/luna_lounge_bar_finger_food_42.6487_14.0377.json,custom
42.642740,14.020775,ov_bar_ristorante_gli_amici_42.6427_14.0208,Bar Ristorante Gli Amici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_ristorante_gli_amici_42.6427_14.0208.json,custom
42.588066,14.036570,ov_caffe_del_corso_42.5881_14.0366,Caffe del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/caffe_del_corso_42.5881_14.0366.json,custom
42.611380,14.040510,ov_caffetteria_ferretti__wine_bar_42.6114_14.0405,Caffetteria Ferretti  Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/caffetteria_ferretti_wine_bar_42.6114_14.0405.json,custom
42.610980,14.046013,ov_bar_borgo_rosso_di_amelii_daniele_42.6110_14.0460,Bar Borgo Rosso Di Amelii Daniele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_borgo_rosso_di_amelii_daniele_42.6110_14.0460.json,custom
42.609199,14.044396,ov_bar_rifas_42.6092_14.0444,Bar Rifas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_rifas_42.6092_14.0444.json,custom
42.593905,14.079528,ov_bar_columbia__pineto_42.5939_14.0795,"Bar Columbia, Pineto",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_columbia_pineto_42.5939_14.0795.json,custom
42.609465,14.066130,ov_mood_cafe_42.6095_14.0661,Mood Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/mood_cafe_42.6095_14.0661.json,custom
42.609481,14.066354,ov_bar_sport_42.6095_14.0664,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_sport_42.6095_14.0664.json,custom
42.607930,14.067492,ov_eurobar_42.6079_14.0675,EuroBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/eurobar_42.6079_14.0675.json,custom
42.607546,14.066016,ov_al_centrale_42.6075_14.0660,Al Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/al_centrale_42.6075_14.0660.json,custom
42.607471,14.067854,ov_bar_mary_di_coppa_vito_42.6075_14.0679,Bar Mary Di Coppa Vito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_mary_di_coppa_vito_42.6075_14.0679.json,custom
42.601926,14.072172,ov_zanzibarcafe_42.6019_14.0722,Zanzibarcafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/zanzibarcafe_42.6019_14.0722.json,custom
42.602920,14.070790,ov_victoria_42.6029_14.0708,Victoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/victoria_42.6029_14.0708.json,custom
42.605876,14.068900,ov_schiuma_42.6059_14.0689,Schiuma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/schiuma_42.6059_14.0689.json,custom
42.599974,14.073390,ov_maion_pub_42.6000_14.0734,Maion Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/maion_pub_42.6000_14.0734.json,custom
42.600458,14.073021,ov_angel_bar_42.6005_14.0730,Angel Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/angel_bar_42.6005_14.0730.json,custom
42.603263,14.073234,ov_la_pinetina_snc_42.6033_14.0732,La Pinetina snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/la_pinetina_snc_42.6033_14.0732.json,custom
42.604099,14.072654,ov_lido_la_lucciola_pineto_42.6041_14.0727,Lido La Lucciola Pineto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/lido_la_lucciola_pineto_42.6041_14.0727.json,custom
42.600660,14.075328,ov_lido_donna_italia_42.6007_14.0753,Lido Donna Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/lido_donna_italia_42.6007_14.0753.json,custom
42.609040,14.065600,ov_brassami_ancora_42.6090_14.0656,Brassami Ancora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/brassami_ancora_42.6090_14.0656.json,custom
42.607966,14.064870,ov_caffemania_42.6080_14.0649,Caffemania,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/caffemania_42.6080_14.0649.json,custom
42.610019,14.063981,ov_bar_sour_42.6100_14.0640,Bar Sour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_sour_42.6100_14.0640.json,custom
42.614341,14.062401,ov_treasure_island_42.6143_14.0624,Treasure Island,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/treasure_island_42.6143_14.0624.json,custom
42.614417,14.060823,ov_camplese_42.6144_14.0608,Camplese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/camplese_42.6144_14.0608.json,custom
42.617087,14.061081,ov_miramare_da_sandro_42.6171_14.0611,Miramare da Sandro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/miramare_da_sandro_42.6171_14.0611.json,custom
42.616111,14.059475,ov_planetwin365_pineto_42.6161_14.0595,Planetwin365 Pineto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/planetwin365_pineto_42.6161_14.0595.json,custom
42.615727,14.058657,ov_caffe_dei_poeti_42.6157_14.0587,Caffe dei Poeti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/caffe_dei_poeti_42.6157_14.0587.json,custom
42.607609,14.065950,osm_bar_gelateria_centrale_42.6076_14.0659,Bar Gelateria Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/bar_gelateria_centrale_42.6076_14.0659.json,custom
42.608252,14.067014,osm_gran_caff__de_paris_42.6083_14.0670,Gran Caffè de Paris,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/gran_caff_de_paris_42.6083_14.0670.json,custom
42.628395,14.051237,ov_area_57_gym_center_42.6284_14.0512,Area 57 Gym Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/area_57_gym_center_42.6284_14.0512.json,custom
42.606541,14.036557,ov_palestra_studio_athena_ssd_a_rl_42.6065_14.0366,Palestra Studio Athena ssd a rl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/palestra_studio_athena_ssd_a_rl_42.6065_14.0366.json,custom
42.609378,14.067123,ov_kinesis_gym_42.6094_14.0671,Kinesis Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/kinesis_gym_42.6094_14.0671.json,custom
42.608328,14.066228,ov_a_s_d__centro_ginnico_ifigenia_42.6083_14.0662,A.S.D. Centro Ginnico Ifigenia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/asd_centro_ginnico_ifigenia_42.6083_14.0662.json,custom
42.608441,14.066266,ov_il_fantabosco_pineto_42.6084_14.0663,Il Fantabosco Pineto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/il_fantabosco_pineto_42.6084_14.0663.json,custom
42.606349,14.068013,ov_palestra_fitness_club_42.6063_14.0680,Palestra Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/palestra_fitness_club_42.6063_14.0680.json,custom
42.603301,14.069232,ov_scuola_di_ciclismo_abruzzo_42.6033_14.0692,Scuola DI Ciclismo Abruzzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/scuola_di_ciclismo_abruzzo_42.6033_14.0692.json,custom
42.605379,14.067663,ov_palasport_pineto_42.6054_14.0677,Palasport Pineto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/palasport_pineto_42.6054_14.0677.json,custom
42.605763,14.068148,ov_palestra_comunale_42.6058_14.0681,Palestra Comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/palestra_comunale_42.6058_14.0681.json,custom
42.598919,14.073491,ov_scuola_di_danza_il_cigno_42.5989_14.0735,Scuola di danza Il Cigno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/scuola_di_danza_il_cigno_42.5989_14.0735.json,custom
42.584320,14.072400,ov_circolo_ippico_horses_pineto_asd_42.5843_14.0724,Circolo ippico Horses Pineto ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/circolo_ippico_horses_pineto_asd_42.5843_14.0724.json,custom
42.613678,14.061237,ov_centro_yoga_namast__42.6137_14.0612,Centro Yoga Namasté,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/centro_yoga_namast_42.6137_14.0612.json,custom
42.616935,14.058242,ov_move_is_better_42.6169_14.0582,Move is better,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/move_is_better_42.6169_14.0582.json,custom
42.628516,14.051441,osm_palestra_area_57_gym_center_42.6285_14.0514,Palestra Area 57 Gym Center,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/palestra_area_57_gym_center_42.6285_14.0514.json,custom
