# lat,lng,id,name,building_type,type,url,page_type
# Motta di Livenza -- Tutti
45.773675,12.598070,ov_ospedale_riabilitativo_di_alta_specializ_45.7737_12.5981,Ospedale Riabilitativo di Alta Specializzazione di Motta di ,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/ospedale_riabilitativo_di_alta_specializ_45.7737_12.5981.json,custom
45.775077,12.598363,ov_la_sconta_bar_pizzeria_45.7751_12.5984,La Sconta Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/la_sconta_bar_pizzeria_45.7751_12.5984.json,custom
45.766639,12.611228,ov_bar_trattoria_ai_2_fiumi_45.7666_12.6112,Bar/trattoria Ai 2 fiumi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/bartrattoria_ai_2_fiumi_45.7666_12.6112.json,custom
45.743074,12.651737,ov_trattoria_al_mulino_45.7431_12.6517,Trattoria Al Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/trattoria_al_mulino_45.7431_12.6517.json,custom
45.781639,12.626423,ov_agriturismo_la_prediletta_45.7816_12.6264,Agriturismo La Prediletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/agriturismo_la_prediletta_45.7816_12.6264.json,custom
45.783561,12.642618,ov_la_maison_restaurant_45.7836_12.6426,La Maison Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/la_maison_restaurant_45.7836_12.6426.json,custom
45.783062,12.642553,ov_l__ev__ristorante_45.7831_12.6426,L' Evì Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/l_ev_ristorante_45.7831_12.6426.json,custom
45.786210,12.655750,ov_la_casa_di_bacco_45.7862_12.6557,La Casa di Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/la_casa_di_bacco_45.7862_12.6557.json,custom
45.782270,12.649532,ov_osteria_della_pizza_45.7823_12.6495,Osteria della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/osteria_della_pizza_45.7823_12.6495.json,custom
45.777602,12.654189,osm_agriturismo_da_romeo_45.7776_12.6542,Agriturismo Da Romeo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/agriturismo_da_romeo_45.7776_12.6542.json,custom
45.772789,12.611046,ov_pub_bauhaus_stube_45.7728_12.6110,Pub Bauhaus Stube,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/pub_bauhaus_stube_45.7728_12.6110.json,custom
45.775654,12.611016,ov_be_live_spirits_and_wine_45.7757_12.6110,BE-Live Spirits and Wine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/be-live_spirits_and_wine_45.7757_12.6110.json,custom
45.775690,12.611080,ov_cry_miny_bar_45.7757_12.6111,Cry Miny Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/cry_miny_bar_45.7757_12.6111.json,custom
45.776190,12.611155,ov_hermosa_americanbar_45.7762_12.6112,Hermosa AmericanBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/hermosa_americanbar_45.7762_12.6112.json,custom
45.775550,12.610300,ov_caf__falchi_45.7756_12.6103,Cafè Falchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/caf_falchi_45.7756_12.6103.json,custom
45.775588,12.610306,ov_3_10_45.7756_12.6103,3.10,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/310_45.7756_12.6103.json,custom
45.776027,12.609751,ov_mabi_bar_45.7760_12.6098,Mabi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/mabi_bar_45.7760_12.6098.json,custom
45.772812,12.610933,ov_birreria_bauhaus_45.7728_12.6109,Birreria Bauhaus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/birreria_bauhaus_45.7728_12.6109.json,custom
45.772639,12.608190,ov_il_pane_di_giulia_45.7726_12.6082,Il Pane di Giulia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/il_pane_di_giulia_45.7726_12.6082.json,custom
45.775738,12.602718,ov_bucciol_giovanni_45.7757_12.6027,Bucciol Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/bucciol_giovanni_45.7757_12.6027.json,custom
45.776366,12.610408,ov_bar_al_ritrovo_45.7764_12.6104,Bar Al Ritrovo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/bar_al_ritrovo_45.7764_12.6104.json,custom
45.776528,12.610476,ov_gin_bar_45.7765_12.6105,Gin Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/gin_bar_45.7765_12.6105.json,custom
45.776880,12.610490,ov_pasticceria_al_duomo_45.7769_12.6105,Pasticceria Al Duomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/pasticceria_al_duomo_45.7769_12.6105.json,custom
45.777824,12.609368,ov_jjane_bar_cicchetteria_45.7778_12.6094,JJane Bar Cicchetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/jjane_bar_cicchetteria_45.7778_12.6094.json,custom
45.777569,12.610169,ov_megusta_45.7776_12.6102,Megusta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/megusta_45.7776_12.6102.json,custom
45.777543,12.610350,ov_bar_sport_45.7775_12.6104,Bar sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/bar_sport_45.7775_12.6104.json,custom
45.775440,12.591925,ov_dapani_co__45.7754_12.5919,DaPani&Co.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/dapanico_45.7754_12.5919.json,custom
45.765822,12.487223,ov_sognami_pub_45.7658_12.4872,Sognami Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/sognami_pub_45.7658_12.4872.json,custom
45.771485,12.600620,ov_ideale_45.7715_12.6006,iDEALE,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/ideale_45.7715_12.6006.json,custom
45.758350,12.615485,ov_stap___bar_e_colazioni__aperitivi_e_pran_45.7584_12.6155,"STAP - bar e colazioni, aperitivi e pranzi veloci",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/stap_-_bar_e_colazioni_aperitivi_e_pranz_45.7584_12.6155.json,custom
45.755769,12.614801,ov_al_capanon_da_fabio_45.7558_12.6148,Al Capanon da Fabio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/al_capanon_da_fabio_45.7558_12.6148.json,custom
45.756729,12.615618,ov_microbirrificio_zuppa_di_sasso___brewpub_45.7567_12.6156,Microbirrificio Zuppa di Sasso & BREWPUB,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/microbirrificio_zuppa_di_sasso_brewpub_45.7567_12.6156.json,custom
45.765750,12.638830,ov_na_seen_bar_45.7657_12.6388,Na Seen bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/na_seen_bar_45.7657_12.6388.json,custom
45.765720,12.638320,ov_bar_da_reby_45.7657_12.6383,Bar da Reby,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/bar_da_reby_45.7657_12.6383.json,custom
45.776870,12.613900,ov_foryoustudio_45.7769_12.6139,Foryoustudio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/foryoustudio_45.7769_12.6139.json,custom
45.774510,12.612988,ov_associazione_sportiva_dilettantistica_in_45.7745_12.6130,Associazione Sportiva Dilettantistica In-Forma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/associazione_sportiva_dilettantistica_in_45.7745_12.6130.json,custom
45.775720,12.609560,ov_centro_danza_e_movimento_45.7757_12.6096,Centro Danza e Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/centro_danza_e_movimento_45.7757_12.6096.json,custom
45.773241,12.608353,ov_zero_5_bike_team_45.7732_12.6084,Zero 5 Bike Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/zero_5_bike_team_45.7732_12.6084.json,custom
45.772179,12.605015,ov_palazzetto_dello_sport_motta_di_livenza_45.7722_12.6050,Palazzetto dello Sport Motta di Livenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/palazzetto_dello_sport_motta_di_livenza_45.7722_12.6050.json,custom
45.771549,12.600437,ov_gymnasium_45.7715_12.6004,Gymnasium,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/gymnasium_45.7715_12.6004.json,custom
45.755914,12.614709,ov_body_and_mind_45.7559_12.6147,Body and Mind,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/body_and_mind_45.7559_12.6147.json,custom
45.775688,12.609108,ov_fondazione_ada_e_antonio_giacomini_45.7757_12.6091,Fondazione Ada e Antonio Giacomini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/fondazione_ada_e_antonio_giacomini_45.7757_12.6091.json,custom
45.777030,12.613050,ov_biblioteca_motta_di_livenza_45.7770_12.6130,Biblioteca Motta Di Livenza,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/biblioteca_motta_di_livenza_45.7770_12.6130.json,custom
