# lat,lng,id,name,building_type,type,url,page_type
# Toscolano Maderno -- Tutti
45.649590,10.620604,ov_ospedale_sant_anna_brescia_45.6496_10.6206,Ospedale Sant'anna Brescia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ospedale_santanna_brescia_45.6496_10.6206.json,custom
45.637141,10.600363,ov_ristorante_pizzeria_gatto_giallo_45.6371_10.6004,Ristorante Pizzeria Gatto Giallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_pizzeria_gatto_giallo_45.6371_10.6004.json,custom
45.636268,10.600423,ov_osteria_l_antico_pozzo_45.6363_10.6004,Osteria L'Antico Pozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/osteria_lantico_pozzo_45.6363_10.6004.json,custom
45.635834,10.599015,ov_bar_ristorante_pizzeria_la_bussola_45.6358_10.5990,Bar Ristorante Pizzeria La Bussola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_ristorante_pizzeria_la_bussola_45.6358_10.5990.json,custom
45.636096,10.604257,ov_j_ercolano_45.6361_10.6043,J.ercolano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/jercolano_45.6361_10.6043.json,custom
45.636588,10.608467,ov_cantinone_45.6366_10.6085,Cantinone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/cantinone_45.6366_10.6085.json,custom
45.633752,10.609960,ov_ristorante_pizzeria_orchidea_45.6338_10.6100,Ristorante Pizzeria Orchidea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_pizzeria_orchidea_45.6338_10.6100.json,custom
45.633805,10.601313,ov_osteria_gatto_d_oro_45.6338_10.6013,Osteria Gatto d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/osteria_gatto_doro_45.6338_10.6013.json,custom
45.634930,10.600280,ov_ristobar_le_piante_toscolano_maderno_45.6349_10.6003,RistoBar Le Piante Toscolano Maderno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristobar_le_piante_toscolano_maderno_45.6349_10.6003.json,custom
45.634891,10.600255,ov_il_cortiletto_45.6349_10.6003,Il Cortiletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/il_cortiletto_45.6349_10.6003.json,custom
45.635551,10.601440,ov_myshibuya_sushi_point_45.6356_10.6014,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/myshibuya_sushi_point_45.6356_10.6014.json,custom
45.635295,10.600047,ov_cantinone_45.6353_10.6000,Cantinone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/cantinone_45.6353_10.6000.json,custom
45.635620,10.597255,ov_la_terrazza_sul_lago_45.6356_10.5973,La Terrazza sul Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/la_terrazza_sul_lago_45.6356_10.5973.json,custom
45.634115,10.589916,ov_ristorante_belvedere_45.6341_10.5899,Ristorante Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_belvedere_45.6341_10.5899.json,custom
45.634652,10.591525,ov_rustichel_45.6347_10.5915,Rustichel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/rustichel_45.6347_10.5915.json,custom
45.635745,10.597995,ov_al_folle_45.6357_10.5980,Al Folle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/al_folle_45.6357_10.5980.json,custom
45.635934,10.598648,ov_nappo_45.6359_10.5986,Nappo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/nappo_45.6359_10.5986.json,custom
45.635973,10.597904,ov_la_tana_trattoria_45.6360_10.5979,La Tana trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/la_tana_trattoria_45.6360_10.5979.json,custom
45.644010,10.592540,ov_ristorante_villa_dei_roccoli_45.6440_10.5925,Ristorante Villa Dei Roccoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_villa_dei_roccoli_45.6440_10.5925.json,custom
45.659075,10.616828,ov_agriturismo_scuderia_castello_45.6591_10.6168,Agriturismo Scuderia Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/agriturismo_scuderia_castello_45.6591_10.6168.json,custom
45.655990,10.629352,ov_trattoria_la_sosta_45.6560_10.6294,Trattoria La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/trattoria_la_sosta_45.6560_10.6294.json,custom
45.668497,10.641210,ov_ristorante_al_bertansi_45.6685_10.6412,Ristorante al Bertansi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_al_bertansi_45.6685_10.6412.json,custom
45.634157,10.590085,osm_hotel_villa_trattoria_belvedere_45.6342_10.5901,Hotel Villa Trattoria Belvedere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/hotel_villa_trattoria_belvedere_45.6342_10.5901.json,custom
45.665603,10.644514,osm_bogliaco_golf_resort_srl_45.6656_10.6445,Bogliaco Golf Resort Srl,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bogliaco_golf_resort_srl_45.6656_10.6445.json,custom
45.636008,10.597891,osm_trattoria_la_tana_di_bertella_45.6360_10.5979,Trattoria La Tana Di Bertella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/trattoria_la_tana_di_bertella_45.6360_10.5979.json,custom
45.635846,10.599055,osm_pizzeria_ristorante_la_bussola_45.6358_10.5991,Pizzeria Ristorante La Bussola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/pizzeria_ristorante_la_bussola_45.6358_10.5991.json,custom
45.639165,10.605844,osm_osteria_del_boccondivino_45.6392_10.6058,Osteria del Boccondivino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/osteria_del_boccondivino_45.6392_10.6058.json,custom
45.637128,10.600249,osm_pizzeria_gatto_giallo_45.6371_10.6002,Pizzeria Gatto Giallo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/pizzeria_gatto_giallo_45.6371_10.6002.json,custom
45.652940,10.626413,osm_ristorante_la_macina_45.6529_10.6264,Ristorante La Macina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_la_macina_45.6529_10.6264.json,custom
45.633517,10.610207,osm_ristorante_pizzeria_da_anna_45.6335_10.6102,Ristorante Pizzeria Da Anna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_pizzeria_da_anna_45.6335_10.6102.json,custom
45.634181,10.599653,osm_ristorante_al_miralago_45.6342_10.5997,Ristorante Al Miralago,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_al_miralago_45.6342_10.5997.json,custom
45.635930,10.604236,osm_ristorante_pizzeria_sant_ercolano_45.6359_10.6042,Ristorante Pizzeria Sant'Ercolano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_pizzeria_santercolano_45.6359_10.6042.json,custom
45.668655,10.641284,osm_al_bertans__45.6687_10.6413,Al Bertansì,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/al_bertans_45.6687_10.6413.json,custom
45.655833,10.629407,osm_tratoria_la_sosta_45.6558_10.6294,Tratoria La Sosta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/tratoria_la_sosta_45.6558_10.6294.json,custom
45.640775,10.608512,osm_orus_pizza_kebab_45.6408_10.6085,ORUS Pizza Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/orus_pizza_kebab_45.6408_10.6085.json,custom
45.643712,10.617012,osm_albergo_ristorante_igea_45.6437_10.6170,Albergo Ristorante Igea,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/albergo_ristorante_igea_45.6437_10.6170.json,custom
45.632937,10.606497,osm_albergo_villa_angela_45.6329_10.6065,Albergo Villa Angela,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/albergo_villa_angela_45.6329_10.6065.json,custom
45.643192,10.619459,osm_za_mar_____pasta___pizza_45.6432_10.6195,Za Marì... Pasta & Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/za_mar_pasta_pizza_45.6432_10.6195.json,custom
45.645100,10.616195,osm_hotel_adria_di_garda_e_dintorni_srl_45.6451_10.6162,Hotel Adria Di Garda E Dintorni Srl,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/hotel_adria_di_garda_e_dintorni_srl_45.6451_10.6162.json,custom
45.631392,10.605554,ov_bar_ciringhito_45.6314_10.6056,Bar Ciringhito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_ciringhito_45.6314_10.6056.json,custom
45.654628,10.613696,ov_bar_al_piccolo_45.6546_10.6137,Bar Al Piccolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_al_piccolo_45.6546_10.6137.json,custom
45.641320,10.614760,ov_furious_pub_45.6413_10.6148,Furious PUB,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/furious_pub_45.6413_10.6148.json,custom
45.641932,10.612845,ov_bar_posta_45.6419_10.6128,Bar Posta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_posta_45.6419_10.6128.json,custom
45.642283,10.612298,ov_chiosco_bar_bernini_di_passeri_luca_45.6423_10.6123,Chiosco bar Bernini di Passeri Luca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/chiosco_bar_bernini_di_passeri_luca_45.6423_10.6123.json,custom
45.642443,10.614395,ov_bar_viennese_45.6424_10.6144,Bar Viennese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_viennese_45.6424_10.6144.json,custom
45.642550,10.614776,ov_tabaccheria_genovese_45.6425_10.6148,Tabaccheria Genovese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/tabaccheria_genovese_45.6425_10.6148.json,custom
45.641951,10.609621,ov_deby_bar_45.6420_10.6096,Deby bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/deby_bar_45.6420_10.6096.json,custom
45.641226,10.608683,ov_caff__ponte_vecchio_45.6412_10.6087,Caffè Ponte Vecchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/caff_ponte_vecchio_45.6412_10.6087.json,custom
45.638723,10.603934,ov_bar_piccola_hababa_45.6387_10.6039,Bar Piccola Hababa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_piccola_hababa_45.6387_10.6039.json,custom
45.640187,10.608562,ov_piroka_45.6402_10.6086,Piroka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/piroka_45.6402_10.6086.json,custom
45.640632,10.608506,ov_bar_stazione_45.6406_10.6085,Bar Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_stazione_45.6406_10.6085.json,custom
45.639179,10.607755,ov_b_side_cafe_45.6392_10.6078,B-Side Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/b-side_cafe_45.6392_10.6078.json,custom
45.637562,10.609415,ov_caff__al_centro_45.6376_10.6094,Caffè Al Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/caff_al_centro_45.6376_10.6094.json,custom
45.635835,10.599334,ov_hotion_bar_45.6358_10.5993,Hotion Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/hotion_bar_45.6358_10.5993.json,custom
45.633925,10.599376,ov_bar_gelateria_don_carlos_45.6339_10.5994,Bar Gelateria Don Carlos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_gelateria_don_carlos_45.6339_10.5994.json,custom
45.635526,10.600090,ov_eagle_lounge_bar_45.6355_10.6001,Eagle Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/eagle_lounge_bar_45.6355_10.6001.json,custom
45.635511,10.599640,ov_cafe_centrale_45.6355_10.5996,Cafe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/cafe_centrale_45.6355_10.5996.json,custom
45.633044,10.592138,ov_carta_bianca_45.6330_10.5921,Carta Bianca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/carta_bianca_45.6330_10.5921.json,custom
45.635955,10.598593,ov_plaza_cocktails_45.6360_10.5986,Plaza Cocktails,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/plaza_cocktails_45.6360_10.5986.json,custom
45.637538,10.606061,osm_bar_due_cilindri_45.6375_10.6061,Bar Due Cilindri,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_due_cilindri_45.6375_10.6061.json,custom
45.635575,10.599648,osm_caff__centrale_45.6356_10.5996,Caffè Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/caff_centrale_45.6356_10.5996.json,custom
45.649604,10.604239,osm_bar_al_museo_45.6496_10.6042,Bar al Museo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_al_museo_45.6496_10.6042.json,custom
45.637569,10.609502,osm_caff__al_centro_45.6376_10.6095,Caffé al centro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/caff_al_centro_45.6376_10.6095.json,custom
45.641249,10.609380,osm_ristobar_alle_piante_45.6412_10.6094,Ristobar Alle Piante,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristobar_alle_piante_45.6412_10.6094.json,custom
45.625597,10.584042,ov_studio_romano_pilates_45.6256_10.5840,Studio Romano Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/studio_romano_pilates_45.6256_10.5840.json,custom
45.633300,10.616700,ov_raidho_healing_horses_ita_45.6333_10.6167,Raidho Healing Horses ITA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/raidho_healing_horses_ita_45.6333_10.6167.json,custom
45.637001,10.600322,ov_atlante_retreat_45.6370_10.6003,Atlante Retreat,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/atlante_retreat_45.6370_10.6003.json,custom
45.634427,10.606315,ov_centro_per_la_diffusione_dello_yoga_scuo_45.6344_10.6063,Centro per la Diffusione dello Yoga Scuola di Yoga Integrale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/centro_per_la_diffusione_dello_yoga_scuo_45.6344_10.6063.json,custom
45.635710,10.597410,ov_idea_danza_show_group_45.6357_10.5974,Idea Danza Show Group,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/idea_danza_show_group_45.6357_10.5974.json,custom
45.643286,10.617544,ov_villa_romana_dei_nonii_arrii_45.6433_10.6175,Villa Romana dei Nonii Arrii,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/villa_romana_dei_nonii_arrii_45.6433_10.6175.json,custom
45.640950,10.608520,ov_ecomuseo_valle_delle_cartiere_45.6409_10.6085,Ecomuseo Valle delle Cartiere,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ecomuseo_valle_delle_cartiere_45.6409_10.6085.json,custom
45.637836,10.601433,ov_mu_re__museo_recuperanti_1915_1918_alto__45.6378_10.6014,MU.RE. Museo Recuperanti 1915-1918 Alto Garda Bresciano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/mure_museo_recuperanti_1915-1918_alto_ga_45.6378_10.6014.json,custom
45.649505,10.604130,ov_museo_della_carta_45.6495_10.6041,Museo della Carta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/museo_della_carta_45.6495_10.6041.json,custom
45.641210,10.607770,ov_biblioteca_di_toscolano_maderno_45.6412_10.6078,Biblioteca di Toscolano Maderno,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/biblioteca_di_toscolano_maderno_45.6412_10.6078.json,custom
