# lat,lng,id,name,building_type,type,url,page_type
# Noicattaro -- Tutti
41.039376,16.995692,ov_dott_giovanni_vavalle_41.0394_16.9957,Dott Giovanni Vavalle,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/dott_giovanni_vavalle_41.0394_16.9957.json,custom
41.027413,16.997076,ov_massa_41.0274_16.9971,Massa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/massa_41.0274_16.9971.json,custom
41.029009,16.995242,ov_pizza_party_di_dolmiti_g_ppe_41.0290_16.9952,Pizza Party Di Dolmiti G.ppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pizza_party_di_dolmiti_gppe_41.0290_16.9952.json,custom
41.028661,16.996680,ov_strapizzami_41.0287_16.9967,Strapizzami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/strapizzami_41.0287_16.9967.json,custom
41.075338,16.986296,ov_borgo_regina_41.0753_16.9863,Borgo Regina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/borgo_regina_41.0753_16.9863.json,custom
41.077382,16.997295,ov_braceria_bull_meat_41.0774_16.9973,Braceria Bull Meat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/braceria_bull_meat_41.0774_16.9973.json,custom
41.077419,16.997128,ov_pizzeria_speedy_parchitello_41.0774_16.9971,Pizzeria Speedy Parchitello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pizzeria_speedy_parchitello_41.0774_16.9971.json,custom
41.077639,16.997560,ov_l_opera_41.0776_16.9976,L'Opera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/lopera_41.0776_16.9976.json,custom
41.082480,16.991010,ov_una_regina_eventi_41.0825_16.9910,UNA Regina Eventi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/una_regina_eventi_41.0825_16.9910.json,custom
41.038211,16.984882,osm_puglia_in_pizza_41.0382_16.9849,Puglia In Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/puglia_in_pizza_41.0382_16.9849.json,custom
41.032475,16.984965,ov_bar_pannarale_41.0325_16.9850,Bar Pannarale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/bar_pannarale_41.0325_16.9850.json,custom
41.032330,16.983130,ov_al_123_41.0323_16.9831,Al 123,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/al_123_41.0323_16.9831.json,custom
41.033584,16.988185,ov_galleria_41.0336_16.9882,Galleria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/galleria_41.0336_16.9882.json,custom
41.032999,16.988770,ov_bar_italia_41.0330_16.9888,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/bar_italia_41.0330_16.9888.json,custom
41.033370,16.988980,ov_navi__caff__41.0334_16.9890,NAVI' Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/navi_caff_41.0334_16.9890.json,custom
41.033081,16.993384,ov_mojito___caffe_41.0331_16.9934,Mojito & Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/mojito_caffe_41.0331_16.9934.json,custom
41.031846,16.994695,ov_bar_via_vai_di_scavo_antonio_41.0318_16.9947,Bar Via Vai di Scavo Antonio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/bar_via_vai_di_scavo_antonio_41.0318_16.9947.json,custom
41.033568,16.995166,ov_atlantique_pub_41.0336_16.9952,Atlantique Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/atlantique_pub_41.0336_16.9952.json,custom
41.034915,16.993615,ov_rendez_vous_41.0349_16.9936,Rendez Vous,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/rendez_vous_41.0349_16.9936.json,custom
41.034265,16.990576,ov_bar_nual_41.0343_16.9906,Bar Nual,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/bar_nual_41.0343_16.9906.json,custom
41.035106,16.989769,ov_enoteca_ressa_41.0351_16.9898,Enoteca Ressa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/enoteca_ressa_41.0351_16.9898.json,custom
41.034265,16.988424,ov_la_bottega_del_caffitaly_cialde_e_capsul_41.0343_16.9884,La Bottega del Caffitaly cialde e capsule Noicattaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/la_bottega_del_caffitaly_cialde_e_capsul_41.0343_16.9884.json,custom
41.034688,16.985460,ov_louis_cafe_41.0347_16.9855,Louis Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/louis_cafe_41.0347_16.9855.json,custom
41.035409,16.984050,ov_gorgo_41.0354_16.9840,Gorgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/gorgo_41.0354_16.9840.json,custom
41.035331,16.982882,ov_rose_and_crowns_41.0353_16.9829,Rose and Crowns,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/rose_and_crowns_41.0353_16.9829.json,custom
41.036817,16.988204,ov_cafe_roma_41.0368_16.9882,Cafe Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/cafe_roma_41.0368_16.9882.json,custom
41.036849,16.987751,ov_incontridivini_41.0368_16.9878,Incontridivini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/incontridivini_41.0368_16.9878.json,custom
41.037593,16.992531,ov_cafe_jolie_41.0376_16.9925,Cafe Jolie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/cafe_jolie_41.0376_16.9925.json,custom
41.037693,16.990147,ov_max_cafe_41.0377_16.9901,Max Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/max_cafe_41.0377_16.9901.json,custom
41.038793,16.991998,ov_new_nelson_bar_41.0388_16.9920,New Nelson Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/new_nelson_bar_41.0388_16.9920.json,custom
41.039301,16.993936,ov_pub_revolution_41.0393_16.9939,Pub Revolution,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pub_revolution_41.0393_16.9939.json,custom
41.039170,16.994140,ov_dal__party_location_41.0392_16.9941,DALÍ party location,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/dal_party_location_41.0392_16.9941.json,custom
41.039247,16.991773,ov_la_dolce_vita_noicattaro_41.0392_16.9918,La Dolce Vita Noicattaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/la_dolce_vita_noicattaro_41.0392_16.9918.json,custom
41.040337,16.987563,ov_leonida_41.0403_16.9876,Leonida,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/leonida_41.0403_16.9876.json,custom
41.040495,16.990897,ov_sweet_cafe_41.0405_16.9909,Sweet Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/sweet_cafe_41.0405_16.9909.json,custom
41.040441,16.989715,ov_indivia_caffetteria_41.0404_16.9897,Indivia Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/indivia_caffetteria_41.0404_16.9897.json,custom
41.029144,16.994780,ov_roxy_bar_41.0291_16.9948,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/roxy_bar_41.0291_16.9948.json,custom
41.029808,16.994934,ov_alexander_bar_41.0298_16.9949,Alexander Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/alexander_bar_41.0298_16.9949.json,custom
41.031363,16.996213,ov_the_rock_caffe_41.0314_16.9962,The Rock Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/the_rock_caffe_41.0314_16.9962.json,custom
41.029824,16.987554,ov_barstazione_noicattaro_41.0298_16.9876,BarStazione Noicattaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/barstazione_noicattaro_41.0298_16.9876.json,custom
41.028370,16.992995,ov_maxim_bar_41.0284_16.9930,Maxim bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/maxim_bar_41.0284_16.9930.json,custom
41.027438,16.996934,ov_lab___l_ardito_birraio_41.0274_16.9969,LAB - L'Ardito Birraio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/lab_-_lardito_birraio_41.0274_16.9969.json,custom
41.028389,16.996325,ov_pasticceria_il_piacere_41.0284_16.9963,Pasticceria Il Piacere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pasticceria_il_piacere_41.0284_16.9963.json,custom
41.028385,16.996578,ov_caffeina_lounge_bar_yogurteria_41.0284_16.9966,Caffeina Lounge Bar Yogurteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/caffeina_lounge_bar_yogurteria_41.0284_16.9966.json,custom
41.015000,16.963860,ov_bar_pepukkio_41.0150_16.9639,Bar Pepukkio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/bar_pepukkio_41.0150_16.9639.json,custom
41.038352,16.984875,osm_dal__coffee___drink_41.0384_16.9849,DALÌ Coffee & Drink,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/dal_coffee_drink_41.0384_16.9849.json,custom
41.032323,16.981583,ov_pas_de_deux_41.0323_16.9816,Pas De Deux,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pas_de_deux_41.0323_16.9816.json,custom
41.032151,16.988555,ov_centro_storico_noicattaro_41.0322_16.9886,Centro Storico Noicattaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/centro_storico_noicattaro_41.0322_16.9886.json,custom
41.036698,16.988544,ov_latin_jazz_asd_roccoeclaudia_noicattaro_41.0367_16.9885,Latin Jazz Asd RoccoeClaudia Noicattaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/latin_jazz_asd_roccoeclaudia_noicattaro_41.0367_16.9885.json,custom
41.036629,16.986283,ov_attitude___centro_formazione_danza_e_spe_41.0366_16.9863,Attitude - Centro Formazione Danza e Spettacolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/attitude_-_centro_formazione_danza_e_spe_41.0366_16.9863.json,custom
41.037659,16.988134,ov_scuola_di_danza_in_punta_di_piedi_41.0377_16.9881,Scuola Di Danza In Punta Di Piedi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/scuola_di_danza_in_punta_di_piedi_41.0377_16.9881.json,custom
41.039319,16.992458,ov_new_time_dance_41.0393_16.9925,New Time Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/new_time_dance_41.0393_16.9925.json,custom
41.038243,16.996136,ov_palazzetto_dello_sport_41.0382_16.9961,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/palazzetto_dello_sport_41.0382_16.9961.json,custom
41.030937,16.990862,ov_yoga_alliance_org___yogananda_school_of__41.0309_16.9909,Yoga Alliance.org - Yogananda School of Yoga Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/yoga_allianceorg_-_yogananda_school_of_y_41.0309_16.9909.json,custom
41.030217,16.994634,ov_spazio_fitness_noicattaro_41.0302_16.9946,Spazio Fitness Noicattaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/spazio_fitness_noicattaro_41.0302_16.9946.json,custom
41.028183,16.994608,ov_d_club_my_space_41.0282_16.9946,D.Club My Space,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/dclub_my_space_41.0282_16.9946.json,custom
41.028928,16.996267,ov_birbalandia_41.0289_16.9963,Birbalandia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/birbalandia_41.0289_16.9963.json,custom
41.074625,16.988735,ov_una_fitness_club_41.0746_16.9887,Una Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/una_fitness_club_41.0746_16.9887.json,custom
41.076929,16.998722,ov_benessere_a_parchitello_41.0769_16.9987,Benessere a Parchitello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/benessere_a_parchitello_41.0769_16.9987.json,custom
41.077507,16.997588,ov_muoviti_e_sorridi_41.0775_16.9976,Muoviti e Sorridi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/muoviti_e_sorridi_41.0775_16.9976.json,custom
41.033854,16.988349,ov_presidio_del_libro_noic_ttaro_41.0339_16.9883,Presidio del Libro Noicàttaro,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/presidio_del_libro_noicttaro_41.0339_16.9883.json,custom
41.033750,16.988450,ov_biblioteca_comunale_g__di_vittorio_noic__41.0337_16.9885,Biblioteca Comunale G. Di Vittorio Noicàttaro,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/biblioteca_comunale_g_di_vittorio_noictt_41.0337_16.9885.json,custom
