# lat,lng,id,name,building_type,type,url,page_type
# massa_marittima -- Tutti
43.043157,10.889460,ov_pronto_soccorso_di_massa_marittima_43.0432_10.8895,Pronto Soccorso di Massa Marittima,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/pronto_soccorso_di_massa_marittima_43.0432_10.8895.json,custom
43.084959,10.924483,ov_splifeworld_eshop_43.0850_10.9245,Splifeworld.eshop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/splifeworldeshop_43.0850_10.9245.json,custom
43.083274,10.987602,ov_ristorante_i_tre_archi_43.0833_10.9876,Ristorante I Tre Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ristorante_i_tre_archi_43.0833_10.9876.json,custom
43.084228,10.985610,ov_osteria_bar_il_pianello_43.0842_10.9856,Osteria-Bar Il Pianello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/osteria-bar_il_pianello_43.0842_10.9856.json,custom
42.985700,10.887996,ov_agriturismo_poggio_corbello___weddings___42.9857_10.8880,Agriturismo Poggio Corbello - Weddings & Events,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/agriturismo_poggio_corbello_-_weddings_e_42.9857_10.8880.json,custom
43.226567,10.562270,ov_sassicaia_43.2266_10.5623,Sassicaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/sassicaia_43.2266_10.5623.json,custom
43.034350,10.884925,osm_villa_la_boccia_43.0343_10.8849,Villa la Boccia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/villa_la_boccia_43.0343_10.8849.json,custom
43.050136,10.887798,osm_eredi_vanni_43.0501_10.8878,Eredi Vanni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/eredi_vanni_43.0501_10.8878.json,custom
43.005262,10.851052,osm_il_giardino_dei_medici_43.0053_10.8511,Il Giardino dei Medici,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/il_giardino_dei_medici_43.0053_10.8511.json,custom
43.050505,10.892501,osm_lone_wolf_43.0505_10.8925,Lone Wolf,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/lone_wolf_43.0505_10.8925.json,custom
43.051642,10.890723,osm_trattoria_il_grosso_43.0516_10.8907,Trattoria il Grosso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/trattoria_il_grosso_43.0516_10.8907.json,custom
43.049003,10.889362,osm_le_due_isole_43.0490_10.8894,Le Due Isole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/le_due_isole_43.0490_10.8894.json,custom
43.058487,10.900278,osm_bracali_43.0585_10.9003,Bracali,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/bracali_43.0585_10.9003.json,custom
43.056258,10.902152,osm_da_sbrana_43.0563_10.9022,Da Sbrana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/da_sbrana_43.0563_10.9022.json,custom
43.025590,10.882574,osm_la_rialla_43.0256_10.8826,La Rialla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_rialla_43.0256_10.8826.json,custom
43.048026,10.893744,osm_rosticceria_la_massetana_43.0480_10.8937,Rosticceria La Massetana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/rosticceria_la_massetana_43.0480_10.8937.json,custom
42.997813,10.803860,osm_la_mandriana_42.9978_10.8039,La Mandriana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_mandriana_42.9978_10.8039.json,custom
43.032394,10.888244,osm_pizzeria_trattoria_la_stazione_del_gusto_43.0324_10.8882,Pizzeria Trattoria La Stazione Del Gusto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/pizzeria_trattoria_la_stazione_del_gusto_43.0324_10.8882.json,custom
43.004458,10.850085,ov_lo_sbarello_43.0045_10.8501,Lo sbarello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/lo_sbarello_43.0045_10.8501.json,custom
43.049920,10.887490,ov_bgm_massa_marittima_43.0499_10.8875,BGM Massa Marittima,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/bgm_massa_marittima_43.0499_10.8875.json,custom
43.049006,10.887408,ov_pub_dei_fantasmi_43.0490_10.8874,Pub Dei Fantasmi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/pub_dei_fantasmi_43.0490_10.8874.json,custom
43.048915,10.887420,ov_bar_ex_43.0489_10.8874,BAR EX,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/bar_ex_43.0489_10.8874.json,custom
43.048915,10.887420,ov_stazione_rifornimento_shell_43.0489_10.8874,Stazione Rifornimento Shell,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/stazione_rifornimento_shell_43.0489_10.8874.json,custom
43.048679,10.893735,ov_caffetteria_da_silvia_43.0487_10.8937,Caffetteria da Silvia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/caffetteria_da_silvia_43.0487_10.8937.json,custom
43.049783,10.888774,ov_il_chioschetto_43.0498_10.8888,Il chioschetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/il_chioschetto_43.0498_10.8888.json,custom
43.050359,10.888256,ov_cafe_le_logge_43.0504_10.8883,Cafe Le Logge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/cafe_le_logge_43.0504_10.8883.json,custom
43.050477,10.888395,ov_enoteca_il_bacchino_43.0505_10.8884,Enoteca Il Bacchino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/enoteca_il_bacchino_43.0505_10.8884.json,custom
43.050779,10.888673,ov_truffle_garden_43.0508_10.8887,Truffle Garden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/truffle_garden_43.0508_10.8887.json,custom
43.051512,10.891435,ov_bar_il_gotto_43.0515_10.8914,Bar Il Gotto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/bar_il_gotto_43.0515_10.8914.json,custom
43.051200,10.893530,ov_coming_soon__massa_marittima_43.0512_10.8935,Coming soon. Massa Marittima,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/coming_soon_massa_marittima_43.0512_10.8935.json,custom
43.051535,10.891240,ov_7000_caff__43.0515_10.8912,7000 Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/7000_caff_43.0515_10.8912.json,custom
43.047881,10.890851,ov_il_baracchino_43.0479_10.8909,Il Baracchino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/il_baracchino_43.0479_10.8909.json,custom
43.043152,10.888968,ov_illy_ambarabar_43.0432_10.8890,Illy Ambarabar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/illy_ambarabar_43.0432_10.8890.json,custom
42.975875,10.815679,ov_la_bottega_della_cura_42.9759_10.8157,La Bottega Della Cura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_bottega_della_cura_42.9759_10.8157.json,custom
42.969490,10.828114,ov_terrazza_moris_42.9695_10.8281,Terrazza Moris,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/terrazza_moris_42.9695_10.8281.json,custom
43.049882,10.887491,osm_bike_garage___more_43.0499_10.8875,Bike Garage & More,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/bike_garage_more_43.0499_10.8875.json,custom
43.043276,10.888949,osm_ambarabar_43.0433_10.8889,Ambarabar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ambarabar_43.0433_10.8889.json,custom
43.048825,10.897163,ov_asd_ytaca_centro_yoga_e_benessere_43.0488_10.8972,ASD Ytaca Centro Yoga e Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/asd_ytaca_centro_yoga_e_benessere_43.0488_10.8972.json,custom
43.045153,10.886359,ov_palestra_dinamica_43.0452_10.8864,Palestra Dinamica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/palestra_dinamica_43.0452_10.8864.json,custom
43.003332,10.855819,ov_museo_degli_squali_e_dinosauri_43.0033_10.8558,Museo degli Squali e Dinosauri,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/museo_degli_squali_e_dinosauri_43.0033_10.8558.json,custom
43.050425,10.887747,ov_antica_falegnameria_43.0504_10.8877,Antica Falegnameria,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/antica_falegnameria_43.0504_10.8877.json,custom
43.050017,10.887726,ov_museo_archeologico_giovannangelo_campore_43.0500_10.8877,Museo Archeologico Giovannangelo Camporeale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/museo_archeologico_giovannangelo_campore_43.0500_10.8877.json,custom
43.049888,10.887731,ov_museo_degli_organi_meccanici_antichi_43.0499_10.8877,Museo Degli Organi Meccanici Antichi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/museo_degli_organi_meccanici_antichi_43.0499_10.8877.json,custom
43.049319,10.887715,ov_il_duomo_43.0493_10.8877,Il Duomo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/il_duomo_43.0493_10.8877.json,custom
43.048119,10.888879,ov_museo_della_miniera_43.0481_10.8889,Museo della Miniera,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/museo_della_miniera_43.0481_10.8889.json,custom
43.050043,10.888157,ov_musei_massa_marittima_43.0500_10.8882,Musei Massa Marittima,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/musei_massa_marittima_43.0500_10.8882.json,custom
43.050359,10.888106,ov_piazza_del_duomo_43.0504_10.8881,Piazza Del Duomo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/piazza_del_duomo_43.0504_10.8881.json,custom
43.051354,10.890518,ov_torre_del_candeliere_43.0514_10.8905,Torre del Candeliere,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/torre_del_candeliere_43.0514_10.8905.json,custom
43.051304,10.892558,ov_fondazione_museo_santa_cecilia___museo_d_43.0513_10.8926,Fondazione Museo Santa Cecilia - Museo degli Organi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/fondazione_museo_santa_cecilia_-_museo_d_43.0513_10.8926.json,custom
43.051217,10.893066,ov_complesso_museale_san_pietro_all_orto_43.0512_10.8931,Complesso Museale San Pietro all'Orto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/complesso_museale_san_pietro_allorto_43.0512_10.8931.json,custom
43.052109,10.893787,ov_musei_di_maremma_43.0521_10.8938,Musei di Maremma,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/musei_di_maremma_43.0521_10.8938.json,custom
43.046408,10.885985,ov_comune_di_massa_marittima_43.0464_10.8860,Comune di Massa Marittima,GOVERNMENT,ufficio_pubblico,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/comune_di_massa_marittima_43.0464_10.8860.json,custom
43.051958,10.894196,ov_biblioteca_comunale_gaetano_badii_43.0520_10.8942,Biblioteca Comunale Gaetano Badii,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/biblioteca_comunale_gaetano_badii_43.0520_10.8942.json,custom
43.083340,10.987443,osm_biblioteca_diocesana_43.0833_10.9874,Biblioteca diocesana,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/biblioteca_diocesana_43.0833_10.9874.json,custom
43.052413,10.890021,osm_biblioteca_del_seminario_vescovile_43.0524_10.8900,Biblioteca del Seminario vescovile,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/biblioteca_del_seminario_vescovile_43.0524_10.8900.json,custom
43.052262,10.894082,osm_biblioteca_gaetano_badii_43.0523_10.8941,Biblioteca Gaetano Badii,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/biblioteca_gaetano_badii_43.0523_10.8941.json,custom
