# lat,lng,id,name,building_type,type,url,page_type
# Poggiardo -- Tutti
40.058262,18.374395,ov_ospedale_francesco_pispico_40.0583_18.3744,Ospedale Francesco Pispico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/ospedale_francesco_pispico_40.0583_18.3744.json,custom
40.055685,18.377135,osm_lievito_madre_40.0557_18.3771,Lievito Madre,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/lievito_madre_40.0557_18.3771.json,custom
40.051310,18.384235,osm_tesoretto_40.0513_18.3842,Tesoretto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/tesoretto_40.0513_18.3842.json,custom
40.054125,18.377561,ov_bar_cittadino_40.0541_18.3776,Bar Cittadino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/bar_cittadino_40.0541_18.3776.json,custom
40.053659,18.375935,ov_caff__bovary_40.0537_18.3759,Caffè Bovary,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/caff_bovary_40.0537_18.3759.json,custom
40.053887,18.377618,ov_caffe_italia_40.0539_18.3776,Caffe Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/caffe_italia_40.0539_18.3776.json,custom
40.053232,18.378666,ov_meeting_wine_cafe_40.0532_18.3787,Meeting Wine Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/meeting_wine_cafe_40.0532_18.3787.json,custom
40.053311,18.375550,ov_tirami_40.0533_18.3756,Tirami,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/tirami_40.0533_18.3756.json,custom
40.048386,18.388503,ov_sunset_bar_40.0484_18.3885,Sunset BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/sunset_bar_40.0484_18.3885.json,custom
40.048861,18.385587,ov_energie_40.0489_18.3856,Energie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/energie_40.0489_18.3856.json,custom
40.062178,18.372689,ov_malu_poggiardo_40.0622_18.3727,MALU Poggiardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/malu_poggiardo_40.0622_18.3727.json,custom
40.064092,18.377810,ov_casbah_caf__40.0641_18.3778,Casbah Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/casbah_caf_40.0641_18.3778.json,custom
40.058305,18.374666,ov_bar_moderno_40.0583_18.3747,Bar moderno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/bar_moderno_40.0583_18.3747.json,custom
40.056973,18.376941,ov_bargrande_40.0570_18.3769,BarGrande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/bargrande_40.0570_18.3769.json,custom
40.056884,18.376738,ov_caffe_del_popolo_40.0569_18.3767,Caffe del Popolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/caffe_del_popolo_40.0569_18.3767.json,custom
40.056669,18.376408,ov_la_cisterna_official_40.0567_18.3764,La Cisterna Official,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/la_cisterna_official_40.0567_18.3764.json,custom
40.047385,18.387369,osm_baronale_museum_caf__40.0474_18.3874,Baronale Museum Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/baronale_museum_caf_40.0474_18.3874.json,custom
40.044438,18.360043,ov_billions_games_poggiardo_40.0444_18.3600,Billions Games Poggiardo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/billions_games_poggiardo_40.0444_18.3600.json,custom
40.053458,18.382835,ov_kalimba_studio_dance_40.0535_18.3828,Kalimba Studio Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/kalimba_studio_dance_40.0535_18.3828.json,custom
40.053371,18.383082,ov_futura_training_space_40.0534_18.3831,Futura Training Space,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/futura_training_space_40.0534_18.3831.json,custom
40.052056,18.384132,ov_style_fitness_40.0521_18.3841,Style Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/style_fitness_40.0521_18.3841.json,custom
40.050775,18.382457,ov_new_life_club_40.0508_18.3825,New Life Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/new_life_club_40.0508_18.3825.json,custom
40.050179,18.374217,ov_scuola_di_ballo_cuban_puglia_40.0502_18.3742,Scuola di Ballo Cuban Puglia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/scuola_di_ballo_cuban_puglia_40.0502_18.3742.json,custom
40.050059,18.374564,ov_centro__amrit_40.0501_18.3746,Centro  AMRIT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/centro_amrit_40.0501_18.3746.json,custom
40.059033,18.375242,ov_scuola_di_danza_relev__40.0590_18.3752,Scuola di danza Relevé,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/scuola_di_danza_relev_40.0590_18.3752.json,custom
40.054277,18.383333,ov_museo_della_conchiglia_e_del_corallo_40.0543_18.3833,Museo della Conchiglia e del Corallo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/museo_della_conchiglia_e_del_corallo_40.0543_18.3833.json,custom
40.052685,18.377740,ov_museo_degli_affreschi_della_cripta_di_sa_40.0527_18.3777,Museo degli Affreschi della Cripta di Santa Maria degli Ange,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/museo_degli_affreschi_della_cripta_di_sa_40.0527_18.3777.json,custom
40.047212,18.386830,ov_sistema_museale_vaste_poggiardo_40.0472_18.3868,Sistema Museale Vaste Poggiardo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/sistema_museale_vaste_poggiardo_40.0472_18.3868.json,custom
40.047284,18.387212,ov_museo_archeologico_di_vaste_40.0473_18.3872,Museo Archeologico di Vaste,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/museo_archeologico_di_vaste_40.0473_18.3872.json,custom
