# lat,lng,id,name,building_type,type,url,page_type
# Guastalla -- Tutti
44.919651,10.666966,ov_ospedale_civile_di_guastalla_44.9197_10.6670,Ospedale Civile di Guastalla,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ospedale_civile_di_guastalla_44.9197_10.6670.json,custom
44.917487,10.651158,ov_ristorante_le_vie_del_gusto___guastalla__44.9175_10.6512,Ristorante Le Vie del Gusto · Guastalla (RE),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ristorante_le_vie_del_gusto_guastalla_re_44.9175_10.6512.json,custom
44.913141,10.652485,ov_pizzart_di_carmine_massaro_44.9131_10.6525,PizzArt Di Carmine Massaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/pizzart_di_carmine_massaro_44.9131_10.6525.json,custom
44.914329,10.658207,ov_doppio_zero_44.9143_10.6582,Doppio Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/doppio_zero_44.9143_10.6582.json,custom
44.914014,10.663817,ov_lo_sfizio_di_perulli_raffaele_44.9140_10.6638,Lo Sfizio di Perulli Raffaele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/lo_sfizio_di_perulli_raffaele_44.9140_10.6638.json,custom
44.913151,10.663786,ov_melagusto_44.9132_10.6638,MelaGusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/melagusto_44.9132_10.6638.json,custom
44.911912,10.659889,ov_oceano_poke_guastalla__hawaiian_restaura_44.9119_10.6599,Oceano Poke Guastalla (hawaiian restaurant),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/oceano_poke_guastalla_hawaiian_restauran_44.9119_10.6599.json,custom
44.912221,10.659135,ov_bosi_alberto_44.9122_10.6591,Bosi Alberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bosi_alberto_44.9122_10.6591.json,custom
44.906670,10.658610,ov_coop_44.9067_10.6586,Coop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/coop_44.9067_10.6586.json,custom
44.909069,10.657550,ov_la_mandragola_44.9091_10.6575,La Mandragola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/la_mandragola_44.9091_10.6575.json,custom
44.909662,10.652437,ov_il_nuovo_boccio_44.9097_10.6524,il Nuovo Boccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/il_nuovo_boccio_44.9097_10.6524.json,custom
44.879470,10.672070,ov_bonsai_44.8795_10.6721,Bonsai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bonsai_44.8795_10.6721.json,custom
44.905913,10.662728,ov_stop_and_go_bar_44.9059_10.6627,Stop and Go Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/stop_and_go_bar_44.9059_10.6627.json,custom
44.899244,10.674587,ov_il_sorpasso_44.8992_10.6746,Il Sorpasso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/il_sorpasso_44.8992_10.6746.json,custom
44.925384,10.662215,ov_enoteca_guastalla_cremant___co_44.9254_10.6622,Enoteca Guastalla Cremant & Co,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/enoteca_guastalla_cremant_co_44.9254_10.6622.json,custom
44.931018,10.635468,ov_birreria_la_quadra_44.9310_10.6355,Birreria La Quadra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/birreria_la_quadra_44.9310_10.6355.json,custom
44.919809,10.652288,ov_bar_campanon_44.9198_10.6523,Bar Campanon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bar_campanon_44.9198_10.6523.json,custom
44.923038,10.654369,ov_saini_s_bar_44.9230_10.6544,Saini's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/sainis_bar_44.9230_10.6544.json,custom
44.923707,10.656250,ov_civico_81_44.9237_10.6562,Civico 81,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/civico_81_44.9237_10.6562.json,custom
44.925043,10.662340,ov_sweet___sour_44.9250_10.6623,Sweet & Sour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/sweet_sour_44.9250_10.6623.json,custom
44.923691,10.664378,ov_sottosopra_pub_44.9237_10.6644,SottoSopra Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/sottosopra_pub_44.9237_10.6644.json,custom
44.921275,10.654756,ov_bar_hollywood_44.9213_10.6548,Bar Hollywood,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bar_hollywood_44.9213_10.6548.json,custom
44.919809,10.658279,ov_bar_tabaccheria_chicco_d_oro_44.9198_10.6583,Bar Tabaccheria Chicco D'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bar_tabaccheria_chicco_doro_44.9198_10.6583.json,custom
44.920102,10.655717,ov_bar_dolce_e_amaro_44.9201_10.6557,Bar Dolce e Amaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bar_dolce_e_amaro_44.9201_10.6557.json,custom
44.920230,10.655240,ov_lory_caff__44.9202_10.6552,Lory caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/lory_caff_44.9202_10.6552.json,custom
44.919639,10.654279,ov_bar_antica_caffetteria_44.9196_10.6543,Bar Antica Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bar_antica_caffetteria_44.9196_10.6543.json,custom
44.917983,10.653812,ov_laguna_44.9180_10.6538,Laguna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/laguna_44.9180_10.6538.json,custom
44.913949,10.658063,ov_le_corti_di_aliotti_lina_44.9139_10.6581,Le Corti di Aliotti Lina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/le_corti_di_aliotti_lina_44.9139_10.6581.json,custom
44.912910,10.664057,ov_la_plaza_cafe_44.9129_10.6641,La Plaza Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/la_plaza_cafe_44.9129_10.6641.json,custom
44.911632,10.658083,ov_nuovo_caff___paradiso_44.9116_10.6581,Nuovo caffè  paradiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/nuovo_caff_paradiso_44.9116_10.6581.json,custom
44.910362,10.650479,ov_red_passion_soft_bar_44.9104_10.6505,red passion soft bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/red_passion_soft_bar_44.9104_10.6505.json,custom
44.910670,10.651248,ov_bar_tabacchi_bar_ten_44.9107_10.6512,Bar Tabacchi Bar Ten,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bar_tabacchi_bar_ten_44.9107_10.6512.json,custom
44.910760,10.650007,ov_le_fornaci_caf__44.9108_10.6500,le fornaci cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/le_fornaci_caf_44.9108_10.6500.json,custom
44.870072,10.656049,ov_conca_d_oro_caf__di_calvi_benito_44.8701_10.6560,Conca D'oro Cafè di Calvi Benito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/conca_doro_caf_di_calvi_benito_44.8701_10.6560.json,custom
44.914470,10.668750,ov_milan_club_guastalla_44.9145_10.6687,Milan Club Guastalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/milan_club_guastalla_44.9145_10.6687.json,custom
44.926579,10.656565,ov_t_s_n__sezione_di_guastalla_44.9266_10.6566,T.S.N. Sezione di Guastalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/tsn_sezione_di_guastalla_44.9266_10.6566.json,custom
44.926228,10.656413,ov_a_s_d__lince_44.9262_10.6564,A.S.D. Lince,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/asd_lince_44.9262_10.6564.json,custom
44.922210,10.658320,ov_pecchinistudio_44.9222_10.6583,PecchiniStudio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/pecchinistudio_44.9222_10.6583.json,custom
44.923875,10.655832,ov_spazio_a_centro_artistico_danza_44.9239_10.6558,Spazio A Centro Artistico Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/spazio_a_centro_artistico_danza_44.9239_10.6558.json,custom
44.922899,10.660100,ov_ateneo_del_biliardo_a_s_d__44.9229_10.6601,Ateneo Del Biliardo A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ateneo_del_biliardo_asd_44.9229_10.6601.json,custom
44.921824,10.655648,ov_a_s_d__boxe_guastalla_44.9218_10.6556,A.S.D. Boxe Guastalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/asd_boxe_guastalla_44.9218_10.6556.json,custom
44.920830,10.653913,ov_anima_e_corpo_wellness_center_44.9208_10.6539,Anima e Corpo Wellness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/anima_e_corpo_wellness_center_44.9208_10.6539.json,custom
44.915794,10.650330,ov_franck_fitness_di_francesco_bo_44.9158_10.6503,Franck Fitness di Francesco Bo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/franck_fitness_di_francesco_bo_44.9158_10.6503.json,custom
44.913805,10.661091,ov_naturale_44.9138_10.6611,Naturale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/naturale_44.9138_10.6611.json,custom
44.912932,10.664221,ov_atelier_scuola_di_danza__yoga__pilates_a_44.9129_10.6642,"Atelier Scuola di Danza, Yoga, Pilates a Guastalla, Novellar",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/atelier_scuola_di_danza_yoga_pilates_a_g_44.9129_10.6642.json,custom
44.906486,10.658642,ov_progetto_danza_asd_sede_guastalla_44.9065_10.6586,Progetto Danza ASD Sede Guastalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/progetto_danza_asd_sede_guastalla_44.9065_10.6586.json,custom
44.906428,10.658828,ov_fit_club_guastalla_44.9064_10.6588,Fit Club Guastalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/fit_club_guastalla_44.9064_10.6588.json,custom
44.911370,10.650973,ov_bowling_guastalla_44.9114_10.6510,Bowling Guastalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/bowling_guastalla_44.9114_10.6510.json,custom
44.919720,10.652336,ov_tr_cvca_44.9197_10.6523,TR_CVCA,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/trcvca_44.9197_10.6523.json,custom
44.922515,10.654398,ov_palazzo_ducale_guastalla_44.9225_10.6544,Palazzo Ducale Guastalla,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/palazzo_ducale_guastalla_44.9225_10.6544.json,custom
44.921232,10.652494,ov_biblioteca_comunale_di_palazzo_frattini_44.9212_10.6525,Biblioteca Comunale di Palazzo Frattini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/biblioteca_comunale_di_palazzo_frattini_44.9212_10.6525.json,custom
44.916700,10.650000,ov_biblioteca_frattini__guastalla_44.9167_10.6500,"Biblioteca Frattini, Guastalla",LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/biblioteca_frattini_guastalla_44.9167_10.6500.json,custom
