# lat,lng,id,name,building_type,type,url,page_type
# Borghetto Santo Spirito -- Tutti
44.109827,8.241622,osm_croce_bianca_borghetto_s_s__44.1098_8.2416,Croce Bianca Borghetto S.S.,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/croce_bianca_borghetto_ss_44.1098_8.2416.json,custom
44.110042,8.243705,ov_pat_pizza_44.1100_8.2437,Pat Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/pat_pizza_44.1100_8.2437.json,custom
44.110405,8.244227,ov_gente_di_mare_44.1104_8.2442,Gente Di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/gente_di_mare_44.1104_8.2442.json,custom
44.110947,8.244395,ov_il_grillo_parlante_44.1109_8.2444,Il Grillo Parlante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/il_grillo_parlante_44.1109_8.2444.json,custom
44.110934,8.244292,ov_ristorante_grillo_parlante_44.1109_8.2443,Ristorante Grillo Parlante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/ristorante_grillo_parlante_44.1109_8.2443.json,custom
44.108373,8.241507,ov_trattoria_orazio_44.1084_8.2415,Trattoria Orazio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/trattoria_orazio_44.1084_8.2415.json,custom
44.108560,8.240440,ov_i_figli_del_vesuvio_44.1086_8.2404,I figli del vesuvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/i_figli_del_vesuvio_44.1086_8.2404.json,custom
44.108579,8.240233,ov_le_streghe_44.1086_8.2402,Le Streghe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/le_streghe_44.1086_8.2402.json,custom
44.108172,8.240706,ov_pizzeria_la_borghesina_44.1082_8.2407,Pizzeria La Borghesina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/pizzeria_la_borghesina_44.1082_8.2407.json,custom
44.105994,8.239818,ov_playa_bianca_44.1060_8.2398,Playa Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/playa_bianca_44.1060_8.2398.json,custom
44.112367,8.235337,ov_da_roby_44.1124_8.2353,Da Roby,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/da_roby_44.1124_8.2353.json,custom
44.113275,8.233723,ov_trattoria_la_piola_44.1133_8.2337,Trattoria La Piola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/trattoria_la_piola_44.1133_8.2337.json,custom
44.117762,8.227085,ov_la_sosta_del_gusto_44.1178_8.2271,La Sosta del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/la_sosta_del_gusto_44.1178_8.2271.json,custom
44.117418,8.242603,ov_societ__bar_cin_cin_di_piazza_giuseppe___44.1174_8.2426,Società Bar Cin Cin di Piazza Giuseppe & C. SNC,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/societ_bar_cin_cin_di_piazza_giuseppe_c__44.1174_8.2426.json,custom
44.117846,8.245132,ov_mangia_bevi_44.1178_8.2451,Mangia&Bevi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/mangiabevi_44.1178_8.2451.json,custom
44.113542,8.244800,ov_eich_pizzeria_wine_bar_44.1135_8.2448,Eich Pizzeria Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/eich_pizzeria_wine_bar_44.1135_8.2448.json,custom
44.113921,8.245612,ov_velvet_44.1139_8.2456,Velvet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/velvet_44.1139_8.2456.json,custom
44.114810,8.246520,ov_bistrot_tipota_bar_44.1148_8.2465,Bistrot Tipota Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bistrot_tipota_bar_44.1148_8.2465.json,custom
44.114409,8.246117,ov_colazione_da_fili_44.1144_8.2461,Colazione da Fili,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/colazione_da_fili_44.1144_8.2461.json,custom
44.112332,8.245644,ov_bagni_il_gabbiano___borghetto_santo_spir_44.1123_8.2456,Bagni Il Gabbiano - Borghetto Santo Spirito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bagni_il_gabbiano_-_borghetto_santo_spir_44.1123_8.2456.json,custom
44.112728,8.246032,ov_bagni_bar_ristorante_milly_beach_44.1127_8.2460,Bagni Bar Ristorante Milly Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bagni_bar_ristorante_milly_beach_44.1127_8.2460.json,custom
44.111689,8.245512,ov_bar_italia_44.1117_8.2455,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_italia_44.1117_8.2455.json,custom
44.111447,8.241977,ov_bar_selene_44.1114_8.2420,Bar Selene,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_selene_44.1114_8.2420.json,custom
44.112134,8.242336,ov_bar_flavio_44.1121_8.2423,Bar Flavio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_flavio_44.1121_8.2423.json,custom
44.110283,8.240881,ov_bar_caffeina_44.1103_8.2409,Bar Caffeina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_caffeina_44.1103_8.2409.json,custom
44.109566,8.241974,ov_cafe_caravaggio_44.1096_8.2420,Cafe Caravaggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/cafe_caravaggio_44.1096_8.2420.json,custom
44.109606,8.242205,ov_bar_ponente_44.1096_8.2422,bar ponente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_ponente_44.1096_8.2422.json,custom
44.109724,8.243203,ov_cafe_torino_44.1097_8.2432,Cafe Torino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/cafe_torino_44.1097_8.2432.json,custom
44.110047,8.243672,ov_pub_atlantic_44.1100_8.2437,Pub Atlantic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/pub_atlantic_44.1100_8.2437.json,custom
44.108956,8.240556,ov_bar_caffetteria_maxinin_44.1090_8.2406,Bar Caffetteria Maxinin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_caffetteria_maxinin_44.1090_8.2406.json,custom
44.106770,8.240580,ov_bar__tavola_fredda__paninoteca__44.1068_8.2406,"BAR, Tavola Fredda, Paninoteca.",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_tavola_fredda_paninoteca_44.1068_8.2406.json,custom
44.112375,8.239395,ov_bar_giardini_44.1124_8.2394,Bar Giardini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_giardini_44.1124_8.2394.json,custom
44.113440,8.232870,ov_bar_il_mondo_di_paola_borghetto_s_s__44.1134_8.2329,Bar Il Mondo Di Paola Borghetto S.S.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/bar_il_mondo_di_paola_borghetto_ss_44.1134_8.2329.json,custom
44.114348,8.242620,ov_danza_benessere_44.1143_8.2426,Danza BenEssere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/danza_benessere_44.1143_8.2426.json,custom
44.104024,8.238263,ov_castello_borelli_44.1040_8.2383,Castello Borelli,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/castello_borelli_44.1040_8.2383.json,custom
44.108800,8.241440,ov_sistema_bibliotecario_valle_varatella_44.1088_8.2414,Sistema Bibliotecario Valle Varatella,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/sistema_bibliotecario_valle_varatella_44.1088_8.2414.json,custom
