# lat,lng,id,name,building_type,type,url,page_type
# Crespina Lorenzana -- Tutti
43.536042,10.528437,ov_il_borgo_dei_colori_43.5360_10.5284,Il Borgo dei Colori,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/il_borgo_dei_colori_43.5360_10.5284.json,custom
43.593539,10.556008,ov_tana_del_riccio_43.5935_10.5560,Tana del Riccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/tana_del_riccio_43.5935_10.5560.json,custom
43.618486,10.527139,ov_ristorante_albergo_da_ivo_43.6185_10.5271,Ristorante Albergo da Ivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/ristorante_albergo_da_ivo_43.6185_10.5271.json,custom
43.612036,10.527943,ov_il_sombrero_braceria_ristorante_43.6120_10.5279,Il Sombrero Braceria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/il_sombrero_braceria_ristorante_43.6120_10.5279.json,custom
43.611719,10.527911,ov_il_sobrero_braceria_43.6117_10.5279,Il Sobrero Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/il_sobrero_braceria_43.6117_10.5279.json,custom
43.612393,10.527939,ov_il_vortice_dei_sette_venti_43.6124_10.5279,Il Vortice dei Sette Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/il_vortice_dei_sette_venti_43.6124_10.5279.json,custom
43.606564,10.537727,ov_la_greppia_mangiatoia_43.6066_10.5377,La Greppia Mangiatoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/la_greppia_mangiatoia_43.6066_10.5377.json,custom
43.605648,10.548267,ov_torre_a_cenaia_43.6056_10.5483,Torre a Cenaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/torre_a_cenaia_43.6056_10.5483.json,custom
43.603583,10.538351,ov_le_ricette_di_nonna_lina_43.6036_10.5384,Le ricette di nonna Lina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/le_ricette_di_nonna_lina_43.6036_10.5384.json,custom
43.592202,10.550697,ov_locanda_deni_43.5922_10.5507,Locanda Deni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/locanda_deni_43.5922_10.5507.json,custom
43.543925,10.526874,ov_new_miami_snack_bar___pranzi_da_lavoro_43.5439_10.5269,New Miami Snack Bar | Pranzi da Lavoro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/new_miami_snack_bar_pranzi_da_lavoro_43.5439_10.5269.json,custom
43.543957,10.527291,ov_tegolo_43.5440_10.5273,Tegolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/tegolo_43.5440_10.5273.json,custom
43.572237,10.563732,ov_bar_7000_caffe_di_rossi_valentina_43.5722_10.5637,Bar 7000 Caffe Di Rossi Valentina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/bar_7000_caffe_di_rossi_valentina_43.5722_10.5637.json,custom
43.602643,10.566515,ov_cecia_s_caf__43.6026_10.5665,Cecia's Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/cecias_caf_43.6026_10.5665.json,custom
43.623700,10.529015,ov_bar_sole_43.6237_10.5290,Bar Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/bar_sole_43.6237_10.5290.json,custom
43.623516,10.529030,ov_aima_srl_43.6235_10.5290,AIMA SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/aima_srl_43.6235_10.5290.json,custom
43.622854,10.527238,ov_cafe_maman_43.6229_10.5272,Cafe Maman,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/cafe_maman_43.6229_10.5272.json,custom
43.606657,10.539596,ov_circolo_arci_cenaia_43.6067_10.5396,Circolo Arci Cenaia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/circolo_arci_cenaia_43.6067_10.5396.json,custom
43.606535,10.540470,ov_dams_lounge_caffe_43.6065_10.5405,Dams Lounge Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/dams_lounge_caffe_43.6065_10.5405.json,custom
43.605544,10.549615,ov_piazzetta_pitti_43.6055_10.5496,Piazzetta Pitti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/piazzetta_pitti_43.6055_10.5496.json,custom
43.539241,10.541576,ov_sitaram_43.5392_10.5416,Sitaram,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/sitaram_43.5392_10.5416.json,custom
43.548355,10.519961,ov_palestra_my_life_lorenzana_43.5484_10.5200,Palestra My Life Lorenzana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/palestra_my_life_lorenzana_43.5484_10.5200.json,custom
43.571989,10.566743,ov_campo_sportivo_bolognesi_43.5720_10.5667,Campo Sportivo Bolognesi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/campo_sportivo_bolognesi_43.5720_10.5667.json,custom
43.581952,10.569872,ov_il_vignaccio_horse_ranch_43.5820_10.5699,Il vignaccio horse ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/il_vignaccio_horse_ranch_43.5820_10.5699.json,custom
43.602848,10.566510,ov_a_s_d__ginnastica_tica__43.6028_10.5665,a.s.d. ginnastica tica+,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/asd_ginnastica_tica_43.6028_10.5665.json,custom
43.628231,10.513368,ov_tav_la_torre_43.6282_10.5134,Tav La Torre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/tav_la_torre_43.6282_10.5134.json,custom
43.574140,10.563870,ov_biblioteca_comunale_crespina_lorenzana_43.5741_10.5639,Biblioteca comunale Crespina Lorenzana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/biblioteca_comunale_crespina_lorenzana_43.5741_10.5639.json,custom
43.572196,10.564014,osm_biblioteca_dell_istituto_comprensivo_mar_43.5722_10.5640,Biblioteca dell'Istituto comprensivo Mariti,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/biblioteca_dellistituto_comprensivo_mari_43.5722_10.5640.json,custom
43.536096,10.534480,osm_biblioteca_comunale_di_lorenzana_43.5361_10.5345,Biblioteca comunale di Lorenzana,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/biblioteca_comunale_di_lorenzana_43.5361_10.5345.json,custom
43.574122,10.563845,osm_biblioteca_comunale_di_crespina_43.5741_10.5638,Biblioteca comunale di Crespina,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/biblioteca_comunale_di_crespina_43.5741_10.5638.json,custom
