# lat,lng,id,name,building_type,type,url,page_type
# Kranjska Gora -- Tutti
46.485389,13.782413,ov_zdravstveni_dom_kranjska_gora_46.4854_13.7824,Zdravstveni dom Kranjska Gora,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/zdravstveni_dom_kranjska_gora_46.4854_13.7824.json,custom
46.481331,13.780790,osm_tenis_klub_hotel_kranjska_gora_46.4813_13.7808,Tenis klub Hotel Kranjska Gora,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/tenis_klub_hotel_kranjska_gora_46.4813_13.7808.json,custom
46.496791,13.706199,ov_ponca_46.4968_13.7062,Ponca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/ponca_46.4968_13.7062.json,custom
46.493518,13.757008,ov_from_horse_to_soul____ola_jahanja_46.4935_13.7570,From HORSE To SOUL - šola jahanja,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/from_horse_to_soul_-_ola_jahanja_46.4935_13.7570.json,custom
46.486630,13.785530,ov_yogalishes_z_ano_kersnik__vab_46.4866_13.7855,Yogalishes z Ano Kersnik Žvab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/yogalishes_z_ano_kersnik_vab_46.4866_13.7855.json,custom
46.485054,13.785422,ov_fitnes_center_vitranc_46.4851_13.7854,Fitnes center Vitranc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/fitnes_center_vitranc_46.4851_13.7854.json,custom
46.484730,13.783120,ov_divestrong_slovenia_46.4847_13.7831,Divestrong Slovenia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/divestrong_slovenia_46.4847_13.7831.json,custom
46.486588,13.845194,ov_hvadnik__via_ferrata__46.4866_13.8452,Hvadnik (Via Ferrata),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/hvadnik_via_ferrata_46.4866_13.8452.json,custom
46.458049,13.934639,ov_ferata_mojstrana_46.4580_13.9346,Ferata Mojstrana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/ferata_mojstrana_46.4580_13.9346.json,custom
46.461261,13.941421,ov_planinsko_drustvo_dovje___mojstrana_46.4613_13.9414,Planinsko Drustvo Dovje - Mojstrana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/planinsko_drustvo_dovje_-_mojstrana_46.4613_13.9414.json,custom
46.475366,13.783056,ov_zlatorog_46.4754_13.7831,Zlatorog,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/zlatorog_46.4754_13.7831.json,custom
46.457993,13.936107,ov_slovenski_planinski_muzej_46.4580_13.9361,Slovenski planinski muzej,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/slovenski_planinski_muzej_46.4580_13.9361.json,custom
46.484923,13.782060,osm_po_ta_kranjska_gora_46.4849_13.7821,Pošta Kranjska Gora,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/pota_kranjska_gora_46.4849_13.7821.json,custom
46.485197,13.785343,ov_knji_nica_kranjska_gora_46.4852_13.7853,Knjižnica Kranjska Gora,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/knjinica_kranjska_gora_46.4852_13.7853.json,custom
