# lat,lng,id,name,building_type,type,url,page_type
# Borgo Valsugana -- Tutti
46.056699,11.463626,ov_ospedale_san_lorenzo_46.0567_11.4636,Ospedale San Lorenzo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/ospedale_san_lorenzo_46.0567_11.4636.json,custom
46.002942,11.369093,ov_dall_ersilia__mountain_bistr__46.0029_11.3691,"Dall'Ersilia, Mountain Bistrò",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/dallersilia_mountain_bistr_46.0029_11.3691.json,custom
46.006214,11.380107,ov_ristorante_carlon_46.0062_11.3801,Ristorante Carlon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/ristorante_carlon_46.0062_11.3801.json,custom
46.002880,11.369037,osm_dall_ersilia_46.0029_11.3690,Dall'Ersilia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/dallersilia_46.0029_11.3690.json,custom
46.051839,11.456653,osm_pizzeria_ristorante_vulcano_46.0518_11.4567,Pizzeria Ristorante Vulcano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/pizzeria_ristorante_vulcano_46.0518_11.4567.json,custom
46.054124,11.456587,osm_pizzeria_taverna_roma_46.0541_11.4566,Pizzeria Taverna Roma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/pizzeria_taverna_roma_46.0541_11.4566.json,custom
46.055618,11.463532,osm_ristorante_pizzeria_dolomiti_46.0556_11.4635,Ristorante Pizzeria Dolomiti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/ristorante_pizzeria_dolomiti_46.0556_11.4635.json,custom
46.055505,11.470360,osm_new_vintage_46.0555_11.4704,New vintage,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/new_vintage_46.0555_11.4704.json,custom
46.053866,11.456215,osm_borgo_kebab_46.0539_11.4562,Borgo Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/borgo_kebab_46.0539_11.4562.json,custom
46.053186,11.457120,osm_pizza_al_taglio_titti_46.0532_11.4571,Pizza al Taglio Titti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/pizza_al_taglio_titti_46.0532_11.4571.json,custom
46.054562,11.459362,osm_al_vicolo_46.0546_11.4594,Al Vicolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/al_vicolo_46.0546_11.4594.json,custom
46.053994,11.456655,osm_tajmahal_46.0540_11.4567,Tajmahal,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/tajmahal_46.0540_11.4567.json,custom
46.056560,11.464450,ov_family_caf__46.0566_11.4644,Family Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/family_caf_46.0566_11.4644.json,custom
46.051233,11.463610,ov_bar_amodomio_46.0512_11.4636,Bar Amodomio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/bar_amodomio_46.0512_11.4636.json,custom
46.052731,11.462415,ov_stazione_autocorriere_46.0527_11.4624,Stazione Autocorriere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/stazione_autocorriere_46.0527_11.4624.json,custom
46.056342,11.463820,ov_cream_cafe_46.0563_11.4638,Cream Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/cream_cafe_46.0563_11.4638.json,custom
46.051637,11.456645,ov_bar_vulcano_46.0516_11.4566,Bar vulcano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/bar_vulcano_46.0516_11.4566.json,custom
46.053736,11.455526,ov_bar_cusso_46.0537_11.4555,Bar Cusso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/bar_cusso_46.0537_11.4555.json,custom
46.053208,11.455761,ov_caffe_milano_46.0532_11.4558,Caffe Milano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/caffe_milano_46.0532_11.4558.json,custom
46.053863,11.457099,ov_bar_trento_46.0539_11.4571,Bar Trento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/bar_trento_46.0539_11.4571.json,custom
46.053480,11.457180,ov_zita_winebar_46.0535_11.4572,Zita WineBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/zita_winebar_46.0535_11.4572.json,custom
46.048876,11.447308,ov_birrificio_degli_arimanni_46.0489_11.4473,Birrificio degli Arimanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/birrificio_degli_arimanni_46.0489_11.4473.json,custom
46.053107,11.453415,ov_5_baroni_46.0531_11.4534,5 Baroni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/5_baroni_46.0531_11.4534.json,custom
46.052196,11.450013,ov_fanny_pub_46.0522_11.4500,Fanny Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/fanny_pub_46.0522_11.4500.json,custom
46.052817,11.454498,ov_birreria_absolut_46.0528_11.4545,Birreria Absolut,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/birreria_absolut_46.0528_11.4545.json,custom
46.051230,11.463730,osm_amodomio_46.0512_11.4637,Amodomio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/amodomio_46.0512_11.4637.json,custom
46.053311,11.458087,osm_bar_bianco_caff__pasticceria_da_ivan_46.0533_11.4581,Bar Bianco Caffè pasticceria da Ivan,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/bar_bianco_caff_pasticceria_da_ivan_46.0533_11.4581.json,custom
46.054200,11.458547,osm_caff__del_corso_46.0542_11.4585,Caffè del Corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/caff_del_corso_46.0542_11.4585.json,custom
46.052875,11.454605,osm_birreria_absolut_46.0529_11.4546,Birreria Absolut,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/birreria_absolut_46.0529_11.4546.json,custom
46.053222,11.455792,osm_bar_milano_46.0532_11.4558,Bar Milano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/bar_milano_46.0532_11.4558.json,custom
46.054049,11.456480,osm_caff__roma_46.0540_11.4565,Caffè Roma,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/caff_roma_46.0540_11.4565.json,custom
45.706846,10.765698,ov_waterproofworld_45.7068_10.7657,waterproofworld,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/waterproofworld_45.7068_10.7657.json,custom
46.050837,11.463616,ov_us_borgo_asd_46.0508_11.4636,US Borgo ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/us_borgo_asd_46.0508_11.4636.json,custom
46.056666,11.455343,ov_blooms_dance_studio_46.0567_11.4553,BLOOMS dance studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/blooms_dance_studio_46.0567_11.4553.json,custom
46.040965,11.464170,ov_casa_andriollo___soggettomontagnadonna_46.0410_11.4642,Casa Andriollo - SoggettoMontagnaDonna,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/casa_andriollo_-_soggettomontagnadonna_46.0410_11.4642.json,custom
46.057807,11.459607,ov_castel_telvana_46.0578_11.4596,Castel Telvana,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/castel_telvana_46.0578_11.4596.json,custom
46.053844,11.459309,ov_mostra_permanente_della_grande_guerra_in_46.0538_11.4593,Mostra Permanente della Grande Guerra in Valsugana e sul Lag,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/mostra_permanente_della_grande_guerra_in_46.0538_11.4593.json,custom
46.053328,11.455940,osm_ufficio_postale_borgo_valsugana_46.0533_11.4559,Ufficio Postale Borgo Valsugana,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/ufficio_postale_borgo_valsugana_46.0533_11.4559.json,custom
46.053600,11.459670,ov_biblioteca_di_borgo_valsugana_46.0536_11.4597,Biblioteca di Borgo Valsugana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/biblioteca_di_borgo_valsugana_46.0536_11.4597.json,custom
46.053707,11.461391,osm_biblioteca_comunale_di_borgo_valsugana_46.0537_11.4614,Biblioteca comunale di Borgo Valsugana,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borgo_valsugana/pages/biblioteca_comunale_di_borgo_valsugana_46.0537_11.4614.json,custom
