# lat,lng,id,name,building_type,type,url,page_type
# Verzuolo -- Tutti
44.601832,7.481438,osm_a_s_l__cn1___avis_44.6018_7.4814,A.S.L. CN1 - Avis,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/asl_cn1_-_avis_44.6018_7.4814.json,custom
44.595503,7.482794,ov_sushi_one_verzuolo_44.5955_7.4828,Sushi one Verzuolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/sushi_one_verzuolo_44.5955_7.4828.json,custom
44.595462,7.482698,ov_gui_lin_sushi_bar_ristorante_s_a_s_verzu_44.5955_7.4827,GUI LIN SUSHI-BAR RISTORANTE S.A.S verzuolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/gui_lin_sushi-bar_ristorante_sas_verzuol_44.5955_7.4827.json,custom
44.597478,7.483174,osm_happy_days_44.5975_7.4832,Happy Days,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/happy_days_44.5975_7.4832.json,custom
44.600347,7.480395,osm_ristorante_palazzo_drago_44.6003_7.4804,Ristorante Palazzo Drago,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/ristorante_palazzo_drago_44.6003_7.4804.json,custom
44.598803,7.482764,ov_food___drinks_di_alby_44.5988_7.4828,Food & Drinks di Alby,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/food_drinks_di_alby_44.5988_7.4828.json,custom
44.598375,7.483397,ov_caff__piazza_44.5984_7.4834,Caffè Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/caff_piazza_44.5984_7.4834.json,custom
44.586687,7.483406,ov_bar_dani_44.5867_7.4834,Bar Dani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/bar_dani_44.5867_7.4834.json,custom
44.598796,7.482791,osm_pasticceria_vittone_44.5988_7.4828,Pasticceria Vittone,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/pasticceria_vittone_44.5988_7.4828.json,custom
44.600564,7.482239,osm_caffetteria_quattrogatti_44.6006_7.4822,Caffetteria Quattrogatti,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/caffetteria_quattrogatti_44.6006_7.4822.json,custom
44.602728,7.474380,ov_centro_radha_krishna_yoga_44.6027_7.4744,Centro Radha Krishna Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/centro_radha_krishna_yoga_44.6027_7.4744.json,custom
44.600000,7.483330,ov_sottosopra_44.6000_7.4833,Sottosopra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/sottosopra_44.6000_7.4833.json,custom
44.595175,7.483033,ov_functional_balance_di_jessica_fino_44.5952_7.4830,Functional Balance di Jessica Fino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/functional_balance_di_jessica_fino_44.5952_7.4830.json,custom
44.592588,7.483962,ov_studio_pilates_paolo_tonda_44.5926_7.4840,Studio Pilates Paolo Tonda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/studio_pilates_paolo_tonda_44.5926_7.4840.json,custom
44.592608,7.484141,ov_palestra_elaxtica_44.5926_7.4841,Palestra Elaxtica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/palestra_elaxtica_44.5926_7.4841.json,custom
44.599426,7.483311,ov_biblioteca_pubblica_44.5994_7.4833,biblioteca pubblica,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/biblioteca_pubblica_44.5994_7.4833.json,custom
