# lat,lng,id,name,building_type,type,url,page_type
# Cavriago -- Tutti
44.715768,10.549574,ov_kalua_cafe_44.7158_10.5496,Kalua Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/kalua_cafe_44.7158_10.5496.json,custom
44.690499,10.525040,ov_bocciodromo_44.6905_10.5250,Bocciodromo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/bocciodromo_44.6905_10.5250.json,custom
44.683540,10.522701,ov_asd_ypsilon_arco_club_44.6835_10.5227,ASD Ypsilon Arco Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/asd_ypsilon_arco_club_44.6835_10.5227.json,custom
44.692572,10.530887,ov_studio_policrea_44.6926_10.5309,Studio Policrea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/studio_policrea_44.6926_10.5309.json,custom
44.696272,10.533531,ov_alex_stecchezzini_outdoor_44.6963_10.5335,Alex.stecchezzini.outdoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/alexstecchezzinioutdoor_44.6963_10.5335.json,custom
44.703975,10.530733,ov_cycling_team_cavriago_44.7040_10.5307,Cycling Team Cavriago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/cycling_team_cavriago_44.7040_10.5307.json,custom
44.704621,10.529294,ov_s_c__cavriago_44.7046_10.5293,S.C. Cavriago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/sc_cavriago_44.7046_10.5293.json,custom
44.722252,10.557674,ov_lasergame_revolution___reggio_emilia_44.7223_10.5577,LaserGame Revolution - Reggio Emilia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/lasergame_revolution_-_reggio_emilia_44.7223_10.5577.json,custom
44.693252,10.525200,ov_cimitero_napoleonico_di_cavriago_44.6933_10.5252,Cimitero Napoleonico Di Cavriago,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/cimitero_napoleonico_di_cavriago_44.6933_10.5252.json,custom
44.694291,10.532912,ov_vladimir_i_u__bust_lenin_44.6943_10.5329,Vladimir I.U. Bust Lenin,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/vladimir_iu_bust_lenin_44.6943_10.5329.json,custom
44.713973,10.554372,ov_fondazione_famiglia_sarzi___la_casa_dei__44.7140_10.5544,Fondazione Famiglia Sarzi - La Casa dei Burattini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/fondazione_famiglia_sarzi_-_la_casa_dei__44.7140_10.5544.json,custom
44.694461,10.530064,ov_multiplo_cavriago_44.6945_10.5301,Multiplo Cavriago,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cavriago/pages/multiplo_cavriago_44.6945_10.5301.json,custom
