# lat,lng,id,name,building_type,type,url,page_type
# marino -- Tutti
41.769141,12.668110,ov_ospedale_san_giuseppe_41.7691_12.6681,Ospedale San Giuseppe,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ospedale_san_giuseppe_41.7691_12.6681.json,custom
41.775946,12.610054,ov_cindy_pizzeria_napoletana_41.7759_12.6101,Cindy Pizzeria Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/cindy_pizzeria_napoletana_41.7759_12.6101.json,custom
41.775788,12.610061,ov_grills_41.7758_12.6101,Grills,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/grills_41.7758_12.6101.json,custom
41.775413,12.609077,ov_giardino_della_porchetta_41.7754_12.6091,Giardino della porchetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/giardino_della_porchetta_41.7754_12.6091.json,custom
41.770034,12.608038,ov_mastro_pizza_41.7700_12.6080,Mastro Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/mastro_pizza_41.7700_12.6080.json,custom
41.757728,12.604666,ov_ventiventi_grill_wine_41.7577_12.6047,VentiVenti Grill&Wine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ventiventi_grillwine_41.7577_12.6047.json,custom
41.770413,12.593099,ov_blueat_restaurant___lounge_41.7704_12.5931,Blueat Restaurant & Lounge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/blueat_restaurant_lounge_41.7704_12.5931.json,custom
41.746788,12.618428,ov_da_rosanna_trattoria_pizzeria_41.7468_12.6184,Da Rosanna Trattoria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/da_rosanna_trattoria_pizzeria_41.7468_12.6184.json,custom
41.744918,12.618650,ov_il_pizzaiolo_d_oro_41.7449_12.6186,Il Pizzaiolo d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/il_pizzaiolo_doro_41.7449_12.6186.json,custom
41.741869,12.618311,ov_ristorante_lo_zodiaco_175_41.7419_12.6183,Ristorante Lo Zodiaco 175,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_lo_zodiaco_175_41.7419_12.6183.json,custom
41.744774,12.618877,ov_sushi_izumi_41.7448_12.6189,Sushi Izumi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/sushi_izumi_41.7448_12.6189.json,custom
41.770423,12.618594,ov_ristorante_kotobuki_41.7704_12.6186,Ristorante Kotobuki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_kotobuki_41.7704_12.6186.json,custom
41.767778,12.615956,ov_mcdonald_s_41.7678_12.6160,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/mcdonalds_41.7678_12.6160.json,custom
41.766623,12.616170,ov_da_ciccio_41.7666_12.6162,Da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/da_ciccio_41.7666_12.6162.json,custom
41.765930,12.616430,ov_alice_pizza_41.7659_12.6164,Alice Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/alice_pizza_41.7659_12.6164.json,custom
41.765648,12.616179,ov_burger_king_italia_41.7656_12.6162,Burger King Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/burger_king_italia_41.7656_12.6162.json,custom
41.761328,12.616622,ov_l_oasi_della_pizza_di_nando_e_fiorella_41.7613_12.6166,L'Oasi della Pizza di Nando e Fiorella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/loasi_della_pizza_di_nando_e_fiorella_41.7613_12.6166.json,custom
41.751142,12.619198,ov_trattoria_mario_e_nella_41.7511_12.6192,Trattoria Mario e Nella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/trattoria_mario_e_nella_41.7511_12.6192.json,custom
41.755819,12.617952,ov_osteria_trinca_41.7558_12.6180,Osteria Trinca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/osteria_trinca_41.7558_12.6180.json,custom
41.757904,12.615487,ov_baron_caf__lab_41.7579_12.6155,Baron cafè Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/baron_caf_lab_41.7579_12.6155.json,custom
41.760943,12.614077,ov_pizzeria_dar_parente_41.7609_12.6141,Pizzeria Dar Parente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizzeria_dar_parente_41.7609_12.6141.json,custom
41.760822,12.615881,ov_rock__n__food_barbecue_smoker_41.7608_12.6159,Rock 'n' Food Barbecue Smoker,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/rock_n_food_barbecue_smoker_41.7608_12.6159.json,custom
41.761136,12.614939,ov_l_imbiss_41.7611_12.6149,L'Imbiss,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/limbiss_41.7611_12.6149.json,custom
41.770568,12.614683,ov_casalandia_41.7706_12.6147,Casalandia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/casalandia_41.7706_12.6147.json,custom
41.768060,12.613800,ov_ristorante_regina_viarum_srl_41.7681_12.6138,Ristorante Regina Viarum Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_regina_viarum_srl_41.7681_12.6138.json,custom
41.775817,12.610156,ov_olimpia_mettete_in_pompa_41.7758_12.6102,Olimpia mettete in pompa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/olimpia_mettete_in_pompa_41.7758_12.6102.json,custom
41.775968,12.618746,ov_ristorante_villa_gli_ulivi_41.7760_12.6187,Ristorante Villa Gli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_villa_gli_ulivi_41.7760_12.6187.json,custom
41.777602,12.618387,ov_circolo_vigna_fiorita_41.7776_12.6184,CircoLo Vigna Fiorita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/circolo_vigna_fiorita_41.7776_12.6184.json,custom
41.775176,12.640297,ov_al_casaletto_41.7752_12.6403,Al Casaletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/al_casaletto_41.7752_12.6403.json,custom
41.776385,12.641363,ov_al_paradiso_terrestre_41.7764_12.6414,Al Paradiso Terrestre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/al_paradiso_terrestre_41.7764_12.6414.json,custom
41.772781,12.642169,ov_al_vigneto_41.7728_12.6422,Al Vigneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/al_vigneto_41.7728_12.6422.json,custom
41.771929,12.647182,ov_portale_21_41.7719_12.6472,Portale 21,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/portale_21_41.7719_12.6472.json,custom
41.771130,12.651648,ov_da_marcello_forno_a_legna_41.7711_12.6516,Da Marcello Forno a legna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/da_marcello_forno_a_legna_41.7711_12.6516.json,custom
41.770807,12.653968,ov_nuovo_forno_frezza_41.7708_12.6540,Nuovo Forno Frezza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/nuovo_forno_frezza_41.7708_12.6540.json,custom
41.771238,12.655841,ov_ristorante_cacio_e_pepe_41.7712_12.6558,Ristorante Cacio e Pepe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_cacio_e_pepe_41.7712_12.6558.json,custom
41.770224,12.655801,ov_pizzeria_dell_omminone_41.7702_12.6558,Pizzeria dell'omminone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizzeria_dellomminone_41.7702_12.6558.json,custom
41.768530,12.654973,ov_lanciani_danilo_ajo_oio_e_fantasia_41.7685_12.6550,Lanciani Danilo Ajo Oio e Fantasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/lanciani_danilo_ajo_oio_e_fantasia_41.7685_12.6550.json,custom
41.770489,12.654162,ov_for_de_porta_41.7705_12.6542,For de Porta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/for_de_porta_41.7705_12.6542.json,custom
41.768301,12.651355,ov_ristorante_al_vigneto_di_pecci_maria_lau_41.7683_12.6514,Ristorante al Vigneto di Pecci Maria Laura e C Sas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_al_vigneto_di_pecci_maria_lau_41.7683_12.6514.json,custom
41.762581,12.653126,ov_domus_desideria_41.7626_12.6531,Domus Desideria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/domus_desideria_41.7626_12.6531.json,custom
41.762791,12.652843,ov_bosco_di_marino_41.7628_12.6528,Bosco di Marino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bosco_di_marino_41.7628_12.6528.json,custom
41.763393,12.652113,ov_ristorante_le_botti_41.7634_12.6521,Ristorante Le Botti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_le_botti_41.7634_12.6521.json,custom
41.761442,12.634730,ov_porca_vacca___brace___cucina_casereccia_41.7614_12.6347,Porca Vacca - Brace & Cucina Casereccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/porca_vacca_-_brace_cucina_casereccia_41.7614_12.6347.json,custom
41.864696,12.598360,ov_cer_cla_41.8647_12.5984,Cer Cla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/cer_cla_41.8647_12.5984.json,custom
41.771208,12.682779,ov_i_portici_marino_41.7712_12.6828,I Portici marino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/i_portici_marino_41.7712_12.6828.json,custom
41.766070,12.667983,ov_matsuya_sushi_41.7661_12.6680,Matsuya Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/matsuya_sushi_41.7661_12.6680.json,custom
41.763080,12.672760,ov_ristorante_taus_41.7631_12.6728,Ristorante Taus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_taus_41.7631_12.6728.json,custom
41.762765,12.670713,ov_urbano_viii_41.7628_12.6707,Urbano VIII,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/urbano_viii_41.7628_12.6707.json,custom
41.766408,12.662381,ov_l_insolito_ristorante_41.7664_12.6624,L'insolito Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/linsolito_ristorante_41.7664_12.6624.json,custom
41.766453,12.662352,ov_pizzeria_da_valentina_41.7665_12.6624,Pizzeria Da Valentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizzeria_da_valentina_41.7665_12.6624.json,custom
41.766440,12.662694,ov_ssu_sassu_ssa_41.7664_12.6627,Ssu Sassu Ssa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ssu_sassu_ssa_41.7664_12.6627.json,custom
41.766548,12.662770,ov_moro_s_41.7665_12.6628,Moro's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/moros_41.7665_12.6628.json,custom
41.768371,12.662565,ov_pizza_in_piazza_marino_41.7684_12.6626,Pizza in piazza Marino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizza_in_piazza_marino_41.7684_12.6626.json,custom
41.769039,12.663194,ov_trattoria_er_patata_41.7690_12.6632,Trattoria Er Patata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/trattoria_er_patata_41.7690_12.6632.json,custom
41.768795,12.663009,ov_l_antica_grotta_41.7688_12.6630,L'Antica Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/lantica_grotta_41.7688_12.6630.json,custom
41.768772,12.662956,ov_la_pinseria_41.7688_12.6630,La Pinseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_pinseria_41.7688_12.6630.json,custom
41.768510,12.663857,ov_ristorante_il_boschetto_41.7685_12.6639,Ristorante Il Boschetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_il_boschetto_41.7685_12.6639.json,custom
41.769591,12.663484,ov_miscelato_41.7696_12.6635,Miscelato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/miscelato_41.7696_12.6635.json,custom
41.769652,12.663366,ov_gi_bistrot___cocktail_bar_41.7697_12.6634,Gi Bistrot - Cocktail Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/gi_bistrot_-_cocktail_bar_41.7697_12.6634.json,custom
41.769526,12.660248,ov_pizza_pop_41.7695_12.6602,Pizza Pop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizza_pop_41.7695_12.6602.json,custom
41.769470,12.659842,ov_pizzeria_la_cantina_41.7695_12.6598,Pizzeria La Cantina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizzeria_la_cantina_41.7695_12.6598.json,custom
41.768798,12.661719,ov_avus_41.7688_12.6617,AVUS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/avus_41.7688_12.6617.json,custom
41.768387,12.662007,ov_osteria_veggente_41.7684_12.6620,Osteria Veggente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/osteria_veggente_41.7684_12.6620.json,custom
41.769216,12.658753,ov_forgione_41.7692_12.6588,Forgione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/forgione_41.7692_12.6588.json,custom
41.769437,12.657929,ov_osteria_della_stazione_41.7694_12.6579,Osteria della Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/osteria_della_stazione_41.7694_12.6579.json,custom
41.769365,12.658390,ov_serafino_s_41.7694_12.6584,Serafino's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/serafinos_41.7694_12.6584.json,custom
41.769832,12.657962,ov_er_nasone_41.7698_12.6580,Er Nasone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/er_nasone_41.7698_12.6580.json,custom
41.770027,12.659229,ov_ristorante_pizzeria_all_archetto_41.7700_12.6592,Ristorante Pizzeria All'Archetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_pizzeria_allarchetto_41.7700_12.6592.json,custom
41.769940,12.658730,ov_fraschetta_di_mare_41.7699_12.6587,Fraschetta di mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/fraschetta_di_mare_41.7699_12.6587.json,custom
41.770065,12.658696,ov_porchetta_da_straccaletto_41.7701_12.6587,Porchetta Da Straccaletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/porchetta_da_straccaletto_41.7701_12.6587.json,custom
41.770078,12.658861,ov_ai_quattro_mori_41.7701_12.6589,Ai Quattro Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ai_quattro_mori_41.7701_12.6589.json,custom
41.770176,12.657953,ov_osteria_il_vecchio_carcere_41.7702_12.6580,Osteria Il vecchio carcere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/osteria_il_vecchio_carcere_41.7702_12.6580.json,custom
41.770014,12.657218,ov_il_fratone_41.7700_12.6572,Il Fratone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/il_fratone_41.7700_12.6572.json,custom
41.770717,12.657850,ov_al_cantuccio_41.7707_12.6579,Al Cantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/al_cantuccio_41.7707_12.6579.json,custom
41.770499,12.661032,ov_la_rima_41.7705_12.6610,La Rima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_rima_41.7705_12.6610.json,custom
41.771493,12.657551,ov_cantine_nicolini_srl_41.7715_12.6576,Cantine Nicolini Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/cantine_nicolini_srl_41.7715_12.6576.json,custom
41.771873,12.662803,ov_f_lli_agostinelli_pizzeria_41.7719_12.6628,F.lli Agostinelli Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/flli_agostinelli_pizzeria_41.7719_12.6628.json,custom
41.771703,12.664258,ov_arte_bianca_di_palmucci_mara_41.7717_12.6643,Arte Bianca Di Palmucci Mara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/arte_bianca_di_palmucci_mara_41.7717_12.6643.json,custom
41.770570,12.676553,ov_eriu_s_irish_pub_41.7706_12.6766,Eriu's Irish Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/erius_irish_pub_41.7706_12.6766.json,custom
41.777762,12.591212,osm_la_madre_panza_41.7778_12.5912,La Madre Panza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_madre_panza_41.7778_12.5912.json,custom
41.766470,12.662742,osm_moro_s_ristorante_41.7665_12.6627,Moro's Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/moros_ristorante_41.7665_12.6627.json,custom
41.762839,12.617858,osm_pizzeria_il_canarino_41.7628_12.6179,Pizzeria Il Canarino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizzeria_il_canarino_41.7628_12.6179.json,custom
41.778413,12.639347,osm_cesarino_e_la_perla_41.7784_12.6393,Cesarino e la Perla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/cesarino_e_la_perla_41.7784_12.6393.json,custom
41.771073,12.682848,osm_ristorante_i_portici_41.7711_12.6828,Ristorante I Portici,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_i_portici_41.7711_12.6828.json,custom
41.777970,12.640899,osm_maria_luisa_41.7780_12.6409,Maria Luisa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/maria_luisa_41.7780_12.6409.json,custom
41.761342,12.634962,osm_a_casa_di_mino_41.7613_12.6350,A casa di Mino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/a_casa_di_mino_41.7613_12.6350.json,custom
41.777100,12.592590,ov_il_chiosketto_41.7771_12.5926,Il ChiosKetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/il_chiosketto_41.7771_12.5926.json,custom
41.776471,12.593405,ov_chiosko_novantuno_41.7765_12.5934,Chiosko novantuno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/chiosko_novantuno_41.7765_12.5934.json,custom
41.775778,12.595264,ov_gran_bar_snc_di_bianchini_e_riganelli_41.7758_12.5953,Gran Bar SNC di Bianchini e Riganelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/gran_bar_snc_di_bianchini_e_riganelli_41.7758_12.5953.json,custom
41.773184,12.600055,ov_la_preferita_2_0_bar_pasticceria_41.7732_12.6001,La Preferita 2.0 Bar Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_preferita_20_bar_pasticceria_41.7732_12.6001.json,custom
41.772812,12.600894,ov_bar_centrale_41.7728_12.6009,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_centrale_41.7728_12.6009.json,custom
41.775482,12.602328,ov_bar_mameli_41.7755_12.6023,Bar Mameli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_mameli_41.7755_12.6023.json,custom
41.773614,12.603269,ov_caffetteria_infinity_41.7736_12.6033,Caffetteria Infinity,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/caffetteria_infinity_41.7736_12.6033.json,custom
41.771528,12.603399,ov_sax_bar_41.7715_12.6034,Sax Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/sax_bar_41.7715_12.6034.json,custom
