# lat,lng,id,name,building_type,type,url,page_type
# Marano di Napoli -- Tutti
40.901338,14.179355,ov_assistenza_ospedaliera_napoli_40.9013_14.1794,Assistenza ospedaliera napoli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/assistenza_ospedaliera_napoli_40.9013_14.1794.json,custom
40.902198,14.137190,ov_fish_food_40.9022_14.1372,Fish Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/fish_food_40.9022_14.1372.json,custom
40.901963,14.137531,ov_nicola_ippolito_pizzeria_40.9020_14.1375,Nicola Ippolito Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/nicola_ippolito_pizzeria_40.9020_14.1375.json,custom
40.899380,14.152860,ov_mamma_napoli_40.8994_14.1529,Mamma Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/mamma_napoli_40.8994_14.1529.json,custom
40.899392,14.152551,ov_o__peperoncino_40.8994_14.1526,O' Peperoncino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/o_peperoncino_40.8994_14.1526.json,custom
40.899467,14.152323,ov_mare_in_tavola_40.8995_14.1523,Mare in tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/mare_in_tavola_40.8995_14.1523.json,custom
40.900505,14.149629,ov_bar___pizzeria_shaker_40.9005_14.1496,Bar - Pizzeria Shaker,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/bar_-_pizzeria_shaker_40.9005_14.1496.json,custom
40.897943,14.156413,ov_ristorante_pizzeria_o_giardiniello_40.8979_14.1564,Ristorante Pizzeria O'Giardiniello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_pizzeria_ogiardiniello_40.8979_14.1564.json,custom
40.897782,14.160319,ov_zi_carluccio_40.8978_14.1603,Zi Carluccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/zi_carluccio_40.8978_14.1603.json,custom
40.897070,14.160110,ov_arom__taverna_napoletana_40.8971_14.1601,Aromì Taverna Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/arom_taverna_napoletana_40.8971_14.1601.json,custom
40.895436,14.153178,ov_il_rifugio_del_nonno__terrazza_panoramic_40.8954_14.1532,"Il Rifugio del Nonno, Terrazza Panoramica",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/il_rifugio_del_nonno_terrazza_panoramica_40.8954_14.1532.json,custom
40.896121,14.161892,ov_ristorante_la_famiglia_40.8961_14.1619,Ristorante La Famiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_la_famiglia_40.8961_14.1619.json,custom
40.896580,14.164970,ov_villa_bianchina_40.8966_14.1650,Villa Bianchina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/villa_bianchina_40.8966_14.1650.json,custom
40.896692,14.166809,ov_il_ritrovo_degli_amici_40.8967_14.1668,Il Ritrovo Degli Amici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/il_ritrovo_degli_amici_40.8967_14.1668.json,custom
40.897517,14.168793,ov_polliwood_girarrosto_40.8975_14.1688,Polliwood Girarrosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/polliwood_girarrosto_40.8975_14.1688.json,custom
40.895010,14.180271,ov_da_luca_pizzeria_40.8950_14.1803,Da Luca Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/da_luca_pizzeria_40.8950_14.1803.json,custom
40.895597,14.187511,ov_add_e_guagliun_40.8956_14.1875,Add'e Guagliun,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/adde_guagliun_40.8956_14.1875.json,custom
40.895782,14.187698,ov_christian_s_pizza_40.8958_14.1877,Christian's pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/christians_pizza_40.8958_14.1877.json,custom
40.897614,14.186191,ov_marina_pizza_experience_40.8976_14.1862,Marina Pizza Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/marina_pizza_experience_40.8976_14.1862.json,custom
40.899463,14.177336,ov_villa_bianchina_40.8995_14.1773,Villa Bianchina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/villa_bianchina_40.8995_14.1773.json,custom
40.899560,14.179296,ov_criscito_40.8996_14.1793,Criscito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/criscito_40.8996_14.1793.json,custom
40.899667,14.182535,ov_kaisen_sushi_marano_40.8997_14.1825,Kaisen Sushi Marano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/kaisen_sushi_marano_40.8997_14.1825.json,custom
40.899641,14.182412,ov_barbek__40.8996_14.1824,Barbekù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/barbek_40.8996_14.1824.json,custom
40.898328,14.189023,ov_white_pizza_40.8983_14.1890,White Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/white_pizza_40.8983_14.1890.json,custom
40.899750,14.186820,ov_pizzeria_mamma_mia_40.8997_14.1868,Pizzeria Mamma Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_mamma_mia_40.8997_14.1868.json,custom
40.899316,14.187521,ov_amplifon_corso_umberto_i__marano_di_napo_40.8993_14.1875,"Amplifon Corso Umberto I, Marano di Napoli",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/amplifon_corso_umberto_i_marano_di_napol_40.8993_14.1875.json,custom
40.900652,14.185607,ov_pizzeria_patrizia_40.9007_14.1856,Pizzeria Patrizia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_patrizia_40.9007_14.1856.json,custom
40.902031,14.184152,ov_parrucchiere_futuro_donnacorso_mediterra_40.9020_14.1842,Parrucchiere futuro Donnacorso Mediterraneo 94 Marano Di Nap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/parrucchiere_futuro_donnacorso_mediterra_40.9020_14.1842.json,custom
40.901896,14.184472,ov_a_nepote_d___bersagliera_40.9019_14.1845,A Nepote d'á bersagliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/a_nepote_d_bersagliera_40.9019_14.1845.json,custom
40.901524,14.189964,ov_bar_pasticceria_flora_40.9015_14.1900,Bar Pasticceria Flora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/bar_pasticceria_flora_40.9015_14.1900.json,custom
40.900888,14.178523,ov_ristorante_virgil_van_dijk_40.9009_14.1785,Ristorante Virgil Van Dijk,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_virgil_van_dijk_40.9009_14.1785.json,custom
40.900293,14.174528,ov_flami___burger___pizza_40.9003_14.1745,Flami - Burger & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/flami_-_burger_pizza_40.9003_14.1745.json,custom
40.898724,14.171935,ov_ristorante_baiano_40.8987_14.1719,Ristorante Baiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_baiano_40.8987_14.1719.json,custom
40.899037,14.172642,ov_pescato_ristorante_40.8990_14.1726,Pescato Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pescato_ristorante_40.8990_14.1726.json,custom
40.899080,14.172440,ov_ristorante_la_bianchina_di_carandente_40.8991_14.1724,Ristorante La Bianchina di Carandente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_la_bianchina_di_carandente_40.8991_14.1724.json,custom
40.897940,14.169000,ov_ristorante_e_pizzeria_o__peperoncino_40.8979_14.1690,Ristorante E Pizzeria O' Peperoncino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_e_pizzeria_o_peperoncino_40.8979_14.1690.json,custom
40.903900,14.135544,ov_fattoria_dama_40.9039_14.1355,Fattoria DAMA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/fattoria_dama_40.9039_14.1355.json,custom
40.900979,14.194900,ov_i_segreti_di_pulcinella_40.9010_14.1949,I Segreti di Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/i_segreti_di_pulcinella_40.9010_14.1949.json,custom
40.900107,14.197138,ov_pizzeria_zeroottantuno_40.9001_14.1971,Pizzeria Zeroottantuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_zeroottantuno_40.9001_14.1971.json,custom
40.899880,14.197403,ov_molliche_dal_mondo_40.8999_14.1974,Molliche dal Mondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/molliche_dal_mondo_40.8999_14.1974.json,custom
40.900621,14.191141,ov_salotto_19___pizza___drink_40.9006_14.1911,Salotto 19 - Pizza & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/salotto_19_-_pizza_drink_40.9006_14.1911.json,custom
40.898080,14.192510,ov_magne_e_fuje_marano_40.8981_14.1925,Magne e Fuje Marano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/magne_e_fuje_marano_40.8981_14.1925.json,custom
40.898249,14.196872,ov_ciao_pizza_40.8982_14.1969,Ciao Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ciao_pizza_40.8982_14.1969.json,custom
40.898178,14.199450,ov_giovanni_rovai__passione_norcina_40.8982_14.1994,Giovanni rovai  passione norcina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/giovanni_rovai_passione_norcina_40.8982_14.1994.json,custom
40.899047,14.199160,ov_il_chioschetto_girarrosto_pub_grill_40.8990_14.1992,IL CHIOSCHETTO Girarrosto Pub&Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/il_chioschetto_girarrosto_pubgrill_40.8990_14.1992.json,custom
40.900539,14.200537,ov_dal_ghiottone_40.9005_14.2005,Dal Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/dal_ghiottone_40.9005_14.2005.json,custom
40.898259,14.202641,ov_pizzeria_napoli_punto_e_a_capo_40.8983_14.2026,Pizzeria Napoli Punto e a Capo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_napoli_punto_e_a_capo_40.8983_14.2026.json,custom
40.898400,14.202630,ov_na__voglia_e_purpett__40.8984_14.2026,Na' Voglia E Purpett.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/na_voglia_e_purpett_40.8984_14.2026.json,custom
40.898150,14.201659,ov_volto_santo_40.8982_14.2017,Volto Santo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/volto_santo_40.8982_14.2017.json,custom
40.898090,14.201610,ov_girarrosto___saporito__pollo_cotto_a_leg_40.8981_14.2016,Girarrosto È Saporito  Pollo cotto a legna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/girarrosto_saporito_pollo_cotto_a_legna_40.8981_14.2016.json,custom
40.898081,14.201516,ov_tonbo_takeaway_40.8981_14.2015,TONBO takeaway,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/tonbo_takeaway_40.8981_14.2015.json,custom
40.898075,14.201903,ov_pescheria_gagliotta_40.8981_14.2019,Pescheria Gagliotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pescheria_gagliotta_40.8981_14.2019.json,custom
40.897882,14.201482,ov_la_beccheria_40.8979_14.2015,La Beccheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/la_beccheria_40.8979_14.2015.json,custom
40.898063,14.203305,ov_pizzeria_e_tavola_calda_pizza_e_core_40.8981_14.2033,Pizzeria e Tavola Calda Pizza e Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_e_tavola_calda_pizza_e_core_40.8981_14.2033.json,custom
40.897565,14.204537,ov_pizzeria_gigino__vico_equense_40.8976_14.2045,"Pizzeria Gigino, Vico Equense",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_gigino_vico_equense_40.8976_14.2045.json,custom
40.897819,14.198506,ov_pizzeria_cimmino_40.8978_14.1985,Pizzeria Cimmino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_cimmino_40.8978_14.1985.json,custom
40.897524,14.195249,ov_pizzeria_luna_rossa_di_capuano_mariano_40.8975_14.1952,Pizzeria Luna Rossa di Capuano Mariano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_luna_rossa_di_capuano_mariano_40.8975_14.1952.json,custom
40.897571,14.195417,ov_pizzeria_reginella_40.8976_14.1954,Pizzeria Reginella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_reginella_40.8976_14.1954.json,custom
40.896322,14.190708,ov_vai_mo___pizza___blues__radice_40.8963_14.1907,VAI MO - Pizza & Blues- Radice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/vai_mo_-_pizza_blues-_radice_40.8963_14.1907.json,custom
40.892490,14.203040,ov_pizzeria_da_salvatore_40.8925_14.2030,Pizzeria da salvatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_da_salvatore_40.8925_14.2030.json,custom
40.889678,14.190495,ov_forni_castello_napoli_40.8897_14.1905,Forni Castello Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/forni_castello_napoli_40.8897_14.1905.json,custom
40.889670,14.191350,ov_la_capannina_40.8897_14.1913,La Capannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/la_capannina_40.8897_14.1913.json,custom
40.891503,14.180364,ov_villa_architetto_40.8915_14.1804,Villa Architetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/villa_architetto_40.8915_14.1804.json,custom
40.887011,14.177762,ov_ristorante_cerasella_40.8870_14.1778,Ristorante Cerasella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_cerasella_40.8870_14.1778.json,custom
40.881015,14.184747,ov_la_selva_40.8810_14.1847,La Selva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/la_selva_40.8810_14.1847.json,custom
40.882839,14.185159,ov_il_re_del_pollo_allo_spiedo_40.8828_14.1852,Il Re Del Pollo Allo Spiedo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/il_re_del_pollo_allo_spiedo_40.8828_14.1852.json,custom
40.889869,14.174231,ov_pizzeria_il_torchio_40.8899_14.1742,Pizzeria Il Torchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pizzeria_il_torchio_40.8899_14.1742.json,custom
40.891140,14.173080,ov_green_eden_40.8911_14.1731,Green EDEN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/green_eden_40.8911_14.1731.json,custom
40.873757,14.161318,ov_ristorante_don_antonio_ai_camaldoli_40.8738_14.1613,Ristorante Don Antonio ai Camaldoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_don_antonio_ai_camaldoli_40.8738_14.1613.json,custom
40.876007,14.174914,ov_hamburgeria_el_chapo_40.8760_14.1749,Hamburgeria El Chapo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/hamburgeria_el_chapo_40.8760_14.1749.json,custom
40.875984,14.174918,ov__o_russo_40.8760_14.1749,_o_russo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/orusso_40.8760_14.1749.json,custom
40.875920,14.175330,ov_o__ficciaiuolo_40.8759_14.1753,O' Ficciaiuolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/o_ficciaiuolo_40.8759_14.1753.json,custom
40.875700,14.179810,ov_di_somma_cash___carry_40.8757_14.1798,Di Somma Cash & Carry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/di_somma_cash_carry_40.8757_14.1798.json,custom
40.876094,14.185564,ov_ristorante_pizzeria_la_collina_40.8761_14.1856,Ristorante Pizzeria la Collina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/ristorante_pizzeria_la_collina_40.8761_14.1856.json,custom
40.875847,14.185127,osm_la_collina_pizzeria_40.8758_14.1851,La Collina pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/la_collina_pizzeria_40.8758_14.1851.json,custom
40.899414,14.187229,osm_pocho_burger_40.8994_14.1872,Pocho Burger,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/pocho_burger_40.8994_14.1872.json,custom
40.902240,14.125010,ov_meeting_lounge_bar_40.9022_14.1250,Meeting Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/meeting_lounge_bar_40.9022_14.1250.json,custom
40.902831,14.123549,ov_caffetteria_meeting_fr_lli_d_abbronzo_40.9028_14.1235,Caffetteria MEETING fr.lli D'Abbronzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/caffetteria_meeting_frlli_dabbronzo_40.9028_14.1235.json,custom
40.901582,14.130021,ov_cristal_bar_40.9016_14.1300,Cristal Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/cristal_bar_40.9016_14.1300.json,custom
40.898650,14.123600,ov_biancoro_bar_caffetteria_40.8987_14.1236,BiancOro Bar Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/biancoro_bar_caffetteria_40.8987_14.1236.json,custom
40.901960,14.131250,ov_infinity_risto_pub_40.9020_14.1312,Infinity Risto-Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/infinity_risto-pub_40.9020_14.1312.json,custom
40.902180,14.135510,ov_bar_diamante_40.9022_14.1355,Bar Diamante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/bar_diamante_40.9022_14.1355.json,custom
40.902094,14.136275,ov_caffetteria_savior_40.9021_14.1363,Caffetteria Savior,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/caffetteria_savior_40.9021_14.1363.json,custom
40.901970,14.138407,ov_nicecaf__40.9020_14.1384,Nicecafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/nicecaf_40.9020_14.1384.json,custom
40.898920,14.139400,ov_lord_max___burger___beer___trinity_colle_40.8989_14.1394,Lord Max - Burger & Beer - Trinity College,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/lord_max_-_burger_beer_-_trinity_college_40.8989_14.1394.json,custom
40.898782,14.143780,ov_torre_belvedere___eventi_40.8988_14.1438,Torre Belvedere - Eventi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/torre_belvedere_-_eventi_40.8988_14.1438.json,custom
40.898510,14.143894,ov_trinity_college_irish_pub_40.8985_14.1439,Trinity College Irish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/marano_di_napoli/pages/trinity_college_irish_pub_40.8985_14.1439.json,custom
