# lat,lng,id,name,building_type,type,url,page_type
# trebisacce -- Tutti
39.874280,16.536291,ov_apertura_ospedale_chidichimo_di_trebisac_39.8743_16.5363,Apertura Ospedale Chidichimo di Trebisacce o disertare le ur,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/apertura_ospedale_chidichimo_di_trebisac_39.8743_16.5363.json,custom
39.864846,16.529736,ov_trattoria_del_sole_39.8648_16.5297,Trattoria del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/trattoria_del_sole_39.8648_16.5297.json,custom
39.865145,16.530389,ov_braceria_steakhouse_39.8651_16.5304,Braceria SteakHouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/braceria_steakhouse_39.8651_16.5304.json,custom
39.863262,16.531496,ov_grillo_restaurant_39.8633_16.5315,Grillo Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/grillo_restaurant_39.8633_16.5315.json,custom
39.864834,16.532765,ov_la_rotonda_39.8648_16.5328,La Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/la_rotonda_39.8648_16.5328.json,custom
39.860247,16.529671,ov_mistura_seafood_bar_39.8602_16.5297,Mistura SeaFood Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/mistura_seafood_bar_39.8602_16.5297.json,custom
39.859081,16.512274,ov_il_vecchio_mulino_39.8591_16.5123,Il Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/il_vecchio_mulino_39.8591_16.5123.json,custom
39.871738,16.527541,ov_il_ritrovo_39.8717_16.5275,Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/il_ritrovo_39.8717_16.5275.json,custom
39.871267,16.535982,ov_bistrot_711_39.8713_16.5360,Bistrot 711,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/bistrot_711_39.8713_16.5360.json,custom
39.873029,16.533521,ov_da_mamma_lina_39.8730_16.5335,Da Mamma Lina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/da_mamma_lina_39.8730_16.5335.json,custom
39.872115,16.535072,ov_american_fast_food_beerhouse_39.8721_16.5351,American Fast Food BeerHouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/american_fast_food_beerhouse_39.8721_16.5351.json,custom
39.875136,16.539750,ov_la_bottega_degli_antichi_sapori_39.8751_16.5397,La Bottega degli Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/la_bottega_degli_antichi_sapori_39.8751_16.5397.json,custom
39.875621,16.540236,ov_one_sushi_39.8756_16.5402,One Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/one_sushi_39.8756_16.5402.json,custom
39.884722,16.548281,ov_il_cantuccio_39.8847_16.5483,Il Cantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/il_cantuccio_39.8847_16.5483.json,custom
39.884419,16.548380,ov_ristorante_da_pasquale_piatto_d_oro_39.8844_16.5484,Ristorante da Pasquale Piatto d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/ristorante_da_pasquale_piatto_doro_39.8844_16.5484.json,custom
39.881246,16.545806,ov_ristorante_da_lucrezia_39.8812_16.5458,Ristorante Da Lucrezia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/ristorante_da_lucrezia_39.8812_16.5458.json,custom
39.880986,16.545056,ov_pizzeria_capraro_39.8810_16.5451,Pizzeria Capraro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/pizzeria_capraro_39.8810_16.5451.json,custom
39.880119,16.542989,ov_da_focile_39.8801_16.5430,Da Focile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/da_focile_39.8801_16.5430.json,custom
39.880674,16.542779,ov_pizzeria_da_tony_39.8807_16.5428,Pizzeria da Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/pizzeria_da_tony_39.8807_16.5428.json,custom
39.882848,16.543917,ov_il_giardino_delle_rose_39.8828_16.5439,Il Giardino delle Rose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/il_giardino_delle_rose_39.8828_16.5439.json,custom
39.866096,16.533758,ov_chiosco_pepell_trebisacce_39.8661_16.5338,Chiosco Pepell Trebisacce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/chiosco_pepell_trebisacce_39.8661_16.5338.json,custom
39.865655,16.533273,ov_beat_711_39.8657_16.5333,BeAt 711,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/beat_711_39.8657_16.5333.json,custom
39.869444,16.536016,ov_chiosco_della_gasopola_39.8694_16.5360,Chiosco della gasopola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/chiosco_della_gasopola_39.8694_16.5360.json,custom
39.869158,16.533589,ov_for_example_cocktail_bar_39.8692_16.5336,For Example cocktail BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/for_example_cocktail_bar_39.8692_16.5336.json,custom
39.868764,16.533209,ov_bar_pasticceria_gelateria_de_marco_39.8688_16.5332,Bar Pasticceria Gelateria De Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/bar_pasticceria_gelateria_de_marco_39.8688_16.5332.json,custom
39.868790,16.526610,ov_playa_trebisacce_39.8688_16.5266,Playa Trebisacce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/playa_trebisacce_39.8688_16.5266.json,custom
39.865699,16.529131,ov_donga_lounge_bar_39.8657_16.5291,Donga Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/donga_lounge_bar_39.8657_16.5291.json,custom
39.865990,16.531271,ov_la_tana_del_luppolo_39.8660_16.5313,La Tana del Luppolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/la_tana_del_luppolo_39.8660_16.5313.json,custom
39.865613,16.531851,ov_oasi_360_gradi_39.8656_16.5319,Oasi 360 Gradi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/oasi_360_gradi_39.8656_16.5319.json,custom
39.865092,16.531634,ov_iri_station_cafe_39.8651_16.5316,Iri Station Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/iri_station_cafe_39.8651_16.5316.json,custom
39.864539,16.530924,ov_bar_crema_e_cioccolato_39.8645_16.5309,Bar Crema E Cioccolato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/bar_crema_e_cioccolato_39.8645_16.5309.json,custom
39.864949,16.530134,ov_bar_ricevitoria_l_antico_caff__di_carluc_39.8649_16.5301,Bar Ricevitoria L'Antico Caffè di Carlucci Michele Mario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/bar_ricevitoria_lantico_caff_di_carlucci_39.8649_16.5301.json,custom
39.864892,16.530180,ov_monn_light_caffetteria_paninoteca_39.8649_16.5302,Monn Light Caffetteria Paninoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/monn_light_caffetteria_paninoteca_39.8649_16.5302.json,custom
39.865100,16.529286,ov_officina_del_gusto_39.8651_16.5293,Officina del Gusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/officina_del_gusto_39.8651_16.5293.json,custom
39.863442,16.526201,ov_bar_caff__italiano_39.8634_16.5262,Bar Caffè Italiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/bar_caff_italiano_39.8634_16.5262.json,custom
39.863272,16.531784,ov_carlino_39.8633_16.5318,Carlino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/carlino_39.8633_16.5318.json,custom
39.874194,16.538624,ov_bar_odissea_caffe_39.8742_16.5386,Bar Odissea Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/bar_odissea_caffe_39.8742_16.5386.json,custom
39.870287,16.534865,ov_bar_caffe_impero_39.8703_16.5349,Bar Caffe Impero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/bar_caffe_impero_39.8703_16.5349.json,custom
39.871298,16.535927,ov_zenzero_bistrot_39.8713_16.5359,Zenzero bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/zenzero_bistrot_39.8713_16.5359.json,custom
39.871337,16.534804,ov_m_a_g__caffe_39.8713_16.5348,M.A.G. Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/mag_caffe_39.8713_16.5348.json,custom
39.875538,16.539884,ov_mistura_39.8755_16.5399,Mistura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/mistura_39.8755_16.5399.json,custom
39.879976,16.543466,ov_rimessaggio_barche_marino_asd_il_pescato_39.8800_16.5435,Rimessaggio Barche Marino asd Il Pescatore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/rimessaggio_barche_marino_asd_il_pescato_39.8800_16.5435.json,custom
39.864472,16.524572,ov_hulk_gym_39.8645_16.5246,HULK GYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/hulk_gym_39.8645_16.5246.json,custom
39.874026,16.534732,ov_ng_fitness_39.8740_16.5347,Ng Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/ng_fitness_39.8740_16.5347.json,custom
39.870081,16.526681,ov_accademia_di_danza_bds_39.8701_16.5267,Accademia Di Danza Bds,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/accademia_di_danza_bds_39.8701_16.5267.json,custom
39.869816,16.532248,ov_tiger_gym_39.8698_16.5322,Tiger Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/tiger_gym_39.8698_16.5322.json,custom
39.871332,16.534717,ov_asd_3b_cross_fit_gym_39.8713_16.5347,Asd 3B Cross Fit Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/asd_3b_cross_fit_gym_39.8713_16.5347.json,custom
39.870360,16.537420,ov_tennis_club_alto_jonio_39.8704_16.5374,Tennis Club Alto Jonio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/tennis_club_alto_jonio_39.8704_16.5374.json,custom
39.875995,16.540771,ov_accademia_di_danza_tripodina_39.8760_16.5408,Accademia di danza Tripodina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/accademia_di_danza_tripodina_39.8760_16.5408.json,custom
39.883500,16.547460,ov_new_black_panthers_39.8835_16.5475,New BLACK Panthers,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/new_black_panthers_39.8835_16.5475.json,custom
39.871881,16.535225,osm_palestra_fit_village_evolution_39.8719_16.5352,Palestra fit village evolution,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/trebisacce/pages/palestra_fit_village_evolution_39.8719_16.5352.json,custom
