# lat,lng,id,name,building_type,type,url,page_type
# Barano d'Ischia -- Tutti
40.716690,13.929530,ov_centro_senologico_ischitano_40.7167_13.9295,Centro Senologico Ischitano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/centro_senologico_ischitano_40.7167_13.9295.json,custom
40.703431,13.931871,ov_ristorante_il_nido_del_falco_40.7034_13.9319,Ristorante Il Nido del Falco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_il_nido_del_falco_40.7034_13.9319.json,custom
40.719752,13.933967,ov_ristorante_la_rosa_dei_venti_40.7198_13.9340,Ristorante La Rosa dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_la_rosa_dei_venti_40.7198_13.9340.json,custom
40.729191,13.934377,ov_chalet_winning_life_40.7292_13.9344,Chalet Winning life,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/chalet_winning_life_40.7292_13.9344.json,custom
40.731490,13.932250,ov_la_tavola_allegra__40.7315_13.9322,la_tavola_allegra_,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/latavolaallegra_40.7315_13.9322.json,custom
40.731488,13.930079,ov_la_cantina_del_sargente_40.7315_13.9301,la Cantina del Sargente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/la_cantina_del_sargente_40.7315_13.9301.json,custom
40.731380,13.930900,ov_bellavista_ristorante_pizzeria___ex_piet_40.7314_13.9309,BellaVista Ristorante Pizzeria - ex PietraSalata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/bellavista_ristorante_pizzeria_-_ex_piet_40.7314_13.9309.json,custom
40.715920,13.935130,ov_pietra__salata_40.7159_13.9351,Pietra  Salata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/pietra_salata_40.7159_13.9351.json,custom
40.719542,13.940498,ov_terra_mia_ischia_40.7195_13.9405,Terra Mia Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/terra_mia_ischia_40.7195_13.9405.json,custom
40.699937,13.916570,ov_rena_40.6999_13.9166,Rena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/rena_40.6999_13.9166.json,custom
40.704453,13.918736,ov_bar_gina_40.7045_13.9187,Bar Gina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/bar_gina_40.7045_13.9187.json,custom
40.708974,13.919011,ov_bar_ferrari_2000_40.7090_13.9190,Bar Ferrari 2000,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/bar_ferrari_2000_40.7090_13.9190.json,custom
40.708865,13.919168,ov_bar_sport_40.7089_13.9192,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/bar_sport_40.7089_13.9192.json,custom
40.711363,13.912420,ov_la_cantina_di_nitrodi_40.7114_13.9124,La Cantina di Nitrodi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/la_cantina_di_nitrodi_40.7114_13.9124.json,custom
40.701605,13.911464,ov_libeccio_cafe_40.7016_13.9115,Libeccio Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/libeccio_cafe_40.7016_13.9115.json,custom
40.701620,13.912203,ov_baja_ischia_40.7016_13.9122,Baja Ischia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/baja_ischia_40.7016_13.9122.json,custom
40.700511,13.914624,ov_roy_ischia_40.7005_13.9146,Roy Ischia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/roy_ischia_40.7005_13.9146.json,custom
40.710260,13.927112,ov_bar_toto_40.7103_13.9271,Bar Toto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/bar_toto_40.7103_13.9271.json,custom
40.717150,13.926650,ov_nik_bar_40.7171_13.9267,Nik Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/nik_bar_40.7171_13.9267.json,custom
40.742760,13.949694,ov_bagno_italia_ischia_40.7428_13.9497,Bagno Italia Ischia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/bagno_italia_ischia_40.7428_13.9497.json,custom
40.714505,13.913156,ov_ischia_laser_game_40.7145_13.9132,Ischia Laser Game,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ischia_laser_game_40.7145_13.9132.json,custom
40.705924,13.918500,ov_il_ciliegio_centro_ippico_40.7059_13.9185,IL Ciliegio Centro Ippico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/il_ciliegio_centro_ippico_40.7059_13.9185.json,custom
40.722691,13.929744,ov_torneo_dell_amicizia_isola_d_ischia_40.7227_13.9297,Torneo dell'Amicizia Isola d'Ischia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/torneo_dellamicizia_isola_dischia_40.7227_13.9297.json,custom
40.716511,13.929908,ov_let_s_dance_studio_40.7165_13.9299,Let's Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/lets_dance_studio_40.7165_13.9299.json,custom
40.725744,13.928925,ov_asd_eteam_40.7257_13.9289,ASD ETeam,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/asd_eteam_40.7257_13.9289.json,custom
40.744346,13.938096,ov_palestra_gianni_gym_40.7443_13.9381,Palestra Gianni gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/palestra_gianni_gym_40.7443_13.9381.json,custom
