# lat,lng,id,name,building_type,type,url,page_type
# andalo -- Tutti
46.163770,11.003223,osm_guardia_medica_e_punto_prelievi_46.1638_11.0032,Guardia Medica e Punto Prelievi,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/guardia_medica_e_punto_prelievi_46.1638_11.0032.json,custom
46.163701,11.002650,ov_ristorante_tavel_46.1637_11.0027,Ristorante Tavel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/ristorante_tavel_46.1637_11.0027.json,custom
46.163240,11.002949,ov_pizzeria_ristorante_romantica_46.1632_11.0029,Pizzeria Ristorante Romantica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/pizzeria_ristorante_romantica_46.1632_11.0029.json,custom
46.164807,11.003527,ov_el_volt___delizie_di_montagna_46.1648_11.0035,El Volt - Delizie di Montagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/el_volt_-_delizie_di_montagna_46.1648_11.0035.json,custom
46.166471,11.001264,ov_campo_base_46.1665_11.0013,Campo Base,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/campo_base_46.1665_11.0013.json,custom
46.166327,11.000490,ov_lucin_46.1663_11.0005,Lucin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/lucin_46.1663_11.0005.json,custom
46.164486,10.988018,ov_ristorante_pizzeria_chalet_plan_dei_sarn_46.1645_10.9880,Ristorante Pizzeria Chalet Plan Dei Sarnacli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/ristorante_pizzeria_chalet_plan_dei_sarn_46.1645_10.9880.json,custom
46.164533,11.002836,osm_campo_base_46.1645_11.0028,Campo Base,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/campo_base_46.1645_11.0028.json,custom
46.160207,11.001352,osm_ski_bar_46.1602_11.0014,Ski Bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/ski_bar_46.1602_11.0014.json,custom
46.178790,11.014442,osm_ristorante_pizzeria_al_picchio_rosso_46.1788_11.0144,Ristorante Pizzeria Al picchio rosso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/ristorante_pizzeria_al_picchio_rosso_46.1788_11.0144.json,custom
46.147142,10.997604,ov_baita_lovara_46.1471_10.9976,Baita Lovara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/baita_lovara_46.1471_10.9976.json,custom
46.160201,11.001337,ov_skibar_46.1602_11.0013,Skibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/skibar_46.1602_11.0013.json,custom
46.161509,11.002258,ov_apr_s_ski_piz_46.1615_11.0023,Après Ski Piz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/aprs_ski_piz_46.1615_11.0023.json,custom
46.161615,11.002135,ov_pizzeria___ristorante_laghet_46.1616_11.0021,Pizzeria & Ristorante Laghet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/pizzeria_ristorante_laghet_46.1616_11.0021.json,custom
46.163701,11.003609,ov_chalet_tower_pub_46.1637_11.0036,Chalet Tower Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/chalet_tower_pub_46.1637_11.0036.json,custom
46.164698,11.003351,ov_caffe_centrale_46.1647_11.0034,Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/caffe_centrale_46.1647_11.0034.json,custom
46.164620,11.003047,ov_bar_pasticceria_ginepro_46.1646_11.0030,Bar Pasticceria Ginepro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/bar_pasticceria_ginepro_46.1646_11.0030.json,custom
46.167620,11.004290,ov_dolci_note_bar_pasticceria_gelateria_46.1676_11.0043,Dolci Note Bar Pasticceria Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/dolci_note_bar_pasticceria_gelateria_46.1676_11.0043.json,custom
46.167803,11.004485,ov_chalet_plan_dei_sarnacli_46.1678_11.0045,Chalet Plan dei Sarnacli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/chalet_plan_dei_sarnacli_46.1678_11.0045.json,custom
46.161593,11.002266,osm_apres_ski_piz___pub_al_laghet_46.1616_11.0023,Apres ski Piz - Pub Al Laghet,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/apres_ski_piz_-_pub_al_laghet_46.1616_11.0023.json,custom
46.164279,11.003575,osm_caff__vienna_46.1643_11.0036,Caffè Vienna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/caff_vienna_46.1643_11.0036.json,custom
46.171905,11.004264,ov_centro_equitazione_andalo_46.1719_11.0043,Centro Equitazione Andalo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/centro_equitazione_andalo_46.1719_11.0043.json,custom
46.171518,11.003756,ov_palestra_di_roccia_arrampicata_outdoor_a_46.1715_11.0038,Palestra di Roccia Arrampicata Outdoor Andalo Life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/palestra_di_roccia_arrampicata_outdoor_a_46.1715_11.0038.json,custom
46.171272,11.005940,ov_centro_sportivo_andalo_46.1713_11.0059,Centro Sportivo Andalo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/centro_sportivo_andalo_46.1713_11.0059.json,custom
46.163698,11.005530,ov_rentandgo_andalo_46.1637_11.0055,Rentandgo Andalo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/rentandgo_andalo_46.1637_11.0055.json,custom
46.163103,11.005615,ov_flyhub___paragliding_shop___check_center_46.1631_11.0056,FlyHub - Paragliding Shop & Check Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/flyhub_-_paragliding_shop_check_center_46.1631_11.0056.json,custom
46.161365,11.007805,ov_scuola_sci_kristal_46.1614_11.0078,Scuola sci Kristal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/scuola_sci_kristal_46.1614_11.0078.json,custom
46.160938,11.001954,ov_campo_scuola_laghet_46.1609_11.0020,Campo Scuola Laghet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/campo_scuola_laghet_46.1609_11.0020.json,custom
46.163775,11.004688,ov_paganella_ski_style_46.1638_11.0047,Paganella Ski Style,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/paganella_ski_style_46.1638_11.0047.json,custom
46.164999,11.003678,ov_scuola_italiana_sci___snowboard_kristal__46.1650_11.0037,Scuola Italiana Sci & Snowboard Kristal Andalo Paganella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/scuola_italiana_sci_snowboard_kristal_an_46.1650_11.0037.json,custom
46.164833,11.003787,ov_scuola_italiana_sci_e_snow_paganella_pra_46.1648_11.0038,Scuola Italiana Sci e Snow Paganella-Pradel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/scuola_italiana_sci_e_snow_paganella-pra_46.1648_11.0038.json,custom
46.163682,10.987760,ov_sarnacli_mountain_park_46.1637_10.9878,Sarnacli Mountain Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/sarnacli_mountain_park_46.1637_10.9878.json,custom
46.164099,10.987959,ov_andalo_madonna_di_loreto_46.1641_10.9880,Andalo Madonna di Loreto,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/andalo_madonna_di_loreto_46.1641_10.9880.json,custom
46.149826,10.996772,ov_il_biblioigloo_46.1498_10.9968,Il BiblioIgloo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/il_biblioigloo_46.1498_10.9968.json,custom
46.163938,11.003199,ov_biblioteca_intercomunale_46.1639_11.0032,Biblioteca Intercomunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/biblioteca_intercomunale_46.1639_11.0032.json,custom
46.165029,11.003658,ov_biblioteca_intercomunale_46.1650_11.0037,Biblioteca Intercomunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/biblioteca_intercomunale_46.1650_11.0037.json,custom
