# lat,lng,id,name,building_type,type,url,page_type
# terralba -- Tutti
39.717362,8.643160,ov_studio_ortopedico___dott__alessandro_mel_39.7174_8.6432,Studio Ortopedico - Dott. Alessandro Melis,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/studio_ortopedico_-_dott_alessandro_meli_39.7174_8.6432.json,custom
39.720341,8.636617,ov_pizzeria_biancu_e_arrubiu_39.7203_8.6366,Pizzeria Biancu e Arrubiu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pizzeria_biancu_e_arrubiu_39.7203_8.6366.json,custom
39.721394,8.636129,ov_vesuvio_terralba_39.7214_8.6361,Vesuvio Terralba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/vesuvio_terralba_39.7214_8.6361.json,custom
39.723128,8.636235,ov_lo_spizzico_39.7231_8.6362,Lo Spizzico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/lo_spizzico_39.7231_8.6362.json,custom
39.721278,8.635052,ov_la_musa_pizzeria_terralba_39.7213_8.6351,La Musa Pizzeria Terralba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/la_musa_pizzeria_terralba_39.7213_8.6351.json,custom
39.719702,8.633557,ov_pizzeria_torky_39.7197_8.6336,Pizzeria Torky,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pizzeria_torky_39.7197_8.6336.json,custom
39.726386,8.629769,ov_cibo_quibo_39.7264_8.6298,Cibo Quibo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/cibo_quibo_39.7264_8.6298.json,custom
39.717894,8.627114,ov_antichi_sapori_sardi_39.7179_8.6271,Antichi Sapori Sardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/antichi_sapori_sardi_39.7179_8.6271.json,custom
39.716730,8.627620,ov_trigufood_truck_39.7167_8.6276,Trigufood truck,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/trigufood_truck_39.7167_8.6276.json,custom
39.718191,8.632949,ov_l_antica_ricetta_39.7182_8.6329,L'Antica Ricetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/lantica_ricetta_39.7182_8.6329.json,custom
39.718434,8.639419,ov_sa_cabixetta_trattoria_39.7184_8.6394,Sa Cabixetta Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/sa_cabixetta_trattoria_39.7184_8.6394.json,custom
39.730668,8.661157,ov_picho_s_gastrobar_39.7307_8.6612,Picho's Gastrobar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pichos_gastrobar_39.7307_8.6612.json,custom
39.717989,8.632858,osm_murphy_s_pub_borgo_antico_39.7180_8.6329,Murphy's Pub Borgo Antico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/murphys_pub_borgo_antico_39.7180_8.6329.json,custom
39.720679,8.641951,osm_pizze_pazze_39.7207_8.6420,Pizze pazze,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pizze_pazze_39.7207_8.6420.json,custom
39.724148,8.638430,osm_la_lanterna_trattoria_pizzeria_39.7241_8.6384,la Lanterna Trattoria Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/la_lanterna_trattoria_pizzeria_39.7241_8.6384.json,custom
39.721300,8.635067,osm_pizzeria_la_musa_39.7213_8.6351,Pizzeria La Musa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pizzeria_la_musa_39.7213_8.6351.json,custom
39.724008,8.636745,osm_pizzeria_di_mura_39.7240_8.6367,Pizzeria Di Mura,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pizzeria_di_mura_39.7240_8.6367.json,custom
39.720398,8.636625,osm_biancu_e_arrubiu_39.7204_8.6366,Biancu e Arrubiu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/biancu_e_arrubiu_39.7204_8.6366.json,custom
39.720916,8.640124,osm_ali_baba_kebab_39.7209_8.6401,Ali Baba Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ali_baba_kebab_39.7209_8.6401.json,custom
39.724138,8.638417,ov_bar_pizzeria_bisteccheria_caf__caprice_39.7241_8.6384,Bar Pizzeria Bisteccheria Cafè Caprice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/bar_pizzeria_bisteccheria_caf_caprice_39.7241_8.6384.json,custom
39.721260,8.637941,ov_little_bar_snc_39.7213_8.6379,Little Bar Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/little_bar_snc_39.7213_8.6379.json,custom
39.721345,8.638077,ov_l__altro_39.7213_8.6381,L' Altro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/l_altro_39.7213_8.6381.json,custom
39.720015,8.636573,ov_unique_terralba_39.7200_8.6366,Unique Terralba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/unique_terralba_39.7200_8.6366.json,custom
39.719998,8.636649,ov_bar_bill_bo_terralba_39.7200_8.6366,Bar Bill Bo Terralba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/bar_bill_bo_terralba_39.7200_8.6366.json,custom
39.719626,8.635493,ov_zanzi_s_bar_39.7196_8.6355,Zanzi's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/zanzis_bar_39.7196_8.6355.json,custom
39.722813,8.637051,ov_chiosco_kennedy_39.7228_8.6371,Chiosco Kennedy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/chiosco_kennedy_39.7228_8.6371.json,custom
39.723145,8.635758,ov_cafe_numero_5_39.7231_8.6358,Cafe Numero 5,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/cafe_numero_5_39.7231_8.6358.json,custom
39.724831,8.632471,ov_planet_caf__39.7248_8.6325,Planet Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/planet_caf_39.7248_8.6325.json,custom
39.724243,8.633509,ov_sala_slot_vlt_montecarlo___terralba_39.7242_8.6335,Sala Slot VLT Montecarlo - Terralba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/sala_slot_vlt_montecarlo_-_terralba_39.7242_8.6335.json,custom
39.725304,8.631106,ov_bar_dello_sport_39.7253_8.6311,Bar Dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/bar_dello_sport_39.7253_8.6311.json,custom
39.718032,8.632956,ov_murphy_s_pub_borgo_antico_39.7180_8.6330,Murphy's Pub Borgo Antico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/murphys_pub_borgo_antico_39.7180_8.6330.json,custom
39.718690,8.645929,ov_ary_caf__39.7187_8.6459,Ary Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ary_caf_39.7187_8.6459.json,custom
39.721780,8.636472,osm_the_brazen_head_39.7218_8.6365,The Brazen Head,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/the_brazen_head_39.7218_8.6365.json,custom
39.724111,8.638365,osm_caf__caprice_39.7241_8.6384,Café Caprice,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/caf_caprice_39.7241_8.6384.json,custom
39.721239,8.637878,osm_little_bar_39.7212_8.6379,Little Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/little_bar_39.7212_8.6379.json,custom
39.722178,8.637590,osm_bar_mario_39.7222_8.6376,Bar Mario,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/bar_mario_39.7222_8.6376.json,custom
39.723483,8.637083,osm_libreria_caffetteria_dorian_gray_39.7235_8.6371,Libreria Caffetteria Dorian Gray,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/libreria_caffetteria_dorian_gray_39.7235_8.6371.json,custom
39.719333,8.635425,osm_zanzibar_39.7193_8.6354,Zanzibar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/zanzibar_39.7193_8.6354.json,custom
39.718690,8.645929,osm_ary_bar_caf__39.7187_8.6459,Ary Bar café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ary_bar_caf_39.7187_8.6459.json,custom
39.723168,8.636229,osm_enocentrico___enoteca_wine_bar_39.7232_8.6362,Enocentrico - Enoteca Wine Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/enocentrico_-_enoteca_wine_bar_39.7232_8.6362.json,custom
39.721410,8.637976,osm_l_altro_bar_39.7214_8.6380,L'Altro Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/laltro_bar_39.7214_8.6380.json,custom
39.723039,8.635661,osm_caf__n__5_39.7230_8.6357,Cafè n. 5,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/caf_n_5_39.7230_8.6357.json,custom
39.724725,8.638226,osm_sa_mendula_39.7247_8.6382,Sa Mendula,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/sa_mendula_39.7247_8.6382.json,custom
39.719917,8.636627,osm_bar_bill_bo_39.7199_8.6366,Bar Bill Bo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/bar_bill_bo_39.7199_8.6366.json,custom
39.721041,8.507355,ov_arennera_laguna_experience_39.7210_8.5074,Arennera Laguna Experience,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/arennera_laguna_experience_39.7210_8.5074.json,custom
39.723430,8.635600,ov_ssd_kinetik_lab_39.7234_8.6356,Ssd Kinetik•lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ssd_kinetiklab_39.7234_8.6356.json,custom
39.719370,8.638100,ov_circolo_snooker_39.7194_8.6381,Circolo Snooker,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/circolo_snooker_39.7194_8.6381.json,custom
39.721181,8.637873,ov_gymnasium_sport_39.7212_8.6379,Gymnasium Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/gymnasium_sport_39.7212_8.6379.json,custom
39.724689,8.634329,ov_ds_training_center_39.7247_8.6343,DS Training Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ds_training_center_39.7247_8.6343.json,custom
39.727342,8.628407,ov_edition_fitness_asd_39.7273_8.6284,Edition Fitness ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/edition_fitness_asd_39.7273_8.6284.json,custom
39.714978,8.610792,ov_il_regno_dei_cavalli_39.7150_8.6108,Il Regno dei Cavalli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/il_regno_dei_cavalli_39.7150_8.6108.json,custom
39.716830,8.644250,ov_sahara_asd_39.7168_8.6442,Sahara ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/sahara_asd_39.7168_8.6442.json,custom
39.721679,8.638223,osm_palestra_giant_s_club_39.7217_8.6382,Palestra Giant's Club,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/palestra_giants_club_39.7217_8.6382.json,custom
39.719041,8.635682,ov_museo_del_contadino_39.7190_8.6357,Museo del Contadino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/museo_del_contadino_39.7190_8.6357.json,custom
39.723009,8.636828,osm_poste_italiane_39.7230_8.6368,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/poste_italiane_39.7230_8.6368.json,custom
39.720194,8.635286,ov_biblioteca_comunale_di_terralba_39.7202_8.6353,Biblioteca Comunale di Terralba,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/biblioteca_comunale_di_terralba_39.7202_8.6353.json,custom
39.724730,8.635237,osm_biblioteca_comunale___archivio_storico_c_39.7247_8.6352,Biblioteca comunale - Archivio Storico Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/biblioteca_comunale_-_archivio_storico_c_39.7247_8.6352.json,custom
