# lat,lng,id,name,building_type,type,url,page_type
# santantimo -- Tutti
40.940425,14.233251,ov_igea_s__antimo_srl_40.9404_14.2333,Igea S. Antimo SRL,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/igea_s_antimo_srl_40.9404_14.2333.json,custom
40.939830,14.219510,ov_puok_40.9398_14.2195,Puok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/puok_40.9398_14.2195.json,custom
40.940823,14.219507,ov_k_kaiseki_sushi_restaurant_40.9408_14.2195,K-Kaiseki Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/k-kaiseki_sushi_restaurant_40.9408_14.2195.json,custom
40.942880,14.219905,ov_pizza___moustaches_by_aniello_musella_40.9429_14.2199,Pizza & Moustaches by Aniello Musella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/pizza_moustaches_by_aniello_musella_40.9429_14.2199.json,custom
40.944943,14.216660,ov_hi_p_tv_40.9449_14.2167,Hiệp TV,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/hip_tv_40.9449_14.2167.json,custom
40.946300,14.216923,ov_golding_club_40.9463_14.2169,Golding club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/golding_club_40.9463_14.2169.json,custom
40.949535,14.217191,ov_il_cigno_nero_bistrot_40.9495_14.2172,Il Cigno Nero Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/il_cigno_nero_bistrot_40.9495_14.2172.json,custom
40.947534,14.234888,ov_cornetteria_amma_fa_e_tarantella_40.9475_14.2349,Cornetteria Amma Fa e Tarantella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/cornetteria_amma_fa_e_tarantella_40.9475_14.2349.json,custom
40.950100,14.234260,ov_bella_pizza_cesa_40.9501_14.2343,Bella Pizza Cesa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/bella_pizza_cesa_40.9501_14.2343.json,custom
40.950213,14.234210,ov_pizzeria_bella_pizza_40.9502_14.2342,Pizzeria Bella Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/pizzeria_bella_pizza_40.9502_14.2342.json,custom
40.953176,14.234911,ov_o_scugnizz_40.9532_14.2349,O'Scugnizz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/oscugnizz_40.9532_14.2349.json,custom
40.946167,14.225913,ov_capperi_la_palma_40.9462_14.2259,Capperi La Palma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/capperi_la_palma_40.9462_14.2259.json,custom
40.944604,14.230734,ov_fanti_pizza_verace_40.9446_14.2307,Fanti Pizza Verace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/fanti_pizza_verace_40.9446_14.2307.json,custom
40.942899,14.233541,ov_pizza_e_spuntini_40.9429_14.2335,Pizza e Spuntini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/pizza_e_spuntini_40.9429_14.2335.json,custom
40.938830,14.237076,ov_la_conchiglia_pescheria_40.9388_14.2371,La Conchiglia Pescheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/la_conchiglia_pescheria_40.9388_14.2371.json,custom
40.939676,14.235680,ov_il_re_dello_street_food_40.9397_14.2357,Il Re Dello Street Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/il_re_dello_street_food_40.9397_14.2357.json,custom
40.942032,14.236704,ov_antico_bar_gelo_40.9420_14.2367,Antico Bar Gelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/antico_bar_gelo_40.9420_14.2367.json,custom
40.943034,14.236970,ov_punto_gusto_40.9430_14.2370,Punto Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/punto_gusto_40.9430_14.2370.json,custom
40.943124,14.234195,ov_the_rebirth_40.9431_14.2342,The rebirth,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/the_rebirth_40.9431_14.2342.json,custom
40.943054,14.237547,ov_apollo_il_pollo_40.9431_14.2375,Apollo il Pollo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/apollo_il_pollo_40.9431_14.2375.json,custom
40.941413,14.237442,ov_panificio_rescigno_sant_antimo_40.9414_14.2374,Panificio Rescigno Sant’Antimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/panificio_rescigno_santantimo_40.9414_14.2374.json,custom
40.944820,14.242859,ov_la_nuova_metafora_40.9448_14.2429,La Nuova Metafora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/la_nuova_metafora_40.9448_14.2429.json,custom
40.939155,14.242768,ov_pizzeria_partenopea_40.9392_14.2428,Pizzeria Partenopea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/pizzeria_partenopea_40.9392_14.2428.json,custom
40.938925,14.243727,osm_pizzeria_partenopea_40.9389_14.2437,Pizzeria Partenopea,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/pizzeria_partenopea_40.9389_14.2437.json,custom
40.928781,14.226196,ov_pappacchione_pub_40.9288_14.2262,Pappacchione Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/pappacchione_pub_40.9288_14.2262.json,custom
40.930978,14.232970,ov_iter1_0_40.9310_14.2330,Iter1.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/iter10_40.9310_14.2330.json,custom
40.928931,14.226390,ov_wine_house_40.9289_14.2264,Wine House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/wine_house_40.9289_14.2264.json,custom
40.935850,14.225580,ov_frizzybar_tabacchi_40.9359_14.2256,FrizzyBar&Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/frizzybartabacchi_40.9359_14.2256.json,custom
40.933364,14.234858,ov_bar_eiffel_40.9334_14.2349,Bar Eiffel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/bar_eiffel_40.9334_14.2349.json,custom
40.932957,14.234692,ov_caffe__del_rio_40.9330_14.2347,Caffe' Del Rio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caffe_del_rio_40.9330_14.2347.json,custom
40.932264,14.234592,ov_lucky_pub_40.9323_14.2346,Lucky Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/lucky_pub_40.9323_14.2346.json,custom
40.932267,14.233483,ov_carpe_diem_40.9323_14.2335,CARPE DIEM,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/carpe_diem_40.9323_14.2335.json,custom
40.931699,14.234796,ov_caffe_marano_40.9317_14.2348,Caffe Marano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caffe_marano_40.9317_14.2348.json,custom
40.935497,14.237078,ov_angel_s_caffe_40.9355_14.2371,Angel's Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/angels_caffe_40.9355_14.2371.json,custom
40.935389,14.235132,ov_sama_bar_40.9354_14.2351,SAMA bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/sama_bar_40.9354_14.2351.json,custom
40.935385,14.235198,ov_caf__cento7_40.9354_14.2352,Cafè Cento7,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caf_cento7_40.9354_14.2352.json,custom
40.936654,14.235483,ov_chips_gold_40.9367_14.2355,Chips Gold,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/chips_gold_40.9367_14.2355.json,custom
40.936617,14.235561,ov_bar_mirella_tabaccheria_40.9366_14.2356,Bar Mirella Tabaccheria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/bar_mirella_tabaccheria_40.9366_14.2356.json,custom
40.937143,14.235666,ov_civico_66_glamour_cafe_40.9371_14.2357,Civico 66 Glamour Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/civico_66_glamour_cafe_40.9371_14.2357.json,custom
40.939830,14.219510,ov_piano_b_40.9398_14.2195,PIANO B,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/piano_b_40.9398_14.2195.json,custom
40.944100,14.219350,ov_bar_de_roma_40.9441_14.2194,BAR De ROMA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/bar_de_roma_40.9441_14.2194.json,custom
40.946708,14.220150,ov_carpe_diem_40.9467_14.2201,Carpe Diem,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/carpe_diem_40.9467_14.2201.json,custom
40.949173,14.217908,ov_fashion_caffe_40.9492_14.2179,Fashion Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/fashion_caffe_40.9492_14.2179.json,custom
40.954699,14.232844,ov_sunny_cafe_40.9547_14.2328,Sunny cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/sunny_cafe_40.9547_14.2328.json,custom
40.951134,14.234003,ov_caffetteria_michelangelo_40.9511_14.2340,Caffetteria Michelangelo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caffetteria_michelangelo_40.9511_14.2340.json,custom
40.953289,14.234927,ov_caffetteria_e_pasticceria_giada_40.9533_14.2349,Caffetteria e Pasticceria Giada,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caffetteria_e_pasticceria_giada_40.9533_14.2349.json,custom
40.943267,14.233477,ov_caffetteria_volpe_40.9433_14.2335,Caffetteria Volpe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caffetteria_volpe_40.9433_14.2335.json,custom
40.942390,14.233330,ov_britsh_caf__40.9424_14.2333,Britsh Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/britsh_caf_40.9424_14.2333.json,custom
40.940573,14.225296,ov_my_dream_cafe_40.9406_14.2253,My Dream Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/my_dream_cafe_40.9406_14.2253.json,custom
40.939546,14.233389,ov_primus_caf__40.9395_14.2334,Primus Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/primus_caf_40.9395_14.2334.json,custom
40.938321,14.233333,ov_art_caffe_40.9383_14.2333,Art Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/art_caffe_40.9383_14.2333.json,custom
40.939468,14.237229,ov_bar_imperial_40.9395_14.2372,Bar Imperial,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/bar_imperial_40.9395_14.2372.json,custom
40.941656,14.236992,ov_bar_fantasy_40.9417_14.2370,Bar Fantasy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/bar_fantasy_40.9417_14.2370.json,custom
40.943102,14.236456,ov_caff__repubblica_40.9431_14.2365,Caffè Repubblica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caff_repubblica_40.9431_14.2365.json,custom
40.942997,14.238145,ov_caffetteria_comella_40.9430_14.2381,Caffetteria Comella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caffetteria_comella_40.9430_14.2381.json,custom
40.943012,14.237322,ov_bar_scipione_di_russo_armando_40.9430_14.2373,Bar Scipione Di Russo Armando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/bar_scipione_di_russo_armando_40.9430_14.2373.json,custom
40.942040,14.242530,ov_caff__d_oro_40.9420_14.2425,Caffè D’Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/caff_doro_40.9420_14.2425.json,custom
40.929361,14.225931,ov_up_level_40.9294_14.2259,UP Level,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/up_level_40.9294_14.2259.json,custom
40.936216,14.222508,ov_a_s_d__pt_revolution_40.9362_14.2225,A.S.D. PT Revolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/asd_pt_revolution_40.9362_14.2225.json,custom
40.930300,14.237110,ov_albero_della_vita_ippoterapia_40.9303_14.2371,Albero Della Vita ippoterapia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/albero_della_vita_ippoterapia_40.9303_14.2371.json,custom
40.947366,14.220153,ov_sporting_palace_40.9474_14.2202,Sporting Palace,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/sporting_palace_40.9474_14.2202.json,custom
40.948645,14.239933,ov_accademia_art_ballet_40.9486_14.2399,Accademia Art Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/accademia_art_ballet_40.9486_14.2399.json,custom
40.938637,14.220700,ov_fitactive_sant_antimo_40.9386_14.2207,FitActive Sant'Antimo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/fitactive_santantimo_40.9386_14.2207.json,custom
40.937639,14.237675,ov_centro_studi_danza_la_peri_40.9376_14.2377,Centro Studi Danza La Peri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/centro_studi_danza_la_peri_40.9376_14.2377.json,custom
40.939342,14.240503,ov_videogames_67_40.9393_14.2405,Videogames 67,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/videogames_67_40.9393_14.2405.json,custom
40.945212,14.235380,ov_asd_paintball_sant_antimo_40.9452_14.2354,ASD Paintball Sant'antimo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/asd_paintball_santantimo_40.9452_14.2354.json,custom
40.946479,14.248521,ov_palapuca_40.9465_14.2485,PalaPuca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/palapuca_40.9465_14.2485.json,custom
40.943973,14.235472,ov_biblioteca_comunale_di_sant_antimo_40.9440_14.2355,Biblioteca comunale di Sant'Antimo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santantimo/pages/biblioteca_comunale_di_santantimo_40.9440_14.2355.json,custom
