# lat,lng,id,name,building_type,type,url,page_type
# Bovisio Masciago -- Tutti
45.605904,9.150247,ov_ecografia_bovisio_masciago___mb_45.6059_9.1502,Ecografia Bovisio Masciago - MB,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/ecografia_bovisio_masciago_-_mb_45.6059_9.1502.json,custom
45.607982,9.150101,ov_officina_della_pizza_45.6080_9.1501,Officina della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/officina_della_pizza_45.6080_9.1501.json,custom
45.606930,9.150210,ov_challenger_pizzeria__anche_al_trancio____45.6069_9.1502,"Challenger Pizzeria, anche al Trancio - Bovisio Masciago",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/challenger_pizzeria_anche_al_trancio_-_b_45.6069_9.1502.json,custom
45.607035,9.150394,ov_pizzeria_360_gradi___bovisio_masciago_45.6070_9.1504,Pizzeria 360 gradi - Bovisio Masciago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizzeria_360_gradi_-_bovisio_masciago_45.6070_9.1504.json,custom
45.607450,9.157640,ov_spazio_26_loft_45.6075_9.1576,Spazio 26 Loft,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/spazio_26_loft_45.6075_9.1576.json,custom
45.606687,9.146495,ov_claudio_s_ristorante_pizzeria_45.6067_9.1465,Claudio'S Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/claudios_ristorante_pizzeria_45.6067_9.1465.json,custom
45.606638,9.146946,ov_pizzeria_rizzo_45.6066_9.1469,Pizzeria Rizzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizzeria_rizzo_45.6066_9.1469.json,custom
45.605935,9.145491,ov_al_ghiottone_45.6059_9.1455,Al Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/al_ghiottone_45.6059_9.1455.json,custom
45.604360,9.142186,ov_wellsushi_bovisio_masciago_45.6044_9.1422,Wellsushi Bovisio Masciago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/wellsushi_bovisio_masciago_45.6044_9.1422.json,custom
45.604342,9.145506,ov_vip_pizzeria_napoletana_e_gluten_free_45.6043_9.1455,VIP Pizzeria Napoletana e Gluten Free,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/vip_pizzeria_napoletana_e_gluten_free_45.6043_9.1455.json,custom
45.604500,9.145480,ov_club_dubai_milano_vip_45.6045_9.1455,Club Dubai Milano vip,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/club_dubai_milano_vip_45.6045_9.1455.json,custom
45.605146,9.146843,ov_cao_s_grill_45.6051_9.1468,Cao's Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/caos_grill_45.6051_9.1468.json,custom
45.602596,9.143915,ov_voyage_sushi_45.6026_9.1439,Voyage Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/voyage_sushi_45.6026_9.1439.json,custom
45.601172,9.146764,ov_garden_bistrot_45.6012_9.1468,Garden Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/garden_bistrot_45.6012_9.1468.json,custom
45.600500,9.146086,ov_pizzeria_il_poeta_45.6005_9.1461,Pizzeria Il Poeta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizzeria_il_poeta_45.6005_9.1461.json,custom
45.599493,9.145432,ov_arigato_45.5995_9.1454,Arigato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/arigato_45.5995_9.1454.json,custom
45.599084,9.145347,ov_il_poss_45.5991_9.1453,Il Poss,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/il_poss_45.5991_9.1453.json,custom
45.600292,9.146987,ov_piadineria_rimini_rimini_45.6003_9.1470,Piadineria Rimini Rimini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/piadineria_rimini_rimini_45.6003_9.1470.json,custom
45.600375,9.145874,ov_goat_bistrot_45.6004_9.1459,Goat bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/goat_bistrot_45.6004_9.1459.json,custom
45.613899,9.138726,ov_pizzeria_da_gimma_45.6139_9.1387,Pizzeria Da Gimma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizzeria_da_gimma_45.6139_9.1387.json,custom
45.613306,9.140715,ov_grappomagno_45.6133_9.1407,Grappomagno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/grappomagno_45.6133_9.1407.json,custom
45.613830,9.147140,ov_ristorante_pizzeria_la_piazzetta_45.6138_9.1471,Ristorante Pizzeria La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/ristorante_pizzeria_la_piazzetta_45.6138_9.1471.json,custom
45.614550,9.147470,ov_dumplingbar_bovisiomasciago_45.6146_9.1475,DumplingBar-BovisioMasciago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/dumplingbar-bovisiomasciago_45.6146_9.1475.json,custom
45.614966,9.147158,ov_borriello_pizza___cucina_45.6150_9.1472,Borriello Pizza & Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/borriello_pizza_cucina_45.6150_9.1472.json,custom
45.615353,9.147204,ov_apollo_rosticceria_greca_45.6154_9.1472,Apollo Rosticceria Greca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/apollo_rosticceria_greca_45.6154_9.1472.json,custom
45.616742,9.147977,ov_arigat__fusion_restaurant_45.6167_9.1480,Arigatò Fusion Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/arigat_fusion_restaurant_45.6167_9.1480.json,custom
45.608334,9.163432,ov_zio_pizza_45.6083_9.1634,Zio Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/zio_pizza_45.6083_9.1634.json,custom
45.613670,9.162561,ov_la_piadineria_45.6137_9.1626,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/la_piadineria_45.6137_9.1626.json,custom
45.614278,9.166709,ov_ristorante_casablanca_cucina_tipica_maro_45.6143_9.1667,Ristorante Casablanca Cucina Tipica Marocchina Aperto Pranzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/ristorante_casablanca_cucina_tipica_maro_45.6143_9.1667.json,custom
45.612474,9.167677,ov_new_pinaus_45.6125_9.1677,New pinaus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/new_pinaus_45.6125_9.1677.json,custom
45.602642,9.143827,osm_la_fabbrica_dei_sapori_45.6026_9.1438,La fabbrica dei sapori,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/la_fabbrica_dei_sapori_45.6026_9.1438.json,custom
45.609153,9.153904,osm_brianza_bakery_45.6092_9.1539,Brianza Bakery,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/brianza_bakery_45.6092_9.1539.json,custom
45.614243,9.166737,osm_casablanca_45.6142_9.1667,Casablanca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/casablanca_45.6142_9.1667.json,custom
45.607100,9.145589,ov_argot48_bistrot_45.6071_9.1456,Argot48 Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/argot48_bistrot_45.6071_9.1456.json,custom
45.613048,9.140995,ov_valemanu_cafe_45.6130_9.1410,Valemanu Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/valemanu_cafe_45.6130_9.1410.json,custom
45.612891,9.141069,ov_bar_della__stazione_45.6129_9.1411,Bar Della  Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/bar_della_stazione_45.6129_9.1411.json,custom
45.612276,9.144971,ov_tropical_bar_45.6123_9.1450,Tropical Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/tropical_bar_45.6123_9.1450.json,custom
45.608528,9.152581,ov_ado_cafe_45.6085_9.1526,Ado Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/ado_cafe_45.6085_9.1526.json,custom
45.608017,9.150451,ov_my_kids__cafe_45.6080_9.1505,My Kids' Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/my_kids_cafe_45.6080_9.1505.json,custom
45.605623,9.146090,ov_bar_fratello_45.6056_9.1461,Bar Fratello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/bar_fratello_45.6056_9.1461.json,custom
45.604980,9.141922,ov_mr_cooper_caffe_45.6050_9.1419,Mr Cooper Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/mr_cooper_caffe_45.6050_9.1419.json,custom
45.599127,9.145333,ov_heigun_45.5991_9.1453,Heigun,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/heigun_45.5991_9.1453.json,custom
45.613769,9.139971,ov_bar_piazzetta_posta_45.6138_9.1400,Bar Piazzetta Posta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/bar_piazzetta_posta_45.6138_9.1400.json,custom
45.614210,9.147610,ov_bernini_caf__45.6142_9.1476,Bernini Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/bernini_caf_45.6142_9.1476.json,custom
45.615539,9.146737,ov_my_bar_45.6155_9.1467,MY BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/my_bar_45.6155_9.1467.json,custom
45.618403,9.137634,ov_bar_tre_rose_45.6184_9.1376,Bar Tre rose,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/bar_tre_rose_45.6184_9.1376.json,custom
45.612381,9.161235,ov_bar_jolly_blue_45.6124_9.1612,Bar Jolly Blue,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/bar_jolly_blue_45.6124_9.1612.json,custom
45.612474,9.167610,ov_meco_caf__45.6125_9.1676,MECO Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/meco_caf_45.6125_9.1676.json,custom
45.604925,9.141993,osm_mr__cooper_caf__45.6049_9.1420,Mr. Cooper Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/mr_cooper_caf_45.6049_9.1420.json,custom
45.612399,9.167525,osm_pinaus_45.6124_9.1675,Pinaus,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pinaus_45.6124_9.1675.json,custom
45.610456,9.144454,ov_palestra_polifunzionale_45.6105_9.1445,Palestra Polifunzionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/palestra_polifunzionale_45.6105_9.1445.json,custom
45.610692,9.147004,ov_accademia_artedanza_45.6107_9.1470,Accademia Artedanza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/accademia_artedanza_45.6107_9.1470.json,custom
45.612346,9.159228,ov_emerald_gym_project_asd_ets_45.6123_9.1592,Emerald Gym Project Asd Ets,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/emerald_gym_project_asd_ets_45.6123_9.1592.json,custom
45.611371,9.154879,ov_cai_valle_del_seveso_45.6114_9.1549,CAI Valle del Seveso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/cai_valle_del_seveso_45.6114_9.1549.json,custom
45.609151,9.153678,ov_sanasnella___dimagrimento_e_rimodellamen_45.6092_9.1537,Sanasnella - Dimagrimento e rimodellamento del corpo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/sanasnella_-_dimagrimento_e_rimodellamen_45.6092_9.1537.json,custom
45.603693,9.150735,ov_stadio_olimpico_roma_45.6037_9.1507,Stadio Olimpico Roma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/stadio_olimpico_roma_45.6037_9.1507.json,custom
45.605798,9.149985,ov_associazione_ballo_e_cultura_danze_45.6058_9.1500,Associazione Ballo e Cultura Danze,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/associazione_ballo_e_cultura_danze_45.6058_9.1500.json,custom
45.606560,9.151596,ov_gymmy_lowcost_45.6066_9.1516,Gymmy LowCost,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/gymmy_lowcost_45.6066_9.1516.json,custom
45.606309,9.148062,ov_studio_sinergia_45.6063_9.1481,Studio Sinergia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/studio_sinergia_45.6063_9.1481.json,custom
45.605710,9.147481,ov_adriano_alberti_archery_45.6057_9.1475,Adriano Alberti Archery,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/adriano_alberti_archery_45.6057_9.1475.json,custom
45.604806,9.142221,ov_crossfit_sevenhead_45.6048_9.1422,Crossfit Sevenhead,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/crossfit_sevenhead_45.6048_9.1422.json,custom
45.604305,9.145559,ov_gymnasium_belotti_arti_marziali___wellne_45.6043_9.1456,GyMnasium Belotti Arti Marziali & Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/gymnasium_belotti_arti_marziali_wellness_45.6043_9.1456.json,custom
45.603835,9.145710,ov_minigolf_bovisio_masciago_45.6038_9.1457,Minigolf Bovisio Masciago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/minigolf_bovisio_masciago_45.6038_9.1457.json,custom
45.601423,9.142364,ov_fitactive_bovisio_masciago_45.6014_9.1424,FitActive Bovisio Masciago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/fitactive_bovisio_masciago_45.6014_9.1424.json,custom
45.599777,9.151421,ov_polisportiva_varedo_45.5998_9.1514,polisportiva Varedo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/polisportiva_varedo_45.5998_9.1514.json,custom
45.609903,9.144970,ov_biblioteca_comunale_alda_merini___bovisi_45.6099_9.1450,Biblioteca Comunale Alda Merini - Bovisio Masciago,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/biblioteca_comunale_alda_merini_-_bovisi_45.6099_9.1450.json,custom
