# lat,lng,id,name,building_type,type,url,page_type
# Vallecrosia -- Tutti
43.784380,7.643200,ov_rosella_muratore_43.7844_7.6432,Rosella Muratore,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/rosella_muratore_43.7844_7.6432.json,custom
43.790179,7.641588,ov_vallecrosia_roma_43.7902_7.6416,VALLECROSIA ROMA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/vallecrosia_roma_43.7902_7.6416.json,custom
43.788194,7.636919,ov_ristorante_li_otto_luoghi_43.7882_7.6369,Ristorante Li Otto Luoghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/ristorante_li_otto_luoghi_43.7882_7.6369.json,custom
43.788240,7.637310,ov_ristorante_pesce_spada_43.7882_7.6373,Ristorante Pesce Spada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/ristorante_pesce_spada_43.7882_7.6373.json,custom
43.786874,7.638212,ov_ristorante_pizzeria_bella_napoli_43.7869_7.6382,Ristorante Pizzeria Bella Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/ristorante_pizzeria_bella_napoli_43.7869_7.6382.json,custom
43.787423,7.636363,ov_pizza_momo_43.7874_7.6364,PIZZA MOMO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/pizza_momo_43.7874_7.6364.json,custom
43.783387,7.638608,ov_ristorante_dei_pescatori_da_antonio_43.7834_7.6386,Ristorante dei Pescatori da Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/ristorante_dei_pescatori_da_antonio_43.7834_7.6386.json,custom
43.783309,7.638762,ov_il_tridente_43.7833_7.6388,Il Tridente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/il_tridente_43.7833_7.6388.json,custom
43.783233,7.638751,ov_mediterraneo_beach_43.7832_7.6388,Mediterraneo Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/mediterraneo_beach_43.7832_7.6388.json,custom
43.783424,7.637651,ov_ristorante_pizzeria_donna_maria_43.7834_7.6377,Ristorante Pizzeria Donna Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/ristorante_pizzeria_donna_maria_43.7834_7.6377.json,custom
43.785022,7.636342,ov_agriturismo_terre_di_mare_43.7850_7.6363,Agriturismo Terre di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/agriturismo_terre_di_mare_43.7850_7.6363.json,custom
43.789770,7.631310,ov_gusto_ok_43.7898_7.6313,Gusto Ok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/gusto_ok_43.7898_7.6313.json,custom
43.807585,7.652221,ov_osteria_dei_mat_43.8076_7.6522,Osteria Dei Mat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/osteria_dei_mat_43.8076_7.6522.json,custom
43.807731,7.650431,ov_vecchio_ponte_43.8077_7.6504,Vecchio Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/vecchio_ponte_43.8077_7.6504.json,custom
43.794877,7.646681,ov_ristorante_erio_43.7949_7.6467,Ristorante Erio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/ristorante_erio_43.7949_7.6467.json,custom
43.788131,7.636947,osm_li_otto_luoghi_43.7881_7.6369,Li Otto Luoghi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/li_otto_luoghi_43.7881_7.6369.json,custom
43.782590,7.649515,ov_greens_bar_43.7826_7.6495,Greens Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/greens_bar_43.7826_7.6495.json,custom
43.782346,7.645911,ov_bagni_la_polena_43.7823_7.6459,Bagni La Polena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bagni_la_polena_43.7823_7.6459.json,custom
43.783304,7.641262,ov_festival_bar_43.7833_7.6413,Festival Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/festival_bar_43.7833_7.6413.json,custom
43.785668,7.640480,ov_blu_bar_43.7857_7.6405,Blu bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/blu_bar_43.7857_7.6405.json,custom
43.786286,7.639301,ov_bar_giordie_43.7863_7.6393,Bar Giordie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bar_giordie_43.7863_7.6393.json,custom
43.787292,7.641237,ov_bottega_del_caffe_43.7873_7.6412,Bottega Del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bottega_del_caffe_43.7873_7.6412.json,custom
43.787796,7.641668,ov_malibu_beach___vallecrosia_43.7878_7.6417,Malibu Beach - Vallecrosia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/malibu_beach_-_vallecrosia_43.7878_7.6417.json,custom
43.787388,7.644875,ov_bar_angelo_azzurro_43.7874_7.6449,Bar Angelo Azzurro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bar_angelo_azzurro_43.7874_7.6449.json,custom
43.784181,7.643805,ov_kalimba_bar_caffetteria_43.7842_7.6438,Kalimba bar caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/kalimba_bar_caffetteria_43.7842_7.6438.json,custom
43.783835,7.644543,ov_biancolatte_bar_bistrot_43.7838_7.6445,Biancolatte Bar Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/biancolatte_bar_bistrot_43.7838_7.6445.json,custom
43.789760,7.644054,ov_bar_5_minuti_43.7898_7.6441,Bar 5 Minuti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bar_5_minuti_43.7898_7.6441.json,custom
43.787835,7.636762,ov_bar_latteria_serena_43.7878_7.6368,Bar Latteria Serena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bar_latteria_serena_43.7878_7.6368.json,custom
43.787733,7.636253,ov_bar_dei_fiori_43.7877_7.6363,Bar dei Fiori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bar_dei_fiori_43.7877_7.6363.json,custom
43.786363,7.638890,ov_butterfly_bar_43.7864_7.6389,Butterfly Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/butterfly_bar_43.7864_7.6389.json,custom
43.816360,7.629480,ov_bar_sabrina_43.8164_7.6295,Bar Sabrina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bar_sabrina_43.8164_7.6295.json,custom
43.807628,7.650019,ov_bar_du_cantun_43.8076_7.6500,bar du cantun,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/bar_du_cantun_43.8076_7.6500.json,custom
43.787800,7.636805,osm_serena_43.7878_7.6368,Serena,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/serena_43.7878_7.6368.json,custom
43.783815,7.644383,ov_associazione_culturale_cigno_nero_43.7838_7.6444,Associazione Culturale Cigno Nero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/associazione_culturale_cigno_nero_43.7838_7.6444.json,custom
43.783913,7.644289,ov_tony_arceri_43.7839_7.6443,Tony Arceri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/tony_arceri_43.7839_7.6443.json,custom
43.783339,7.645904,ov_k_zone_43.7833_7.6459,K Zone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/k_zone_43.7833_7.6459.json,custom
43.793304,7.605116,ov_centro_equestre_val_nervia_43.7933_7.6051,Centro Equestre Val Nervia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/centro_equestre_val_nervia_43.7933_7.6051.json,custom
