# lat,lng,id,name,building_type,type,url,page_type
# Cambiago -- Tutti
45.573950,9.419420,ov_la_chioccia___centro_diurno_integrato_45.5740_9.4194,La Chioccia - Centro Diurno Integrato,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/la_chioccia_-_centro_diurno_integrato_45.5740_9.4194.json,custom
45.565361,9.429500,osm_locanda_clorofilla_45.5654_9.4295,Locanda Clorofilla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/locanda_clorofilla_45.5654_9.4295.json,custom
45.577657,9.419688,osm_so_good_45.5777_9.4197,So Good,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/so_good_45.5777_9.4197.json,custom
45.540982,9.448407,ov_birra___brace_45.5410_9.4484,Birra & Brace,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/birra_brace_45.5410_9.4484.json,custom
45.570494,9.421412,ov_cambiago_s_s__di_gessate_45.5705_9.4214,Cambiago S.S. Di Gessate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/cambiago_ss_di_gessate_45.5705_9.4214.json,custom
45.571351,9.424962,ov_snack_bar_45.5714_9.4250,SNACK BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/snack_bar_45.5714_9.4250.json,custom
45.571280,9.424360,ov_bar_l_alternativa__45.5713_9.4244,Bar l'alternativa.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/bar_lalternativa_45.5713_9.4244.json,custom
45.573015,9.427366,ov_mokamojito_bar_della_piazza_45.5730_9.4274,Mokamojito bar della piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/mokamojito_bar_della_piazza_45.5730_9.4274.json,custom
45.572823,9.423273,ov_central_bar_45.5728_9.4233,Central Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/central_bar_45.5728_9.4233.json,custom
45.573049,9.427353,osm_la_gallina_45.5730_9.4274,La Gallina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/la_gallina_45.5730_9.4274.json,custom
45.568135,9.408824,ov_la_torrazza_horses_45.5681_9.4088,La Torrazza Horses,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/la_torrazza_horses_45.5681_9.4088.json,custom
45.574586,9.424081,ov_centro_sportivo_palaverde_45.5746_9.4241,Centro Sportivo Palaverde,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/centro_sportivo_palaverde_45.5746_9.4241.json,custom
45.569693,9.436171,ov_club_ippico_la_rocca_45.5697_9.4362,Club Ippico La Rocca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/club_ippico_la_rocca_45.5697_9.4362.json,custom
45.572230,9.421950,ov_fitup___cambiago_45.5722_9.4220,FITUP - Cambiago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/fitup_-_cambiago_45.5722_9.4220.json,custom
45.573027,9.423461,ov_palestra_club_kb_45.5730_9.4235,Palestra Club KB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/palestra_club_kb_45.5730_9.4235.json,custom
45.576457,9.417743,ov_serenissima_cambiago_spa_45.5765_9.4177,Serenissima cambiago SPA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/serenissima_cambiago_spa_45.5765_9.4177.json,custom
45.573760,9.420745,ov_la_collezione_45.5738_9.4207,LA Collezione,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/la_collezione_45.5738_9.4207.json,custom
45.573787,9.424682,ov_biblioteca_comunale_la_vecchia_filanda_45.5738_9.4247,Biblioteca Comunale La Vecchia Filanda,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cambiago/pages/biblioteca_comunale_la_vecchia_filanda_45.5738_9.4247.json,custom
