# lat,lng,id,name,building_type,type,url,page_type
# Mogliano Veneto -- Tutti
45.554108,12.269953,ov_poliambulatorio_full_life_45.5541_12.2700,Poliambulatorio Full Life,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/poliambulatorio_full_life_45.5541_12.2700.json,custom
45.562580,12.226691,ov_osteria_da_toma_45.5626_12.2267,Osteria da Toma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/osteria_da_toma_45.5626_12.2267.json,custom
45.563353,12.234390,ov_ristorante_umi_45.5634_12.2344,Ristorante UMI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ristorante_umi_45.5634_12.2344.json,custom
45.563204,12.234474,ov_poke_dusk_45.5632_12.2345,Poke Dusk,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/poke_dusk_45.5632_12.2345.json,custom
45.561764,12.234705,ov_beccofino_45.5618_12.2347,Beccofino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/beccofino_45.5618_12.2347.json,custom
45.561464,12.235961,ov_osteria_cichetteria_da_buran_45.5615_12.2360,Osteria Cichetteria da Buran,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/osteria_cichetteria_da_buran_45.5615_12.2360.json,custom
45.561470,12.235240,ov_amplifon_via_guglielmo_marconi__mogliano_45.5615_12.2352,"Amplifon Via Guglielmo Marconi, Mogliano Veneto",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/amplifon_via_guglielmo_marconi_mogliano__45.5615_12.2352.json,custom
45.561329,12.233414,ov_pizza_quadra_45.5613_12.2334,Pizza Quadra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizza_quadra_45.5613_12.2334.json,custom
45.561231,12.233568,ov_pizza_al_pezzo_tortuga_45.5612_12.2336,Pizza al Pezzo Tortuga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizza_al_pezzo_tortuga_45.5612_12.2336.json,custom
45.561659,12.233258,ov_kebab_pizza_45.5617_12.2333,Kebab Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/kebab_pizza_45.5617_12.2333.json,custom
45.560855,12.229297,ov_casa_della_pizza_45.5609_12.2293,Casa della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/casa_della_pizza_45.5609_12.2293.json,custom
45.561025,12.232286,ov_ramen_shifu_mogliano_veneto_45.5610_12.2323,RAMEN SHIFU Mogliano Veneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ramen_shifu_mogliano_veneto_45.5610_12.2323.json,custom
45.560789,12.234670,ov_saor_45.5608_12.2347,Saor,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/saor_45.5608_12.2347.json,custom
45.560680,12.235153,ov_la_terrazza_bistrot_poke_bar_45.5607_12.2352,La Terrazza Bistrot Poke Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/la_terrazza_bistrot_poke_bar_45.5607_12.2352.json,custom
45.560647,12.235239,ov_la_terrazza_45.5606_12.2352,La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/la_terrazza_45.5606_12.2352.json,custom
45.560643,12.234750,ov_tramesin_45.5606_12.2348,Tramesin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/tramesin_45.5606_12.2348.json,custom
45.560384,12.234487,ov_hokkaido_mogliano_veneto_45.5604_12.2345,Hokkaido Mogliano Veneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/hokkaido_mogliano_veneto_45.5604_12.2345.json,custom
45.560813,12.237197,ov_calima_45.5608_12.2372,Calima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/calima_45.5608_12.2372.json,custom
45.561045,12.237259,ov_pizzalonga_da_pino_45.5610_12.2373,Pizzalonga Da Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizzalonga_da_pino_45.5610_12.2373.json,custom
45.561048,12.239268,ov_materia_meat___wine_45.5610_12.2393,Materia Meat & Wine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/materia_meat_wine_45.5610_12.2393.json,custom
45.561019,12.239207,ov_origine___la_casa_del_campanaro_45.5610_12.2392,Origine - La Casa Del Campanaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/origine_-_la_casa_del_campanaro_45.5610_12.2392.json,custom
45.561636,12.245026,ov_pizzalonga_away_mogliano_veneto_45.5616_12.2450,Pizzalonga Away Mogliano Veneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizzalonga_away_mogliano_veneto_45.5616_12.2450.json,custom
45.561584,12.237053,ov_pizzeria_trattoria_ai_veneziani___di_gio_45.5616_12.2371,Pizzeria Trattoria Ai Veneziani ( di Giorgio e Marina ),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizzeria_trattoria_ai_veneziani_di_giorg_45.5616_12.2371.json,custom
45.561592,12.236987,ov_unico_ristorante_pizzeria_45.5616_12.2370,Unico Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/unico_ristorante_pizzeria_45.5616_12.2370.json,custom
45.562510,12.246462,ov_pizzeria_barbanera_45.5625_12.2465,Pizzeria Barbanera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizzeria_barbanera_45.5625_12.2465.json,custom
45.562643,12.256953,ov_la_baita_45.5626_12.2570,La Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/la_baita_45.5626_12.2570.json,custom
45.558127,12.245304,ov_pizza_club_45.5581_12.2453,Pizza Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizza_club_45.5581_12.2453.json,custom
45.558319,12.251568,ov_ibra_pizza_kebab_45.5583_12.2516,Ibra Pizza Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ibra_pizza_kebab_45.5583_12.2516.json,custom
45.558550,12.251125,ov_pizzeria_king_45.5585_12.2511,Pizzeria King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizzeria_king_45.5585_12.2511.json,custom
45.558643,12.263038,ov_al_messicano_45.5586_12.2630,Al Messicano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/al_messicano_45.5586_12.2630.json,custom
45.558790,12.261313,ov_pizza_e_fritto_biz_betica_45.5588_12.2613,Pizza e Fritto Biz Betica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizza_e_fritto_biz_betica_45.5588_12.2613.json,custom
45.553415,12.266517,ov_millevoglie_da_leo_45.5534_12.2665,MILLEVOGLIE da Leo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/millevoglie_da_leo_45.5534_12.2665.json,custom
45.553352,12.266799,ov_ristorante_da_bisiolo_45.5534_12.2668,Ristorante Da Bisiolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ristorante_da_bisiolo_45.5534_12.2668.json,custom
45.573864,12.205847,ov_osteria_da_giovanni_45.5739_12.2058,Osteria Da Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/osteria_da_giovanni_45.5739_12.2058.json,custom
45.580996,12.211240,ov_al_vecio_muin_45.5810_12.2112,Al Vecio Muin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/al_vecio_muin_45.5810_12.2112.json,custom
45.594332,12.187907,ov_da_bimbari_trattoria___osteria_45.5943_12.1879,Da Bimbari Trattoria - Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/da_bimbari_trattoria_-_osteria_45.5943_12.1879.json,custom
45.582449,12.322225,ov_vecia_osteria_rosa_e_baffo_45.5824_12.3222,Vecia Osteria Rosa e Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/vecia_osteria_rosa_e_baffo_45.5824_12.3222.json,custom
45.584294,12.215288,ov_maeli_pizza_45.5843_12.2153,Maeli Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/maeli_pizza_45.5843_12.2153.json,custom
45.586756,12.288011,ov_gas_a_agricicchetteria_45.5868_12.2880,Gasía Agricicchetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/gasa_agricicchetteria_45.5868_12.2880.json,custom
45.587854,12.287302,ov_perbacco_country_house_45.5879_12.2873,Perbacco Country House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/perbacco_country_house_45.5879_12.2873.json,custom
45.577321,12.265484,ov_bistrot_ai_due_cedri_45.5773_12.2655,Bistrot Ai Due Cedri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/bistrot_ai_due_cedri_45.5773_12.2655.json,custom
45.579361,12.269757,ov_vecia_ostaria_al_campaner_45.5794_12.2698,Vecia Ostaria al Campaner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/vecia_ostaria_al_campaner_45.5794_12.2698.json,custom
45.578739,12.270393,ov_pizzeria_grani_antichi_45.5787_12.2704,Pizzeria Grani Antichi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizzeria_grani_antichi_45.5787_12.2704.json,custom
45.578604,12.264030,ov_gestioni_golf_di_giuseppe_nart_45.5786_12.2640,Gestioni Golf di Giuseppe Nart,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/gestioni_golf_di_giuseppe_nart_45.5786_12.2640.json,custom
45.578737,12.258977,ov_ristorante_before_45.5787_12.2590,Ristorante Before,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ristorante_before_45.5787_12.2590.json,custom
45.567045,12.234967,ov_restaurant_45.5670_12.2350,Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/restaurant_45.5670_12.2350.json,custom
45.565240,12.236360,ov_impronte_food___drink_45.5652_12.2364,Impronte Food & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/impronte_food_drink_45.5652_12.2364.json,custom
45.564172,12.238501,ov_pasqualino_pizzeria_d_asporto_45.5642_12.2385,Pasqualino Pizzeria D'asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pasqualino_pizzeria_dasporto_45.5642_12.2385.json,custom
45.564546,12.237714,ov_enoteca_vintido_45.5645_12.2377,Enoteca VinTIdo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/enoteca_vintido_45.5645_12.2377.json,custom
45.564830,12.238195,ov_rossopizza_45.5648_12.2382,Rossopizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/rossopizza_45.5648_12.2382.json,custom
45.571773,12.264904,ov_la_baita_45.5718_12.2649,La Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/la_baita_45.5718_12.2649.json,custom
45.558800,12.261277,osm_pizza_biz_betica_45.5588_12.2613,Pizza Biz betica,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/pizza_biz_betica_45.5588_12.2613.json,custom
45.577419,12.265131,osm_ristorante_conte_alvise__di_villa_condul_45.5774_12.2651,Ristorante Conte Alvise (di Villa Condulmer),ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ristorante_conte_alvise_di_villa_condulm_45.5774_12.2651.json,custom
45.554212,12.248401,ov_kaos_caf__45.5542_12.2484,Kaos Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/kaos_caf_45.5542_12.2484.json,custom
45.557837,12.236032,ov_ae_poste___bar___food___mogliano_veneto_45.5578_12.2360,Ae Poste - Bar & Food - Mogliano Veneto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ae_poste_-_bar_food_-_mogliano_veneto_45.5578_12.2360.json,custom
45.560280,12.236830,ov_da_d__caff__bistrot_45.5603_12.2368,Da-dà caffè bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/da-d_caff_bistrot_45.5603_12.2368.json,custom
45.561940,12.235560,ov_on_the_road_bar_45.5619_12.2356,on_the_road_bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ontheroadbar_45.5619_12.2356.json,custom
45.561431,12.235628,ov_divinus_45.5614_12.2356,DivinuS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/divinus_45.5614_12.2356.json,custom
45.561246,12.235448,ov_blus__45.5612_12.2354,Blus',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/blus_45.5612_12.2354.json,custom
45.561183,12.234447,ov_enoteca_la_fenice_45.5612_12.2344,Enoteca La Fenice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/enoteca_la_fenice_45.5612_12.2344.json,custom
45.561741,12.233006,ov_buffet_stazione_mogliano_veneto_45.5617_12.2330,Buffet Stazione Mogliano Veneto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/buffet_stazione_mogliano_veneto_45.5617_12.2330.json,custom
45.561038,12.232068,ov_dabliu_45.5610_12.2321,Dabliu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/dabliu_45.5610_12.2321.json,custom
45.560942,12.234806,ov_avenue_45.5609_12.2348,Avenue,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/avenue_45.5609_12.2348.json,custom
45.560965,12.235366,ov_bar_in_galleria_45.5610_12.2354,Bar in Galleria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/bar_in_galleria_45.5610_12.2354.json,custom
45.560644,12.234748,ov_duca_ombre___cicchetti_45.5606_12.2347,DUCA Ombre & Cicchetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/duca_ombre_cicchetti_45.5606_12.2347.json,custom
45.560722,12.234765,ov_bar_aurora_45.5607_12.2348,Bar Aurora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/bar_aurora_45.5607_12.2348.json,custom
45.560455,12.236782,ov_snack_bar_lo_spuntino_45.5605_12.2368,Snack Bar Lo Spuntino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/snack_bar_lo_spuntino_45.5605_12.2368.json,custom
45.561116,12.239809,ov_capovolti_bistrot_45.5611_12.2398,Capovolti Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/capovolti_bistrot_45.5611_12.2398.json,custom
45.561696,12.245540,ov_idea_bar_45.5617_12.2455,Idea Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/idea_bar_45.5617_12.2455.json,custom
45.561796,12.247800,ov_caffe_latte_45.5618_12.2478,Caffe Latte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/caffe_latte_45.5618_12.2478.json,custom
45.562725,12.255053,ov_helmut_pub_45.5627_12.2551,Helmut Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/helmut_pub_45.5627_12.2551.json,custom
45.558186,12.246028,ov_washouse_45.5582_12.2460,Washouse,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/washouse_45.5582_12.2460.json,custom
45.558126,12.246025,ov_caffe_brigante_45.5581_12.2460,Caffe Brigante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/caffe_brigante_45.5581_12.2460.json,custom
45.558141,12.237343,ov_bar_verdi_45.5581_12.2373,Bar verdi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/bar_verdi_45.5581_12.2373.json,custom
45.553456,12.265820,ov_vini_da_milko_45.5535_12.2658,Vini Da Milko,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/vini_da_milko_45.5535_12.2658.json,custom
45.582160,12.321824,ov_ioete_rosa_pub_45.5822_12.3218,IoeTe Rosa Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ioete_rosa_pub_45.5822_12.3218.json,custom
45.586102,12.215794,ov_demo_45.5861_12.2158,Demo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/demo_45.5861_12.2158.json,custom
45.578930,12.279525,ov_prima_linea_45.5789_12.2795,Prima Linea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/prima_linea_45.5789_12.2795.json,custom
45.564436,12.239746,ov_skacciakiodo_cafe_45.5644_12.2397,Skacciakiodo Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/skacciakiodo_cafe_45.5644_12.2397.json,custom
45.571589,12.264679,ov_tropical_45.5716_12.2647,Tropical,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/tropical_45.5716_12.2647.json,custom
45.558789,12.260950,osm_snack_bar_gallery_45.5588_12.2609,Snack bar Gallery,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/snack_bar_gallery_45.5588_12.2609.json,custom
45.543348,12.217085,ov_centro_equestre_veneto_45.5433_12.2171,Centro Equestre Veneto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/centro_equestre_veneto_45.5433_12.2171.json,custom
45.549056,12.224919,ov_club_il_cavallo_asd_mogliano_45.5491_12.2249,Club il Cavallo asd Mogliano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/club_il_cavallo_asd_mogliano_45.5491_12.2249.json,custom
45.552615,12.227171,ov_crossfit_black_phoenix_45.5526_12.2272,CrossFit Black Phoenix,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/crossfit_black_phoenix_45.5526_12.2272.json,custom
45.554163,12.258565,ov_ciao_fitness_house_45.5542_12.2586,Ciao Fitness House,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/ciao_fitness_house_45.5542_12.2586.json,custom
45.555738,12.234290,ov_aquademia_asd_45.5557_12.2343,Aquademia asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mogliano_veneto/pages/aquademia_asd_45.5557_12.2343.json,custom
