# lat,lng,id,name,building_type,type,url,page_type
# noceto -- Tutti
44.814942,10.181826,ov_centro_di_medicina_noceto_44.8149_10.1818,Centro di medicina Noceto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/centro_di_medicina_noceto_44.8149_10.1818.json,custom
44.805070,10.175555,ov_marcello_s_cafe_enoteca_birreria_salumer_44.8051_10.1756,Marcello's Cafe Enoteca Birreria Salumeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/marcellos_cafe_enoteca_birreria_salumeri_44.8051_10.1756.json,custom
44.807935,10.179802,ov_osteria_al_castello_44.8079_10.1798,Osteria al Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/osteria_al_castello_44.8079_10.1798.json,custom
44.808824,10.180227,ov_istanbul_city_44.8088_10.1802,Istanbul City,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/istanbul_city_44.8088_10.1802.json,custom
44.808593,10.181032,ov_pizzeria_donna_rosa_44.8086_10.1810,Pizzeria Donna Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/pizzeria_donna_rosa_44.8086_10.1810.json,custom
44.808593,10.181032,ov_pizzeria_buonumore_44.8086_10.1810,Pizzeria Buonumore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/pizzeria_buonumore_44.8086_10.1810.json,custom
44.809079,10.179625,ov_pub_gourmet_19_28_ristorante_44.8091_10.1796,Pub Gourmet 19-28 Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/pub_gourmet_19-28_ristorante_44.8091_10.1796.json,custom
44.812519,10.173790,ov_myshibuya_sushi_point_44.8125_10.1738,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/myshibuya_sushi_point_44.8125_10.1738.json,custom
44.816513,10.185537,ov_ponterecchio_prosciutteria_44.8165_10.1855,Ponterecchio Prosciutteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/ponterecchio_prosciutteria_44.8165_10.1855.json,custom
44.823782,10.218146,ov_ristorante_bar_il_crociato_44.8238_10.2181,Ristorante Bar il Crociato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/ristorante_bar_il_crociato_44.8238_10.2181.json,custom
44.826217,10.205683,ov_dama_capricciosa_44.8262_10.2057,Dama Capricciosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/dama_capricciosa_44.8262_10.2057.json,custom
44.824740,10.213570,ov_ristorante_pizzeria_il_ponte_chef_mast_44.8247_10.2136,Ristorante Pizzeria Il Ponte Chef Mast,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/ristorante_pizzeria_il_ponte_chef_mast_44.8247_10.2136.json,custom
44.824352,10.215159,ov_ristorante_pizzeria_i_monelli_44.8244_10.2152,Ristorante Pizzeria I Monelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/ristorante_pizzeria_i_monelli_44.8244_10.2152.json,custom
44.824222,10.215142,osm_i_monelli_44.8242_10.2151,I Monelli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/i_monelli_44.8242_10.2151.json,custom
44.824837,10.213152,osm_ristorante_pizzeria_il_ponte_44.8248_10.2132,Ristorante/Pizzeria Il Ponte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/ristorantepizzeria_il_ponte_44.8248_10.2132.json,custom
44.854115,10.106221,osm_romanini_44.8541_10.1062,Romanini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/romanini_44.8541_10.1062.json,custom
44.842719,10.145230,osm_bar_discovery_44.8427_10.1452,Bar Discovery,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/bar_discovery_44.8427_10.1452.json,custom
44.795092,10.197909,ov_downunder_44.7951_10.1979,Downunder,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/downunder_44.7951_10.1979.json,custom
44.795230,10.190000,ov_downunder_parma_44.7952_10.1900,DownUnder Parma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/downunder_parma_44.7952_10.1900.json,custom
44.810902,10.170822,ov_bar_tabacchi_del_ponte_44.8109_10.1708,Bar Tabacchi Del Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/bar_tabacchi_del_ponte_44.8109_10.1708.json,custom
44.808766,10.171715,ov_bar_legends_44.8088_10.1717,Bar Legends,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/bar_legends_44.8088_10.1717.json,custom
44.810150,10.179060,ov_redline_caf__44.8102_10.1791,Redline Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/redline_caf_44.8102_10.1791.json,custom
44.809837,10.180938,ov_il_barino_44.8098_10.1809,Il Barino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/il_barino_44.8098_10.1809.json,custom
44.808473,10.180114,ov_caffe__centrale_noceto_44.8085_10.1801,Caffe' Centrale Noceto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/caffe_centrale_noceto_44.8085_10.1801.json,custom
44.808143,10.179001,ov_boulevard_cafe_44.8081_10.1790,Boulevard Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/boulevard_cafe_44.8081_10.1790.json,custom
44.808574,10.179569,ov_bar_grelo_44.8086_10.1796,Bar Grelo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/bar_grelo_44.8086_10.1796.json,custom
44.814110,10.184999,ov_articioc_coop__sociale_44.8141_10.1850,Articioc Coop. Sociale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/articioc_coop_sociale_44.8141_10.1850.json,custom
44.821037,10.231710,ov_ristorante_aquila_romana_44.8210_10.2317,Ristorante Aquila Romana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/ristorante_aquila_romana_44.8210_10.2317.json,custom
44.839570,10.103537,ov_scuderia_cristal_44.8396_10.1035,Scuderia Cristal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/scuderia_cristal_44.8396_10.1035.json,custom
44.795633,10.133651,ov_ca_bianca_ranch___circolo_ippico_44.7956_10.1337,Ca Bianca Ranch / Circolo Ippico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/ca_bianca_ranch_circolo_ippico_44.7956_10.1337.json,custom
44.773670,10.111580,ov_asd_rio_dell_acqua_horses_44.7737_10.1116,Asd rio dell'acqua horses,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/asd_rio_dellacqua_horses_44.7737_10.1116.json,custom
44.762270,10.117773,ov_circolo_ippico_il_paradiso_44.7623_10.1178,Circolo Ippico Il Paradiso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/circolo_ippico_il_paradiso_44.7623_10.1178.json,custom
44.804488,10.182215,ov_campo_sportivo_44.8045_10.1822,Campo Sportivo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/campo_sportivo_44.8045_10.1822.json,custom
44.803625,10.177829,ov_scuderia_little_lion_44.8036_10.1778,Scuderia Little Lion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/scuderia_little_lion_44.8036_10.1778.json,custom
44.799830,10.189013,ov_circolo_ippico_sherwood_44.7998_10.1890,Circolo Ippico Sherwood,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/circolo_ippico_sherwood_44.7998_10.1890.json,custom
44.795040,10.189930,ov_scuderie_della_bolognina_44.7950_10.1899,Scuderie della Bolognina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/scuderie_della_bolognina_44.7950_10.1899.json,custom
44.795063,10.151095,ov_paintball_parma_44.7951_10.1511,Paintball Parma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/paintball_parma_44.7951_10.1511.json,custom
44.809020,10.180676,ov_fit_for_you_noceto_44.8090_10.1807,Fit For You Noceto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/fit_for_you_noceto_44.8090_10.1807.json,custom
44.815140,10.183171,ov_well_and_fit_44.8151_10.1832,Well and Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/well_and_fit_44.8151_10.1832.json,custom
44.812131,10.209895,ov_fb_reiners_44.8121_10.2099,FB Reiners,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/fb_reiners_44.8121_10.2099.json,custom
44.785020,10.084276,ov_castello_di_costamezzana_44.7850_10.0843,Castello di Costamezzana,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/castello_di_costamezzana_44.7850_10.0843.json,custom
44.809428,10.182994,ov_museo_vasca_votiva_di_noceto_44.8094_10.1830,Museo Vasca Votiva di Noceto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/museo_vasca_votiva_di_noceto_44.8094_10.1830.json,custom
44.808237,10.179825,ov_castello_della_musica_44.8082_10.1798,Castello della Musica,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/castello_della_musica_44.8082_10.1798.json,custom
44.808518,10.179540,ov_la_rocca_di_noceto_44.8085_10.1795,La Rocca di Noceto,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/la_rocca_di_noceto_44.8085_10.1795.json,custom
44.828356,10.193711,ov_castello_di_castelguelfo_44.8284_10.1937,Castello di Castelguelfo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/castello_di_castelguelfo_44.8284_10.1937.json,custom
44.809263,10.183872,osm_biblioteca_comunale_don_lorenzo_milani_44.8093_10.1839,Biblioteca comunale Don Lorenzo Milani,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/biblioteca_comunale_don_lorenzo_milani_44.8093_10.1839.json,custom
