# lat,lng,id,name,building_type,type,url,page_type
# Codroipo -- Tutti
45.965104,12.988073,ov_distretto_sanitario_di_codroipo_45.9651_12.9881,Distretto Sanitario Di Codroipo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/distretto_sanitario_di_codroipo_45.9651_12.9881.json,custom
45.968936,12.974763,ov_wasabi_45.9689_12.9748,Wasabi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/wasabi_45.9689_12.9748.json,custom
45.966029,12.971005,ov_decanter_esperienza_del_gusto_45.9660_12.9710,Decanter Esperienza Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/decanter_esperienza_del_gusto_45.9660_12.9710.json,custom
45.963142,12.965870,ov_pizzeria_stella_45.9631_12.9659,Pizzeria Stella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzeria_stella_45.9631_12.9659.json,custom
45.963200,12.977044,ov_civico_19_45.9632_12.9770,Civico 19,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/civico_19_45.9632_12.9770.json,custom
45.967763,12.976553,ov_ristorante_cinese_shanghai_45.9678_12.9766,Ristorante Cinese Shanghai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/ristorante_cinese_shanghai_45.9678_12.9766.json,custom
45.958508,12.997155,ov_al_boschetto_ristogrill_45.9585_12.9972,Al Boschetto Ristogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/al_boschetto_ristogrill_45.9585_12.9972.json,custom
45.961748,12.991153,ov_al_bassotto___bistrot_e_enoteca_45.9617_12.9912,Al Bassotto - Bistrot e Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/al_bassotto_-_bistrot_e_enoteca_45.9617_12.9912.json,custom
45.962647,12.991730,ov_pizzeria_trattoria_bar_al_passeggio_45.9626_12.9917,Pizzeria-Trattoria Bar Al Passeggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzeria-trattoria_bar_al_passeggio_45.9626_12.9917.json,custom
45.959998,12.985252,ov_pizzeria_da_mario_45.9600_12.9853,Pizzeria Da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzeria_da_mario_45.9600_12.9853.json,custom
45.956422,12.985029,ov_osteria_alle_risorgive_ristorante_45.9564_12.9850,Osteria Alle Risorgive RISTORANTE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/osteria_alle_risorgive_ristorante_45.9564_12.9850.json,custom
45.955895,12.986518,ov_pizzaplus___scuola_e_consulenze_45.9559_12.9865,Pizzaplus - Scuola e Consulenze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzaplus_-_scuola_e_consulenze_45.9559_12.9865.json,custom
45.946533,12.976536,ov_toreto_risto_pizza_45.9465_12.9765,Toreto Risto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/toreto_risto_pizza_45.9465_12.9765.json,custom
45.946517,12.976378,ov_osteria_istriana_45.9465_12.9764,Osteria Istriana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/osteria_istriana_45.9465_12.9764.json,custom
45.956612,12.972817,ov_molo_12_45.9566_12.9728,Molo 12,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/molo_12_45.9566_12.9728.json,custom
45.955925,12.980323,ov_pizza_samu_45.9559_12.9803,Pizza Samu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizza_samu_45.9559_12.9803.json,custom
45.955861,12.978894,ov_montgomery_45.9559_12.9789,Montgomery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/montgomery_45.9559_12.9789.json,custom
45.959518,12.983507,ov_pizzeria_da_medaglia_codroipo_45.9595_12.9835,Pizzeria da Medaglia Codroipo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzeria_da_medaglia_codroipo_45.9595_12.9835.json,custom
45.960711,12.980353,ov_anatolia_kebab_45.9607_12.9804,Anatolia Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/anatolia_kebab_45.9607_12.9804.json,custom
45.960731,12.980713,ov_osteria_la_di_galas_45.9607_12.9807,Osteria La di Galas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/osteria_la_di_galas_45.9607_12.9807.json,custom
45.960481,12.982390,ov_sfizio_napoletano_45.9605_12.9824,Sfizio Napoletano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/sfizio_napoletano_45.9605_12.9824.json,custom
45.962469,12.981078,ov_alla_speranza_45.9625_12.9811,Alla Speranza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/alla_speranza_45.9625_12.9811.json,custom
45.961239,12.978902,ov_birreria_prosciutteria_sorriso_45.9612_12.9789,Birreria Prosciutteria Sorriso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/birreria_prosciutteria_sorriso_45.9612_12.9789.json,custom
45.960164,12.978237,ov_pizzeria_da_ermes_45.9602_12.9782,Pizzeria da Ermes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzeria_da_ermes_45.9602_12.9782.json,custom
45.962521,12.977037,ov_la_ferrata_45.9625_12.9770,La Ferrata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/la_ferrata_45.9625_12.9770.json,custom
45.961924,12.974774,ov_istanbul_kebab_pizza_45.9619_12.9748,Istanbul Kebab pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/istanbul_kebab_pizza_45.9619_12.9748.json,custom
45.961944,12.974620,ov_pizzeria_ai_giardini_di_lauritano_bruno_45.9619_12.9746,Pizzeria Ai Giardini di Lauritano Bruno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzeria_ai_giardini_di_lauritano_bruno_45.9619_12.9746.json,custom
45.957061,12.973309,ov_flamen_co_45.9571_12.9733,Flamen Co,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/flamen_co_45.9571_12.9733.json,custom
45.996264,13.025583,ov_trattoria_l_osteria_di_beano_45.9963_13.0256,Trattoria L'Osteria Di Beano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/trattoria_losteria_di_beano_45.9963_13.0256.json,custom
45.956401,12.984919,osm_osteria_alle_risorgive_45.9564_12.9849,Osteria alle Risorgive,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/osteria_alle_risorgive_45.9564_12.9849.json,custom
45.962562,12.991840,osm_pizzaria_trattoria_al_passeggio_45.9626_12.9918,Pizzaria Trattoria Al Passeggio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pizzaria_trattoria_al_passeggio_45.9626_12.9918.json,custom
45.964912,13.005299,osm_il_piron_dal_re_45.9649_13.0053,Il Piron dal Re,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/il_piron_dal_re_45.9649_13.0053.json,custom
45.956753,12.972908,osm_flame__n_co__45.9568_12.9729,Flame 'n Co.,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/flame_n_co_45.9568_12.9729.json,custom
45.959941,12.985208,osm_da_mario_45.9599_12.9852,Da Mario,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/da_mario_45.9599_12.9852.json,custom
45.954723,13.021254,ov_bar_colomba_45.9547_13.0213,Bar Colomba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_colomba_45.9547_13.0213.json,custom
45.943753,13.024225,ov_t____t__snc_di_marina_e_luca_toneatto_45.9438_13.0242,T. & T. SNC di Marina e Luca Toneatto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/t_t_snc_di_marina_e_luca_toneatto_45.9438_13.0242.json,custom
45.968753,13.013755,ov_bar_giavon_45.9688_13.0138,bar Giavon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_giavon_45.9688_13.0138.json,custom
45.971281,12.983099,ov_bar_da_teto_45.9713_12.9831,Bar da Teto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_da_teto_45.9713_12.9831.json,custom
45.967388,12.970236,ov_pit_stop_bar_45.9674_12.9702,Pit Stop Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pit_stop_bar_45.9674_12.9702.json,custom
45.963095,12.979787,ov_pura_vida_caf__45.9631_12.9798,Pura Vida Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pura_vida_caf_45.9631_12.9798.json,custom
45.963298,12.982116,ov_bar_verdi_45.9633_12.9821,Bar Verdi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_verdi_45.9633_12.9821.json,custom
45.957276,12.996065,ov_al_parco_45.9573_12.9961,Al Parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/al_parco_45.9573_12.9961.json,custom
45.957413,12.990467,ov_bar_al_cjanton_45.9574_12.9905,Bar Al Cjanton,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_al_cjanton_45.9574_12.9905.json,custom
45.950550,12.972902,ov_diamante_rosso_codroipo_45.9506_12.9729,Diamante Rosso Codroipo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/diamante_rosso_codroipo_45.9506_12.9729.json,custom
45.955863,12.980127,ov_jack_caff__45.9559_12.9801,Jack Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/jack_caff_45.9559_12.9801.json,custom
45.956990,12.975090,ov_bar_eden_45.9570_12.9751,Bar Eden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_eden_45.9570_12.9751.json,custom
45.959380,12.976480,ov_viva_bar_45.9594_12.9765,Viva Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/viva_bar_45.9594_12.9765.json,custom
45.960830,12.979990,ov_anziano_birraio_45.9608_12.9800,Anziano Birraio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/anziano_birraio_45.9608_12.9800.json,custom
45.960549,12.983528,ov_giornale_e_caff__dersut_45.9605_12.9835,Giornale e Caffè Dersut,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/giornale_e_caff_dersut_45.9605_12.9835.json,custom
45.960958,12.982393,ov_bar_piccadilly_45.9610_12.9824,Bar Piccadilly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_piccadilly_45.9610_12.9824.json,custom
45.961339,12.978056,ov_caff__miani_45.9613_12.9781,Caffè Miani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/caff_miani_45.9613_12.9781.json,custom
45.961256,12.979606,ov_vecchia_pretura_45.9613_12.9796,Vecchia Pretura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/vecchia_pretura_45.9613_12.9796.json,custom
45.960980,12.979242,ov_bar_caffetteria_gelateria_moroso_45.9610_12.9792,Bar Caffetteria Gelateria Moroso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_caffetteria_gelateria_moroso_45.9610_12.9792.json,custom
45.960840,12.978185,ov_caff__pablo_45.9608_12.9782,Caffè Pablo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/caff_pablo_45.9608_12.9782.json,custom
45.961213,12.977340,ov_caff__centrale_45.9612_12.9773,Caffè Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/caff_centrale_45.9612_12.9773.json,custom
45.961190,12.976349,ov_lo_spirito_giusto_45.9612_12.9763,Lo Spirito Giusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/lo_spirito_giusto_45.9612_12.9763.json,custom
45.960831,12.976557,ov_enoteca_sot_il_piul_45.9608_12.9766,Enoteca Sot Il Piul,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/enoteca_sot_il_piul_45.9608_12.9766.json,custom
45.960453,12.976801,ov_snack_bar_di_masotti_anna_e_c_45.9605_12.9768,Snack Bar di Masotti Anna e C,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/snack_bar_di_masotti_anna_e_c_45.9605_12.9768.json,custom
45.961797,12.975185,ov_mrbio___enoteca49_45.9618_12.9752,MrBio - Enoteca49,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/mrbio_-_enoteca49_45.9618_12.9752.json,custom
45.961859,12.976713,ov_caff__di_cuori_45.9619_12.9767,Caffè di Cuori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/caff_di_cuori_45.9619_12.9767.json,custom
45.961884,12.976814,ov_speck___wine_45.9619_12.9768,Speck & Wine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/speck_wine_45.9619_12.9768.json,custom
45.961908,12.974941,ov_bar_al_giardino_45.9619_12.9749,Bar Al Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_al_giardino_45.9619_12.9749.json,custom
45.964907,12.954794,ov_ajo_snack_bar_45.9649_12.9548,Ajo Snack Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/ajo_snack_bar_45.9649_12.9548.json,custom
45.964910,12.951886,ov_birra_in_festa_45.9649_12.9519,Birra in Festa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/birra_in_festa_45.9649_12.9519.json,custom
45.963969,12.959696,ov_bar_alla_terrazza_45.9640_12.9597,Bar Alla Terrazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_alla_terrazza_45.9640_12.9597.json,custom
45.963185,12.964438,ov_bar_alla_nazionale_45.9632_12.9644,Bar Alla Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/bar_alla_nazionale_45.9632_12.9644.json,custom
45.987498,12.968695,ov_ostarie_a_la_pese_45.9875_12.9687,Ostarie A La Pese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/ostarie_a_la_pese_45.9875_12.9687.json,custom
46.228250,13.088510,ov_caff_tot__46.2283_13.0885,CaffèTotò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/cafftot_46.2283_13.0885.json,custom
45.962346,12.974118,osm_dolcevita_45.9623_12.9741,Dolcevita,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/dolcevita_45.9623_12.9741.json,custom
45.960747,12.980720,osm_osteria_la__di_galas_45.9607_12.9807,Osteria La' di Galas,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/osteria_la_di_galas_45.9607_12.9807.json,custom
45.961774,12.975173,osm_enoteca_angolo_delle_specialit__45.9618_12.9752,Enoteca Angolo delle Specialità,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/enoteca_angolo_delle_specialit_45.9618_12.9752.json,custom
45.956614,12.974525,osm_al_girasole_45.9566_12.9745,Al Girasole,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/al_girasole_45.9566_12.9745.json,custom
45.974730,12.966770,ov_asd_paintball_fvg_red_light_45.9747_12.9668,Asd PAINTBALL fvg RED LIGHT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/asd_paintball_fvg_red_light_45.9747_12.9668.json,custom
45.967047,12.977655,ov_padma_studio_yoga___meditazione_45.9670_12.9777,Padma Studio Yoga & Meditazione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/padma_studio_yoga_meditazione_45.9670_12.9777.json,custom
45.948365,12.975058,ov_notonlyrehab_45.9484_12.9751,Notonlyrehab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/notonlyrehab_45.9484_12.9751.json,custom
45.948460,12.974740,ov_valter_bertoli___riatletizzazione_45.9485_12.9747,Valter Bertoli - Riatletizzazione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/valter_bertoli_-_riatletizzazione_45.9485_12.9747.json,custom
45.955446,12.980433,ov_la_stanza_yoga_45.9554_12.9804,La Stanza Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/la_stanza_yoga_45.9554_12.9804.json,custom
45.956130,12.979789,ov_asd_polisportiva_codroipo___sezione_ginn_45.9561_12.9798,ASD Polisportiva Codroipo - Sezione Ginnastica Artistica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/asd_polisportiva_codroipo_-_sezione_ginn_45.9561_12.9798.json,custom
45.955642,12.978128,ov_scuola_di_danza_dance_art_45.9556_12.9781,Scuola di danza Dance Art,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/scuola_di_danza_dance_art_45.9556_12.9781.json,custom
45.955803,12.978041,ov_pilates_e_garuda_45.9558_12.9780,Pilates e Garuda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/pilates_e_garuda_45.9558_12.9780.json,custom
45.955231,12.978370,ov_scuola_danceart_codroipo_45.9552_12.9784,Scuola Danceart Codroipo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/scuola_danceart_codroipo_45.9552_12.9784.json,custom
45.955851,12.978830,ov_sport_uno_45.9559_12.9788,Sport UNO,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/sport_uno_45.9559_12.9788.json,custom
45.956842,12.979990,ov_palestra_di_arrampicata_indoor_45.9568_12.9800,Palestra di Arrampicata Indoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/palestra_di_arrampicata_indoor_45.9568_12.9800.json,custom
45.957840,12.984270,ov_progetto_attiv_ta_45.9578_12.9843,Progetto AttiVìta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/progetto_attivta_45.9578_12.9843.json,custom
45.959043,12.982568,ov_asd_atletica_2000_45.9590_12.9826,ASD Atletica 2000,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/asd_atletica_2000_45.9590_12.9826.json,custom
45.960763,12.975718,ov_reform_studio_pilates_45.9608_12.9757,Reform Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/reform_studio_pilates_45.9608_12.9757.json,custom
45.960960,12.972910,ov_shg_palestre_45.9610_12.9729,SHG palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/shg_palestre_45.9610_12.9729.json,custom
45.960770,12.974664,ov_palestra_da_bruno_45.9608_12.9747,Palestra Da Bruno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/palestra_da_bruno_45.9608_12.9747.json,custom
45.960842,12.974668,ov_staying_hard_gym_45.9608_12.9747,Staying Hard Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/staying_hard_gym_45.9608_12.9747.json,custom
45.964474,12.957263,ov_active_codroipo_45.9645_12.9573,Active Codroipo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/active_codroipo_45.9645_12.9573.json,custom
45.964407,12.959363,ov_fitup_codroipo_45.9644_12.9594,FitUP Codroipo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/codroipo/pages/fitup_codroipo_45.9644_12.9594.json,custom
