# lat,lng,id,name,building_type,type,url,page_type
# San Martino in Rio -- Tutti
44.734402,10.782315,ov_ospedale_santa_maria_nuova_44.7344_10.7823,Ospedale Santa Maria Nuova,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/ospedale_santa_maria_nuova_44.7344_10.7823.json,custom
44.704853,10.790106,ov_ca_marcos_44.7049_10.7901,Ca Marcos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/ca_marcos_44.7049_10.7901.json,custom
44.733335,10.785807,ov_bar_new_days_44.7333_10.7858,Bar New Days,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/bar_new_days_44.7333_10.7858.json,custom
44.733747,10.783322,ov_bar_laricaff__44.7337_10.7833,Bar Laricaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/bar_laricaff_44.7337_10.7833.json,custom
44.728924,10.781323,ov_movingdrink_44.7289_10.7813,Movingdrink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/movingdrink_44.7289_10.7813.json,custom
44.737768,10.788059,ov_mimi___coco_44.7378_10.7881,Mimi & Coco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/mimi_coco_44.7378_10.7881.json,custom
44.736274,10.784951,ov_dab_un_beershop_emili_n_44.7363_10.7850,Dabòun beershop emiliàn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/dabun_beershop_emilin_44.7363_10.7850.json,custom
44.734380,10.780592,ov_bar_mario_44.7344_10.7806,Bar Mario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/bar_mario_44.7344_10.7806.json,custom
44.738208,10.791671,ov_black_or_white_44.7382_10.7917,Black or White,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/black_or_white_44.7382_10.7917.json,custom
44.735995,10.786793,ov_palestra_bombonera_44.7360_10.7868,Palestra Bombonera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/palestra_bombonera_44.7360_10.7868.json,custom
44.739750,10.813700,ov_il_vigneto_centro_ippico_44.7398_10.8137,Il Vigneto Centro Ippico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/il_vigneto_centro_ippico_44.7398_10.8137.json,custom
44.698506,10.765014,ov_circolo_ippico_san_martino_44.6985_10.7650,Circolo Ippico San Martino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/circolo_ippico_san_martino_44.6985_10.7650.json,custom
44.733010,10.784720,ov_museo_dell_agricoltura_e_del_mondo_rural_44.7330_10.7847,Museo dell'Agricoltura e del Mondo Rurale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/museo_dellagricoltura_e_del_mondo_rurale_44.7330_10.7847.json,custom
44.732484,10.784611,ov_rocca_estense_44.7325_10.7846,Rocca Estense,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/rocca_estense_44.7325_10.7846.json,custom
44.733011,10.784728,ov_library_san_martino_in_rio_44.7330_10.7847,Library San Martino in Rio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_in_rio/pages/library_san_martino_in_rio_44.7330_10.7847.json,custom
