# lat,lng,id,name,building_type,type,url,page_type
# baranzate -- Tutti
45.522379,9.125662,ov_ospedale_sacco_padiglione_72_45.5224_9.1257,Ospedale Sacco Padiglione 72,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/ospedale_sacco_padiglione_72_45.5224_9.1257.json,custom
45.525324,9.117414,osm_pizzeria_da_napo_45.5253_9.1174,Pizzeria da Napo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/pizzeria_da_napo_45.5253_9.1174.json,custom
45.523129,9.101453,osm_ingalera_45.5231_9.1015,InGalera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/ingalera_45.5231_9.1015.json,custom
45.503266,9.123111,ov_el_cafferin_45.5033_9.1231,El Cafferin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/el_cafferin_45.5033_9.1231.json,custom
45.522451,9.104789,ov_twins_bar_45.5225_9.1048,Twins Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/twins_bar_45.5225_9.1048.json,custom
45.523239,9.103190,ov_pablo_caffe_45.5232_9.1032,Pablo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/pablo_caffe_45.5232_9.1032.json,custom
45.530721,9.105887,ov_bar_atlantic_45.5307_9.1059,Bar Atlantic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/bar_atlantic_45.5307_9.1059.json,custom
45.526670,9.111720,ov_associazione_musicale_d__scarlatti___bar_45.5267_9.1117,Associazione Musicale D. Scarlatti - Baranzate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/associazione_musicale_d_scarlatti_-_bara_45.5267_9.1117.json,custom
45.526530,9.097439,ov_caff__del_centro_45.5265_9.0974,Caffè del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/caff_del_centro_45.5265_9.0974.json,custom
45.526338,9.106098,ov_a_modo_mio_45.5263_9.1061,A Modo Mio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/a_modo_mio_45.5263_9.1061.json,custom
45.527858,9.116945,ov_bar_sport_snai_tabacchi_45.5279_9.1169,Bar Sport SNAI Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/bar_sport_snai_tabacchi_45.5279_9.1169.json,custom
45.527130,9.117040,ov_history_pasticceria_45.5271_9.1170,History pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/history_pasticceria_45.5271_9.1170.json,custom
45.527226,9.111744,osm_i_tabacchi_vostri_45.5272_9.1117,I Tabacchi Vostri,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/i_tabacchi_vostri_45.5272_9.1117.json,custom
45.527788,9.109530,osm_alex_bar_45.5278_9.1095,Alex Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/alex_bar_45.5278_9.1095.json,custom
45.526541,9.116715,osm_shelly_45.5265_9.1167,Shelly,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/shelly_45.5265_9.1167.json,custom
45.526957,9.116935,osm_mille_voglie_45.5270_9.1169,Mille Voglie,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/mille_voglie_45.5270_9.1169.json,custom
45.527730,9.109820,ov_just_fitness_45.5277_9.1098,Just Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/just_fitness_45.5277_9.1098.json,custom
45.528049,9.109501,ov_virgin_active_45.5280_9.1095,Virgin Active,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/virgin_active_45.5280_9.1095.json,custom
45.526485,9.111124,ov_asd_fly_dance_studio_45.5265_9.1111,ASD Fly Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/asd_fly_dance_studio_45.5265_9.1111.json,custom
45.525020,9.115120,ov_prontosport_borse_per_lo_sport_e_il_temp_45.5250_9.1151,PRONTOSPORT borse per lo sport e il tempo libero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/prontosport_borse_per_lo_sport_e_il_temp_45.5250_9.1151.json,custom
45.524715,9.121639,ov_palestra_le_lune_a_s_d__45.5247_9.1216,Palestra Le Lune A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/palestra_le_lune_asd_45.5247_9.1216.json,custom
45.522890,9.115550,ov_fitactive_baranzate_45.5229_9.1156,FitActive Baranzate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/fitactive_baranzate_45.5229_9.1156.json,custom
45.526581,9.116220,osm_poste_italiane_45.5266_9.1162,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/poste_italiane_45.5266_9.1162.json,custom
45.526730,9.115200,ov_il_quadrato_45.5267_9.1152,Il Quadrato,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/il_quadrato_45.5267_9.1152.json,custom
45.526230,9.115430,osm_biblioteca_comunale_il_quadrato_45.5262_9.1154,Biblioteca Comunale Il Quadrato,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/biblioteca_comunale_il_quadrato_45.5262_9.1154.json,custom
