# lat,lng,id,name,building_type,type,url,page_type
# Arese -- Tutti
45.562591,9.064952,ov_azienda_ospedaliera_ospedale_niguarda_c__45.5626_9.0650,Azienda Ospedaliera Ospedale Niguarda Cà Granda,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/azienda_ospedaliera_ospedale_niguarda_c__45.5626_9.0650.json,custom
45.559943,9.060750,ov_southern_railways_45.5599_9.0607,Southern Railways,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/southern_railways_45.5599_9.0607.json,custom
45.561558,9.053098,ov_panino_giusto_45.5616_9.0531,Panino Giusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/panino_giusto_45.5616_9.0531.json,custom
45.557873,9.046929,ov_alfa_romeo_caff__e_bistr__45.5579_9.0469,Alfa Romeo Caffè e Bistrò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/alfa_romeo_caff_e_bistr_45.5579_9.0469.json,custom
45.553598,9.062074,ov_new_garden_bar_45.5536_9.0621,New Garden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/new_garden_bar_45.5536_9.0621.json,custom
45.551158,9.077046,osm_gigo_caff__45.5512_9.0770,Gigo Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/gigo_caff_45.5512_9.0770.json,custom
45.552035,9.073079,osm_bar_orchidea_45.5520_9.0731,Bar Orchidea,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/bar_orchidea_45.5520_9.0731.json,custom
45.551751,9.077862,osm_bar_apollo_45.5518_9.0779,Bar Apollo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/bar_apollo_45.5518_9.0779.json,custom
45.546951,9.085580,osm_il_nuovo_grancaff__45.5470_9.0856,Il nuovo GranCaffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/il_nuovo_grancaff_45.5470_9.0856.json,custom
45.546420,9.086022,osm_il_principe_45.5464_9.0860,Il Principe,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/il_principe_45.5464_9.0860.json,custom
45.548446,9.078555,osm_qui_arese_techcaf__45.5484_9.0786,Qui Arese TechCafé,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/qui_arese_techcaf_45.5484_9.0786.json,custom
45.550255,9.078483,osm_bar_smile_45.5503_9.0785,Bar Smile,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/bar_smile_45.5503_9.0785.json,custom
45.552122,9.074687,osm_white_chocolate_caf__45.5521_9.0747,White Chocolate Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/white_chocolate_caf_45.5521_9.0747.json,custom
45.557246,9.082000,osm_caff__letterario_agor__45.5572_9.0820,Caffè Letterario Agorà,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/caff_letterario_agor_45.5572_9.0820.json,custom
45.550228,9.078143,osm_dolce_caff__45.5502_9.0781,Dolce Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/dolce_caff_45.5502_9.0781.json,custom
45.552877,9.080584,osm_pane_e_salame_45.5529_9.0806,Pane e Salame,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/pane_e_salame_45.5529_9.0806.json,custom
45.543333,9.079741,osm_la_cr_me_45.5433_9.0797,La Crème,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/la_crme_45.5433_9.0797.json,custom
45.548808,9.078536,osm_el_bar_lafus_45.5488_9.0785,El Bar Lafus,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/el_bar_lafus_45.5488_9.0785.json,custom
45.545365,9.078210,osm_chic_maison_caf__45.5454_9.0782,Chic maison cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/chic_maison_caf_45.5454_9.0782.json,custom
45.551014,9.081261,osm_bar_giuli_45.5510_9.0813,Bar Giuli,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/bar_giuli_45.5510_9.0813.json,custom
45.556109,9.075245,osm_number_one_45.5561_9.0752,Number One,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/number_one_45.5561_9.0752.json,custom
45.564247,9.046420,ov_autodromo_arese_45.5642_9.0464,Autodromo Arese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/autodromo_arese_45.5642_9.0464.json,custom
45.545159,9.078398,ov_zoi_yoga_45.5452_9.0784,Zoi Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/zoi_yoga_45.5452_9.0784.json,custom
45.545047,9.078754,ov_marzia_bendotti_45.5450_9.0788,Marzia Bendotti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/marzia_bendotti_45.5450_9.0788.json,custom
45.546539,9.078647,ov_in_forma_wellness_club_45.5465_9.0786,In Forma Wellness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/in_forma_wellness_club_45.5465_9.0786.json,custom
45.546581,9.078470,ov_ambra_yoga_45.5466_9.0785,ambra.yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ambrayoga_45.5466_9.0785.json,custom
45.546079,9.086420,ov_forum_srl_45.5461_9.0864,Forum SRL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/forum_srl_45.5461_9.0864.json,custom
45.551703,9.075130,ov_vertex_45.5517_9.0751,Vertex,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/vertex_45.5517_9.0751.json,custom
45.551544,9.075248,ov_i_love_pilates_45.5515_9.0752,I Love Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/i_love_pilates_45.5515_9.0752.json,custom
