# lat,lng,id,name,building_type,type,url,page_type
# chianciano_terme -- Tutti
43.056489,11.830238,ov_ex_ospedale_chianciano_43.0565_11.8302,Ex ospedale chianciano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ex_ospedale_chianciano_43.0565_11.8302.json,custom
43.049999,11.820325,ov_pizza_al_volo_43.0500_11.8203,Pizza Al Volo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/pizza_al_volo_43.0500_11.8203.json,custom
43.052685,11.819554,ov_ristorante_nanda_43.0527_11.8196,Ristorante Nanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_nanda_43.0527_11.8196.json,custom
43.052837,11.820624,ov_ristorante_patry_43.0528_11.8206,Ristorante Patry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_patry_43.0528_11.8206.json,custom
43.054476,11.823033,ov_pomodoro_matto_43.0545_11.8230,Pomodoro Matto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/pomodoro_matto_43.0545_11.8230.json,custom
43.053795,11.820695,ov_pizzeria_ciritorno_43.0538_11.8207,Pizzeria Ciritorno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/pizzeria_ciritorno_43.0538_11.8207.json,custom
43.056388,11.822980,ov_il_caminetto_43.0564_11.8230,Il Caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/il_caminetto_43.0564_11.8230.json,custom
43.056550,11.822789,ov_chianina_station_43.0566_11.8228,Chianina Station,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/chianina_station_43.0566_11.8228.json,custom
43.057635,11.828230,ov_pescheria_golfo_di_gaeta_43.0576_11.8282,Pescheria Golfo di Gaeta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/pescheria_golfo_di_gaeta_43.0576_11.8282.json,custom
43.057903,11.825235,ov_ristorante_il_calimero_43.0579_11.8252,Ristorante Il Calimero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_il_calimero_43.0579_11.8252.json,custom
43.058161,11.829243,ov_la_torretta_chianciano_43.0582_11.8292,La Torretta Chianciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/la_torretta_chianciano_43.0582_11.8292.json,custom
43.058005,11.828212,ov_il_buco_43.0580_11.8282,Il Buco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/il_buco_43.0580_11.8282.json,custom
43.057937,11.828322,ov_ristorante_pizzeria__hostaria_il_buco__43.0579_11.8283,Ristorante Pizzeria “Hostaria Il Buco”,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_pizzeria_hostaria_il_buco_43.0579_11.8283.json,custom
43.058115,11.830295,ov_il_torotosco_43.0581_11.8303,Il Torotosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/il_torotosco_43.0581_11.8303.json,custom
43.058220,11.830420,ov_ritrovino___chianciano_terme_43.0582_11.8304,Ritrovino - Chianciano Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ritrovino_-_chianciano_terme_43.0582_11.8304.json,custom
43.034730,11.840327,ov_il_rabarbaro_43.0347_11.8403,Il Rabarbaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/il_rabarbaro_43.0347_11.8403.json,custom
43.049957,11.820564,osm_pizza_al_volo_43.0500_11.8206,Pizza al Volo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/pizza_al_volo_43.0500_11.8206.json,custom
43.038853,11.819447,osm_ristorante_hasiu_43.0389_11.8194,Ristorante Hasiu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_hasiu_43.0389_11.8194.json,custom
43.038422,11.811998,osm_ristorante_gabbiano_sushi_43.0384_11.8120,Ristorante Gabbiano Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_gabbiano_sushi_43.0384_11.8120.json,custom
43.042188,11.837582,osm_palazzo_bandino_43.0422_11.8376,Palazzo Bandino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/palazzo_bandino_43.0422_11.8376.json,custom
43.046441,11.814325,ov_bar_rivoli_43.0464_11.8143,Bar Rivoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_rivoli_43.0464_11.8143.json,custom
43.042718,11.815389,ov_caffe_pasqui_43.0427_11.8154,Caffe Pasqui,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/caffe_pasqui_43.0427_11.8154.json,custom
43.043027,11.815174,ov_bar_roma_43.0430_11.8152,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_roma_43.0430_11.8152.json,custom
43.044207,11.814263,ov_bar_le_fonti_43.0442_11.8143,Bar Le Fonti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_le_fonti_43.0442_11.8143.json,custom
43.038519,11.820118,ov_bar_la_rinascente_43.0385_11.8201,Bar La Rinascente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_la_rinascente_43.0385_11.8201.json,custom
43.038657,11.819959,ov_caff__kemathy_43.0387_11.8200,Caffè Kemathy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/caff_kemathy_43.0387_11.8200.json,custom
43.039326,11.818244,ov_bar_caffe_italia_da_fabio_43.0393_11.8182,Bar Caffe Italia da Fabio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_caffe_italia_da_fabio_43.0393_11.8182.json,custom
43.048949,11.819201,ov_enoteca_la_pergola_43.0489_11.8192,Enoteca La Pergola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/enoteca_la_pergola_43.0489_11.8192.json,custom
43.049139,11.819344,ov_dolceamaro_caf__43.0491_11.8193,Dolceamaro Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/dolceamaro_caf_43.0491_11.8193.json,custom
43.049939,11.817946,ov_bar_chianciano_43.0499_11.8179,Bar Chianciano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_chianciano_43.0499_11.8179.json,custom
43.054639,11.822983,ov_bar_marabissi_43.0546_11.8230,Bar Marabissi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_marabissi_43.0546_11.8230.json,custom
43.056527,11.822581,ov_amiata_bar_pasticceria_gelateria_43.0565_11.8226,Amiata Bar Pasticceria Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/amiata_bar_pasticceria_gelateria_43.0565_11.8226.json,custom
43.057533,11.825591,ov_gold_finger_43.0575_11.8256,Gold Finger,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/gold_finger_43.0575_11.8256.json,custom
43.058211,11.827388,ov_wally_garden_s_bar_43.0582_11.8274,Wally Garden's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/wally_gardens_bar_43.0582_11.8274.json,custom
43.057999,11.830236,ov_bar_pasticceria_centro_storico_43.0580_11.8302,Bar Pasticceria Centro Storico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_pasticceria_centro_storico_43.0580_11.8302.json,custom
43.058131,11.831017,ov_caffe_centrale_43.0581_11.8310,Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/caffe_centrale_43.0581_11.8310.json,custom
43.043204,11.809103,osm_piscine_termali_theia_43.0432_11.8091,Piscine Termali Theia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/piscine_termali_theia_43.0432_11.8091.json,custom
43.057994,11.830190,osm_pasticceria_centro_storico_43.0580_11.8302,Pasticceria Centro Storico,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/pasticceria_centro_storico_43.0580_11.8302.json,custom
43.042636,11.816097,osm_terme_di_chianciano_43.0426_11.8161,Terme di Chianciano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/terme_di_chianciano_43.0426_11.8161.json,custom
43.056315,11.821709,osm_terme_sorgente_sant_elena_43.0563_11.8217,Terme Sorgente Sant'Elena,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/terme_sorgente_santelena_43.0563_11.8217.json,custom
43.043992,11.812642,ov_l_officina_del_corpo_43.0440_11.8126,L'Officina del corpo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/lofficina_del_corpo_43.0440_11.8126.json,custom
43.050699,11.820515,ov_wod_garage_chianciano_43.0507_11.8205,Wod Garage Chianciano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/wod_garage_chianciano_43.0507_11.8205.json,custom
43.050538,11.820841,ov_sporty_fit_fitness_gym_43.0505_11.8208,Sporty Fit Fitness Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/sporty_fit_fitness_gym_43.0505_11.8208.json,custom
43.031864,11.821629,ov_casanova_dei_fucoli_43.0319_11.8216,Casanova dei Fucoli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/casanova_dei_fucoli_43.0319_11.8216.json,custom
43.047401,11.817067,ov_colosseo_vatican_city_43.0474_11.8171,Colosseo Vatican City,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/colosseo_vatican_city_43.0474_11.8171.json,custom
43.047576,11.815496,ov_museo_civico_archeologico_di_sarteano_43.0476_11.8155,Museo civico archeologico di Sarteano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/museo_civico_archeologico_di_sarteano_43.0476_11.8155.json,custom
43.051093,11.819238,ov_chianciano_art_museum___museo_d_arte_di__43.0511_11.8192,Chianciano Art Museum - Museo d'Arte di Chianciano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/chianciano_art_museum_-_museo_darte_di_c_43.0511_11.8192.json,custom
43.058293,11.825935,ov_museo_civico_archeologico_43.0583_11.8259,Museo civico archeologico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/museo_civico_archeologico_43.0583_11.8259.json,custom
43.058580,11.831151,osm_ufficio_postale_di_chianciano_terme__43.0586_11.8312,Ufficio Postale di Chianciano Terme.,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ufficio_postale_di_chianciano_terme_43.0586_11.8312.json,custom
43.058431,11.827641,ov_biblioteca_chiancianoterme_43.0584_11.8276,biblioteca_chiancianoterme,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bibliotecachiancianoterme_43.0584_11.8276.json,custom
