# lat,lng,id,name,building_type,type,url,page_type
# Piedimonte San Germano -- Tutti
41.500307,13.743764,ov_r_s_a__san_germano_41.5003_13.7438,R.S.A. San Germano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/rsa_san_germano_41.5003_13.7438.json,custom
41.496435,13.749291,ov_il_forno_di_anna_41.4964_13.7493,Il Forno di Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/il_forno_di_anna_41.4964_13.7493.json,custom
41.497864,13.751980,ov_pizzeria_l_incontro_41.4979_13.7520,Pizzeria L'Incontro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/pizzeria_lincontro_41.4979_13.7520.json,custom
41.498989,13.752522,ov_ristorante_enoteca_agor__41.4990_13.7525,Ristorante Enoteca Agorá,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/ristorante_enoteca_agor_41.4990_13.7525.json,custom
41.499632,13.753028,ov_pizzeria_napoletana_express_41.4996_13.7530,Pizzeria Napoletana Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/pizzeria_napoletana_express_41.4996_13.7530.json,custom
41.497490,13.754366,ov_mordi_e_fuggi_41.4975_13.7544,Mordi e fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/mordi_e_fuggi_41.4975_13.7544.json,custom
41.494994,13.758001,ov_mcdonald_s_41.4950_13.7580,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/mcdonalds_41.4950_13.7580.json,custom
41.452720,13.751780,ov_country_caf__41.4527_13.7518,Country CAFÉ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/country_caf_41.4527_13.7518.json,custom
41.497101,13.734529,ov_opera_129_41.4971_13.7345,Opera 129,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/opera_129_41.4971_13.7345.json,custom
41.497383,13.732387,ov_dolce_caff__41.4974_13.7324,Dolce Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/dolce_caff_41.4974_13.7324.json,custom
41.500003,13.748654,ov_bar_dello_sport_di_aristide_rendina_41.5000_13.7487,Bar dello Sport di Aristide Rendina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/bar_dello_sport_di_aristide_rendina_41.5000_13.7487.json,custom
41.495557,13.752357,ov_agora_liquori_e_sapori_41.4956_13.7524,Agora Liquori e Sapori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/agora_liquori_e_sapori_41.4956_13.7524.json,custom
41.497050,13.752117,ov_esteban_cafe_41.4971_13.7521,Esteban Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/esteban_cafe_41.4971_13.7521.json,custom
41.495535,13.750166,ov_monkey_lounge_bar_41.4955_13.7502,Monkey Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/monkey_lounge_bar_41.4955_13.7502.json,custom
41.497019,13.749177,ov_veronique_41.4970_13.7492,Veronique,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/veronique_41.4970_13.7492.json,custom
41.497347,13.750518,ov_bar_costa_41.4973_13.7505,Bar Costa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/bar_costa_41.4973_13.7505.json,custom
41.499107,13.756476,ov_riflessi_di_stella_41.4991_13.7565,Riflessi Di Stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/riflessi_di_stella_41.4991_13.7565.json,custom
41.492915,13.760886,ov_smile_cafe_41.4929_13.7609,Smile Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/smile_cafe_41.4929_13.7609.json,custom
41.506070,13.751770,ov_bar_italia_41.5061_13.7518,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/bar_italia_41.5061_13.7518.json,custom
41.498404,13.747906,ov_salute_in_movimento_41.4984_13.7479,Salute in Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/salute_in_movimento_41.4984_13.7479.json,custom
41.504516,13.751303,ov_castello_dei_conti_daquino_41.5045_13.7513,Castello Dei Conti DAquino,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/castello_dei_conti_daquino_41.5045_13.7513.json,custom
