# lat,lng,id,name,building_type,type,url,page_type
# Pieve del Grappa -- Tutti
45.828157,11.838383,ov_ospedale_crespano_del_grappa_45.8282_11.8384,Ospedale Crespano Del Grappa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/ospedale_crespano_del_grappa_45.8282_11.8384.json,custom
45.835970,11.833880,ov_rifugio_ardosetta_45.8360_11.8339,Rifugio Ardosetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/rifugio_ardosetta_45.8360_11.8339.json,custom
45.828755,11.839961,ov_osteria_san_marco_45.8288_11.8400,Osteria San Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/osteria_san_marco_45.8288_11.8400.json,custom
45.833133,11.844806,ov_trattoria_al_ponte_45.8331_11.8448,Trattoria Al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/trattoria_al_ponte_45.8331_11.8448.json,custom
45.829054,11.839919,ov_ristorante_bar_venezia_45.8291_11.8399,Ristorante Bar Venezia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/ristorante_bar_venezia_45.8291_11.8399.json,custom
45.829735,11.839025,ov_giuseppe_verdi_45.8297_11.8390,Giuseppe Verdi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/giuseppe_verdi_45.8297_11.8390.json,custom
45.843465,11.853441,ov_frasca_da_moena_45.8435_11.8534,Frasca da Moena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/frasca_da_moena_45.8435_11.8534.json,custom
45.827019,11.852471,ov_pizzeria_al_sole_45.8270_11.8525,Pizzeria Al Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/pizzeria_al_sole_45.8270_11.8525.json,custom
45.828057,11.858306,ov_ristorante_il_melograno_45.8281_11.8583,Ristorante Il Melograno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/ristorante_il_melograno_45.8281_11.8583.json,custom
45.830694,11.863210,ov_agriturismo_al_poset_45.8307_11.8632,Agriturismo al Poset,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/agriturismo_al_poset_45.8307_11.8632.json,custom
45.842831,11.858790,ov_agriturismo_al_vecchio_borgo_45.8428_11.8588,Agriturismo Al Vecchio Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/agriturismo_al_vecchio_borgo_45.8428_11.8588.json,custom
45.812570,11.869661,ov_osteria_bellavista_ristorante_45.8126_11.8697,Osteria Bellavista Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/osteria_bellavista_ristorante_45.8126_11.8697.json,custom
45.811674,11.862289,ov_canciani_45.8117_11.8623,Canciani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/canciani_45.8117_11.8623.json,custom
45.820727,11.857132,ov_agriturismo_forno_antico_45.8207_11.8571,Agriturismo Forno Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/agriturismo_forno_antico_45.8207_11.8571.json,custom
45.861210,11.841720,ov_hoch_holle___ostaria_da_miki_45.8612_11.8417,Hoch Holle - Ostaria Da Miki,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/hoch_holle_-_ostaria_da_miki_45.8612_11.8417.json,custom
45.828707,11.837804,ov_bg27___bar_girasole_45.8287_11.8378,BG27 - Bar Girasole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/bg27_-_bar_girasole_45.8287_11.8378.json,custom
45.829028,11.838913,ov_golden_bar_45.8290_11.8389,Golden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/golden_bar_45.8290_11.8389.json,custom
45.829700,11.855570,ov_bar_posta_di_reginato_serena_45.8297_11.8556,Bar Posta di Reginato Serena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/bar_posta_di_reginato_serena_45.8297_11.8556.json,custom
45.817983,11.843987,ov_dek__45.8180_11.8440,Dekè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/dek_45.8180_11.8440.json,custom
45.829755,11.855529,osm_bar_posta_45.8298_11.8555,Bar Posta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/bar_posta_45.8298_11.8555.json,custom
45.826606,11.857843,ov_centro_sportivo_filippin_45.8266_11.8578,Centro Sportivo Filippin,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/centro_sportivo_filippin_45.8266_11.8578.json,custom
45.814229,11.872297,ov_palestra_millennium_45.8142_11.8723,Palestra Millennium,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/palestra_millennium_45.8142_11.8723.json,custom
45.815218,11.849485,ov_alpha_ap_fitness_45.8152_11.8495,Alpha AP Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/alpha_ap_fitness_45.8152_11.8495.json,custom
45.817690,11.843380,ov_mx_crespanoland_45.8177_11.8434,Mx CrespanoLand,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/mx_crespanoland_45.8177_11.8434.json,custom
45.873465,11.802182,ov_monte_grappa_cultura_e_sport_45.8735_11.8022,Monte Grappa cultura e sport,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/monte_grappa_cultura_e_sport_45.8735_11.8022.json,custom
45.828528,11.839832,ov_palazzo_reale_45.8285_11.8398,Palazzo Reale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/palazzo_reale_45.8285_11.8398.json,custom
45.829239,11.840789,ov_biblioteca_comunale_di_pieve_del_grappa_45.8292_11.8408,Biblioteca Comunale di Pieve del Grappa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/biblioteca_comunale_di_pieve_del_grappa_45.8292_11.8408.json,custom
45.827080,11.851980,ov_comitato_biblioteca_di_paderno_del_grapp_45.8271_11.8520,Comitato Biblioteca di Paderno del Grappa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/comitato_biblioteca_di_paderno_del_grapp_45.8271_11.8520.json,custom
