# lat,lng,id,name,building_type,type,url,page_type
# tarquinia -- Tutti
42.250021,11.759461,ov_ospedale_di_tarquinia_pronto_soccorso_42.2500_11.7595,Ospedale di Tarquinia Pronto Soccorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/ospedale_di_tarquinia_pronto_soccorso_42.2500_11.7595.json,custom
42.245684,11.749773,ov_la_rotonda_42.2457_11.7498,La Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/la_rotonda_42.2457_11.7498.json,custom
42.240317,11.744789,ov_il_ditirambo_42.2403_11.7448,IL Ditirambo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/il_ditirambo_42.2403_11.7448.json,custom
42.239364,11.743371,ov_bar_pizzeria_memory_42.2394_11.7434,Bar Pizzeria Memory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/bar_pizzeria_memory_42.2394_11.7434.json,custom
42.239242,11.738390,ov_valletrusca_srl_42.2392_11.7384,Valletrusca SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/valletrusca_srl_42.2392_11.7384.json,custom
42.238898,11.743975,ov_trattoria_dissapori_42.2389_11.7440,Trattoria Dissapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/trattoria_dissapori_42.2389_11.7440.json,custom
42.224409,11.730033,ov_ristorante_girardengo_42.2244_11.7300,Ristorante Girardengo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/ristorante_girardengo_42.2244_11.7300.json,custom
42.224330,11.716970,ov_300gradi_42.2243_11.7170,300gradi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/300gradi_42.2243_11.7170.json,custom
42.222279,11.709799,ov_ristorante_velcamare_42.2223_11.7098,Ristorante Velcamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/ristorante_velcamare_42.2223_11.7098.json,custom
42.222520,11.708270,ov_kolobok_lab_42.2225_11.7083,kolobok_lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/koloboklab_42.2225_11.7083.json,custom
42.222520,11.708270,ov_porti_via__i_marinai_42.2225_11.7083,Porti via? I Marinai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/porti_via_i_marinai_42.2225_11.7083.json,custom
42.223508,11.704471,ov_cento_lire_lido_di_tarquinia_42.2235_11.7045,Cento Lire Lido di Tarquinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/cento_lire_lido_di_tarquinia_42.2235_11.7045.json,custom
42.223902,11.705325,ov_meet_me_42.2239_11.7053,Meet Me,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/meet_me_42.2239_11.7053.json,custom
42.224655,11.707850,ov_pizzeria_rustica_42.2247_11.7079,Pizzeria Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/pizzeria_rustica_42.2247_11.7079.json,custom
42.224461,11.707180,ov_il_primitivo_42.2245_11.7072,IL Primitivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/il_primitivo_42.2245_11.7072.json,custom
42.224160,11.705441,ov_riva_il_confine_tra_terra_e_mare_42.2242_11.7054,RIVA il confine tra terra e mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/riva_il_confine_tra_terra_e_mare_42.2242_11.7054.json,custom
42.224446,11.706908,ov_tarquinialido_42.2244_11.7069,tarquinialido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/tarquinialido_42.2244_11.7069.json,custom
42.220183,11.706447,ov_riva_blues_42.2202_11.7064,Riva Blues,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/riva_blues_42.2202_11.7064.json,custom
42.221526,11.705398,ov_stabilimento_las_vegas_42.2215_11.7054,Stabilimento Las Vegas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/stabilimento_las_vegas_42.2215_11.7054.json,custom
42.221565,11.709240,ov_la_braceria_di_velcamare_42.2216_11.7092,La Braceria di Velcamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/la_braceria_di_velcamare_42.2216_11.7092.json,custom
42.222020,11.713220,ov_sottosopra_42.2220_11.7132,SottoSopra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/sottosopra_42.2220_11.7132.json,custom
42.217824,11.709736,ov_lupo_di_mare_42.2178_11.7097,Lupo di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/lupo_di_mare_42.2178_11.7097.json,custom
42.217625,11.708264,ov_falcioni_42.2176_11.7083,Falcioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/falcioni_42.2176_11.7083.json,custom
42.217685,11.708461,ov_coco_s_42.2177_11.7085,Coco's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/cocos_42.2177_11.7085.json,custom
42.217917,11.708908,ov_fronte_del_porto_42.2179_11.7089,Fronte del Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/fronte_del_porto_42.2179_11.7089.json,custom
42.218460,11.711661,ov_gusto_bistrot_42.2185_11.7117,Gusto Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/gusto_bistrot_42.2185_11.7117.json,custom
42.206592,11.735219,ov_agriturismo_san_matteo_42.2066_11.7352,Agriturismo San Matteo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/agriturismo_san_matteo_42.2066_11.7352.json,custom
42.250767,11.698083,ov_lo_sperone_42.2508_11.6981,Lo Sperone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/lo_sperone_42.2508_11.6981.json,custom
42.248231,11.751334,ov_horta_grill_bar_42.2482_11.7513,Horta Grill Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/horta_grill_bar_42.2482_11.7513.json,custom
42.256290,11.695158,ov_da_angelo_42.2563_11.6952,Da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/da_angelo_42.2563_11.6952.json,custom
42.269290,11.717010,ov_pepi_s_bar_42.2693_11.7170,Pepi's Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/pepis_bar_42.2693_11.7170.json,custom
42.279275,11.674308,ov_agriturismo_podere_giulio_42.2793_11.6743,Agriturismo Podere Giulio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/agriturismo_podere_giulio_42.2793_11.6743.json,custom
42.279544,11.677319,ov_agriturismo_bagaglia_42.2795_11.6773,Agriturismo-Bagaglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/agriturismo-bagaglia_42.2795_11.6773.json,custom
42.295645,11.647934,ov_corto_maltese_riva_dei_tarquini_42.2956_11.6479,Corto Maltese Riva dei Tarquini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/corto_maltese_riva_dei_tarquini_42.2956_11.6479.json,custom
42.330600,11.671300,ov_piani_degli_alpaca_bistrot_42.3306_11.6713,Piani degli Alpaca Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/piani_degli_alpaca_bistrot_42.3306_11.6713.json,custom
42.254658,11.759844,ov_ristorante_l__alberata_42.2547_11.7598,Ristorante L' Alberata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/ristorante_l_alberata_42.2547_11.7598.json,custom
42.255270,11.755703,ov_l_essenziale_42.2553_11.7557,L'essenziale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/lessenziale_42.2553_11.7557.json,custom
42.255043,11.755506,ov_ristorante_cavatappi_42.2550_11.7555,Ristorante Cavatappi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/ristorante_cavatappi_42.2550_11.7555.json,custom
42.254444,11.757156,ov_la_proposta_42.2544_11.7572,La Proposta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/la_proposta_42.2544_11.7572.json,custom
42.254480,11.755930,ov_isaporidellamiacucina_42.2545_11.7559,Isaporidellamiacucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/isaporidellamiacucina_42.2545_11.7559.json,custom
42.253969,11.755326,ov_arcadia_tarquinia_42.2540_11.7553,Arcadia Tarquinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/arcadia_tarquinia_42.2540_11.7553.json,custom
42.254095,11.756281,ov_therra_42.2541_11.7563,Therra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/therra_42.2541_11.7563.json,custom
42.253575,11.758814,ov_la_quadra_42.2536_11.7588,La Quadra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/la_quadra_42.2536_11.7588.json,custom
42.253980,11.758209,ov_il_boccone_del_prete_42.2540_11.7582,Il Boccone del Prete,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/il_boccone_del_prete_42.2540_11.7582.json,custom
42.253947,11.758341,ov_ristorante_trattoria_a_casa_mia_42.2539_11.7583,Ristorante Trattoria A casa mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/ristorante_trattoria_a_casa_mia_42.2539_11.7583.json,custom
42.254170,11.758620,ov________________________42.2542_11.7586,𝐏𝐀𝐊 𝐊𝐄𝐁𝐀𝐁 𝐓𝐚𝐫𝐪𝐮𝐢𝐧𝐢𝐚-𝐕𝐓,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/_-_42.2542_11.7586.json,custom
42.254324,11.759305,ov_pizza_stewee_42.2543_11.7593,Pizza stewee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/pizza_stewee_42.2543_11.7593.json,custom
42.254506,11.760356,ov_giusta_42.2545_11.7604,Giusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/giusta_42.2545_11.7604.json,custom
42.252675,11.758095,ov_il_v_moro_pizzeria_al_taglio_42.2527_11.7581,Il V Moro Pizzeria Al Taglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/il_v_moro_pizzeria_al_taglio_42.2527_11.7581.json,custom
42.253491,11.758620,ov_il_pesciolino_42.2535_11.7586,Il Pesciolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/il_pesciolino_42.2535_11.7586.json,custom
42.253383,11.756445,ov_fraschetta_volante_42.2534_11.7564,Fraschetta Volante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/fraschetta_volante_42.2534_11.7564.json,custom
42.253311,11.756473,ov_quasi_quasi_42.2533_11.7565,Quasi Quasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/quasi_quasi_42.2533_11.7565.json,custom
42.253427,11.755802,ov_napule_e_42.2534_11.7558,Napule E,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/napule_e_42.2534_11.7558.json,custom
42.253465,11.755982,ov_bacco_perbacco_tarquinia_42.2535_11.7560,Bacco Perbacco Tarquinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/bacco_perbacco_tarquinia_42.2535_11.7560.json,custom
42.252823,11.755888,ov_pizza_point_42.2528_11.7559,Pizza Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/pizza_point_42.2528_11.7559.json,custom
42.251178,11.764049,ov_maremma_che_pizza_42.2512_11.7640,Maremma Che Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/maremma_che_pizza_42.2512_11.7640.json,custom
42.251161,11.756316,ov_cardo_social_lab_42.2512_11.7563,Cardo Social Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/cardo_social_lab_42.2512_11.7563.json,custom
42.250561,11.755417,ov_namo_ristobottega_42.2506_11.7554,Namo Ristobottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/namo_ristobottega_42.2506_11.7554.json,custom
42.250303,11.757287,ov_il_falchetto_42.2503_11.7573,Il Falchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/il_falchetto_42.2503_11.7573.json,custom
42.249501,11.753434,ov_one_bar_42.2495_11.7534,One Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/one_bar_42.2495_11.7534.json,custom
42.248149,11.760039,ov_don_nico_42.2481_11.7600,Don Nico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/don_nico_42.2481_11.7600.json,custom
42.248909,11.753062,ov_il_tagliere_42.2489_11.7531,Il Tagliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/il_tagliere_42.2489_11.7531.json,custom
42.248166,11.757190,ov_la_capanna_del_buttero_42.2482_11.7572,La Capanna del Buttero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/la_capanna_del_buttero_42.2482_11.7572.json,custom
42.247833,11.758547,ov_lo_sperone_42.2478_11.7585,Lo Sperone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/lo_sperone_42.2478_11.7585.json,custom
42.253869,11.757998,osm_trattoria_bruno_paolacci_42.2539_11.7580,Trattoria Bruno Paolacci,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/trattoria_bruno_paolacci_42.2539_11.7580.json,custom
42.296396,11.646301,osm_la_taverna_degli_etruschi_42.2964_11.6463,La Taverna degli Etruschi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/la_taverna_degli_etruschi_42.2964_11.6463.json,custom
42.254275,11.758842,osm_l_ambaradam_42.2543_11.7588,L'Ambaradam,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/lambaradam_42.2543_11.7588.json,custom
42.253341,11.756058,osm_napule___42.2533_11.7561,Napule è,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/napule__42.2533_11.7561.json,custom
42.253358,11.756424,osm_la_cadena_taperia_42.2534_11.7564,La Cadena Taperia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/la_cadena_taperia_42.2534_11.7564.json,custom
42.254224,11.754962,osm_al_pachino_42.2542_11.7550,Al Pachino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/al_pachino_42.2542_11.7550.json,custom
42.167760,11.787448,osm_autogrill_tarquinia_42.1678_11.7874,Autogrill Tarquinia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/autogrill_tarquinia_42.1678_11.7874.json,custom
42.174787,11.736888,ov_le_dune_42.1748_11.7369,Le Dune,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/le_dune_42.1748_11.7369.json,custom
42.227749,11.705043,ov_bar_cafe_racer_42.2277_11.7050,Bar Cafe Racer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/bar_cafe_racer_42.2277_11.7050.json,custom
42.228079,11.704267,ov_bar_laguna_blu_42.2281_11.7043,Bar Laguna Blu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/bar_laguna_blu_42.2281_11.7043.json,custom
42.235176,11.727352,ov_stop_caffe_42.2352_11.7274,Stop Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/stop_caffe_42.2352_11.7274.json,custom
42.234283,11.697437,ov_boa_sorte_42.2343_11.6974,Boa Sorte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/boa_sorte_42.2343_11.6974.json,custom
42.238265,11.729406,ov_jolanda_lunch_bar_42.2383_11.7294,Jolanda Lunch Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/jolanda_lunch_bar_42.2383_11.7294.json,custom
42.242514,11.689489,ov_beach_caf____torre_del_sole_42.2425_11.6895,Beach Cafè - Torre del Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/beach_caf_-_torre_del_sole_42.2425_11.6895.json,custom
42.245610,11.748920,ov_zacafe__tabaccheria_bar_pasticceria_e_ge_42.2456_11.7489,Zacafe' Tabaccheria Bar Pasticceria E Gelateria Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/zacafe_tabaccheria_bar_pasticceria_e_gel_42.2456_11.7489.json,custom
42.240461,11.733407,ov_punto_83_caff__42.2405_11.7334,Punto 83 Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/punto_83_caff_42.2405_11.7334.json,custom
42.223913,11.705318,ov_mitmita_42.2239_11.7053,MitMita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/mitmita_42.2239_11.7053.json,custom
42.224797,11.706670,ov_why_not__42.2248_11.7067,Why not?,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/why_not_42.2248_11.7067.json,custom
42.219479,11.706907,ov_gravisca_42.2195_11.7069,Gravisca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/gravisca_42.2195_11.7069.json,custom
42.220799,11.705977,ov_ristorante_gradinoro_42.2208_11.7060,Ristorante Gradinoro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tarquinia/pages/ristorante_gradinoro_42.2208_11.7060.json,custom
