# lat,lng,id,name,building_type,type,url,page_type
# marano_sul_panaro -- Tutti
44.456530,10.969660,ov_marano_medica_44.4565_10.9697,Marano Medica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/marano_medica_44.4565_10.9697.json,custom
44.436269,10.881975,osm_lo_spino_44.4363_10.8820,Lo Spino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/lo_spino_44.4363_10.8820.json,custom
44.457149,10.922259,osm_locanda_di_denzano_44.4571_10.9223,Locanda di Denzano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/locanda_di_denzano_44.4571_10.9223.json,custom
44.470334,10.940006,osm_osteria_villabianca_44.4703_10.9400,Osteria Villabianca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/osteria_villabianca_44.4703_10.9400.json,custom
44.447480,10.945510,ov_la_refezione_44.4475_10.9455,La Refezione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/la_refezione_44.4475_10.9455.json,custom
44.456753,10.969772,ov_pausa_cafe_44.4568_10.9698,Pausa Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/pausa_cafe_44.4568_10.9698.json,custom
44.454500,10.967100,ov_bar_jessica_44.4545_10.9671,Bar Jessica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/bar_jessica_44.4545_10.9671.json,custom
44.455752,10.966621,ov_caffetteria_centrale_44.4558_10.9666,Caffetteria Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/caffetteria_centrale_44.4558_10.9666.json,custom
44.455797,10.967004,ov_bar_sport_da_zia_44.4558_10.9670,Bar Sport da zia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/bar_sport_da_zia_44.4558_10.9670.json,custom
44.456906,10.968238,ov_circolo_auser_la_grama_44.4569_10.9682,Circolo Auser La Grama,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/circolo_auser_la_grama_44.4569_10.9682.json,custom
44.462932,10.972920,ov_bar_sport_2000_44.4629_10.9729,Bar Sport 2000,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/bar_sport_2000_44.4629_10.9729.json,custom
44.462986,10.973006,ov_king_coffe_44.4630_10.9730,King Coffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/king_coffe_44.4630_10.9730.json,custom
44.459580,10.874260,ov_mx_park_la_barbaiola_44.4596_10.8743,MX Park La Barbaiola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/mx_park_la_barbaiola_44.4596_10.8743.json,custom
44.422994,10.924537,ov_fit_out___muoviti_senza_pareti_44.4230_10.9245,Fit Out - muoviti senza pareti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/fit_out_-_muoviti_senza_pareti_44.4230_10.9245.json,custom
44.461300,10.956480,ov_training_farm_44.4613_10.9565,Training Farm,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/training_farm_44.4613_10.9565.json,custom
44.458897,10.971990,ov_palestra_move_44.4589_10.9720,Palestra MOVE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/palestra_move_44.4589_10.9720.json,custom
44.458785,10.971963,ov_move_fisiopalestra_44.4588_10.9720,Move Fisiopalestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/move_fisiopalestra_44.4588_10.9720.json,custom
44.455266,10.968745,ov_training_farm_studio_44.4553_10.9687,Training Farm Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/training_farm_studio_44.4553_10.9687.json,custom
44.456944,10.967966,ov_palestra_comunale_marcello_torlai_44.4569_10.9680,Palestra Comunale Marcello Torlai,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/palestra_comunale_marcello_torlai_44.4569_10.9680.json,custom
44.456896,10.968260,ov_elderly_club_la_grama_44.4569_10.9683,elderly club La Grama,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/elderly_club_la_grama_44.4569_10.9683.json,custom
44.457021,10.967863,ov_polisportiva_marano_asd_44.4570_10.9679,Polisportiva Marano Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/polisportiva_marano_asd_44.4570_10.9679.json,custom
44.462240,10.964077,ov_associazione_equestre_terre_del_panaro_44.4622_10.9641,Associazione Equestre Terre del Panaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/associazione_equestre_terre_del_panaro_44.4622_10.9641.json,custom
44.463233,10.967708,ov_campo_sportivo_fornacione_44.4632_10.9677,Campo Sportivo Fornacione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/campo_sportivo_fornacione_44.4632_10.9677.json,custom
44.455563,10.971564,ov_colombarone___marano_sul_panaro_44.4556_10.9716,Colombarone - Marano Sul Panaro,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/colombarone_-_marano_sul_panaro_44.4556_10.9716.json,custom
44.455913,10.966756,ov_museo_di_ecologia_e_storia_naturale_44.4559_10.9668,Museo di Ecologia e Storia Naturale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/museo_di_ecologia_e_storia_naturale_44.4559_10.9668.json,custom
44.455943,10.968073,osm_poste_italiane_44.4559_10.9681,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/poste_italiane_44.4559_10.9681.json,custom
