# lat,lng,id,name,building_type,type,url,page_type
# Adrano -- Tutti
37.659456,14.835798,ov_cps_centro_polimedico_santomauro_37.6595_14.8358,CPS Centro Polimedico Santomauro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/cps_centro_polimedico_santomauro_37.6595_14.8358.json,custom
37.682012,14.889446,ov_etnagnam_37.6820_14.8894,Etnagnam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/etnagnam_37.6820_14.8894.json,custom
37.664785,14.828545,ov_il_re_della_piada_37.6648_14.8285,Il Re della Piada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/il_re_della_piada_37.6648_14.8285.json,custom
37.665155,14.827674,ov_rent_evolution_green___vendita__scambio__37.6652_14.8277,"Rent Evolution Green - Vendita, Scambio, Noleggio Veicoli",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/rent_evolution_green_-_vendita_scambio_n_37.6652_14.8277.json,custom
37.665235,14.839625,ov_superpizza_37.6652_14.8396,Superpizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/superpizza_37.6652_14.8396.json,custom
37.666001,14.841285,ov_al_solito_posto_37.6660_14.8413,Al solito posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/al_solito_posto_37.6660_14.8413.json,custom
37.667912,14.839758,ov_pizzeria_3_archi_37.6679_14.8398,Pizzeria 3 Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/pizzeria_3_archi_37.6679_14.8398.json,custom
37.668377,14.835518,ov_abioconsulting___dr__bulla_antonino_37.6684_14.8355,ABioConsulting - Dr. Bulla Antonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/abioconsulting_-_dr_bulla_antonino_37.6684_14.8355.json,custom
37.668396,14.831518,ov_the_chef_pizzeria_d_autore_37.6684_14.8315,The Chef Pizzeria D'Autore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/the_chef_pizzeria_dautore_37.6684_14.8315.json,custom
37.668260,14.832030,ov_pizzeria_anima_e_core_37.6683_14.8320,pizzeria Anima e Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/pizzeria_anima_e_core_37.6683_14.8320.json,custom
37.673204,14.840064,ov_etna_napoli_2_0_37.6732_14.8401,Etna Napoli 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/etna_napoli_20_37.6732_14.8401.json,custom
37.673032,14.839588,ov_mordi___fuggi_da_camillo_37.6730_14.8396,Mordi & Fuggi da Camillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/mordi_fuggi_da_camillo_37.6730_14.8396.json,custom
37.673883,14.840284,ov_pizza_mania___adrano_37.6739_14.8403,Pizza Mania - Adrano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/pizza_mania_-_adrano_37.6739_14.8403.json,custom
37.672830,14.838419,ov_bistr__gastronomico_37.6728_14.8384,Bistrò Gastronomico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/bistr_gastronomico_37.6728_14.8384.json,custom
37.669464,14.831812,ov_lo_spiedo_37.6695_14.8318,Lo Spiedo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/lo_spiedo_37.6695_14.8318.json,custom
37.654349,14.841810,ov_cafe_de_paris_37.6543_14.8418,Cafe de Paris,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/cafe_de_paris_37.6543_14.8418.json,custom
37.659095,14.839209,ov_guduria_sicily_37.6591_14.8392,Guduria Sicily,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/guduria_sicily_37.6591_14.8392.json,custom
37.662095,14.832931,ov_note_di_caffe_37.6621_14.8329,Note di Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/note_di_caffe_37.6621_14.8329.json,custom
37.662302,14.835814,ov_garden_bar_37.6623_14.8358,Garden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/garden_bar_37.6623_14.8358.json,custom
37.663074,14.831500,ov_tomaselli_bar_pasticceria_37.6631_14.8315,Tomaselli Bar&Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/tomaselli_barpasticceria_37.6631_14.8315.json,custom
37.662888,14.834078,ov_bar_tabacchi_pulvirenti_37.6629_14.8341,Bar Tabacchi Pulvirenti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/bar_tabacchi_pulvirenti_37.6629_14.8341.json,custom
37.662871,14.832374,ov_caff__umberto_37.6629_14.8324,Caffè Umberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/caff_umberto_37.6629_14.8324.json,custom
37.663918,14.831014,ov_pachamama_wine_bar_37.6639_14.8310,Pachamama Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/pachamama_wine_bar_37.6639_14.8310.json,custom
37.664005,14.829460,ov_caff__del_corso_37.6640_14.8295,Caffè del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/caff_del_corso_37.6640_14.8295.json,custom
37.664075,14.829295,ov_la_bottega_delle_grazie_37.6641_14.8293,La Bottega Delle Grazie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/la_bottega_delle_grazie_37.6641_14.8293.json,custom
37.664092,14.826126,ov_o_sci__modern_caf__37.6641_14.8261,O'scià modern cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/osci_modern_caf_37.6641_14.8261.json,custom
37.663551,14.834848,ov_caffe_ottocento_37.6636_14.8348,Caffe Ottocento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/caffe_ottocento_37.6636_14.8348.json,custom
37.663307,14.831020,ov_coffee_and_chocolate_37.6633_14.8310,Coffee and Chocolate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/coffee_and_chocolate_37.6633_14.8310.json,custom
37.663258,14.831490,ov_caffe_europa_37.6633_14.8315,Caffe Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/caffe_europa_37.6633_14.8315.json,custom
37.663358,14.842161,ov_bar_tabacchi_cafe_inn_37.6634_14.8422,Bar Tabacchi Cafe Inn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/bar_tabacchi_cafe_inn_37.6634_14.8422.json,custom
37.661213,14.833142,ov_caf__noir_37.6612_14.8331,Cafè Noir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/caf_noir_37.6612_14.8331.json,custom
37.660994,14.830327,ov_magma_caff__37.6610_14.8303,Magma Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/magma_caff_37.6610_14.8303.json,custom
37.661150,14.835370,ov_cafe_marilyn__panineria_kebab__37.6611_14.8354,"Cafe Marilyn. panineria,kebab.",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/cafe_marilyn_panineriakebab_37.6611_14.8354.json,custom
37.660615,14.837504,ov_square_cosmopolitan_bar_37.6606_14.8375,SQUARE Cosmopolitan Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/square_cosmopolitan_bar_37.6606_14.8375.json,custom
37.659610,14.835231,ov_caf__elite_37.6596_14.8352,Cafè Elite,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/caf_elite_37.6596_14.8352.json,custom
37.659433,14.838850,ov_bar_fratelli_dell_aquila_37.6594_14.8389,Bar Fratelli Dell'Aquila,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/bar_fratelli_dellaquila_37.6594_14.8389.json,custom
37.665150,14.836620,ov_la_corte_del_fornaio_37.6651_14.8366,La Corte Del Fornaio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/la_corte_del_fornaio_37.6651_14.8366.json,custom
37.664820,14.833940,ov_genesi_1_37.6648_14.8339,Genesi 1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/genesi_1_37.6648_14.8339.json,custom
37.671937,14.838654,ov_bar_soma_37.6719_14.8387,BAR SOMA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/bar_soma_37.6719_14.8387.json,custom
37.671489,14.835681,ov_ls_caffe_37.6715_14.8357,LS Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/ls_caffe_37.6715_14.8357.json,custom
37.656288,14.840532,ov_gymnicus_palestre_37.6563_14.8405,Gymnicus Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/gymnicus_palestre_37.6563_14.8405.json,custom
37.659059,14.835238,ov_athenea_dance_academy_37.6591_14.8352,Athenea Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/athenea_dance_academy_37.6591_14.8352.json,custom
37.659242,14.835273,ov_jeasi_sport_37.6592_14.8353,Jeasi Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/jeasi_sport_37.6592_14.8353.json,custom
37.663650,14.840300,ov_core_37.6636_14.8403,CORE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/core_37.6636_14.8403.json,custom
37.661305,14.833300,ov_eusoma_37.6613_14.8333,Eusoma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/eusoma_37.6613_14.8333.json,custom
37.687904,14.842405,ov_maneggio_green_park_37.6879_14.8424,Maneggio Green Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/maneggio_green_park_37.6879_14.8424.json,custom
37.669618,14.828232,ov_accademia_di_danza_aqui_se_baila_37.6696_14.8282,Accademia Di Danza Aqui Se Baila,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/accademia_di_danza_aqui_se_baila_37.6696_14.8282.json,custom
37.664291,14.833060,ov_biblioteca_comunale_comm_rosario_russo___37.6643_14.8331,Biblioteca Comunale Comm.Rosario Russo - Adrano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/biblioteca_comunale_commrosario_russo_-__37.6643_14.8331.json,custom
