# lat,lng,id,name,building_type,type,url,page_type
# gavirate -- Tutti
45.842521,8.712358,osm_asst_sette_laghi___casa_di_comunit__di_g_45.8425_8.7124,ASST Sette Laghi - Casa di Comunità di Gavirate,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/asst_sette_laghi_-_casa_di_comunit_di_ga_45.8425_8.7124.json,custom
45.843419,8.717294,ov_bugigattolo_45.8434_8.7173,Bugigattolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/bugigattolo_45.8434_8.7173.json,custom
45.843660,8.716795,ov_la_scarpetta_gastronomia_45.8437_8.7168,La Scarpetta gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/la_scarpetta_gastronomia_45.8437_8.7168.json,custom
45.844728,8.715430,ov_mcdonald_s_45.8447_8.7154,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/mcdonalds_45.8447_8.7154.json,custom
45.842693,8.715219,ov_strapizza___mi_45.8427_8.7152,Strapizza...Mi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/strapizzami_45.8427_8.7152.json,custom
45.838912,8.716178,ov_golden_beach_45.8389_8.7162,Golden Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/golden_beach_45.8389_8.7162.json,custom
45.841270,8.711520,ov_pizza_champs_45.8413_8.7115,Pizza Champs,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/pizza_champs_45.8413_8.7115.json,custom
45.841978,8.713947,ov_pizzeria_vecchio_ottocento_45.8420_8.7139,Pizzeria Vecchio Ottocento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/pizzeria_vecchio_ottocento_45.8420_8.7139.json,custom
45.843349,8.714398,ov_ristorante_la_stadera___tartufo___territ_45.8433_8.7144,Ristorante La Stadera – Tartufo & Territorio | Gavirate (VA),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/ristorante_la_stadera_tartufo_territorio_45.8433_8.7144.json,custom
45.844749,8.711810,ov_pizzotta_45.8447_8.7118,Pizzotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/pizzotta_45.8447_8.7118.json,custom
45.843582,8.706613,ov_mcdonald_s_45.8436_8.7066,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/mcdonalds_45.8436_8.7066.json,custom
45.839001,8.704489,ov_myke_45.8390_8.7045,Myke,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/myke_45.8390_8.7045.json,custom
45.838762,8.704727,ov_la_piadineria_45.8388_8.7047,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/la_piadineria_45.8388_8.7047.json,custom
45.838400,8.704659,ov_kyosko_sushi_45.8384_8.7047,Kyosko Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/kyosko_sushi_45.8384_8.7047.json,custom
45.838454,8.704329,ov_rossopomodoro_gavirate_45.8385_8.7043,Rossopomodoro Gavirate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/rossopomodoro_gavirate_45.8385_8.7043.json,custom
45.851468,8.705138,ov_kioto_gavirate_45.8515_8.7051,Kioto Gavirate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/kioto_gavirate_45.8515_8.7051.json,custom
45.851810,8.705049,ov_pizza_revolution_gavirate_45.8518_8.7050,Pizza Revolution Gavirate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/pizza_revolution_gavirate_45.8518_8.7050.json,custom
45.843108,8.718688,osm_il_mago___pizzeria_kebab_panineria_45.8431_8.7187,Il Mago - Pizzeria Kebab Panineria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/il_mago_-_pizzeria_kebab_panineria_45.8431_8.7187.json,custom
45.841770,8.714318,osm_vecchio_ottocento_45.8418_8.7143,Vecchio Ottocento,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/vecchio_ottocento_45.8418_8.7143.json,custom
45.820570,8.740705,osm_ristorante_pizzeria_del_lago_45.8206_8.7407,Ristorante pizzeria del lago,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/ristorante_pizzeria_del_lago_45.8206_8.7407.json,custom
45.843560,8.714057,osm_mangiare_e_bere_45.8436_8.7141,Mangiare e bere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/mangiare_e_bere_45.8436_8.7141.json,custom
45.839253,8.728526,osm_sapore_di_mare_45.8393_8.7285,Sapore di mare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/sapore_di_mare_45.8393_8.7285.json,custom
45.840378,8.723790,osm_villa_cocca_45.8404_8.7238,Villa Cocca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/villa_cocca_45.8404_8.7238.json,custom
45.823800,8.745122,ov_bar_del_ponte_45.8238_8.7451,Bar del Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/bar_del_ponte_45.8238_8.7451.json,custom
45.838938,8.720370,ov_tamarindo_45.8389_8.7204,Tamarindo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/tamarindo_45.8389_8.7204.json,custom
45.839493,8.719384,ov_galpa_beach___bar_bistrot___gavirate___a_45.8395_8.7194,Galpa Beach | Bar Bistrot | Gavirate | Aperitivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/galpa_beach_bar_bistrot_gavirate_aperiti_45.8395_8.7194.json,custom
45.842953,8.718270,ov_cantina_piemontese_45.8430_8.7183,Cantina Piemontese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/cantina_piemontese_45.8430_8.7183.json,custom
45.842685,8.717532,ov_il_cortile_di_lorenzo_45.8427_8.7175,Il Cortile di Lorenzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/il_cortile_di_lorenzo_45.8427_8.7175.json,custom
45.843744,8.716584,ov_tasty_corner_45.8437_8.7166,Tasty Corner,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/tasty_corner_45.8437_8.7166.json,custom
45.844643,8.714930,ov_il_muretto___bar_e_gelateria_45.8446_8.7149,Il Muretto - Bar e gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/il_muretto_-_bar_e_gelateria_45.8446_8.7149.json,custom
45.844327,8.712023,ov_choco_bar_45.8443_8.7120,Choco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/choco_bar_45.8443_8.7120.json,custom
45.838723,8.704649,ov_gourmall_45.8387_8.7046,Gourmall,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/gourmall_45.8387_8.7046.json,custom
45.838960,8.704281,ov_la_bottega_del_caff__cc_campo_dei_fiori_45.8390_8.7043,La bottega del Caffè CC Campo dei Fiori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/la_bottega_del_caff_cc_campo_dei_fiori_45.8390_8.7043.json,custom
45.834470,8.703266,ov_la_caset_bar_45.8345_8.7033,La Caset Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/la_caset_bar_45.8345_8.7033.json,custom
45.842912,8.717520,osm_pasticceria_caff__veniani_45.8429_8.7175,Pasticceria Caffé Veniani,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/pasticceria_caff_veniani_45.8429_8.7175.json,custom
45.828961,8.741468,osm_bar_caff__al_monu_45.8290_8.7415,Bar Caffè Al Monu,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/bar_caff_al_monu_45.8290_8.7415.json,custom
45.842645,8.717543,osm_caff__maggioni_45.8426_8.7175,Caffé Maggioni,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/caff_maggioni_45.8426_8.7175.json,custom
45.843241,8.718477,osm_buddineria_gelateria_gelatando_45.8432_8.7185,BUDDINERIA GELATERIA GELATANDO,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/buddineria_gelateria_gelatando_45.8432_8.7185.json,custom
45.845553,8.714648,osm_syd_caf__45.8456_8.7146,SYD cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/syd_caf_45.8456_8.7146.json,custom
45.837875,8.731498,ov_studio_danza_voltorre_45.8379_8.7315,Studio Danza Voltorre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/studio_danza_voltorre_45.8379_8.7315.json,custom
45.834563,8.734053,ov_mia_dance_school_45.8346_8.7341,Mia Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/mia_dance_school_45.8346_8.7341.json,custom
45.822970,8.741244,ov_studio_pilates_and_more_45.8230_8.7412,Studio Pilates and more,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/studio_pilates_and_more_45.8230_8.7412.json,custom
45.848194,8.710364,ov_asd_la_sportiva_gavirate_45.8482_8.7104,ASD La Sportiva Gavirate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/asd_la_sportiva_gavirate_45.8482_8.7104.json,custom
45.847983,8.710676,ov_albertalli_piero_enrico_45.8480_8.7107,Albertalli Piero Enrico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/albertalli_piero_enrico_45.8480_8.7107.json,custom
45.844709,8.716134,ov_sportlab_gavirate_45.8447_8.7161,SportLab Gavirate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/sportlab_gavirate_45.8447_8.7161.json,custom
45.843089,8.716454,ov_palestra_le_piramidi_45.8431_8.7165,Palestra Le Piramidi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/palestra_le_piramidi_45.8431_8.7165.json,custom
45.839087,8.716498,ov_australian_institute_of_sport___european_45.8391_8.7165,Australian Institute of Sport - European Training Centre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/australian_institute_of_sport_-_european_45.8391_8.7165.json,custom
45.841118,8.710957,ov_boxe_team_camacho_45.8411_8.7110,Boxe Team Camacho,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/boxe_team_camacho_45.8411_8.7110.json,custom
45.840643,8.706429,ov_west_side_gym_gavirate_45.8406_8.7064,West Side Gym gavirate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/west_side_gym_gavirate_45.8406_8.7064.json,custom
45.838748,8.704541,ov_we_fit_45.8387_8.7045,We Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/we_fit_45.8387_8.7045.json,custom
45.841467,8.720659,ov_museo_della_pipa_45.8415_8.7207,Museo della Pipa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/museo_della_pipa_45.8415_8.7207.json,custom
45.841650,8.713027,osm_poste_di_gavirate_45.8417_8.7130,Poste di Gavirate,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/poste_di_gavirate_45.8417_8.7130.json,custom
45.842118,8.717935,ov_biblioteca_comunale_g__abbiati_45.8421_8.7179,Biblioteca Comunale G. Abbiati,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/biblioteca_comunale_g_abbiati_45.8421_8.7179.json,custom
45.849334,8.702553,osm_biblioteca_dell_istituto_di_istruzione_s_45.8493_8.7026,Biblioteca dell'Istituto di istruzione superiore Edith Stein,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/biblioteca_dellistituto_di_istruzione_su_45.8493_8.7026.json,custom
