# lat,lng,id,name,building_type,type,url,page_type
# Montefiascone -- Tutti
42.536447,12.031422,ov_ospedale_civile_di_montefiascone_42.5364_12.0314,Ospedale Civile di Montefiascone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/ospedale_civile_di_montefiascone_42.5364_12.0314.json,custom
42.538442,12.028937,ov_cotto_e_mangiato_42.5384_12.0289,Cotto E Mangiato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/cotto_e_mangiato_42.5384_12.0289.json,custom
42.537860,12.027973,ov_carpe_diem_42.5379_12.0280,Carpe Diem,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/carpe_diem_42.5379_12.0280.json,custom
42.538349,12.028752,ov_da_paolo_al_miralago_42.5383_12.0288,Da Paolo Al Miralago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/da_paolo_al_miralago_42.5383_12.0288.json,custom
42.537693,12.029245,ov_enosteria_antichi_sapori_42.5377_12.0292,EnOsteria Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/enosteria_antichi_sapori_42.5377_12.0292.json,custom
42.537787,12.028128,ov_da_cesare_alla_cavalla_42.5378_12.0281,DA Cesare ALLA Cavalla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/da_cesare_alla_cavalla_42.5378_12.0281.json,custom
42.537161,12.027358,ov_il_battilardo_42.5372_12.0274,Il Battilardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/il_battilardo_42.5372_12.0274.json,custom
42.538667,12.009686,ov_agriturismo_mulin_di_mezzo_42.5387_12.0097,Agriturismo Mulin Di Mezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/agriturismo_mulin_di_mezzo_42.5387_12.0097.json,custom
42.546075,12.031660,ov_acqua_e_farina_42.5461_12.0317,Acqua E Farina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/acqua_e_farina_42.5461_12.0317.json,custom
42.544675,12.038766,ov_ristorante_da_rita_42.5447_12.0388,Ristorante Da Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/ristorante_da_rita_42.5447_12.0388.json,custom
42.543945,12.030738,ov_la_speziale___vegan_home_restaurant_42.5439_12.0307,La SpeziAle - Vegan Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/la_speziale_-_vegan_home_restaurant_42.5439_12.0307.json,custom
42.541604,12.032247,ov_pizzeria_e_kebab_42.5416_12.0322,Pizzeria e Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/pizzeria_e_kebab_42.5416_12.0322.json,custom
42.540588,12.026878,ov_trattoria_da_morano___di_mocini_pietro_e_42.5406_12.0269,Trattoria da Morano - di Mocini Pietro e C. SAS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/trattoria_da_morano_-_di_mocini_pietro_e_42.5406_12.0269.json,custom
42.539113,12.033735,ov_pizzeria_bar_roma_la_rotella_42.5391_12.0337,Pizzeria Bar Roma La Rotella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/pizzeria_bar_roma_la_rotella_42.5391_12.0337.json,custom
42.539709,12.032952,ov_borgo_antico_42.5397_12.0330,Borgo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/borgo_antico_42.5397_12.0330.json,custom
42.539652,12.034195,ov_pizzeria_via_cassia_42.5397_12.0342,Pizzeria Via Cassia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/pizzeria_via_cassia_42.5397_12.0342.json,custom
42.540133,12.032006,ov_rima___pinsa_e_teglia_romana_42.5401_12.0320,Rima - Pinsa E Teglia Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/rima_-_pinsa_e_teglia_romana_42.5401_12.0320.json,custom
42.540101,12.032229,ov_osmosi_osteria_moderna_42.5401_12.0322,Osmosi Osteria Moderna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/osmosi_osteria_moderna_42.5401_12.0322.json,custom
42.540794,12.032741,ov_peccati_di_gola_42.5408_12.0327,Peccati Di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/peccati_di_gola_42.5408_12.0327.json,custom
42.540385,12.034527,ov_mille_luci_42.5404_12.0345,Mille Luci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/mille_luci_42.5404_12.0345.json,custom
42.540204,12.033172,ov_trattoria_pizzeria_da_pancino_42.5402_12.0332,Trattoria Pizzeria Da Pancino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/trattoria_pizzeria_da_pancino_42.5402_12.0332.json,custom
42.540056,12.033161,ov_l_angolo_dello_sfizio_42.5401_12.0332,L'angolo Dello Sfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/langolo_dello_sfizio_42.5401_12.0332.json,custom
42.540070,12.033712,ov_la_piazza_42.5401_12.0337,La Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/la_piazza_42.5401_12.0337.json,custom
42.539140,12.035391,ov_pizzeria_da_bianchi_42.5391_12.0354,Pizzeria Da Bianchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/pizzeria_da_bianchi_42.5391_12.0354.json,custom
42.538964,12.035266,ov_revolu_bar_42.5390_12.0353,ReVoLu Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/revolu_bar_42.5390_12.0353.json,custom
42.538318,12.054815,ov_sala_degustazione_luisa_42.5383_12.0548,Sala Degustazione Luisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/sala_degustazione_luisa_42.5383_12.0548.json,custom
42.527529,12.053675,ov_damada_42.5275_12.0537,Damada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/damada_42.5275_12.0537.json,custom
42.529784,12.021302,ov_croco_bar_gelateria_creperia_42.5298_12.0213,Croco Bar Gelateria Creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/croco_bar_gelateria_creperia_42.5298_12.0213.json,custom
42.519210,12.047097,ov_tomato_ristorante_42.5192_12.0471,Tomato Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/tomato_ristorante_42.5192_12.0471.json,custom
42.482739,12.012039,ov_caro_commendatore_42.4827_12.0120,Caro Commendatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/caro_commendatore_42.4827_12.0120.json,custom
42.490805,12.015380,ov_la_commenda_ristorante_pizzeria_42.4908_12.0154,La Commenda Ristorante-pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/la_commenda_ristorante-pizzeria_42.4908_12.0154.json,custom
42.490970,12.017550,ov_il_caro_commendatore_42.4910_12.0175,Il CARO Commendatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/il_caro_commendatore_42.4910_12.0175.json,custom
42.537237,12.037833,osm_da_roland_42.5372_12.0378,Da Roland,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/da_roland_42.5372_12.0378.json,custom
42.539126,12.033853,osm_bar_pizzeria_roma_42.5391_12.0339,Bar Pizzeria Roma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_pizzeria_roma_42.5391_12.0339.json,custom
42.539654,12.033071,osm_il_borgo_antico_42.5397_12.0331,Il Borgo Antico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/il_borgo_antico_42.5397_12.0331.json,custom
42.537919,12.027923,osm_ristorante_da_cesare_alla_cavalla_42.5379_12.0279,Ristorante Da Cesare Alla Cavalla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/ristorante_da_cesare_alla_cavalla_42.5379_12.0279.json,custom
42.535580,12.029784,ov_garden_caff__42.5356_12.0298,Garden Caffé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/garden_caff_42.5356_12.0298.json,custom
42.537115,12.031458,ov_bar_giusti_pasticceria_42.5371_12.0315,Bar Giusti Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_giusti_pasticceria_42.5371_12.0315.json,custom
42.537300,12.037470,ov_millibar_42.5373_12.0375,millibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/millibar_42.5373_12.0375.json,custom
42.538210,12.033600,ov_pasticceria_s_m__lo_giudice_42.5382_12.0336,Pasticceria S.M. Lo Giudice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/pasticceria_sm_lo_giudice_42.5382_12.0336.json,custom
42.538098,12.031073,ov_caffe_centrale_42.5381_12.0311,Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/caffe_centrale_42.5381_12.0311.json,custom
42.542992,12.037208,ov_la_casina_del_caff__42.5430_12.0372,La Casina del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/la_casina_del_caff_42.5430_12.0372.json,custom
42.542819,12.036800,ov_bar_donnino_giuseppe_42.5428_12.0368,Bar Donnino Giuseppe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_donnino_giuseppe_42.5428_12.0368.json,custom
42.541662,12.033660,ov_antica_cantina_leonardi_42.5417_12.0337,Antica Cantina Leonardi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/antica_cantina_leonardi_42.5417_12.0337.json,custom
42.541600,12.032243,ov_cialdopoli_montefiascone_42.5416_12.0322,Cialdopoli Montefiascone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/cialdopoli_montefiascone_42.5416_12.0322.json,custom
42.543220,12.031442,ov_bar_maspes_bistrot___tabaccheria_club__8_42.5432_12.0314,Bar Maspes Bistrot & Tabaccheria Club '81,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_maspes_bistrot_tabaccheria_club_81_42.5432_12.0314.json,custom
42.543096,12.031795,ov_bar_casa_buend_a___________________42.5431_12.0318,Bar CASA Buendía -𝓬𝓪𝓯𝓯è 𝓵𝓮𝓽𝓽𝓮𝓻𝓪𝓻𝓲𝓸,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_casa_buenda_-__42.5431_12.0318.json,custom
42.542955,12.031733,ov_woow_bar_42.5430_12.0317,Woow Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/woow_bar_42.5430_12.0317.json,custom
42.542052,12.025449,ov_onassis_village_pub_ristorante_42.5421_12.0254,Onassis Village Pub Ristorante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/onassis_village_pub_ristorante_42.5421_12.0254.json,custom
42.539982,12.034000,ov_antico_caff__italia_by_lnl_42.5400_12.0340,Antico Caffè Italia By LNL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/antico_caff_italia_by_lnl_42.5400_12.0340.json,custom
42.540730,12.033840,ov_bar_il_chiosco_42.5407_12.0338,Bar Il chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_il_chiosco_42.5407_12.0338.json,custom
42.541072,12.032734,ov_al_bar_rocks_42.5411_12.0327,Al bar Rocks,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/al_bar_rocks_42.5411_12.0327.json,custom
42.540443,12.033234,ov_bar_vittoria_42.5404_12.0332,Bar Vittoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_vittoria_42.5404_12.0332.json,custom
42.539012,12.035413,ov_bar_deja_vu_42.5390_12.0354,Bar Deja Vu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_deja_vu_42.5390_12.0354.json,custom
42.546407,12.042144,ov_chianina_vallemichele_42.5464_12.0421,Chianina Vallemichele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/chianina_vallemichele_42.5464_12.0421.json,custom
42.529790,12.021330,ov_monkey_lounge_bar_42.5298_12.0213,Monkey lounge bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/monkey_lounge_bar_42.5298_12.0213.json,custom
42.544726,12.039266,osm_bar_ranucci_42.5447_12.0393,Bar Ranucci,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/bar_ranucci_42.5447_12.0393.json,custom
42.539545,12.033156,osm_billy_bar_42.5395_12.0332,Billy Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/billy_bar_42.5395_12.0332.json,custom
42.557052,12.033315,ov_asd_orsa_maggiore_42.5571_12.0333,ASD Orsa Maggiore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/asd_orsa_maggiore_42.5571_12.0333.json,custom
42.562940,12.006750,ov_a_s_d_sensi_dance_school_42.5629_12.0068,A.S.D Sensi Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/asd_sensi_dance_school_42.5629_12.0068.json,custom
42.531772,12.024297,ov_go_fitness_asd_42.5318_12.0243,Go Fitness ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/go_fitness_asd_42.5318_12.0243.json,custom
42.534568,12.032203,ov_asd_energym_42.5346_12.0322,ASD Energym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/asd_energym_42.5346_12.0322.json,custom
42.534616,12.033092,ov_new_angel_dance_academy_42.5346_12.0331,New Angel Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/new_angel_dance_academy_42.5346_12.0331.json,custom
42.537539,12.035823,ov_palestra_junkers_42.5375_12.0358,Palestra Junkers,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/palestra_junkers_42.5375_12.0358.json,custom
42.538050,12.032260,ov_libertas_montefiascone_asd_42.5380_12.0323,Libertas Montefiascone ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/libertas_montefiascone_asd_42.5380_12.0323.json,custom
42.536739,12.028185,ov_rocca_dei_papi_42.5367_12.0282,Rocca dei Papi,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/rocca_dei_papi_42.5367_12.0282.json,custom
42.536796,12.028015,ov_museo_dell__architettura_di_antonio_da_s_42.5368_12.0280,Museo dell' Architettura di Antonio da Sangallo il Giovane,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/museo_dell_architettura_di_antonio_da_sa_42.5368_12.0280.json,custom
42.541034,12.032465,osm_poste_italiane_42.5410_12.0325,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/poste_italiane_42.5410_12.0325.json,custom
