# lat,lng,id,name,building_type,type,url,page_type
# Castenaso -- Tutti
44.507476,11.459959,ov_ortopedia_sanitaria_stellina_44.5075_11.4600,Ortopedia Sanitaria Stellina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/ortopedia_sanitaria_stellina_44.5075_11.4600.json,custom
44.511551,11.483640,ov_antica_osteria_fiesso_44.5116_11.4836,Antica Osteria Fiesso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/antica_osteria_fiesso_44.5116_11.4836.json,custom
44.506772,11.470211,ov_renato_pizza_e_natura_44.5068_11.4702,Renato Pizza e Natura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/renato_pizza_e_natura_44.5068_11.4702.json,custom
44.506664,11.470160,ov_osteria_dei_bastardi_44.5067_11.4702,Osteria dei Bastardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/osteria_dei_bastardi_44.5067_11.4702.json,custom
44.508168,11.469502,ov_pizza_frank_44.5082_11.4695,Pizza Frank,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/pizza_frank_44.5082_11.4695.json,custom
44.508384,11.469346,ov_ciccia_e_tortellini_44.5084_11.4693,Ciccia e Tortellini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/ciccia_e_tortellini_44.5084_11.4693.json,custom
44.509322,11.464165,ov_pizzeria_la_quercia_44.5093_11.4642,Pizzeria La Quercia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/pizzeria_la_quercia_44.5093_11.4642.json,custom
44.509209,11.466951,ov__39_44.5092_11.4670,+39,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/39_44.5092_11.4670.json,custom
44.509415,11.466794,ov_ristorante_brasiliano_o_carioca_44.5094_11.4668,Ristorante Brasiliano O'Carioca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/ristorante_brasiliano_ocarioca_44.5094_11.4668.json,custom
44.509262,11.467976,ov_watami_asian_food_44.5093_11.4680,Watami Asian Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/watami_asian_food_44.5093_11.4680.json,custom
44.508033,11.463701,ov_my_dream_pizzeria_44.5080_11.4637,My Dream Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/my_dream_pizzeria_44.5080_11.4637.json,custom
44.507380,11.460110,ov_pizzeria_stellina_44.5074_11.4601,Pizzeria Stellina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/pizzeria_stellina_44.5074_11.4601.json,custom
44.507285,11.459906,ov_la_saporita_44.5073_11.4599,La Saporita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/la_saporita_44.5073_11.4599.json,custom
44.500980,11.438910,ov_patata_di_bologna_dop_44.5010_11.4389,Patata di Bologna DOP,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/patata_di_bologna_dop_44.5010_11.4389.json,custom
44.501490,11.435143,ov_istanbulkebap_villanova_44.5015_11.4351,Istanbulkebap villanova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/istanbulkebap_villanova_44.5015_11.4351.json,custom
44.500956,11.435384,ov_051_braceria_44.5010_11.4354,051 Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/051_braceria_44.5010_11.4354.json,custom
44.503702,11.465862,ov_top_taste_burger_44.5037_11.4659,Top Taste Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/top_taste_burger_44.5037_11.4659.json,custom
44.506407,11.471713,ov_pizza_sasa_44.5064_11.4717,Pizza Sasa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/pizza_sasa_44.5064_11.4717.json,custom
44.505367,11.475444,ov_just_hummus__take_away__44.5054_11.4754,Just hummus (take away),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/just_hummus_take_away_44.5054_11.4754.json,custom
44.479761,11.466218,ov_agriturismo_l_ulivo_44.4798_11.4662,Agriturismo L'Ulivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/agriturismo_lulivo_44.4798_11.4662.json,custom
44.485858,11.483936,ov_agriturismo_il_melograno_44.4859_11.4839,Agriturismo Il Melograno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/agriturismo_il_melograno_44.4859_11.4839.json,custom
44.492133,11.424524,ov_baretto_44.4921_11.4245,BarEtto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/baretto_44.4921_11.4245.json,custom
44.496740,11.428741,ov_tabaccheria_novobar_44.4967_11.4287,Tabaccheria Novobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/tabaccheria_novobar_44.4967_11.4287.json,custom
44.497951,11.425318,ov_antica_caffetteria_44.4980_11.4253,Antica Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/antica_caffetteria_44.4980_11.4253.json,custom
44.497954,11.427930,ov_fitz_coffe_44.4980_11.4279,Fitz Coffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/fitz_coffe_44.4980_11.4279.json,custom
44.497955,11.427921,ov_caffe_della_rotonda_44.4980_11.4279,Caffe della Rotonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/caffe_della_rotonda_44.4980_11.4279.json,custom
44.497875,11.426548,ov_bar_edicola_44.4979_11.4265,Bar Edicola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/bar_edicola_44.4979_11.4265.json,custom
44.500774,11.494727,ov_bar_fossamarza_44.5008_11.4947,Bar Fossamarza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/bar_fossamarza_44.5008_11.4947.json,custom
44.511108,11.479893,ov_public_44.5111_11.4799,PUBlic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/public_44.5111_11.4799.json,custom
44.507022,11.497673,ov_fossamarza__castenaso_44.5070_11.4977,"Fossamarza, Castenaso",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/fossamarza_castenaso_44.5070_11.4977.json,custom
44.511920,11.469870,ov_new_bar_sportivo_44.5119_11.4699,New Bar Sportivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/new_bar_sportivo_44.5119_11.4699.json,custom
44.506596,11.471250,ov_bar_gioia_44.5066_11.4712,Bar Gioia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/bar_gioia_44.5066_11.4712.json,custom
44.508725,11.469114,ov_bar_della_piazza_44.5087_11.4691,Bar Della Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/bar_della_piazza_44.5087_11.4691.json,custom
44.508950,11.468990,ov_bar_centrale_di_castenaso_44.5089_11.4690,Bar centrale di Castenaso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/bar_centrale_di_castenaso_44.5089_11.4690.json,custom
44.509370,11.471610,ov_caff__del_campo_castenaso_calcio_44.5094_11.4716,Caffè del Campo Castenaso Calcio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/caff_del_campo_castenaso_calcio_44.5094_11.4716.json,custom
44.508167,11.463468,ov_bar_centrale_44.5082_11.4635,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/bar_centrale_44.5082_11.4635.json,custom
44.507873,11.459489,ov_hemingway_cafe_s_r_l_44.5079_11.4595,Hemingway Cafe S.R.L,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/hemingway_cafe_srl_44.5079_11.4595.json,custom
44.512610,11.467984,ov_caff__sportivo_castenaso_44.5126_11.4680,Caffè Sportivo Castenaso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/caff_sportivo_castenaso_44.5126_11.4680.json,custom
44.501570,11.435293,ov_barca__dell_orbo_44.5016_11.4353,BarCa' Dell'Orbo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/barca_dellorbo_44.5016_11.4353.json,custom
44.501213,11.435369,ov_dandari_pub_44.5012_11.4354,Dandari Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/dandari_pub_44.5012_11.4354.json,custom
44.500867,11.435033,ov_las_vegas_caffe_44.5009_11.4350,Las Vegas Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/las_vegas_caffe_44.5009_11.4350.json,custom
44.493376,11.460112,ov_qubo_cafe__44.4934_11.4601,Qubo Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/qubo_cafe_44.4934_11.4601.json,custom
44.492142,11.425001,ov_parrocchia_sant_ambrogio__villanova_di_c_44.4921_11.4250,"Parrocchia Sant'ambrogio, Villanova Di Castenaso",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/parrocchia_santambrogio_villanova_di_cas_44.4921_11.4250.json,custom
44.499963,11.432700,ov_gabusi_44.5000_11.4327,GABUSI,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/gabusi_44.5000_11.4327.json,custom
44.499574,11.429074,ov_fitactive_castenaso_44.4996_11.4291,FitActive Castenaso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/fitactive_castenaso_44.4996_11.4291.json,custom
44.526618,11.454304,ov_punto_danza_castenaso_44.5266_11.4543,Punto Danza Castenaso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/punto_danza_castenaso_44.5266_11.4543.json,custom
44.513842,11.469299,ov_asd_castenaso_archery_team_44.5138_11.4693,ASD Castenaso Archery Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/asd_castenaso_archery_team_44.5138_11.4693.json,custom
44.511354,11.438564,ov_crossfit_felsina_44.5114_11.4386,CrossFit Felsina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/crossfit_felsina_44.5114_11.4386.json,custom
44.501172,11.436395,ov_palestra_estetica_44.5012_11.4364,Palestra Estetica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/palestra_estetica_44.5012_11.4364.json,custom
44.498829,11.438978,ov_naima___scuola_di_danza_a_castenaso_44.4988_11.4390,Naima - Scuola di Danza a Castenaso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/naima_-_scuola_di_danza_a_castenaso_44.4988_11.4390.json,custom
44.501451,11.455798,ov_sport_and_wellness_44.5015_11.4558,Sport and Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/sport_and_wellness_44.5015_11.4558.json,custom
44.504761,11.474570,ov_momi_mama_spazio_libero_44.5048_11.4746,MOMI&mama Spazio Libero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/momimama_spazio_libero_44.5048_11.4746.json,custom
44.505340,11.475440,ov_pilates_philosophy_44.5053_11.4754,PILATES Philosophy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/pilates_philosophy_44.5053_11.4754.json,custom
44.497178,11.427787,ov_muv___museo_della_civilta_villanoviana_44.4972_11.4278,MUV - Museo della civilta Villanoviana,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/muv_-_museo_della_civilta_villanoviana_44.4972_11.4278.json,custom
44.533068,11.450267,ov_villa_molinari_pradelli_44.5331_11.4503,villa Molinari Pradelli,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/villa_molinari_pradelli_44.5331_11.4503.json,custom
44.504898,11.434962,ov_museo_poggi_comp_yamaha_44.5049_11.4350,Museo Poggi Comp YAMAHA,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/museo_poggi_comp_yamaha_44.5049_11.4350.json,custom
44.495828,11.428345,osm_villanova_di_castenaso_44.4958_11.4283,Villanova di Castenaso,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/villanova_di_castenaso_44.4958_11.4283.json,custom
44.511204,11.470011,ov_biblioteca_comunale_casa_bondi_44.5112_11.4700,Biblioteca Comunale Casa Bondi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/biblioteca_comunale_casa_bondi_44.5112_11.4700.json,custom
