# lat,lng,id,name,building_type,type,url,page_type
# Campagnano di Roma -- Tutti
42.139086,12.382617,ov_asl_campagnano_42.1391_12.3826,Asl Campagnano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/asl_campagnano_42.1391_12.3826.json,custom
42.138575,12.379928,ov_pizzeria_da_franco_42.1386_12.3799,Pizzeria Da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/pizzeria_da_franco_42.1386_12.3799.json,custom
42.138787,12.380191,ov_la_fraschetta_bar_jolly_42.1388_12.3802,La Fraschetta Bar Jolly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/la_fraschetta_bar_jolly_42.1388_12.3802.json,custom
42.137829,12.380463,ov_ristorante_albergo_benigni_42.1378_12.3805,Ristorante Albergo Benigni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/ristorante_albergo_benigni_42.1378_12.3805.json,custom
42.137815,12.380180,ov_spizzami_42.1378_12.3802,Spizzami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/spizzami_42.1378_12.3802.json,custom
42.137068,12.381379,ov_osteria_la_grotta_42.1371_12.3814,Osteria La Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/osteria_la_grotta_42.1371_12.3814.json,custom
42.126890,12.353160,ov_il_mago_della_lumaca_42.1269_12.3532,Il mago della lumaca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/il_mago_della_lumaca_42.1269_12.3532.json,custom
42.124388,12.370046,ov_paniozze_42.1244_12.3700,Paniozze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/paniozze_42.1244_12.3700.json,custom
42.118872,12.367035,ov_il_postiglione_42.1189_12.3670,Il Postiglione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/il_postiglione_42.1189_12.3670.json,custom
42.112235,12.368539,ov_osteria_del_cardinale_42.1122_12.3685,Osteria Del Cardinale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/osteria_del_cardinale_42.1122_12.3685.json,custom
42.112033,12.371858,ov_chefacciamoacena__42.1120_12.3719,Chefacciamoacena?,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/chefacciamoacena_42.1120_12.3719.json,custom
42.112937,12.372900,ov_il_cenacolo_di_sissi_42.1129_12.3729,Il Cenacolo Di Sissi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/il_cenacolo_di_sissi_42.1129_12.3729.json,custom
42.112426,12.365492,ov_ristorante_il_baccanale_42.1124_12.3655,Ristorante Il Baccanale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/ristorante_il_baccanale_42.1124_12.3655.json,custom
42.106510,12.369550,ov_fattoria_del_sorbo_42.1065_12.3695,Fattoria del Sorbo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/fattoria_del_sorbo_42.1065_12.3695.json,custom
42.142945,12.398177,ov_genuino_di_monte_gemini_42.1429_12.3982,Genuino di Monte Gemini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/genuino_di_monte_gemini_42.1429_12.3982.json,custom
42.136312,12.381538,osm_ristorante_freddy_42.1363_12.3815,Ristorante Freddy,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/ristorante_freddy_42.1363_12.3815.json,custom
42.138268,12.380838,osm_il_gusto_della_pizza_da_marco_e_simone_42.1383_12.3808,Il gusto della pizza da Marco e Simone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/il_gusto_della_pizza_da_marco_e_simone_42.1383_12.3808.json,custom
42.142414,12.375963,ov_caffe_per_tutti_42.1424_12.3760,Caffe per Tutti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/caffe_per_tutti_42.1424_12.3760.json,custom
42.140770,12.380089,ov_bar_europa_42.1408_12.3801,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/bar_europa_42.1408_12.3801.json,custom
42.139748,12.381926,ov_la_cantina_di_cantoni_xl_42.1397_12.3819,La Cantina Di Cantoni XL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/la_cantina_di_cantoni_xl_42.1397_12.3819.json,custom
42.140045,12.382789,ov_cantina_vinopoli_42.1400_12.3828,Cantina Vinopoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/cantina_vinopoli_42.1400_12.3828.json,custom
42.138235,12.381719,ov_il_venturello_42.1382_12.3817,Il Venturello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/il_venturello_42.1382_12.3817.json,custom
42.136450,12.377580,ov_roxy_bar_42.1365_12.3776,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/roxy_bar_42.1365_12.3776.json,custom
42.124105,12.368888,ov_valle_del_baccano_42.1241_12.3689,Valle Del Baccano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/valle_del_baccano_42.1241_12.3689.json,custom
42.118983,12.363319,ov_circuito_caff__42.1190_12.3633,Circuito Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/circuito_caff_42.1190_12.3633.json,custom
42.134432,12.375872,osm_carlito_s_way_42.1344_12.3759,Carlito's Way,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/carlitos_way_42.1344_12.3759.json,custom
42.159545,12.367725,ov_miniautodromo_vallelunga_rc_42.1595_12.3677,Miniautodromo Vallelunga RC,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/miniautodromo_vallelunga_rc_42.1595_12.3677.json,custom
42.156893,12.369477,ov_aci_vallelunga_circuit_42.1569_12.3695,Aci Vallelunga Circuit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/aci_vallelunga_circuit_42.1569_12.3695.json,custom
42.156830,12.369599,ov_autodromo_vallelunga_piero_taruffi_42.1568_12.3696,Autodromo Vallelunga Piero Taruffi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/autodromo_vallelunga_piero_taruffi_42.1568_12.3696.json,custom
42.154670,12.377159,ov_yoga_della_risata_gioia_pura__campagnano_42.1547_12.3772,Yoga Della Risata Gioia Pura  Campagnano  di Roma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/yoga_della_risata_gioia_pura_campagnano__42.1547_12.3772.json,custom
42.147556,12.369679,ov_associazione_culturale_gioia_pura_42.1476_12.3697,Associazione Culturale Gioia Pura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/associazione_culturale_gioia_pura_42.1476_12.3697.json,custom
42.140272,12.382515,ov_equilibrio_42.1403_12.3825,Equilibrio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/equilibrio_42.1403_12.3825.json,custom
42.136769,12.378507,ov_palestra_vivi_fisicamente_42.1368_12.3785,Palestra Vivi FisicaMente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/palestra_vivi_fisicamente_42.1368_12.3785.json,custom
42.135411,12.381886,ov_casa_yoga_42.1354_12.3819,Casa Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/casa_yoga_42.1354_12.3819.json,custom
42.134275,12.382243,ov_dancing_time_42.1343_12.3822,Dancing Time,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/dancing_time_42.1343_12.3822.json,custom
42.132267,12.356586,ov_equitana_sport_campagnano_42.1323_12.3566,Equitana Sport Campagnano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/equitana_sport_campagnano_42.1323_12.3566.json,custom
42.122946,12.342788,ov_circolo_ippico_grand_prix_42.1229_12.3428,Circolo Ippico Grand Prix,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/circolo_ippico_grand_prix_42.1229_12.3428.json,custom
42.123503,12.354157,ov_asd_la_valle_42.1235_12.3542,ASD La Valle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/asd_la_valle_42.1235_12.3542.json,custom
42.130642,12.410164,ov_i_pioppi_associazione_ippica_42.1306_12.4102,I Pioppi Associazione Ippica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/i_pioppi_associazione_ippica_42.1306_12.4102.json,custom
42.138671,12.380672,ov_museo_civico_42.1387_12.3807,Museo Civico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/museo_civico_42.1387_12.3807.json,custom
42.139108,12.380638,osm_poste_italiane_42.1391_12.3806,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/poste_italiane_42.1391_12.3806.json,custom
42.139160,12.381110,ov_biblioteca_comunale_di_campagnano_di_rom_42.1392_12.3811,Biblioteca Comunale di Campagnano di Roma,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/biblioteca_comunale_di_campagnano_di_rom_42.1392_12.3811.json,custom
42.138930,12.381118,osm_biblioteca_comunale_42.1389_12.3811,Biblioteca Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/biblioteca_comunale_42.1389_12.3811.json,custom
