# lat,lng,id,name,building_type,type,url,page_type
# Tortolì -- Tutti
39.925365,9.663796,ov_radiolab_srl_39.9254_9.6638,Radiolab Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/radiolab_srl_39.9254_9.6638.json,custom
39.931387,9.694409,ov_ristorante_pizzeria_le_terrazze_tortol___39.9314_9.6944,Ristorante Pizzeria Le Terrazze Tortolì Arbatax Ogliastra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristorante_pizzeria_le_terrazze_tortol_a_39.9314_9.6944.json,custom
39.927779,9.689279,ov_ristorante_pizzeria_da_capo_39.9278_9.6893,Ristorante Pizzeria Da Capo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristorante_pizzeria_da_capo_39.9278_9.6893.json,custom
39.917068,9.690086,ov_basa_ra_beach_restaurant___club_39.9171_9.6901,Basaùra Beach Restaurant & Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/basara_beach_restaurant_club_39.9171_9.6901.json,custom
39.929965,9.684789,ov_kebab_vibes_39.9300_9.6848,Kebab Vibes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/kebab_vibes_39.9300_9.6848.json,custom
39.929965,9.684789,ov_pomodoro___mozzarella_39.9300_9.6848,Pomodoro & Mozzarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pomodoro_mozzarella_39.9300_9.6848.json,custom
39.933289,9.682277,ov_misterchef_self_service_39.9333_9.6823,Misterchef self service,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/misterchef_self_service_39.9333_9.6823.json,custom
39.929585,9.682414,ov_yummy_wok_39.9296_9.6824,Yummy Wok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/yummy_wok_39.9296_9.6824.json,custom
39.933034,9.679022,ov_non_solo_mare_39.9330_9.6790,Non Solo Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/non_solo_mare_39.9330_9.6790.json,custom
39.910140,9.674650,ov_ristobar_bassa_marea_foxilioni_39.9101_9.6746,Ristobar Bassa Marea Foxilioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristobar_bassa_marea_foxilioni_39.9101_9.6746.json,custom
39.907477,9.676210,ov_punto_ristoro_san_salvatore_39.9075_9.6762,Punto ristoro San Salvatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/punto_ristoro_san_salvatore_39.9075_9.6762.json,custom
39.902315,9.682007,ov_su_stancu_39.9023_9.6820,Su Stancu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/su_stancu_39.9023_9.6820.json,custom
39.900392,9.681347,ov_locanda_beach_39.9004_9.6813,Locanda Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/locanda_beach_39.9004_9.6813.json,custom
39.869289,9.681810,ov_ivy_beach_39.8693_9.6818,Ivy Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ivy_beach_39.8693_9.6818.json,custom
39.880653,9.681713,ov_stabilimento_street_food_4mori_39.8807_9.6817,Stabilimento Street Food 4Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/stabilimento_street_food_4mori_39.8807_9.6817.json,custom
39.893997,9.680703,ov_sa_perda_manna_39.8940_9.6807,Sa Perda Manna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/sa_perda_manna_39.8940_9.6807.json,custom
39.883551,9.658782,ov_agriturismo_turudhis_39.8836_9.6588,Agriturismo Turudhis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/agriturismo_turudhis_39.8836_9.6588.json,custom
39.927335,9.668349,ov_umi_sushi___tortol__39.9273_9.6683,Umi Sushi | Tortolì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/umi_sushi_tortol_39.9273_9.6683.json,custom
39.927277,9.667910,ov_m_ama_poke_39.9273_9.6679,M'ama Poke,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/mama_poke_39.9273_9.6679.json,custom
39.927526,9.669681,ov_osteria_del_viale_39.9275_9.6697,Osteria del Viale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/osteria_del_viale_39.9275_9.6697.json,custom
39.927165,9.672057,ov_eathapppy_39.9272_9.6721,EatHapppy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/eathapppy_39.9272_9.6721.json,custom
39.927378,9.671446,ov_pizzeria_buongustaio_39.9274_9.6714,Pizzeria Buongustaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pizzeria_buongustaio_39.9274_9.6714.json,custom
39.926965,9.666489,ov_pizzeria_4_mori_39.9270_9.6665,Pizzeria 4 Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pizzeria_4_mori_39.9270_9.6665.json,custom
39.927013,9.666828,ov_lo_skipper___ristorante_lounge_bar_a_tor_39.9270_9.6668,Lo Skipper - Ristorante Lounge Bar a Tortolì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/lo_skipper_-_ristorante_lounge_bar_a_tor_39.9270_9.6668.json,custom
39.927241,9.666744,ov_la_vera_pasta_fresca_di_morle_federica_39.9272_9.6667,La Vera Pasta Fresca di Morle Federica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/la_vera_pasta_fresca_di_morle_federica_39.9272_9.6667.json,custom
39.926880,9.665850,ov_let_s_pizza_tortoli_39.9269_9.6659,Let's Pizza Tortoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/lets_pizza_tortoli_39.9269_9.6659.json,custom
39.926106,9.666240,ov_trattoria_da_angelo_39.9261_9.6662,Trattoria Da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/trattoria_da_angelo_39.9261_9.6662.json,custom
39.926720,9.665820,ov_calypso_fish___crock_39.9267_9.6658,Calypso Fish & Crock,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/calypso_fish_crock_39.9267_9.6658.json,custom
39.925922,9.665206,ov_pizza_pazza_a_pezzi_39.9259_9.6652,Pizza pazza a pezzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pizza_pazza_a_pezzi_39.9259_9.6652.json,custom
39.926749,9.665343,ov_sa_buttega_ristorante_39.9267_9.6653,Sa Buttega Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/sa_buttega_ristorante_39.9267_9.6653.json,custom
39.926802,9.665032,ov_iknos___ristorante_pizzeria_39.9268_9.6650,IKNOS - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/iknos_-_ristorante_pizzeria_39.9268_9.6650.json,custom
39.926683,9.664577,ov_da_scattu_1958_39.9267_9.6646,Da Scattu 1958,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/da_scattu_1958_39.9267_9.6646.json,custom
39.926578,9.663942,ov_delizie_del_mare___galeone_bistrot_39.9266_9.6639,Delizie Del Mare - Galeone Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/delizie_del_mare_-_galeone_bistrot_39.9266_9.6639.json,custom
39.926598,9.663937,ov_a_volonta_39.9266_9.6639,A Volonta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/a_volonta_39.9266_9.6639.json,custom
39.926557,9.663638,ov_lo_stuzzichino_39.9266_9.6636,Lo Stuzzichino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/lo_stuzzichino_39.9266_9.6636.json,custom
39.932328,9.659840,ov_mary___franz_39.9323_9.6598,Mary & Franz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/mary_franz_39.9323_9.6598.json,custom
39.928819,9.659186,ov_pasta_fresca_da_luciano_e_rosetta_39.9288_9.6592,Pasta Fresca da Luciano e Rosetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pasta_fresca_da_luciano_e_rosetta_39.9288_9.6592.json,custom
39.926396,9.658155,ov_locanda_45_39.9264_9.6582,Locanda 45,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/locanda_45_39.9264_9.6582.json,custom
39.926414,9.658012,ov_pappa_e_fui_39.9264_9.6580,Pappa e Fui,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pappa_e_fui_39.9264_9.6580.json,custom
39.926017,9.657870,ov_viaggi_e_sapori_39.9260_9.6579,Viaggi e Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/viaggi_e_sapori_39.9260_9.6579.json,custom
39.926031,9.658542,ov_i_gemelli_39.9260_9.6585,I Gemelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/i_gemelli_39.9260_9.6585.json,custom
39.926107,9.658563,ov_s_apposenteddu_39.9261_9.6586,S Apposenteddu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/s_apposenteddu_39.9261_9.6586.json,custom
39.926428,9.659962,ov_il_drago_rosso_39.9264_9.6600,Il Drago Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/il_drago_rosso_39.9264_9.6600.json,custom
39.926306,9.659577,ov_la_casa_del_pecorino_39.9263_9.6596,La Casa del Pecorino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/la_casa_del_pecorino_39.9263_9.6596.json,custom
39.926430,9.661021,ov_s_antiga___percorsi_di_sapori_39.9264_9.6610,S'Antiga - Percorsi di Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/santiga_-_percorsi_di_sapori_39.9264_9.6610.json,custom
39.926289,9.661983,ov_mario_miele___sapori_di_casa_39.9263_9.6620,Mario Miele - Sapori di casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/mario_miele_-_sapori_di_casa_39.9263_9.6620.json,custom
39.926481,9.662060,ov_geppos_tortoli_39.9265_9.6621,Geppos Tortoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/geppos_tortoli_39.9265_9.6621.json,custom
39.924128,9.662141,ov_is_culurgionis_39.9241_9.6621,Is Culurgionis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/is_culurgionis_39.9241_9.6621.json,custom
39.923885,9.661393,ov_paninoteca_da_bro_39.9239_9.6614,Paninoteca da Bro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/paninoteca_da_bro_39.9239_9.6614.json,custom
39.925928,9.654959,ov_mochigome_39.9259_9.6550,Mochigome,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/mochigome_39.9259_9.6550.json,custom
39.927131,9.655531,ov_pizzeria_d_asporto_pizza_in_piazza_39.9271_9.6555,Pizzeria d'Asporto Pizza In Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pizzeria_dasporto_pizza_in_piazza_39.9271_9.6555.json,custom
39.926687,9.656050,ov_ristorante_pizzeria_baia_cea_39.9267_9.6561,Ristorante pizzeria Baia Cea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristorante_pizzeria_baia_cea_39.9267_9.6561.json,custom
39.926600,9.656410,ov_anonimus_beach_da_luca_e_paolo_39.9266_9.6564,Anonimus beach da Luca e Paolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/anonimus_beach_da_luca_e_paolo_39.9266_9.6564.json,custom
39.926600,9.656410,ov_trattoria_da_angelo_39.9266_9.6564,Trattoria da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/trattoria_da_angelo_39.9266_9.6564.json,custom
39.942126,9.690199,ov_ristorante_la_capannina_arbatax_39.9421_9.6902,Ristorante La Capannina Arbatax,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristorante_la_capannina_arbatax_39.9421_9.6902.json,custom
39.947423,9.687072,ov_ittitturismo_la_peschiera_39.9474_9.6871,Ittitturismo La Peschiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ittitturismo_la_peschiera_39.9474_9.6871.json,custom
39.947529,9.687176,ov_chiosco_di_ponente___oyster_bar_39.9475_9.6872,Chiosco di Ponente - Oyster Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/chiosco_di_ponente_-_oyster_bar_39.9475_9.6872.json,custom
39.951063,9.683821,ov_ittiturismo_coop__pescatori_tortol__39.9511_9.6838,Ittiturismo Coop. Pescatori Tortolì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ittiturismo_coop_pescatori_tortol_39.9511_9.6838.json,custom
39.926931,9.704368,osm_la_baia_39.9269_9.7044,La Baia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/la_baia_39.9269_9.7044.json,custom
39.935663,9.706538,osm_il_macellaio_39.9357_9.7065,Il Macellaio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/il_macellaio_39.9357_9.7065.json,custom
39.930931,9.697863,osm_sa_serbidora_39.9309_9.6979,Sa Serbidora,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/sa_serbidora_39.9309_9.6979.json,custom
39.947463,9.687102,osm_chiosco_di_potente_39.9475_9.6871,Chiosco di Potente,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/chiosco_di_potente_39.9475_9.6871.json,custom
39.936913,9.704641,ov_al_porticciolo_39.9369_9.7046,Al Porticciolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/al_porticciolo_39.9369_9.7046.json,custom
39.941249,9.706532,ov_bar_la_rosa_dei_venti_39.9412_9.7065,Bar La Rosa Dei Venti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_la_rosa_dei_venti_39.9412_9.7065.json,custom
39.937910,9.707850,ov_bar_gelateria_star_1_39.9379_9.7079,Bar gelateria star 1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_gelateria_star_1_39.9379_9.7079.json,custom
39.923980,9.703587,ov_acquachiara_porto_frailis_39.9240_9.7036,acQuachiara Porto Frailis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/acquachiara_porto_frailis_39.9240_9.7036.json,custom
39.925430,9.706426,ov_symposion_arbatax_39.9254_9.7064,Symposion Arbatax,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/symposion_arbatax_39.9254_9.7064.json,custom
39.927851,9.706332,ov_incontro_di_vino_di_carpe_diem_39.9279_9.7063,Incontro di Vino di Carpe Diem,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/incontro_di_vino_di_carpe_diem_39.9279_9.7063.json,custom
39.925813,9.705462,ov_bougainvillea_39.9258_9.7055,Bougainvillea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bougainvillea_39.9258_9.7055.json,custom
39.921716,9.698355,ov_chiosco_babilonia_39.9217_9.6984,Chiosco Babilonia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/chiosco_babilonia_39.9217_9.6984.json,custom
39.926960,9.693860,ov_la_fenice_bar_pub_39.9270_9.6939,La Fenice Bar Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/la_fenice_bar_pub_39.9270_9.6939.json,custom
39.932410,9.688460,ov_green_bar_caffe_39.9324_9.6885,Green Bar Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/green_bar_caffe_39.9324_9.6885.json,custom
39.930564,9.680160,ov_birrificio_centoteste_39.9306_9.6802,Birrificio Centoteste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/birrificio_centoteste_39.9306_9.6802.json,custom
39.932150,9.672944,ov_la_cambusa_39.9322_9.6729,La Cambusa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/la_cambusa_39.9322_9.6729.json,custom
39.927582,9.674307,ov_white_coffee_bar_39.9276_9.6743,White Coffee Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/white_coffee_bar_39.9276_9.6743.json,custom
39.909859,9.685016,ov_chiosco_bar_s_orologiu_39.9099_9.6850,Chiosco BAR S'orologiu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/chiosco_bar_sorologiu_39.9099_9.6850.json,custom
39.868241,9.682844,ov_cea_chiosco_bar_i_ginepri_39.8682_9.6828,Cea Chiosco Bar I Ginepri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/cea_chiosco_bar_i_ginepri_39.8682_9.6828.json,custom
39.868735,9.682950,ov_spiaggia_di_cea_39.8687_9.6830,Spiaggia di cea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/spiaggia_di_cea_39.8687_9.6830.json,custom
39.868740,9.682388,ov_bar_food_baia_cea_39.8687_9.6824,Bar Food Baia Cea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_food_baia_cea_39.8687_9.6824.json,custom
39.889667,9.680605,ov_chiosco_bar_le_piscinette___ristorante__39.8897_9.6806,Chiosco bar le piscinette - ristorante-,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/chiosco_bar_le_piscinette_-_ristorante-_39.8897_9.6806.json,custom
39.892719,9.680865,ov_ristobar_bassa_marea_39.8927_9.6809,Ristobar Bassa Marea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristobar_bassa_marea_39.8927_9.6809.json,custom
39.924898,9.663841,ov_urban_cafe_39.9249_9.6638,Urban Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/urban_cafe_39.9249_9.6638.json,custom
39.927297,9.668053,ov_quartopiano_rooftop_bar_39.9273_9.6681,QuartoPiano Rooftop Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/quartopiano_rooftop_bar_39.9273_9.6681.json,custom
39.927392,9.669022,ov_bellavista_bio_cafe_39.9274_9.6690,Bellavista Bio Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bellavista_bio_cafe_39.9274_9.6690.json,custom
39.927734,9.666300,ov_island_beer_39.9277_9.6663,Island Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/island_beer_39.9277_9.6663.json,custom
39.926869,9.666204,ov_pititera_39.9269_9.6662,Pititera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/pititera_39.9269_9.6662.json,custom
39.926952,9.664916,ov_carpe_diem_39.9270_9.6649,Carpe Diem,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/carpe_diem_39.9270_9.6649.json,custom
39.926761,9.664801,ov_bar_il_punto_d_incontro_39.9268_9.6648,Bar Il Punto d'Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_il_punto_dincontro_39.9268_9.6648.json,custom
39.927524,9.663574,ov_bar_da_franco_39.9275_9.6636,Bar Da Franco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_da_franco_39.9275_9.6636.json,custom
39.930481,9.664557,ov_caffetteria_24_39.9305_9.6646,Caffetteria 24,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/caffetteria_24_39.9305_9.6646.json,custom
39.930665,9.659292,ov_caffetteria_snack_bar_il_borgo_39.9307_9.6593,Caffetteria snack bar IL BORGO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/caffetteria_snack_bar_il_borgo_39.9307_9.6593.json,custom
