# lat,lng,id,name,building_type,type,url,page_type
# Caorle -- Tutti
45.601852,12.881437,osm_pronto_soccorso_ospedale_caorle_45.6019_12.8814,Pronto Soccorso Ospedale Caorle,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pronto_soccorso_ospedale_caorle_45.6019_12.8814.json,custom
45.576725,12.829326,ov_chiosco_chiribiri_45.5767_12.8293,Chiosco Chiribiri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/chiosco_chiribiri_45.5767_12.8293.json,custom
45.578537,12.822232,ov_pizza_point_45.5785_12.8222,Pizza Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizza_point_45.5785_12.8222.json,custom
45.578495,12.824045,ov_ristorante_la_baia_45.5785_12.8240,Ristorante La Baia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_la_baia_45.5785_12.8240.json,custom
45.574638,12.813079,ov_ristoro_golf_caorle_45.5746_12.8131,Ristoro Golf Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristoro_golf_caorle_45.5746_12.8131.json,custom
45.573336,12.812811,ov_cino_s_discobar_45.5733_12.8128,Cino's Discobar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/cinos_discobar_45.5733_12.8128.json,custom
45.572447,12.815214,ov_ristorante_il_gabbiano_45.5724_12.8152,Ristorante il gabbiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_il_gabbiano_45.5724_12.8152.json,custom
45.571091,12.799847,ov_ristorante_il_carro_45.5711_12.7998,Ristorante Il Carro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_il_carro_45.5711_12.7998.json,custom
45.588172,12.854203,ov_marina_bay_45.5882_12.8542,Marina Bay,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/marina_bay_45.5882_12.8542.json,custom
45.588113,12.861387,ov_chiosco_margherita_45.5881_12.8614,Chiosco Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/chiosco_margherita_45.5881_12.8614.json,custom
45.587627,12.853810,ov_pizzeria_da_giulia_45.5876_12.8538,Pizzeria Da Giulia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizzeria_da_giulia_45.5876_12.8538.json,custom
45.588560,12.855552,ov_rosa_dei_venti_45.5886_12.8556,Rosa Dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/rosa_dei_venti_45.5886_12.8556.json,custom
45.589442,12.861808,ov_ristorante_hemingway_45.5894_12.8618,Ristorante Hemingway,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_hemingway_45.5894_12.8618.json,custom
45.588943,12.847678,ov_ristorante_pizzeria_postier_45.5889_12.8477,Ristorante Pizzeria Postier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_postier_45.5889_12.8477.json,custom
45.585437,12.853554,ov_happy_pizza_caorle_45.5854_12.8536,Happy Pizza Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/happy_pizza_caorle_45.5854_12.8536.json,custom
45.586456,12.853208,ov_p_s_m__fast_food_45.5865_12.8532,P.S.M. Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/psm_fast_food_45.5865_12.8532.json,custom
45.586681,12.853022,ov_ristorante_pizzeria_stiefel_psm_by_max_45.5867_12.8530,Ristorante Pizzeria Stiefel psm by max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_stiefel_psm_by_max_45.5867_12.8530.json,custom
45.586732,12.856419,ov_bar_ristorante_pizzeria_astro_da_artan_45.5867_12.8564,Bar Ristorante Pizzeria Astro da Artan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/bar_ristorante_pizzeria_astro_da_artan_45.5867_12.8564.json,custom
45.586894,12.856438,ov_ristorante_pizzeria_astro_45.5869_12.8564,Ristorante Pizzeria Astro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_astro_45.5869_12.8564.json,custom
45.586937,12.859675,ov_bar_ristorante_pagoda_45.5869_12.8597,Bar Ristorante Pagoda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/bar_ristorante_pagoda_45.5869_12.8597.json,custom
45.586874,12.860245,ov_prima_baia_beach_bar___chiringuito_45.5869_12.8602,Prima Baia Beach Bar & Chiringuito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/prima_baia_beach_bar_chiringuito_45.5869_12.8602.json,custom
45.583913,12.851971,ov_terrazza_mare_45.5839_12.8520,Terrazza Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/terrazza_mare_45.5839_12.8520.json,custom
45.583664,12.851278,ov_riva_restaurant_45.5837_12.8513,Riva Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/riva_restaurant_45.5837_12.8513.json,custom
45.580109,12.825595,ov_ca__del_graspo_d_uva_45.5801_12.8256,Ca' del Graspo d'Uva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ca_del_graspo_duva_45.5801_12.8256.json,custom
45.590278,12.865470,ov_ristorante_pic_nic_45.5903_12.8655,Ristorante Pic Nic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pic_nic_45.5903_12.8655.json,custom
45.589923,12.856459,ov_enoteca_nocentini_45.5899_12.8565,Enoteca Nocentini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/enoteca_nocentini_45.5899_12.8565.json,custom
45.591448,12.866194,ov_ristorante_pizzeria_pfeife_45.5914_12.8662,Ristorante Pizzeria Pfeife,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_pfeife_45.5914_12.8662.json,custom
45.590895,12.863869,ov_trattoria_al_faro_45.5909_12.8639,Trattoria al Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/trattoria_al_faro_45.5909_12.8639.json,custom
45.590983,12.863099,ov_ristorante_al_faro_caorle_45.5910_12.8631,Ristorante Al Faro Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_al_faro_caorle_45.5910_12.8631.json,custom
45.592120,12.854862,ov_ristorante_pizzeria_da_tituta_45.5921_12.8549,Ristorante Pizzeria da Tituta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_da_tituta_45.5921_12.8549.json,custom
45.592240,12.864380,ov_luna_2_0_ristorante_pizzeria_45.5922_12.8644,LUNA 2.0 Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/luna_20_ristorante_pizzeria_45.5922_12.8644.json,custom
45.594305,12.873865,ov_ristorante_al_panfilo_45.5943_12.8739,Ristorante Al Panfilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_al_panfilo_45.5943_12.8739.json,custom
45.594258,12.869936,ov_luxembourg_ristorante_residence_45.5943_12.8699,Luxembourg Ristorante Residence,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/luxembourg_ristorante_residence_45.5943_12.8699.json,custom
45.593893,12.869397,ov_malaga_45.5939_12.8694,Malaga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/malaga_45.5939_12.8694.json,custom
45.593839,12.870373,ov_pizza_express_45.5938_12.8704,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizza_express_45.5938_12.8704.json,custom
45.593106,12.818806,ov_dalmercantin_ristorante_45.5931_12.8188,DalMercantin Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/dalmercantin_ristorante_45.5931_12.8188.json,custom
45.595245,12.873764,ov_ristorante_sporting_caorle___spiaggia_po_45.5952_12.8738,Ristorante Sporting Caorle - spiaggia ponente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_sporting_caorle_-_spiaggia_po_45.5952_12.8738.json,custom
45.595089,12.866663,ov_a_taverna_de_pompeo_45.5951_12.8667,A Taverna De Pompeo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/a_taverna_de_pompeo_45.5951_12.8667.json,custom
45.594579,12.873165,ov_ristorante_pizzeria_azzurra_45.5946_12.8732,Ristorante Pizzeria Azzurra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_azzurra_45.5946_12.8732.json,custom
45.594425,12.872285,ov_ristorante_da_mi_45.5944_12.8723,Ristorante Da Mi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_da_mi_45.5944_12.8723.json,custom
45.595513,12.874973,ov_pizza_pazza_45.5955_12.8750,Pizza Pazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizza_pazza_45.5955_12.8750.json,custom
45.595891,12.876601,ov_euro_pizza_45.5959_12.8766,Euro pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/euro_pizza_45.5959_12.8766.json,custom
45.595972,12.876710,ov_chichibio_ristorante___pizzeria_45.5960_12.8767,Chichibio Ristorante & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/chichibio_ristorante_pizzeria_45.5960_12.8767.json,custom
45.596028,12.879735,ov_food_mami_summerhouse_45.5960_12.8797,Food Mami Summerhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/food_mami_summerhouse_45.5960_12.8797.json,custom
45.595996,12.880343,ov_bar_cinganotto_45.5960_12.8803,bar cinganotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/bar_cinganotto_45.5960_12.8803.json,custom
45.596372,12.879712,ov_chiosco_la_rotonda_45.5964_12.8797,Chiosco La Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/chiosco_la_rotonda_45.5964_12.8797.json,custom
45.596420,12.878047,ov_pizzeria_tnt_45.5964_12.8780,Pizzeria TNT,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizzeria_tnt_45.5964_12.8780.json,custom
45.596564,12.879386,ov_fetta_s_pizza_and_food_45.5966_12.8794,Fetta's Pizza and Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/fettas_pizza_and_food_45.5966_12.8794.json,custom
45.596281,12.873225,ov_manola_shake_45.5963_12.8732,Manola Shake,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/manola_shake_45.5963_12.8732.json,custom
45.597076,12.879888,ov_ristorante_pizzeria_al_postiglione_45.5971_12.8799,Ristorante Pizzeria Al Postiglione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_al_postiglione_45.5971_12.8799.json,custom
45.596960,12.879518,ov_poke_lover_45.5970_12.8795,Poke Lover,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/poke_lover_45.5970_12.8795.json,custom
45.597361,12.880536,ov_piadina_dorina_45.5974_12.8805,Piadina Dorina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/piadina_dorina_45.5974_12.8805.json,custom
45.597230,12.883209,ov_ristorante_don_pablo_discobeach_45.5972_12.8832,Ristorante Don Pablo Discobeach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_don_pablo_discobeach_45.5972_12.8832.json,custom
45.597129,12.883348,ov_terrazza_mare_45.5971_12.8833,Terrazza Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/terrazza_mare_45.5971_12.8833.json,custom
45.597951,12.888021,ov_charlie_express_45.5980_12.8880,Charlie Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/charlie_express_45.5980_12.8880.json,custom
45.598014,12.886072,ov_kebap_di_caorle_45.5980_12.8861,Kebap Di Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/kebap_di_caorle_45.5980_12.8861.json,custom
45.597924,12.886527,ov_antico_petronia_45.5979_12.8865,Antico Petronia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/antico_petronia_45.5979_12.8865.json,custom
45.597732,12.885973,ov_enoteca_enos_45.5977_12.8860,Enoteca Enos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/enoteca_enos_45.5977_12.8860.json,custom
45.597573,12.885986,ov_ristorante_pizzeria_negretto_45.5976_12.8860,Ristorante Pizzeria Negretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_negretto_45.5976_12.8860.json,custom
45.597740,12.882013,ov_ristorante_pizzeria_ae_do_rode_45.5977_12.8820,Ristorante Pizzeria Ae do Rode,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_ae_do_rode_45.5977_12.8820.json,custom
45.597788,12.882612,ov_bolle_pinseria_45.5978_12.8826,Bolle Pinseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/bolle_pinseria_45.5978_12.8826.json,custom
45.597868,12.884997,ov_ristorante_il_calamaro_45.5979_12.8850,Ristorante Il Calamaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_il_calamaro_45.5979_12.8850.json,custom
45.598581,12.879723,ov_ristorante_pizzeria_esperia_45.5986_12.8797,Ristorante Pizzeria Esperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_esperia_45.5986_12.8797.json,custom
45.598412,12.883437,ov_pizzeria_eleven_45.5984_12.8834,Pizzeria Eleven,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizzeria_eleven_45.5984_12.8834.json,custom
45.598363,12.886722,ov_il_calamaro_innamorato___street_sea_food_45.5984_12.8867,Il Calamaro Innamorato - Street Sea food and Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/il_calamaro_innamorato_-_street_sea_food_45.5984_12.8867.json,custom
45.598351,12.889242,ov_bellavista_caorle_45.5984_12.8892,Bellavista Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/bellavista_caorle_45.5984_12.8892.json,custom
45.598460,12.887580,ov_mamo_s_pizza_45.5985_12.8876,Mamo's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/mamos_pizza_45.5985_12.8876.json,custom
45.598416,12.887573,ov_al_campiello_45.5984_12.8876,Al Campiello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/al_campiello_45.5984_12.8876.json,custom
45.598474,12.887504,ov_bar_ristorante_da_ornella_45.5985_12.8875,Bar Ristorante Da Ornella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/bar_ristorante_da_ornella_45.5985_12.8875.json,custom
45.598525,12.887602,ov_la_veneta_col_tacco_45.5985_12.8876,La Veneta Col Tacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/la_veneta_col_tacco_45.5985_12.8876.json,custom
45.598620,12.888046,ov_casa_francesco_45.5986_12.8880,Casa Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/casa_francesco_45.5986_12.8880.json,custom
45.598605,12.888249,ov_ristorante_alla_posta_45.5986_12.8882,Ristorante Alla Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_alla_posta_45.5986_12.8882.json,custom
45.598507,12.888559,ov_trattoria_al_mare_45.5985_12.8886,Trattoria Al Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/trattoria_al_mare_45.5985_12.8886.json,custom
45.598286,12.888960,ov_mammalena_45.5983_12.8890,Mammalena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/mammalena_45.5983_12.8890.json,custom
45.598203,12.887477,ov_ristorante_trattoria_da_dino_45.5982_12.8875,Ristorante trattoria DA DINO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_trattoria_da_dino_45.5982_12.8875.json,custom
45.598168,12.888785,ov_vecchia_costiera_45.5982_12.8888,Vecchia Costiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/vecchia_costiera_45.5982_12.8888.json,custom
45.598098,12.888097,ov_ristorante_di_pesce_e_pizzeria_da_rosy_45.5981_12.8881,Ristorante di pesce e pizzeria Da Rosy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_di_pesce_e_pizzeria_da_rosy_45.5981_12.8881.json,custom
45.598124,12.887084,ov_ester_bistrot_45.5981_12.8871,Ester Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ester_bistrot_45.5981_12.8871.json,custom
45.598080,12.886140,ov_mille_trentotto_ristorante_45.5981_12.8861,Mille Trentotto ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/mille_trentotto_ristorante_45.5981_12.8861.json,custom
45.598048,12.887317,ov_sal_chi__di_moretti_salvatore___c__snc_45.5980_12.8873,Sal.Chi. di Moretti Salvatore & C. SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/salchi_di_moretti_salvatore_c_snc_45.5980_12.8873.json,custom
45.598051,12.888084,ov_da_pino_caorle_45.5981_12.8881,da Pino Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/da_pino_caorle_45.5981_12.8881.json,custom
45.598061,12.888013,ov_la_pizzetteria___caorle_45.5981_12.8880,La Pizzetteria - Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/la_pizzetteria_-_caorle_45.5981_12.8880.json,custom
45.599212,12.886288,ov_taverna_caorlina_45.5992_12.8863,Taverna Caorlina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/taverna_caorlina_45.5992_12.8863.json,custom
45.599191,12.885058,ov_ristorante_da_rocco_caorle_45.5992_12.8851,Ristorante da Rocco Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_da_rocco_caorle_45.5992_12.8851.json,custom
