# lat,lng,id,name,building_type,type,url,page_type
# inzago -- Tutti
45.538797,9.480457,ov_hospital_luigi_marchesi_45.5388_9.4805,Hospital Luigi Marchesi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/hospital_luigi_marchesi_45.5388_9.4805.json,custom
45.542110,9.489810,ov_franchising_ristosalumeria_45.5421_9.4898,Franchising Ristosalumeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/franchising_ristosalumeria_45.5421_9.4898.json,custom
45.542204,9.480623,ov_osteria_dei_golosi_45.5422_9.4806,Osteria dei golosi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/osteria_dei_golosi_45.5422_9.4806.json,custom
45.542182,9.480676,ov_ristorante_al_post_giust_45.5422_9.4807,Ristorante Al Post Giust,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/ristorante_al_post_giust_45.5422_9.4807.json,custom
45.542875,9.479521,ov_pizza_smart_45.5429_9.4795,Pizza Smart,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/pizza_smart_45.5429_9.4795.json,custom
45.542920,9.479486,ov_pizzeria_vita_45.5429_9.4795,Pizzeria Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/pizzeria_vita_45.5429_9.4795.json,custom
45.543996,9.483788,ov_ristorante_da_fosca___inzago_45.5440_9.4838,Ristorante Da Fosca - Inzago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/ristorante_da_fosca_-_inzago_45.5440_9.4838.json,custom
45.542820,9.470360,ov_bar_trattoria_kon_tatto_45.5428_9.4704,Bar Trattoria KON.TATTO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/bar_trattoria_kontatto_45.5428_9.4704.json,custom
45.542773,9.470349,ov_ristorante_muraglia_45.5428_9.4703,Ristorante Muraglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/ristorante_muraglia_45.5428_9.4703.json,custom
45.547285,9.454404,ov_mondo_a_tavola_45.5473_9.4544,Mondo A Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/mondo_a_tavola_45.5473_9.4544.json,custom
45.540203,9.480368,ov_bar_arco_45.5402_9.4804,Bar Arco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/bar_arco_45.5402_9.4804.json,custom
45.539564,9.479691,ov_mocambo_art_music_bar_45.5396_9.4797,Mocambo Art Music Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/mocambo_art_music_bar_45.5396_9.4797.json,custom
45.526261,9.466053,ov_village_piper_45.5263_9.4661,Village Piper,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/village_piper_45.5263_9.4661.json,custom
45.541175,9.476047,ov_parmigiani_maurizio_45.5412_9.4760,Parmigiani Maurizio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/parmigiani_maurizio_45.5412_9.4760.json,custom
45.541337,9.476003,ov_primavera_45.5413_9.4760,Primavera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/primavera_45.5413_9.4760.json,custom
45.540760,9.480930,ov_plaza_caf__45.5408_9.4809,Plaza Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/plaza_caf_45.5408_9.4809.json,custom
45.540979,9.481406,ov_bar_passion_45.5410_9.4814,Bar Passion,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/bar_passion_45.5410_9.4814.json,custom
45.542021,9.480635,ov_a_casa_mia_di_riva_egidio_sas_45.5420_9.4806,A Casa Mia di Riva Egidio Sas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/a_casa_mia_di_riva_egidio_sas_45.5420_9.4806.json,custom
45.543006,9.483116,ov_fritz_nonsolocaf__45.5430_9.4831,FRITZ nonsolocafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/fritz_nonsolocaf_45.5430_9.4831.json,custom
45.544666,9.471224,ov_toro_caffe_45.5447_9.4712,Toro Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/toro_caffe_45.5447_9.4712.json,custom
45.547681,9.453642,ov_il_covo_45.5477_9.4536,Il Covo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/il_covo_45.5477_9.4536.json,custom
45.539646,9.479804,osm_mocambo_music_bar_45.5396_9.4798,Mocambo Music Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/mocambo_music_bar_45.5396_9.4798.json,custom
45.535494,9.491508,ov_top_gym_fitness_club_45.5355_9.4915,Top Gym Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/top_gym_fitness_club_45.5355_9.4915.json,custom
45.540167,9.484123,ov_palestra_comunale_45.5402_9.4841,Palestra Comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/palestra_comunale_45.5402_9.4841.json,custom
45.545041,9.476201,ov_campi_sportivi_polivalenti_45.5450_9.4762,Campi Sportivi Polivalenti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/campi_sportivi_polivalenti_45.5450_9.4762.json,custom
45.547261,9.454445,ov_centro_ippico_i_platani_45.5473_9.4544,Centro Ippico I Platani,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/centro_ippico_i_platani_45.5473_9.4544.json,custom
45.547228,9.454425,ov_dance__n_project_45.5472_9.4544,Dance 'N Project,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/dance_n_project_45.5472_9.4544.json,custom
45.557829,9.485085,ov_centro_ippico_villoresi_a_s_d_45.5578_9.4851,Centro ippico Villoresi a.s.d,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/centro_ippico_villoresi_asd_45.5578_9.4851.json,custom
45.541417,9.481800,ov_biblioteca_civica_di_inzago_45.5414_9.4818,Biblioteca Civica di Inzago,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/biblioteca_civica_di_inzago_45.5414_9.4818.json,custom
