# lat,lng,id,name,building_type,type,url,page_type
# Nocera Superiore -- Tutti
40.743510,14.679040,ov_iannone_centro_medico_odontoiatrico_40.7435_14.6790,Iannone Centro Medico Odontoiatrico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/iannone_centro_medico_odontoiatrico_40.7435_14.6790.json,custom
40.747722,14.673611,ov_ci_voleva_pizzeria_40.7477_14.6736,Ci Voleva Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/ci_voleva_pizzeria_40.7477_14.6736.json,custom
40.746638,14.679128,ov_pizza___fritti_da_gina_40.7466_14.6791,Pizza & Fritti Da Gina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizza_fritti_da_gina_40.7466_14.6791.json,custom
40.746716,14.683245,ov_da_vittorino_pizzeria_40.7467_14.6832,Da Vittorino Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/da_vittorino_pizzeria_40.7467_14.6832.json,custom
40.746728,14.684285,ov_croce_malloni_40.7467_14.6843,Croce Malloni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/croce_malloni_40.7467_14.6843.json,custom
40.741386,14.682042,ov_pizzeria_rosticceria_la_dama_40.7414_14.6820,Pizzeria Rosticceria LA DAMA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzeria_rosticceria_la_dama_40.7414_14.6820.json,custom
40.741533,14.679749,ov_pizzeria_express_a_d__pepp_40.7415_14.6797,Pizzeria Express A Dò Pepp,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzeria_express_a_d_pepp_40.7415_14.6797.json,custom
40.742167,14.676768,ov_pizzeria_parthenope_40.7422_14.6768,Pizzeria Parthenope,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzeria_parthenope_40.7422_14.6768.json,custom
40.741168,14.671634,ov_autogrill_40.7412_14.6716,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/autogrill_40.7412_14.6716.json,custom
40.742214,14.671475,ov_osteria_vino_rosso_40.7422_14.6715,Osteria Vino Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/osteria_vino_rosso_40.7422_14.6715.json,custom
40.742903,14.673300,ov_pescheria_add___cetarese_2_40.7429_14.6733,Pescheria Add'ò Cetarese 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pescheria_add_cetarese_2_40.7429_14.6733.json,custom
40.743386,14.673076,ov_pizza_point_di_alfonso_cordiano_40.7434_14.6731,Pizza Point di Alfonso Cordiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizza_point_di_alfonso_cordiano_40.7434_14.6731.json,custom
40.744633,14.674722,ov_pizzeria___addo_staffone___40.7446_14.6747,Pizzeria ''Addo Staffone'',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzeria_addo_staffone_40.7446_14.6747.json,custom
40.744056,14.665386,ov_acqua___farina_40.7441_14.6654,Acqua & Farina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/acqua_farina_40.7441_14.6654.json,custom
40.744310,14.660957,ov_agriturismo_vittorioso_40.7443_14.6610,Agriturismo Vittorioso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/agriturismo_vittorioso_40.7443_14.6610.json,custom
40.746132,14.658781,ov_braceria_carne_cruda_40.7461_14.6588,Braceria Carne Cruda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/braceria_carne_cruda_40.7461_14.6588.json,custom
40.746410,14.663870,ov_lo_scarpariello_40.7464_14.6639,Lo Scarpariello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/lo_scarpariello_40.7464_14.6639.json,custom
40.747859,14.669937,ov_bar_old_caff__40.7479_14.6699,Bar Old Caffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_old_caff_40.7479_14.6699.json,custom
40.731668,14.657288,ov_famiglia_principe_40.7317_14.6573,Famiglia Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/famiglia_principe_40.7317_14.6573.json,custom
40.731562,14.657229,ov_luna_galante_40.7316_14.6572,Luna Galante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/luna_galante_40.7316_14.6572.json,custom
40.731523,14.657436,ov_pizzant__nocera_40.7315_14.6574,Pizzantò Nocera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzant_nocera_40.7315_14.6574.json,custom
40.739938,14.664148,ov_pizzeria_o_murett_40.7399_14.6641,Pizzeria O'Murett,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzeria_omurett_40.7399_14.6641.json,custom
40.740354,14.664721,ov_ristorante_noun__40.7404_14.6647,Ristorante Nounù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/ristorante_noun_40.7404_14.6647.json,custom
40.740341,14.665613,ov_pizzeria_add__marktiell_40.7403_14.6656,Pizzeria Addò Marktiell,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzeria_add_marktiell_40.7403_14.6656.json,custom
40.740310,14.666560,ov_il_cantico_dei_sapori_40.7403_14.6666,Il Cantico dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/il_cantico_dei_sapori_40.7403_14.6666.json,custom
40.740310,14.666560,ov_pizzeria_tattira_kebab_40.7403_14.6666,Pizzeria tattira kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pizzeria_tattira_kebab_40.7403_14.6666.json,custom
40.739925,14.665753,ov_bellezza_mediterranea_40.7399_14.6658,Bellezza Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bellezza_mediterranea_40.7399_14.6658.json,custom
40.737431,14.667801,ov_o__piciuoccolo_40.7374_14.6678,O' Piciuoccolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/o_piciuoccolo_40.7374_14.6678.json,custom
40.738143,14.674497,ov_la_pantera_rosa___ristorante_pizzeria_40.7381_14.6745,La Pantera Rosa - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/la_pantera_rosa_-_ristorante_pizzeria_40.7381_14.6745.json,custom
40.738361,14.674161,ov_pasticceria_u_monaco_40.7384_14.6742,Pasticceria U Monaco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pasticceria_u_monaco_40.7384_14.6742.json,custom
40.739082,14.672413,ov_madison_40.7391_14.6724,Madison,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/madison_40.7391_14.6724.json,custom
40.735774,14.673051,ov_autogrill_40.7358_14.6731,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/autogrill_40.7358_14.6731.json,custom
40.734172,14.676359,ov_ristorante_il_castagneto_sas_di_francese_40.7342_14.6764,Ristorante Il Castagneto SAS di Francese Raffaele & C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/ristorante_il_castagneto_sas_di_francese_40.7342_14.6764.json,custom
40.732822,14.678799,ov_autogrill_40.7328_14.6788,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/autogrill_40.7328_14.6788.json,custom
40.751397,14.682908,ov_la_locanda_del_frate_40.7514_14.6829,La Locanda del Frate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/la_locanda_del_frate_40.7514_14.6829.json,custom
40.752549,14.687610,ov_sapori_del_mare_40.7525_14.6876,Sapori del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/sapori_del_mare_40.7525_14.6876.json,custom
40.752931,14.687019,ov_la_dispensa_63_40.7529_14.6870,La Dispensa 63,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/la_dispensa_63_40.7529_14.6870.json,custom
40.753069,14.687522,ov_far__40.7531_14.6875,Farù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/far_40.7531_14.6875.json,custom
40.752902,14.687632,ov_osteria_terra_santa_40.7529_14.6876,Osteria Terra Santa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/osteria_terra_santa_40.7529_14.6876.json,custom
40.752929,14.687452,ov_ristorante_al_convento_40.7529_14.6875,Ristorante Al Convento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/ristorante_al_convento_40.7529_14.6875.json,custom
40.750398,14.770388,ov_la_fratanza_40.7504_14.7704,La Fratanza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/la_fratanza_40.7504_14.7704.json,custom
40.740297,14.665638,osm_addo__marktiell_40.7403_14.6656,Addo' Marktiell,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/addo_marktiell_40.7403_14.6656.json,custom
40.697589,14.711001,ov_officina_249_40.6976_14.7110,officina 249,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/officina_249_40.6976_14.7110.json,custom
40.731569,14.686932,ov_varuma_sweet_emotion_40.7316_14.6869,Varuma Sweet Emotion,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/varuma_sweet_emotion_40.7316_14.6869.json,custom
40.740054,14.686510,ov_bagus_cafe_40.7401_14.6865,Bagus Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bagus_cafe_40.7401_14.6865.json,custom
40.740788,14.686303,ov_baylon_40.7408_14.6863,Baylon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/baylon_40.7408_14.6863.json,custom
40.741010,14.685710,ov_bar_alba_40.7410_14.6857,BAR ALBA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_alba_40.7410_14.6857.json,custom
40.741494,14.689344,ov_bar_avino_40.7415_14.6893,Bar Avino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_avino_40.7415_14.6893.json,custom
40.742809,14.687642,ov_punto_snai_sunbet___bar_40.7428_14.6876,Punto Snai Sunbet - Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/punto_snai_sunbet_-_bar_40.7428_14.6876.json,custom
40.743994,14.688282,ov_exstasi_bar_40.7440_14.6883,Exstasi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/exstasi_bar_40.7440_14.6883.json,custom
40.747140,14.686560,ov_jok3r_club_40.7471_14.6866,Jok3r Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/jok3r_club_40.7471_14.6866.json,custom
40.747434,14.686925,ov_chien_caf__40.7474_14.6869,Chien Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/chien_caf_40.7474_14.6869.json,custom
40.749492,14.678648,ov_bar_pizzeria_old_caff__40.7495_14.6786,Bar Pizzeria Old Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_pizzeria_old_caff_40.7495_14.6786.json,custom
40.747800,14.671828,ov_bar_manila_40.7478_14.6718,Bar Manila,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_manila_40.7478_14.6718.json,custom
40.746285,14.679085,ov_caffetteria_tabacchi_pepe_40.7463_14.6791,Caffetteria Tabacchi Pepe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/caffetteria_tabacchi_pepe_40.7463_14.6791.json,custom
40.741695,14.680866,ov_bar_rj_caff__40.7417_14.6809,Bar Rj caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_rj_caff_40.7417_14.6809.json,custom
40.741770,14.679890,ov_bar_birillo_rosso_40.7418_14.6799,Bar birillo rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_birillo_rosso_40.7418_14.6799.json,custom
40.741898,14.679858,ov_mydespar_40.7419_14.6799,Mydespar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/mydespar_40.7419_14.6799.json,custom
40.741473,14.671648,ov_el_bocadillo_40.7415_14.6716,El Bocadillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/el_bocadillo_40.7415_14.6716.json,custom
40.742267,14.671475,ov_blues_bar_40.7423_14.6715,Blues Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/blues_bar_40.7423_14.6715.json,custom
40.743544,14.671849,ov_planetbar_sala_giochi_40.7435_14.6718,PlanetBar Sala Giochi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/planetbar_sala_giochi_40.7435_14.6718.json,custom
40.743097,14.673166,ov_na_tazzulella___caf__40.7431_14.6732,Na Tazzulella è Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/na_tazzulella_caf_40.7431_14.6732.json,custom
40.744507,14.674748,ov_caff__villani_40.7445_14.6747,Caffè Villani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/caff_villani_40.7445_14.6747.json,custom
40.742420,14.670780,ov_caf__mazzini_2_0_40.7424_14.6708,Cafè Mazzini 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/caf_mazzini_20_40.7424_14.6708.json,custom
40.746535,14.664781,ov_pasticceria_e_caffetteria_manzi_di_vince_40.7465_14.6648,Pasticceria e Caffetteria Manzi di Vincenzo Manzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/pasticceria_e_caffetteria_manzi_di_vince_40.7465_14.6648.json,custom
40.746477,14.666012,ov_barcode_40.7465_14.6660,Barcode,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/barcode_40.7465_14.6660.json,custom
40.740446,14.661475,ov_bar_des_di_vicidomini_diego_40.7404_14.6615,Bar Des Di Vicidomini Diego,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_des_di_vicidomini_diego_40.7404_14.6615.json,custom
40.740306,14.663428,ov_caffetteria_vicidomini_40.7403_14.6634,Caffetteria VICIDOMINI,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/caffetteria_vicidomini_40.7403_14.6634.json,custom
40.740161,14.667214,ov_bar_nazionale_40.7402_14.6672,Bar Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_nazionale_40.7402_14.6672.json,custom
40.739881,14.671618,ov_bar_italia_40.7399_14.6716,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/bar_italia_40.7399_14.6716.json,custom
40.730541,14.687954,ov_kor__wellness_40.7305_14.6880,Korè Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/kor_wellness_40.7305_14.6880.json,custom
40.748984,14.677051,ov_the_box_40.7490_14.6771,The Box,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/the_box_40.7490_14.6771.json,custom
40.743348,14.671678,ov_souldance_di_valery_stack_40.7433_14.6717,Souldance Di Valery Stack,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/souldance_di_valery_stack_40.7433_14.6717.json,custom
40.733300,14.666700,ov_ginnastica_ritmica_la_piramide_40.7333_14.6667,Ginnastica Ritmica La Piramide,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/ginnastica_ritmica_la_piramide_40.7333_14.6667.json,custom
40.737642,14.659345,ov_asd_piemme_gym_artistica___aerea_40.7376_14.6593,ASD Piemme Gym artistica & aerea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/asd_piemme_gym_artistica_aerea_40.7376_14.6593.json,custom
40.739800,14.657554,ov_centro_sportivo_polifunzionale_san_ciro_40.7398_14.6576,Centro Sportivo Polifunzionale San Ciro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/centro_sportivo_polifunzionale_san_ciro_40.7398_14.6576.json,custom
40.739845,14.659781,ov_new_fitness_world_40.7398_14.6598,New Fitness World,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/new_fitness_world_40.7398_14.6598.json,custom
40.738698,14.661265,ov_scuola_di_ballo_baila_latino_di_ciko_lat_40.7387_14.6613,Scuola di ballo Baila Latino di Ciko Latino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/scuola_di_ballo_baila_latino_di_ciko_lat_40.7387_14.6613.json,custom
40.739291,14.663984,ov_fitness_futura_40.7393_14.6640,Fitness Futura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/fitness_futura_40.7393_14.6640.json,custom
40.738800,14.667890,ov_up_level_fitness_nocera_superiore_40.7388_14.6679,Up Level Fitness Nocera Superiore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/up_level_fitness_nocera_superiore_40.7388_14.6679.json,custom
40.740320,14.672385,ov_asd_a_passo_di_danza_40.7403_14.6724,Asd A Passo Di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/asd_a_passo_di_danza_40.7403_14.6724.json,custom
40.751972,14.683607,ov_asd_friends_dance_40.7520_14.6836,Asd Friends Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/asd_friends_dance_40.7520_14.6836.json,custom
40.740507,14.665931,ov_villa_de_ruggiero_40.7405_14.6659,Villa de Ruggiero,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/villa_de_ruggiero_40.7405_14.6659.json,custom
40.752800,14.686920,osm_poste_italiane_40.7528_14.6869,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/poste_italiane_40.7528_14.6869.json,custom
40.741559,14.672604,ov_biblioteca_comunale_aldo_moro_40.7416_14.6726,Biblioteca Comunale Aldo Moro,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/biblioteca_comunale_aldo_moro_40.7416_14.6726.json,custom
40.740964,14.673614,ov_biblioteca___informagiovani__nocera_supe_40.7410_14.6736,Biblioteca - Informagiovani  Nocera Superiore,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nocera_superiore/pages/biblioteca_-_informagiovani_nocera_super_40.7410_14.6736.json,custom
