# lat,lng,id,name,building_type,type,url,page_type
# Santa Giustina -- Tutti
46.078923,12.030163,ov_unita__locale_socio_sanitaria_n_2_46.0789_12.0302,Unita' Locale Socio-Sanitaria N.2,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/unita_locale_socio-sanitaria_n2_46.0789_12.0302.json,custom
46.083675,12.043904,osm_fidelis_risto_pizza_46.0837_12.0439,Fidelis Risto Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/fidelis_risto_pizza_46.0837_12.0439.json,custom
46.083486,12.042947,osm_voglia_di_pizza_46.0835_12.0429,Voglia di Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/voglia_di_pizza_46.0835_12.0429.json,custom
46.087644,12.029512,ov_bar_la_cueva_46.0876_12.0295,Bar La Cueva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/bar_la_cueva_46.0876_12.0295.json,custom
46.077039,12.029136,ov_van_gogh_46.0770_12.0291,Van Gogh,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/van_gogh_46.0770_12.0291.json,custom
46.080530,12.035802,ov_il_doge_46.0805_12.0358,Il Doge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/il_doge_46.0805_12.0358.json,custom
46.080581,12.035765,ov_enoteca_elisir_46.0806_12.0358,Enoteca Elisir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/enoteca_elisir_46.0806_12.0358.json,custom
46.082923,12.041912,ov_bar_santa_cafe_46.0829_12.0419,Bar Santa Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/bar_santa_cafe_46.0829_12.0419.json,custom
46.082539,12.040996,ov_la_dolce_vita_46.0825_12.0410,La Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/la_dolce_vita_46.0825_12.0410.json,custom
46.087041,12.039602,ov_carazzai_srl_46.0870_12.0396,Carazzai SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/carazzai_srl_46.0870_12.0396.json,custom
46.083798,12.043398,ov_bacco_s_room_46.0838_12.0434,Bacco's Room,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/baccos_room_46.0838_12.0434.json,custom
46.084270,12.043922,ov_bar_giaci_46.0843_12.0439,Bar Giaci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/bar_giaci_46.0843_12.0439.json,custom
46.080837,12.048609,ov_bar_da_chino_46.0808_12.0486,Bar Da Chino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/bar_da_chino_46.0808_12.0486.json,custom
46.106695,12.070340,ov_sacro_graal_46.1067_12.0703,Sacro Graal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/sacro_graal_46.1067_12.0703.json,custom
46.102609,12.066014,ov_bar_centrale_46.1026_12.0660,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/bar_centrale_46.1026_12.0660.json,custom
46.075830,12.026136,osm_pasticceria_la_briciola_46.0758_12.0261,Pasticceria La Briciola,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/pasticceria_la_briciola_46.0758_12.0261.json,custom
46.079573,12.036150,ov_palestra_elisa_46.0796_12.0361,Palestra Elisa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/palestra_elisa_46.0796_12.0361.json,custom
46.084980,12.038680,ov_il_regno_dei_bimbi_46.0850_12.0387,Il Regno dei Bimbi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/il_regno_dei_bimbi_46.0850_12.0387.json,custom
