# lat,lng,id,name,building_type,type,url,page_type
# azzano_decimo -- Tutti
45.879071,12.707648,ov_usl_azzano_x_45.8791_12.7076,Usl Azzano X,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/usl_azzano_x_45.8791_12.7076.json,custom
45.881558,12.714500,ov_mareinbocca_45.8816_12.7145,Mareinbocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/mareinbocca_45.8816_12.7145.json,custom
45.880657,12.713244,ov_pizza_jazz_45.8807_12.7132,Pizza Jazz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pizza_jazz_45.8807_12.7132.json,custom
45.881060,12.711989,ov_pizza_sprint_45.8811_12.7120,Pizza Sprint,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pizza_sprint_45.8811_12.7120.json,custom
45.846103,12.672977,ov_bar_al_sole_45.8461_12.6730,Bar Al Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bar_al_sole_45.8461_12.6730.json,custom
45.902706,12.635186,ov_bar_trattoria_da_gian_45.9027_12.6352,Bar Trattoria Da Gian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bar_trattoria_da_gian_45.9027_12.6352.json,custom
45.908630,12.667070,ov_pizzar__truck_45.9086_12.6671,Pizzarò Truck,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pizzar_truck_45.9086_12.6671.json,custom
45.892480,12.673520,ov_i_macoritti_45.8925_12.6735,I Macoritti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/i_macoritti_45.8925_12.6735.json,custom
45.891541,12.697542,ov_mamototo_azzano_45.8915_12.6975,Mamototo Azzano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/mamototo_azzano_45.8915_12.6975.json,custom
45.892877,12.698122,ov_muretto_45.8929_12.6981,Muretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/muretto_45.8929_12.6981.json,custom
45.884137,12.713426,osm_new_taj_mahal_kebab_45.8841_12.7134,New taj mahal Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/new_taj_mahal_kebab_45.8841_12.7134.json,custom
45.881579,12.713516,osm_il_mio_botteghino_45.8816_12.7135,Il Mio Botteghino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/il_mio_botteghino_45.8816_12.7135.json,custom
45.882190,12.713058,ov_pasha_45.8822_12.7131,Pasha,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pasha_45.8822_12.7131.json,custom
45.882113,12.712008,ov_bar_classico_45.8821_12.7120,Bar Classico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bar_classico_45.8821_12.7120.json,custom
45.882826,12.710778,ov_spin_caff__american_bar_45.8828_12.7108,Spin Caffè American Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/spin_caff_american_bar_45.8828_12.7108.json,custom
45.882922,12.714231,ov_the_bagpipe_celtic_pub_45.8829_12.7142,The Bagpipe Celtic Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/the_bagpipe_celtic_pub_45.8829_12.7142.json,custom
45.882845,12.714055,ov_romy_bar_45.8828_12.7141,Romy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/romy_bar_45.8828_12.7141.json,custom
45.881670,12.713469,ov_city_caff__45.8817_12.7135,City Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/city_caff_45.8817_12.7135.json,custom
45.880918,12.713953,ov_bar_centrale_45.8809_12.7140,Bar centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bar_centrale_45.8809_12.7140.json,custom
45.881000,12.714211,ov_caffe_commercio_45.8810_12.7142,Caffe Commercio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/caffe_commercio_45.8810_12.7142.json,custom
45.880840,12.713016,ov_enoteca_azzanese_45.8808_12.7130,Enoteca Azzanese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/enoteca_azzanese_45.8808_12.7130.json,custom
45.872964,12.709336,ov_kiosko__tanta_roba__45.8730_12.7093,Kiosko 'Tanta Roba',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/kiosko_tanta_roba_45.8730_12.7093.json,custom
45.877395,12.722793,ov_bar_interno_4_45.8774_12.7228,Bar Interno 4,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bar_interno_4_45.8774_12.7228.json,custom
45.850112,12.684507,ov_sprizz_bar_45.8501_12.6845,Sprizz Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/sprizz_bar_45.8501_12.6845.json,custom
45.863603,12.691551,ov_agribirrificio_borgo_decimo_45.8636_12.6916,Agribirrificio Borgo Decimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/agribirrificio_borgo_decimo_45.8636_12.6916.json,custom
45.916047,12.660632,ov_snack_bar_al_ponte_45.9160_12.6606,Snack Bar Al Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/snack_bar_al_ponte_45.9160_12.6606.json,custom
45.908473,12.669279,ov_all_incontro_45.9085_12.6693,All'Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/allincontro_45.9085_12.6693.json,custom
45.892607,12.673624,ov_bar_margherita_45.8926_12.6736,Bar Margherita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bar_margherita_45.8926_12.6736.json,custom
45.907375,12.710971,ov_bar_alle_fratte_45.9074_12.7110,Bar Alle Fratte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bar_alle_fratte_45.9074_12.7110.json,custom
45.881974,12.712944,osm_pit_stop_2_0_45.8820_12.7129,Pit-Stop 2.0,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pit-stop_20_45.8820_12.7129.json,custom
45.882126,12.711922,osm_princess_bar_45.8821_12.7119,Princess Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/princess_bar_45.8821_12.7119.json,custom
45.882229,12.712990,osm_pash__45.8822_12.7130,Pashà,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pash_45.8822_12.7130.json,custom
45.883347,12.715672,osm_the_bagpipe_celtic_pub_45.8833_12.7157,The Bagpipe Celtic Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/the_bagpipe_celtic_pub_45.8833_12.7157.json,custom
45.881328,12.711251,osm_white_caff__45.8813_12.7113,White Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/white_caff_45.8813_12.7113.json,custom
45.882857,12.710459,ov_centro_olistico_yoga_mala_45.8829_12.7105,Centro Olistico Yoga Mala,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/centro_olistico_yoga_mala_45.8829_12.7105.json,custom
45.881509,12.711268,ov_studio_revolution_45.8815_12.7113,Studio Revolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/studio_revolution_45.8815_12.7113.json,custom
45.882507,12.658860,ov_la_brussa_45.8825_12.6589,la brussa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/la_brussa_45.8825_12.6589.json,custom
45.908696,12.668199,ov_sunny_gym_s_s_d__a_r_l__45.9087_12.6682,Sunny Gym S.S.D. a R.L.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/sunny_gym_ssd_a_rl_45.9087_12.6682.json,custom
45.908492,12.668377,ov_sensual_dance_fit___azzano_decimo___pord_45.9085_12.6684,Sensual dance fit - Azzano Decimo - Pordenone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/sensual_dance_fit_-_azzano_decimo_-_pord_45.9085_12.6684.json,custom
45.908257,12.669674,ov_si_fit___friends_45.9083_12.6697,SI Fit & Friends,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/si_fit_friends_45.9083_12.6697.json,custom
45.901229,12.676162,ov_tt_equisport_45.9012_12.6762,TT Equisport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/tt_equisport_45.9012_12.6762.json,custom
45.891756,12.697220,ov_professionisti_del_movimento_azzano_deci_45.8918_12.6972,Professionisti del Movimento Azzano Decimo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/professionisti_del_movimento_azzano_deci_45.8918_12.6972.json,custom
45.893133,12.673465,osm_poste_italiane_45.8931_12.6735,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/poste_italiane_45.8931_12.6735.json,custom
45.884048,12.713231,osm_siposta_agenzia_azzano_decimo_45.8840_12.7132,SiPosta Agenzia Azzano Decimo,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/siposta_agenzia_azzano_decimo_45.8840_12.7132.json,custom
