# lat,lng,id,name,building_type,type,url,page_type
# Azzate -- Tutti
45.778818,8.798405,ov_asl___distretto_di_azzate_45.7788_8.7984,Asl - Distretto di Azzate,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/asl_-_distretto_di_azzate_45.7788_8.7984.json,custom
45.784565,8.790495,ov_accademia_della_birra_45.7846_8.7905,Accademia della Birra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/accademia_della_birra_45.7846_8.7905.json,custom
45.777688,8.798172,ov_montallegro_45.7777_8.7982,Montallegro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/montallegro_45.7777_8.7982.json,custom
45.777664,8.798915,osm_pasticceria_marcolli_45.7777_8.7989,Pasticceria Marcolli,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/pasticceria_marcolli_45.7777_8.7989.json,custom
45.776875,8.794546,osm_albini_45.7769_8.7945,Albini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/albini_45.7769_8.7945.json,custom
45.777782,8.794961,osm_il_caff__della_samy_45.7778_8.7950,Il caffè della Samy,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/il_caff_della_samy_45.7778_8.7950.json,custom
45.784607,8.790512,osm_accademia_della_birra_45.7846_8.7905,Accademia della Birra,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/accademia_della_birra_45.7846_8.7905.json,custom
45.780900,8.794940,ov_centro_socio_ricreativo_azzate_45.7809_8.7949,Centro Socio Ricreativo Azzate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/centro_socio_ricreativo_azzate_45.7809_8.7949.json,custom
45.781840,8.796700,ov_infiniti_percorsi___associazione_cultura_45.7818_8.7967,Infiniti Percorsi - Associazione Culturale e Sportiva Dilett,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/infiniti_percorsi_-_associazione_cultura_45.7818_8.7967.json,custom
45.776198,8.793835,ov_studio_104_fitness_al_femminile_45.7762_8.7938,Studio 104 Fitness al Femminile,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/studio_104_fitness_al_femminile_45.7762_8.7938.json,custom
45.773365,8.783518,ov_colosseum_45.7734_8.7835,Colosseum,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/colosseum_45.7734_8.7835.json,custom
45.772506,8.785434,ov_crossfit_varese_45.7725_8.7854,CrossFit Varese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/crossfit_varese_45.7725_8.7854.json,custom
45.772067,8.787291,ov_ginfit_azzate_45.7721_8.7873,Ginfit Azzate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/ginfit_azzate_45.7721_8.7873.json,custom
45.778619,8.797804,ov_studio_liberty_azzate_45.7786_8.7978,Studio Liberty Azzate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/studio_liberty_azzate_45.7786_8.7978.json,custom
45.778173,8.804927,ov_we_dance_accademia_di_danza_45.7782_8.8049,WE DANCE Accademia di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/we_dance_accademia_di_danza_45.7782_8.8049.json,custom
45.781280,8.796241,ov_biblioteca_di_azzate_45.7813_8.7962,Biblioteca di Azzate,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/biblioteca_di_azzate_45.7813_8.7962.json,custom
45.781218,8.796685,osm_biblioteca_civica_don_achille_triacca_45.7812_8.7967,Biblioteca civica Don Achille Triacca,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/biblioteca_civica_don_achille_triacca_45.7812_8.7967.json,custom
