# lat,lng,id,name,building_type,type,url,page_type
# monteriggioni -- Tutti
43.406104,11.206571,ov_ospedale_le_scotte_43.4061_11.2066,Ospedale Le Scotte,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/ospedale_le_scotte_43.4061_11.2066.json,custom
43.392783,11.218848,ov_bar_dell_orso_43.3928_11.2188,Bar dell'Orso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bar_dellorso_43.3928_11.2188.json,custom
43.403497,11.202140,ov_cimitero_di_monteriggioni_43.4035_11.2021,Cimitero di Monteriggioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/cimitero_di_monteriggioni_43.4035_11.2021.json,custom
43.398845,11.178977,ov_bingo_boing_srl_43.3988_11.1790,Bingo Boing SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bingo_boing_srl_43.3988_11.1790.json,custom
43.399492,11.176675,ov_dolcevita_caffe_cucina_43.3995_11.1767,DolceVita Caffe Cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/dolcevita_caffe_cucina_43.3995_11.1767.json,custom
43.390340,11.222726,ov_pit_stop_17_43.3903_11.2227,Pit Stop 17,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/pit_stop_17_43.3903_11.2227.json,custom
43.389900,11.223266,ov_bar_il_feudo_43.3899_11.2233,Bar Il Feudo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bar_il_feudo_43.3899_11.2233.json,custom
43.389845,11.223876,ov_bar_xxxi_canto_43.3898_11.2239,Bar XXXI Canto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bar_xxxi_canto_43.3898_11.2239.json,custom
43.344296,11.286081,ov_bar_melagodo_43.3443_11.2861,Bar Melagodo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bar_melagodo_43.3443_11.2861.json,custom
43.345130,11.307212,ov_tvb_tuscan_wine_bar_43.3451_11.3072,TVB Tuscan wine bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/tvb_tuscan_wine_bar_43.3451_11.3072.json,custom
43.345381,11.307208,ov_dream_caf__43.3454_11.3072,Dream Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/dream_caf_43.3454_11.3072.json,custom
43.346622,11.305162,ov_barbagianni_43.3466_11.3052,BarBagianni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/barbagianni_43.3466_11.3052.json,custom
43.349302,11.308064,ov_bar_ristorante_montarioso_43.3493_11.3081,Bar Ristorante Montarioso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bar_ristorante_montarioso_43.3493_11.3081.json,custom
43.252131,11.395040,ov_la_locanda_del_pellegrino_di_milly___ant_43.2521_11.3950,La locanda del pellegrino di Milly è Antonio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/la_locanda_del_pellegrino_di_milly_anton_43.2521_11.3950.json,custom
43.407460,11.210520,ov_circolo_arci_castellina_scalo_43.4075_11.2105,Circolo Arci Castellina Scalo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/circolo_arci_castellina_scalo_43.4075_11.2105.json,custom
43.379560,11.308170,ov_atr_ranch_scuola_di_equitazione_43.3796_11.3082,ATR Ranch Scuola di equitazione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/atr_ranch_scuola_di_equitazione_43.3796_11.3082.json,custom
43.344382,11.265818,ov_club_ippico_senese_43.3444_11.2658,Club Ippico Senese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/club_ippico_senese_43.3444_11.2658.json,custom
43.348393,11.304371,ov_the_lab_work_in_progress_43.3484_11.3044,The Lab Work in Progress,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/the_lab_work_in_progress_43.3484_11.3044.json,custom
43.349271,11.307859,ov_asd_spazio_libero_43.3493_11.3079,Asd Spazio Libero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/asd_spazio_libero_43.3493_11.3079.json,custom
43.349730,11.308782,ov_fuori_asse_43.3497_11.3088,Fuori Asse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/fuori_asse_43.3497_11.3088.json,custom
43.352977,11.312195,ov_genia_ballet_43.3530_11.3122,Genia Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/genia_ballet_43.3530_11.3122.json,custom
43.346226,11.286274,ov_tuttifrutti_43.3462_11.2863,Tuttifrutti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/tuttifrutti_43.3462_11.2863.json,custom
43.409747,11.209541,ov_la_montagnola_senese_43.4097_11.2095,La Montagnola Senese,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/la_montagnola_senese_43.4097_11.2095.json,custom
43.390355,11.223099,ov_castello_di_monteriggioni_43.3904_11.2231,Castello di Monteriggioni,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/castello_di_monteriggioni_43.3904_11.2231.json,custom
43.390499,11.222323,ov_porta_fiorentina_43.3905_11.2223,Porta Fiorentina,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/porta_fiorentina_43.3905_11.2223.json,custom
43.390197,11.223428,ov_museo_dei_cavalieri_templari_43.3902_11.2234,Museo dei cavalieri templari,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/museo_dei_cavalieri_templari_43.3902_11.2234.json,custom
43.390166,11.223511,ov_monteriggioni_in_arme_43.3902_11.2235,Monteriggioni in Arme,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/monteriggioni_in_arme_43.3902_11.2235.json,custom
43.391989,11.308350,osm_poste_italiane_43.3920_11.3084,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/poste_italiane_43.3920_11.3084.json,custom
43.405120,11.206445,ov_biblioteca_comunale_di_monteriggioni_43.4051_11.2064,Biblioteca Comunale di Monteriggioni,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/biblioteca_comunale_di_monteriggioni_43.4051_11.2064.json,custom
