# lat,lng,id,name,building_type,type,url,page_type
# atripalda -- Tutti
40.923687,14.832617,osm_asl_av2_di_atripalda_40.9237_14.8326,ASL AV2 di Atripalda,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/asl_av2_di_atripalda_40.9237_14.8326.json,custom
40.919685,14.831917,ov_optimum_banco_e_cantina_40.9197_14.8319,Optimum Banco e Cantina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/optimum_banco_e_cantina_40.9197_14.8319.json,custom
40.920220,14.833492,ov_trattoria_fratelli_abete_40.9202_14.8335,Trattoria fratelli Abete,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/trattoria_fratelli_abete_40.9202_14.8335.json,custom
40.920282,14.833358,ov_tre_bicchieri_atripalda_40.9203_14.8334,Tre Bicchieri Atripalda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/tre_bicchieri_atripalda_40.9203_14.8334.json,custom
40.920375,14.833434,ov_daniele_2_0_40.9204_14.8334,Daniele 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/daniele_20_40.9204_14.8334.json,custom
40.920471,14.832752,ov_jammo_addo_sandrissimo_40.9205_14.8328,Jammo Addo Sandrissimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/jammo_addo_sandrissimo_40.9205_14.8328.json,custom
40.920777,14.832788,ov_pizzeria_de_maio_40.9208_14.8328,Pizzeria De Maio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pizzeria_de_maio_40.9208_14.8328.json,custom
40.921622,14.833253,ov_sfizzeria_40.9216_14.8333,Sfizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/sfizzeria_40.9216_14.8333.json,custom
40.921863,14.833657,ov_taverna_rock_40.9219_14.8337,Taverna Rock,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/taverna_rock_40.9219_14.8337.json,custom
40.923669,14.831573,ov_da_vincenzo_40.9237_14.8316,Da Vincenzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/da_vincenzo_40.9237_14.8316.json,custom
40.923530,14.825210,ov_i_matti___ristorante__pizzeria___burgher_40.9235_14.8252,"I Matti - Ristorante, Pizzeria & Burgheria",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/i_matti_-_ristorante_pizzeria_burgheria_40.9235_14.8252.json,custom
40.929345,14.827213,ov_osteria_valleverde_zi__pasqualina_40.9293_14.8272,Osteria Valleverde Zi' Pasqualina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/osteria_valleverde_zi_pasqualina_40.9293_14.8272.json,custom
40.921669,14.836341,ov_ristorante_bar_pizzeria_da_rosa_dal_1966_40.9217_14.8363,Ristorante Bar Pizzeria da Rosa dal 1966 ad Atripalda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/ristorante_bar_pizzeria_da_rosa_dal_1966_40.9217_14.8363.json,custom
40.921550,14.835169,ov_risto_pub_pizzeria_italia_40.9215_14.8352,Risto Pub Pizzeria Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/risto_pub_pizzeria_italia_40.9215_14.8352.json,custom
40.921104,14.837199,ov_pizzeria_erreclub_40.9211_14.8372,Pizzeria ErreClub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pizzeria_erreclub_40.9211_14.8372.json,custom
40.920811,14.835029,ov_smashb__40.9208_14.8350,SmashBú,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/smashb_40.9208_14.8350.json,custom
40.920019,14.835424,ov_osteria_belli_40.9200_14.8354,Osteria Belli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/osteria_belli_40.9200_14.8354.json,custom
40.919302,14.835504,ov_salsedine_experience_40.9193_14.8355,Salsedine Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/salsedine_experience_40.9193_14.8355.json,custom
40.919307,14.835408,ov_hostaria_dei_matti_40.9193_14.8354,Hostaria Dei Matti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/hostaria_dei_matti_40.9193_14.8354.json,custom
40.919122,14.835267,ov_sfisheria_40.9191_14.8353,Sfisheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/sfisheria_40.9191_14.8353.json,custom
40.918361,14.835599,ov_pizzeria_balbi_40.9184_14.8356,Pizzeria Balbi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pizzeria_balbi_40.9184_14.8356.json,custom
40.913303,14.816112,ov_piccolo_buffet_40.9133_14.8161,Piccolo Buffet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/piccolo_buffet_40.9133_14.8161.json,custom
40.913972,14.817893,ov_le_quattro_s_40.9140_14.8179,Le Quattro S,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/le_quattro_s_40.9140_14.8179.json,custom
40.914153,14.817675,ov_gon_f__sushi_40.9142_14.8177,Gon&Fù Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/gonf_sushi_40.9142_14.8177.json,custom
40.914383,14.818181,ov_bar_esposito_40.9144_14.8182,Bar Esposito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/bar_esposito_40.9144_14.8182.json,custom
40.914194,14.815871,ov_ml_sushi_40.9142_14.8159,ML Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/ml_sushi_40.9142_14.8159.json,custom
40.914120,14.815690,ov_fusion_avellino_40.9141_14.8157,FUSION＿Avellino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/fusionavellino_40.9141_14.8157.json,custom
40.897964,14.825881,ov_megusta_pizza_e_cucina_40.8980_14.8259,Megusta Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/megusta_pizza_e_cucina_40.8980_14.8259.json,custom
40.929476,14.827245,osm_valleverde_z__pasqualina_40.9295_14.8272,Valleverde Zì Pasqualina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/valleverde_z_pasqualina_40.9295_14.8272.json,custom
40.916050,14.821010,ov_cialde_e_capsule_40.9160_14.8210,Cialde e capsule,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/cialde_e_capsule_40.9160_14.8210.json,custom
40.917660,14.826289,ov_black_and_wine_40.9177_14.8263,Black and wine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/black_and_wine_40.9177_14.8263.json,custom
40.917399,14.829312,ov_bar_europa_40.9174_14.8293,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/bar_europa_40.9174_14.8293.json,custom
40.918060,14.828436,ov_bar_tabacchi_capossela_michele_40.9181_14.8284,Bar Tabacchi Capossela Michele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/bar_tabacchi_capossela_michele_40.9181_14.8284.json,custom
40.918167,14.829552,ov_covo_wine_bar_40.9182_14.8296,Covo Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/covo_wine_bar_40.9182_14.8296.json,custom
40.918110,14.832365,ov_life_cafe_40.9181_14.8324,Life Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/life_cafe_40.9181_14.8324.json,custom
40.918577,14.830483,ov_merceria_la_stella_40.9186_14.8305,Merceria La Stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/merceria_la_stella_40.9186_14.8305.json,custom
40.918982,14.826033,ov_canapa_cafe_shop_40.9190_14.8260,Canapa Cafe Shop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/canapa_cafe_shop_40.9190_14.8260.json,custom
40.919302,14.831956,ov_bar_la_piazzetta_40.9193_14.8320,Bar La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/bar_la_piazzetta_40.9193_14.8320.json,custom
40.919355,14.832272,ov_esclusive_bar_cornetteria_40.9194_14.8323,Esclusive Bar Cornetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/esclusive_bar_cornetteria_40.9194_14.8323.json,custom
40.919278,14.833559,ov_millennium_bar_40.9193_14.8336,Millennium Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/millennium_bar_40.9193_14.8336.json,custom
40.919591,14.833569,ov_corner_bar_40.9196_14.8336,Corner Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/corner_bar_40.9196_14.8336.json,custom
40.920095,14.833357,ov_beviamocisu_atripalda_40.9201_14.8334,BeviamociSu Atripalda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/beviamocisu_atripalda_40.9201_14.8334.json,custom
40.920450,14.832639,ov_il_conte_dachri_40.9205_14.8326,Il Conte Dachri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/il_conte_dachri_40.9205_14.8326.json,custom
40.920751,14.832679,ov_bar_eventi_l_incontro_40.9208_14.8327,Bar eventi l incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/bar_eventi_l_incontro_40.9208_14.8327.json,custom
40.920720,14.834531,ov_bar_shirley_cafe_40.9207_14.8345,Bar Shirley Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/bar_shirley_cafe_40.9207_14.8345.json,custom
40.920902,14.833935,ov_dulcis_40.9209_14.8339,Dulcis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/dulcis_40.9209_14.8339.json,custom
40.921132,14.832925,ov_gran_caffe_napoletane_40.9211_14.8329,Gran Caffe Napoletane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/gran_caffe_napoletane_40.9211_14.8329.json,custom
40.921338,14.833593,ov_clicquot_40.9213_14.8336,Clicquot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/clicquot_40.9213_14.8336.json,custom
40.921621,14.832875,ov_erreti_terrybet_atriplalda_40.9216_14.8329,Erreti_TerryBet_Atriplalda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/erretiterrybetatriplalda_40.9216_14.8329.json,custom
40.922967,14.831929,ov_mastroberardino_experience_40.9230_14.8319,Mastroberardino Experience,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/mastroberardino_experience_40.9230_14.8319.json,custom
40.923333,14.824842,ov_l_ibisco_caff__40.9233_14.8248,L'ibisco Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/libisco_caff_40.9233_14.8248.json,custom
40.923387,14.832033,ov_pic_bar_40.9234_14.8320,Pic Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pic_bar_40.9234_14.8320.json,custom
40.923405,14.824770,ov_iqos_premium_partner_atripalda_40.9234_14.8248,IQOS PREMIUM PARTNER ATRIPALDA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/iqos_premium_partner_atripalda_40.9234_14.8248.json,custom
40.923903,14.830796,ov_vieni_addo_me_40.9239_14.8308,Vieni Addo Me,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/vieni_addo_me_40.9239_14.8308.json,custom
40.924038,14.830781,ov_exclusive_and_modern_bar_83042_40.9240_14.8308,Exclusive and Modern Bar 83042,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/exclusive_and_modern_bar_83042_40.9240_14.8308.json,custom
40.925331,14.829520,ov_caffetteria_santelia_bar_40.9253_14.8295,Caffetteria Santelia Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/caffetteria_santelia_bar_40.9253_14.8295.json,custom
40.929530,14.827002,ov_kapadi_40.9295_14.8270,Kapadi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/kapadi_40.9295_14.8270.json,custom
40.921271,14.834913,ov_trentuno_enobirreria_40.9213_14.8349,Trentuno Enobirreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/trentuno_enobirreria_40.9213_14.8349.json,custom
40.919029,14.835519,ov_hollywood_coffee_40.9190_14.8355,Hollywood Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/hollywood_coffee_40.9190_14.8355.json,custom
40.918501,14.835583,ov_ottavo_nano_pub_40.9185_14.8356,Ottavo Nano pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/ottavo_nano_pub_40.9185_14.8356.json,custom
40.913898,14.817221,ov_paradiso_atripalda_40.9139_14.8172,Paradiso Atripalda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/paradiso_atripalda_40.9139_14.8172.json,custom
40.913803,14.818066,ov_link_cafe_atripalda_40.9138_14.8181,Link cafe Atripalda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/link_cafe_atripalda_40.9138_14.8181.json,custom
40.914020,14.817736,ov_camelot_pub_birreria_40.9140_14.8177,Camelot Pub Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/camelot_pub_birreria_40.9140_14.8177.json,custom
40.914071,14.817704,ov_elite_cafe_40.9141_14.8177,Elite Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/elite_cafe_40.9141_14.8177.json,custom
40.911287,14.818090,ov_imperial_game_caff__40.9113_14.8181,Imperial Game caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/imperial_game_caff_40.9113_14.8181.json,custom
40.909880,14.815050,ov_abbracciame_caff__40.9099_14.8150,Abbracciame Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/abbracciame_caff_40.9099_14.8150.json,custom
40.909880,14.815050,ov_3c_bar_40.9099_14.8150,3C Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/3c_bar_40.9099_14.8150.json,custom
40.908550,14.815760,ov_gold_room_luonge_bar_40.9085_14.8158,Gold Room luonge bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/gold_room_luonge_bar_40.9085_14.8158.json,custom
40.907424,14.826954,ov_ngopp_o_rione_40.9074_14.8270,Ngopp O Rione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/ngopp_o_rione_40.9074_14.8270.json,custom
40.916180,14.827545,ov_playinatri_40.9162_14.8275,Playinatri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/playinatri_40.9162_14.8275.json,custom
40.916705,14.824425,ov_in_punta_di_piedi_scuola_di_danza_40.9167_14.8244,In Punta di Piedi Scuola di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/in_punta_di_piedi_scuola_di_danza_40.9167_14.8244.json,custom
40.916690,14.821790,ov_gymfit_palexstra_40.9167_14.8218,Gymfit Palexstra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/gymfit_palexstra_40.9167_14.8218.json,custom
40.918300,14.833300,ov_oltre_danza_40.9183_14.8333,Oltre Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/oltre_danza_40.9183_14.8333.json,custom
40.918317,14.833621,ov_accademia_del_fitness__40.9183_14.8336,Accademia del fitness.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/accademia_del_fitness_40.9183_14.8336.json,custom
40.918318,14.833663,ov_medical_fitness_center_40.9183_14.8337,Medical fitness center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/medical_fitness_center_40.9183_14.8337.json,custom
40.923656,14.830658,ov_centro_sportivo_pic_atripalda_40.9237_14.8307,Centro Sportivo Pic Atripalda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/centro_sportivo_pic_atripalda_40.9237_14.8307.json,custom
40.921837,14.835374,ov_palestra_eklettika_40.9218_14.8354,Palestra Eklettika,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/palestra_eklettika_40.9218_14.8354.json,custom
40.921441,14.834950,ov_macumba_fitness_40.9214_14.8349,Macumba Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/macumba_fitness_40.9214_14.8349.json,custom
40.914230,14.814850,ov_la_danse_scuola_di_danza_40.9142_14.8148,LA DANSE Scuola di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/la_danse_scuola_di_danza_40.9142_14.8148.json,custom
40.918839,14.834472,ov_basilica_paleocristiana_di_capo_la_torre_40.9188_14.8345,Basilica Paleocristiana di Capo La Torre,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/basilica_paleocristiana_di_capo_la_torre_40.9188_14.8345.json,custom
40.921103,14.832407,ov_dogana_dei_grani_40.9211_14.8324,Dogana dei Grani,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/dogana_dei_grani_40.9211_14.8324.json,custom
40.919052,14.835180,ov_museo_arteneo_40.9191_14.8352,Museo Arteneo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/museo_arteneo_40.9191_14.8352.json,custom
40.922140,14.833965,ov_biblioteca_comunale_l__cassese_40.9221_14.8340,Biblioteca Comunale L. Cassese,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/biblioteca_comunale_l_cassese_40.9221_14.8340.json,custom
40.918313,14.835211,ov_ottavonano_40.9183_14.8352,Ottavonano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/ottavonano_40.9183_14.8352.json,custom
