# lat,lng,id,name,building_type,type,url,page_type
# Lonigo -- Tutti
45.421930,11.376860,ov_restart_caf__lonigo_45.4219_11.3769,Restart Café Lonigo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/restart_caf_lonigo_45.4219_11.3769.json,custom
45.370458,11.386625,ov_ballet_studio_45.3705_11.3866,Ballet Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/ballet_studio_45.3705_11.3866.json,custom
45.379068,11.386151,ov_centro_kinesiolab_palestra_salute_45.3791_11.3862,Centro KinesioLab Palestra Salute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/centro_kinesiolab_palestra_salute_45.3791_11.3862.json,custom
45.380375,11.391942,ov_gold_gym_45.3804_11.3919,Gold Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/gold_gym_45.3804_11.3919.json,custom
45.388388,11.387362,ov_colli_berici_outdoor_45.3884_11.3874,Colli Berici outdoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/colli_berici_outdoor_45.3884_11.3874.json,custom
45.376148,11.393172,ov_pista_speedway_santa_marina_lonigo__vi__45.3761_11.3932,Pista Speedway Santa Marina Lonigo (vi),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/pista_speedway_santa_marina_lonigo_vi_45.3761_11.3932.json,custom
45.374462,11.391746,ov_tiro_a_segno_nazionale_45.3745_11.3917,Tiro a Segno Nazionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/tiro_a_segno_nazionale_45.3745_11.3917.json,custom
45.372290,11.391273,ov_crossfit_lonigo_e_official_hyrox_gym_45.3723_11.3913,CrossFit Lonigo e Official Hyrox Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/crossfit_lonigo_e_official_hyrox_gym_45.3723_11.3913.json,custom
45.374051,11.402537,ov_cascina_elle_45.3741_11.4025,Cascina Elle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/cascina_elle_45.3741_11.4025.json,custom
45.395510,11.394566,ov_scuola_rosa_salsera_45.3955_11.3946,Scuola Rosa Salsera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/scuola_rosa_salsera_45.3955_11.3946.json,custom
45.388245,11.388659,ov_museo_della_pesca_45.3882_11.3887,Museo Della Pesca,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/museo_della_pesca_45.3882_11.3887.json,custom
45.390990,11.390810,ov_mv_arte_45.3910_11.3908,MV Arte,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/mv_arte_45.3910_11.3908.json,custom
45.396219,11.374294,ov_baba_zorawar_singh_ji_baba_fateh_singh_j_45.3962_11.3743,Baba Zorawar Singh Ji Baba Fateh Singh Ji Sewa Society Lonig,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/baba_zorawar_singh_ji_baba_fateh_singh_j_45.3962_11.3743.json,custom
45.389754,11.389932,osm_poste_italiane_45.3898_11.3899,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/poste_italiane_45.3898_11.3899.json,custom
45.389105,11.385886,ov_biblioteca_civica_g__lovato___lonigo_45.3891_11.3859,Biblioteca Civica G. Lovato - Lonigo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/biblioteca_civica_g_lovato_-_lonigo_45.3891_11.3859.json,custom
