# lat,lng,id,name,building_type,type,url,page_type
# ventotene -- Tutti
40.795295,13.427803,ov_poliambulatorio_ventotene_40.7953_13.4278,Poliambulatorio Ventotene,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/poliambulatorio_ventotene_40.7953_13.4278.json,custom
40.797787,13.433409,ov_ristorante_pizzeria_afrodite_40.7978_13.4334,Ristorante Pizzeria Afrodite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/ristorante_pizzeria_afrodite_40.7978_13.4334.json,custom
40.797662,13.433532,ov_porto_vecchio_ristorante_bar_40.7977_13.4335,PORTO VECCHIO Ristorante Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/porto_vecchio_ristorante_bar_40.7977_13.4335.json,custom
40.797167,13.433660,ov_il_pozzillo___pizzeria_rosticceria_40.7972_13.4337,Il Pozzillo - Pizzeria-Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/il_pozzillo_-_pizzeria-rosticceria_40.7972_13.4337.json,custom
40.797052,13.433640,ov_pizzeria_il_pozzillo__pronti_per_questa__40.7971_13.4336,Pizzeria Il Pozzillo  Pronti per questa nuova apertura;,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/pizzeria_il_pozzillo_pronti_per_questa_n_40.7971_13.4336.json,custom
40.798822,13.430379,osm_marisqueria_40.7988_13.4304,Marisqueria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/marisqueria_40.7988_13.4304.json,custom
40.793161,13.422107,ov_lenticchia_di_ventotene_40.7932_13.4221,Lenticchia di Ventotene,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/lenticchia_di_ventotene_40.7932_13.4221.json,custom
40.796177,13.432019,ov_ristorante_bar_da_verde_40.7962_13.4320,Ristorante Bar Da Verde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/ristorante_bar_da_verde_40.7962_13.4320.json,custom
40.797100,13.432660,ov_amici_di_ventotene_40.7971_13.4327,Amici di Ventotene,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/amici_di_ventotene_40.7971_13.4327.json,custom
40.798879,13.431578,ov_bar_il_gabbiano_40.7989_13.4316,Bar Il Gabbiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/bar_il_gabbiano_40.7989_13.4316.json,custom
40.791192,13.426347,ov_lega_navale_ventotene_40.7912_13.4263,Lega Navale Ventotene,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/lega_navale_ventotene_40.7912_13.4263.json,custom
40.798355,13.433203,ov_diving_world_ventotene_40.7984_13.4332,Diving World Ventotene,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/diving_world_ventotene_40.7984_13.4332.json,custom
40.797449,13.433648,ov_ciro_sub___ventotene_40.7974_13.4336,Ciro Sub - Ventotene,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/ciro_sub_-_ventotene_40.7974_13.4336.json,custom
40.790122,13.418678,ov_museo_della_migrazione_e_osservatorio_or_40.7901_13.4187,Museo della Migrazione e Osservatorio Ornitologico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/museo_della_migrazione_e_osservatorio_or_40.7901_13.4187.json,custom
40.792109,13.428726,ov_museo_civico_archeologico_e_storico_di_v_40.7921_13.4287,Museo Civico Archeologico E Storico Di Ventotene,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/museo_civico_archeologico_e_storico_di_v_40.7921_13.4287.json,custom
