# lat,lng,id,name,building_type,type,url,page_type
# mondragone -- Tutti
41.114074,13.877022,ov_molo_46_41.1141_13.8770,Molo 46,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/molo_46_41.1141_13.8770.json,custom
41.113780,13.877770,ov_mr_pizza_41.1138_13.8778,Mr Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/mr_pizza_41.1138_13.8778.json,custom
41.112866,13.878011,ov_lido_azzurro_41.1129_13.8780,Lido Azzurro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/lido_azzurro_41.1129_13.8780.json,custom
41.111902,13.878264,ov_ristorante_la_venere_41.1119_13.8783,Ristorante La Venere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/ristorante_la_venere_41.1119_13.8783.json,custom
41.111831,13.878762,ov_i_sette_mari_41.1118_13.8788,I Sette Mari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/i_sette_mari_41.1118_13.8788.json,custom
41.110664,13.879805,ov_paninoteca_ambulante_da_antonio_41.1107_13.8798,Paninoteca Ambulante da Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/paninoteca_ambulante_da_antonio_41.1107_13.8798.json,custom
41.114224,13.876366,ov_ristorante_pizzeria_cin_cin_41.1142_13.8764,Ristorante Pizzeria Cin Cin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/ristorante_pizzeria_cin_cin_41.1142_13.8764.json,custom
41.081863,13.915816,ov_virgilios_virgilio_41.0819_13.9158,Virgilios Virgilio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/virgilios_virgilio_41.0819_13.9158.json,custom
41.104880,13.922040,ov_speciale_bar_ristorante_41.1049_13.9220,Speciale Bar Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/speciale_bar_ristorante_41.1049_13.9220.json,custom
41.102563,13.895188,ov_ristorante_pizzeria_messieurs_trinchetto_41.1026_13.8952,Ristorante Pizzeria Messieurs Trinchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/ristorante_pizzeria_messieurs_trinchetto_41.1026_13.8952.json,custom
41.105205,13.883786,ov_nuovo_lido_arcobaleno_di_basile_tommaso_41.1052_13.8838,Nuovo Lido Arcobaleno Di Basile Tommaso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/nuovo_lido_arcobaleno_di_basile_tommaso_41.1052_13.8838.json,custom
41.109469,13.891726,ov_otto_spicchi___pizza___delivery_41.1095_13.8917,Otto Spicchi - Pizza & Delivery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/otto_spicchi_-_pizza_delivery_41.1095_13.8917.json,custom
41.109451,13.885842,ov_magic_garden_41.1095_13.8858,Magic Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/magic_garden_41.1095_13.8858.json,custom
41.110352,13.881890,ov_ristorante_marea_41.1104_13.8819,Ristorante Marea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/ristorante_marea_41.1104_13.8819.json,custom
41.110894,13.885784,ov_virgilio_s_pizza_41.1109_13.8858,Virgilio's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/virgilios_pizza_41.1109_13.8858.json,custom
41.111309,13.886278,ov_risto_pollo_da_beatrice_41.1113_13.8863,RISTO POLLO da Beatrice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/risto_pollo_da_beatrice_41.1113_13.8863.json,custom
41.113973,13.882084,ov_vaca_loca___girarrosto_paninoteca_rostic_41.1140_13.8821,Vaca Loca - Girarrosto Paninoteca Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/vaca_loca_-_girarrosto_paninoteca_rostic_41.1140_13.8821.json,custom
41.114134,13.881428,ov_grid_bun_41.1141_13.8814,Grid Bun,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/grid_bun_41.1141_13.8814.json,custom
41.114560,13.880744,ov_friggitoria_marechiaro_41.1146_13.8807,Friggitoria MareChiaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/friggitoria_marechiaro_41.1146_13.8807.json,custom
