# lat,lng,id,name,building_type,type,url,page_type
# castenedolo -- Tutti
45.478642,10.282071,ov_vitasol_45.4786_10.2821,Vitasol,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/vitasol_45.4786_10.2821.json,custom
45.485398,10.321225,ov_brescia_est_truck_stop_45.4854_10.3212,Brescia Est Truck Stop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/brescia_est_truck_stop_45.4854_10.3212.json,custom
45.485200,10.321847,ov_bar_ristorante_la_pergola_45.4852_10.3218,Bar Ristorante La Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/bar_ristorante_la_pergola_45.4852_10.3218.json,custom
45.485126,10.321767,ov_autogrill_45.4851_10.3218,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/autogrill_45.4851_10.3218.json,custom
45.483455,10.320815,ov_eat_restaurant_45.4835_10.3208,Eat Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/eat_restaurant_45.4835_10.3208.json,custom
45.483009,10.283614,ov_fior_di_pizza_45.4830_10.2836,Fior di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/fior_di_pizza_45.4830_10.2836.json,custom
45.483086,10.283712,ov_king_palace_ristorante_indiano_45.4831_10.2837,King Palace Ristorante Indiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/king_palace_ristorante_indiano_45.4831_10.2837.json,custom
45.485087,10.281183,ov_singh_bar_45.4851_10.2812,Singh Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/singh_bar_45.4851_10.2812.json,custom
45.490330,10.272880,ov_chicken_point_45.4903_10.2729,Chicken Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/chicken_point_45.4903_10.2729.json,custom
45.512935,10.221072,ov_eat_restaurant_45.5129_10.2211,Eat Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/eat_restaurant_45.5129_10.2211.json,custom
45.460768,10.319302,ov_mr_carlini_45.4608_10.3193,Mr Carlini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/mr_carlini_45.4608_10.3193.json,custom
45.461531,10.318456,ov_my_cafe_45.4615_10.3185,My Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/my_cafe_45.4615_10.3185.json,custom
45.471144,10.301111,ov_bar_terzo_tempo_45.4711_10.3011,Bar Terzo Tempo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/bar_terzo_tempo_45.4711_10.3011.json,custom
45.471012,10.299005,ov_friends_cafe_45.4710_10.2990,Friends Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/friends_cafe_45.4710_10.2990.json,custom
45.470972,10.299704,ov_terrazza_triclinium_45.4710_10.2997,Terrazza Triclinium,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/terrazza_triclinium_45.4710_10.2997.json,custom
45.470767,10.300357,ov_pablo_s_caf__45.4708_10.3004,Pablo's Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/pablos_caf_45.4708_10.3004.json,custom
45.470780,10.299551,ov_triclinium_wine_bar_45.4708_10.2996,Triclinium Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/triclinium_wine_bar_45.4708_10.2996.json,custom
45.470616,10.299396,ov_il_paradiso_della_brugola_45.4706_10.2994,Il paradiso della brugola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/il_paradiso_della_brugola_45.4706_10.2994.json,custom
45.469977,10.294750,ov_bar_buontempo_45.4700_10.2948,Bar Buontempo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/bar_buontempo_45.4700_10.2948.json,custom
45.468792,10.296531,ov_sara_caff__45.4688_10.2965,Sara Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/sara_caff_45.4688_10.2965.json,custom
45.479521,10.288424,ov_wine_station_cafe_45.4795_10.2884,Wine Station Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/wine_station_cafe_45.4795_10.2884.json,custom
45.482050,10.318560,ov_mr_carlini_45.4821_10.3186,Mr Carlini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/mr_carlini_45.4821_10.3186.json,custom
45.483320,10.283820,ov_q8_easy_bar_55_45.4833_10.2838,Q8 Easy Bar 55,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/q8_easy_bar_55_45.4833_10.2838.json,custom
45.485553,10.279896,ov_cafe_e_bistro_re_di_sapori_45.4856_10.2799,Cafe e Bistro Re di Sapori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/cafe_e_bistro_re_di_sapori_45.4856_10.2799.json,custom
45.490413,10.267969,ov_bar_abacab_45.4904_10.2680,Bar Abacab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/bar_abacab_45.4904_10.2680.json,custom
45.478648,10.260326,osm_calder_caffe_45.4786_10.2603,Calder Caffe,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/calder_caffe_45.4786_10.2603.json,custom
45.454760,10.293280,ov_centro_sportivo__vittorio_colombo___real_45.4548_10.2933,Centro Sportivo  Vittorio Colombo  (Real Castenedolo),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/centro_sportivo_vittorio_colombo_real_ca_45.4548_10.2933.json,custom
45.457950,10.297350,ov_gdm_italiana_castenedolo_45.4579_10.2973,GDM Italiana Castenedolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/gdm_italiana_castenedolo_45.4579_10.2973.json,custom
45.464601,10.301759,ov_centro_sportivo_vittorio_colombo__real_c_45.4646_10.3018,Centro Sportivo Vittorio Colombo (Real Castenedolo),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/centro_sportivo_vittorio_colombo_real_ca_45.4646_10.3018.json,custom
45.471134,10.301255,ov_palestra_mustang_45.4711_10.3013,Palestra Mustang,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/palestra_mustang_45.4711_10.3013.json,custom
45.470129,10.294080,ov_master_academy_45.4701_10.2941,Master Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/master_academy_45.4701_10.2941.json,custom
45.479913,10.318830,ov_crossfit_h2o_45.4799_10.3188,CrossFit H2O,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/crossfit_h2o_45.4799_10.3188.json,custom
45.490980,10.272939,ov_fitup_castenedolo_45.4910_10.2729,FitUP Castenedolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/fitup_castenedolo_45.4910_10.2729.json,custom
45.548249,10.220080,ov_danzaviva_45.5482_10.2201,Danzaviva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/danzaviva_45.5482_10.2201.json,custom
45.482427,10.277580,ov_gurdwara_baba_budha_ji_sikh_center_45.4824_10.2776,Gurdwara Baba Budha Ji Sikh Center,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/gurdwara_baba_budha_ji_sikh_center_45.4824_10.2776.json,custom
45.470175,10.293591,osm_biblioteca_comunale_di_castenedolo_45.4702_10.2936,Biblioteca Comunale di Castenedolo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/biblioteca_comunale_di_castenedolo_45.4702_10.2936.json,custom
