# lat,lng,id,name,building_type,type,url,page_type
# Sansepolcro -- Tutti
43.572071,12.139854,ov_osteria_borgo_antico_43.5721_12.1399,Osteria Borgo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/osteria_borgo_antico_43.5721_12.1399.json,custom
43.571906,12.139594,ov_caffe_degli_appennini_43.5719_12.1396,Caffe degli Appennini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/caffe_degli_appennini_43.5719_12.1396.json,custom
43.571231,12.145688,ov_tavola_calda_il_toscanaccio_43.5712_12.1457,Tavola Calda il Toscanaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/tavola_calda_il_toscanaccio_43.5712_12.1457.json,custom
43.565742,12.131797,ov_pizzeria_i_mengrigi_43.5657_12.1318,Pizzeria I Mengrigi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/pizzeria_i_mengrigi_43.5657_12.1318.json,custom
43.566287,12.149692,ov_pastafresca_coccod__43.5663_12.1497,Pastafresca Coccodè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/pastafresca_coccod_43.5663_12.1497.json,custom
43.566295,12.149528,ov_zio_pagnotta_di_seri_matteo_43.5663_12.1495,Zio Pagnotta Di Seri Matteo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/zio_pagnotta_di_seri_matteo_43.5663_12.1495.json,custom
43.569713,12.146377,ov_0575_tankard_experience_43.5697_12.1464,0575 Tankard Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/0575_tankard_experience_43.5697_12.1464.json,custom
43.569493,12.144530,ov_rosticceria_trattoria_l_oca_giuliva_43.5695_12.1445,Rosticceria Trattoria L'oca Giuliva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/rosticceria_trattoria_loca_giuliva_43.5695_12.1445.json,custom
43.569917,12.141434,ov_il_vecchio_e_il_mare_43.5699_12.1414,Il Vecchio e Il Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/il_vecchio_e_il_mare_43.5699_12.1414.json,custom
43.570267,12.142121,ov_pizzeria_bar_da_toto_43.5703_12.1421,Pizzeria Bar Da Toto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/pizzeria_bar_da_toto_43.5703_12.1421.json,custom
