# lat,lng,id,name,building_type,type,url,page_type
# trevi -- Tutti
42.878398,12.749311,ov_centro_di_riabilitazione_trevi_42.8784_12.7493,Centro di Riabilitazione Trevi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/centro_di_riabilitazione_trevi_42.8784_12.7493.json,custom
42.877254,12.746983,ov_ristorante_taverna_del_sette_42.8773_12.7470,Ristorante Taverna del Sette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ristorante_taverna_del_sette_42.8773_12.7470.json,custom
42.877759,12.747064,ov_ristorante_la_prepositura_42.8778_12.7471,Ristorante La Prepositura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ristorante_la_prepositura_42.8778_12.7471.json,custom
42.877575,12.747342,ov_la_vecchia_posta_42.8776_12.7473,La Vecchia Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_vecchia_posta_42.8776_12.7473.json,custom
42.877742,12.747931,ov_la_bigonza_42.8777_12.7479,La Bigonza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_bigonza_42.8777_12.7479.json,custom
42.877514,12.748298,ov_la_tavernetta_del_gusto_42.8775_12.7483,La Tavernetta Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_tavernetta_del_gusto_42.8775_12.7483.json,custom
42.877364,12.748122,ov_la_taverna_del_teatro_42.8774_12.7481,La Taverna del Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_taverna_del_teatro_42.8774_12.7481.json,custom
42.877329,12.747647,ov_cantina_del_bartoccio_42.8773_12.7476,Cantina Del Bartoccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/cantina_del_bartoccio_42.8773_12.7476.json,custom
42.878932,12.750025,ov_albergo_ristorante_il_terziere_42.8789_12.7500,Albergo Ristorante Il Terziere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/albergo_ristorante_il_terziere_42.8789_12.7500.json,custom
42.885582,12.770782,ov_lo_stiriolo_ristorante_pizzeria_42.8856_12.7708,Lo Stiriolo Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/lo_stiriolo_ristorante_pizzeria_42.8856_12.7708.json,custom
42.886350,12.772150,ov_civico_undici_home_restaurant_42.8864_12.7721,Civico Undici Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/civico_undici_home_restaurant_42.8864_12.7721.json,custom
42.885871,12.771956,ov_borghetto_vetuliae_country_house_42.8859_12.7720,Borghetto Vetuliae Country House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/borghetto_vetuliae_country_house_42.8859_12.7720.json,custom
42.862197,12.745878,ov_villa_del_sole_42.8622_12.7459,Villa del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/villa_del_sole_42.8622_12.7459.json,custom
42.865259,12.749562,ov_locanda_castellina_42.8653_12.7496,Locanda Castellina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/locanda_castellina_42.8653_12.7496.json,custom
42.865186,12.749575,ov_ristorante_alma_errante_42.8652_12.7496,Ristorante Alma Errante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ristorante_alma_errante_42.8652_12.7496.json,custom
42.859896,12.751961,ov_agriturismo_i_mandorli_42.8599_12.7520,Agriturismo I Mandorli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/agriturismo_i_mandorli_42.8599_12.7520.json,custom
42.850800,12.735080,ov_trattoria_la_locanda_del_sole_42.8508_12.7351,Trattoria La Locanda del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/trattoria_la_locanda_del_sole_42.8508_12.7351.json,custom
42.846454,12.754351,ov_ristorante_zenzero_42.8465_12.7544,Ristorante Zenzero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ristorante_zenzero_42.8465_12.7544.json,custom
42.842051,12.732169,ov_ristorante_volare_42.8421_12.7322,Ristorante Volare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ristorante_volare_42.8421_12.7322.json,custom
42.878091,12.747280,osm_maggiolini_42.8781_12.7473,Maggiolini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/maggiolini_42.8781_12.7473.json,custom
42.877278,12.748110,osm_taverna_del_teatro_42.8773_12.7481,Taverna del Teatro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/taverna_del_teatro_42.8773_12.7481.json,custom
42.877599,12.747901,osm_osteria_la_bigonza_42.8776_12.7479,Osteria La Bigonza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/osteria_la_bigonza_42.8776_12.7479.json,custom
42.865257,12.749447,osm_alma_errante_42.8653_12.7494,Alma Errante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/alma_errante_42.8653_12.7494.json,custom
42.423090,12.476180,ov_chalet_trevi_42.4231_12.4762,Chalet Trevi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/chalet_trevi_42.4231_12.4762.json,custom
42.908899,12.730258,ov_citta_convenienza_42.9089_12.7303,Citta Convenienza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/citta_convenienza_42.9089_12.7303.json,custom
42.903089,12.729195,ov_new_florian_bar_42.9031_12.7292,New Florian Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/new_florian_bar_42.9031_12.7292.json,custom
42.901089,12.741108,ov_roxy_bar_42.9011_12.7411,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/roxy_bar_42.9011_12.7411.json,custom
42.894713,12.730418,ov_ploom_reseller_whisky_bar_tabacchi_42.8947_12.7304,Ploom reseller-Whisky Bar tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ploom_reseller-whisky_bar_tabacchi_42.8947_12.7304.json,custom
42.887370,12.725250,ov_bar_paradiso_42.8874_12.7253,Bar Paradiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/bar_paradiso_42.8874_12.7253.json,custom
42.893496,12.752511,ov_circolo_collecchio_42.8935_12.7525,Circolo Collecchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/circolo_collecchio_42.8935_12.7525.json,custom
42.880712,12.737477,ov_bar_tabaccheria_di_giacomo_42.8807_12.7375,Bar Tabaccheria Di Giacomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/bar_tabaccheria_di_giacomo_42.8807_12.7375.json,custom
42.878344,12.737559,ov_caffetteria_mattioli_42.8783_12.7376,Caffetteria Mattioli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/caffetteria_mattioli_42.8783_12.7376.json,custom
42.875379,12.737645,ov_caffe_del_borgo_42.8754_12.7376,Caffe Del Borgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/caffe_del_borgo_42.8754_12.7376.json,custom
42.877518,12.747305,ov_enoteca_elisir_42.8775_12.7473,Enoteca Elisir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/enoteca_elisir_42.8775_12.7473.json,custom
42.870140,12.722050,ov_break_bar_42.8701_12.7220,Break bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/break_bar_42.8701_12.7220.json,custom
42.869813,12.719875,ov_la_volpe_bar_42.8698_12.7199,La Volpe Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_volpe_bar_42.8698_12.7199.json,custom
42.875361,12.737680,osm_caff__del_borgo_42.8754_12.7377,Caffé del Borgo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/caff_del_borgo_42.8754_12.7377.json,custom
42.877201,12.747657,osm_caff__gelateria_roma_42.8772_12.7477,Caffė Gelateria Roma,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/caff_gelateria_roma_42.8772_12.7477.json,custom
42.878065,12.748490,osm_bar_chalet_42.8781_12.7485,Bar Chalet,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/bar_chalet_42.8781_12.7485.json,custom
42.876753,12.759596,ov_poligono_trevi_42.8768_12.7596,Poligono TREVI,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/poligono_trevi_42.8768_12.7596.json,custom
42.855321,12.749226,ov_colosseum_fitness_club_42.8553_12.7492,Colosseum Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/colosseum_fitness_club_42.8553_12.7492.json,custom
42.847069,12.748424,ov_clitunno_padel_by_loreti_42.8471_12.7484,Clitunno Padel by Loreti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/clitunno_padel_by_loreti_42.8471_12.7484.json,custom
42.878603,12.747389,ov_musei_san_francesco_trevi_42.8786_12.7474,Musei San Francesco Trevi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/musei_san_francesco_trevi_42.8786_12.7474.json,custom
42.887370,12.725250,ov_librerie_giunti_al_punto_42.8874_12.7253,Librerie Giunti al Punto,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/librerie_giunti_al_punto_42.8874_12.7253.json,custom
43.057050,12.534940,ov_la_locanda_del_sole_43.0570_12.5349,La Locanda Del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_locanda_del_sole_43.0570_12.5349.json,custom
