# lat,lng,id,name,building_type,type,url,page_type
# Carrù -- Tutti
44.477873,7.877861,ov_ospedale_civile_di_carru_44.4779_7.8779,Ospedale Civile di Carru,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/ospedale_civile_di_carru_44.4779_7.8779.json,custom
44.469588,7.843824,ov_trattoria_i_magnin_44.4696_7.8438,Trattoria I Magnin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/trattoria_i_magnin_44.4696_7.8438.json,custom
44.486184,7.825577,ov_cascina_mo_ma_44.4862_7.8256,Cascina Mo.Ma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/cascina_moma_44.4862_7.8256.json,custom
44.487852,7.827334,ov_ristorante_redibis_44.4879_7.8273,Ristorante Redibis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/ristorante_redibis_44.4879_7.8273.json,custom
44.480535,7.879371,osm_osteria_del_borgo_44.4805_7.8794,Osteria del Borgo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/osteria_del_borgo_44.4805_7.8794.json,custom
44.479559,7.878450,osm_vascelllo_d_oro_44.4796_7.8785,Vascelllo d'Oro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/vascelllo_doro_44.4796_7.8785.json,custom
44.704331,7.764145,ov_area_di_servizio_ristop_44.7043_7.7641,Area di Servizio Ristop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/area_di_servizio_ristop_44.7043_7.7641.json,custom
44.472620,7.847120,ov_il_pancaffe__di_veronica_44.4726_7.8471,Il Pancaffe’ di Veronica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/il_pancaffe_di_veronica_44.4726_7.8471.json,custom
44.473504,7.854021,ov_birra_carr__giratempo_44.4735_7.8540,Birra Carrù Giratempo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/birra_carr_giratempo_44.4735_7.8540.json,custom
44.478530,7.866720,ov_eni_cafe_carr__44.4785_7.8667,Eni Cafe Carrù,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/eni_cafe_carr_44.4785_7.8667.json,custom
44.475800,7.863062,ov_bbm_birra_e_bevande_magiche_srl_siglabil_44.4758_7.8631,Bbm Birra e Bevande Magiche SRL Siglabile Ove Consentito In ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/bbm_birra_e_bevande_magiche_srl_siglabil_44.4758_7.8631.json,custom
44.478559,7.875166,ov_bar_il_portichetto_44.4786_7.8752,Bar Il Portichetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/bar_il_portichetto_44.4786_7.8752.json,custom
44.479514,7.876960,ov_caffe_roma_44.4795_7.8770,Caffe Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/caffe_roma_44.4795_7.8770.json,custom
44.479540,7.876424,ov_bar_gelateria_calypso_44.4795_7.8764,Bar Gelateria Calypso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/bar_gelateria_calypso_44.4795_7.8764.json,custom
44.479939,7.878149,ov_caff__einaudi_44.4799_7.8781,Caffè Einaudi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/caff_einaudi_44.4799_7.8781.json,custom
44.480110,7.878766,ov_bar_piazza_44.4801_7.8788,Bar Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/bar_piazza_44.4801_7.8788.json,custom
44.479724,7.879365,ov_caffe_d_italia_44.4797_7.8794,Caffe d'Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/caffe_ditalia_44.4797_7.8794.json,custom
44.479682,7.879874,ov_the_wells_pub_44.4797_7.8799,The Wells Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/the_wells_pub_44.4797_7.8799.json,custom
44.491257,7.896144,ov_azienda_agricola_fr__44.4913_7.8961,Azienda Agricola Frè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/azienda_agricola_fr_44.4913_7.8961.json,custom
44.480743,7.867658,ov_centro_sportivo_la_nicoletta_44.4807_7.8677,Centro sportivo La Nicoletta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/centro_sportivo_la_nicoletta_44.4807_7.8677.json,custom
44.479221,7.878521,ov_vap_pilates_44.4792_7.8785,VAP Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/vap_pilates_44.4792_7.8785.json,custom
44.488485,7.837243,ov_campo_di_tiro_di_carr__44.4885_7.8372,Campo di Tiro di Carrù,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/campo_di_tiro_di_carr_44.4885_7.8372.json,custom
44.484750,7.881270,ov_ad_maiora_fitness_center_44.4848_7.8813,AD MAIORA fitness center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/ad_maiora_fitness_center_44.4848_7.8813.json,custom
44.481613,7.875928,ov_ginestra_studio_pilates_44.4816_7.8759,Ginestra Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/ginestra_studio_pilates_44.4816_7.8759.json,custom
44.477556,7.879260,ov_castello_di_carr__44.4776_7.8793,Castello di Carrù,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/castello_di_carr_44.4776_7.8793.json,custom
44.488048,7.845683,ov_la_casa_museo_della_razza_bovina_piemont_44.4880_7.8457,la Casa Museo della razza bovina Piemontese,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/la_casa_museo_della_razza_bovina_piemont_44.4880_7.8457.json,custom
44.478494,7.879654,ov_ufficio_giudice_di_pace_44.4785_7.8797,Ufficio Giudice di Pace,GOVERNMENT,ufficio_pubblico,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/ufficio_giudice_di_pace_44.4785_7.8797.json,custom
44.479691,7.879470,ov_biblioteca_civica_m_dadone_44.4797_7.8795,Biblioteca Civica M.Dadone,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/carr/pages/biblioteca_civica_mdadone_44.4797_7.8795.json,custom
