# lat,lng,id,name,building_type,type,url,page_type
# sirolo -- Tutti
43.519621,13.619919,ov_punto_salute_di_sirolo__ex_ospedale_s__m_43.5196_13.6199,Punto Salute di Sirolo (Ex Ospedale S. Michele),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/punto_salute_di_sirolo_ex_ospedale_s_mic_43.5196_13.6199.json,custom
43.523302,13.619466,ov_il_grillo_43.5233_13.6195,Il Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/il_grillo_43.5233_13.6195.json,custom
43.522460,13.620244,ov_fermento_vino_birra_e_cibo_43.5225_13.6202,Fermento vino birra e cibo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/fermento_vino_birra_e_cibo_43.5225_13.6202.json,custom
43.522851,13.619998,ov_la_taverna_ristorante_enoteca_43.5229_13.6200,La Taverna Ristorante Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_taverna_ristorante_enoteca_43.5229_13.6200.json,custom
43.522895,13.619739,ov_osteria_sara_43.5229_13.6197,Osteria SARA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/osteria_sara_43.5229_13.6197.json,custom
43.522842,13.619778,ov_antipasteria_di_mare_sara_43.5228_13.6198,Antipasteria di mare Sara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/antipasteria_di_mare_sara_43.5228_13.6198.json,custom
43.522679,13.619921,ov_la_taverna_street_food_43.5227_13.6199,La Taverna Street Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_taverna_street_food_43.5227_13.6199.json,custom
43.521703,13.620437,ov_ristorante_della_rosa_43.5217_13.6204,Ristorante Della Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_della_rosa_43.5217_13.6204.json,custom
43.521934,13.620463,ov_pa_panino_un_bel_po_43.5219_13.6205,Pa Panino un Bel Po,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/pa_panino_un_bel_po_43.5219_13.6205.json,custom
43.522147,13.620363,ov_la_drogheria_43.5221_13.6204,La Drogheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_drogheria_43.5221_13.6204.json,custom
43.522344,13.620591,ov_il_grottino_43.5223_13.6206,Il Grottino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/il_grottino_43.5223_13.6206.json,custom
43.522097,13.620593,ov_la_paranza_43.5221_13.6206,La Paranza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_paranza_43.5221_13.6206.json,custom
43.523056,13.622872,ov_ristorante_vittoria_la_terrazza_sul_mare_43.5231_13.6229,Ristorante Vittoria La Terrazza sul Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_vittoria_la_terrazza_sul_mare_43.5231_13.6229.json,custom
43.522353,13.623795,ov_ristorante_pizzeria_la_grotta_43.5224_13.6238,Ristorante Pizzeria La Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_pizzeria_la_grotta_43.5224_13.6238.json,custom
43.530671,13.619786,ov_ristorante_da_silvio_43.5307_13.6198,Ristorante da Silvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_da_silvio_43.5307_13.6198.json,custom
43.528180,13.613566,ov_ristorante_da_giustina_43.5282_13.6136,Ristorante Da Giustina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_da_giustina_43.5282_13.6136.json,custom
43.530612,13.607455,ov_le_cave_43.5306_13.6075,Le Cave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/le_cave_43.5306_13.6075.json,custom
43.531489,13.605151,ov_trattoria_conerello_43.5315_13.6052,Trattoria Conerello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/trattoria_conerello_43.5315_13.6052.json,custom
43.534459,13.607420,ov_ristorante_la_ginestra_43.5345_13.6074,Ristorante La Ginestra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_la_ginestra_43.5345_13.6074.json,custom
43.534603,13.608050,ov_la_ginestra_in_fiore_43.5346_13.6080,La Ginestra in Fiore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_ginestra_in_fiore_43.5346_13.6080.json,custom
43.540651,13.610906,ov_metamonte_43.5407_13.6109,Metamonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/metamonte_43.5407_13.6109.json,custom
43.531290,13.600981,ov_bar_trattoria_rosso_conero_43.5313_13.6010,Bar Trattoria Rosso Conero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/bar_trattoria_rosso_conero_43.5313_13.6010.json,custom
43.510902,13.602343,ov_hop_bar_pinseria_43.5109_13.6023,Hop Bar Pinseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/hop_bar_pinseria_43.5109_13.6023.json,custom
43.510897,13.601846,ov_vintage_43.5109_13.6018,Vintage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/vintage_43.5109_13.6018.json,custom
43.507846,13.594223,ov_ristorante_del_golf_43.5078_13.5942,Ristorante Del Golf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_del_golf_43.5078_13.5942.json,custom
43.507750,13.590840,ov_spaccasassi_43.5078_13.5908,Spaccasassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/spaccasassi_43.5078_13.5908.json,custom
43.547033,13.615667,osm_merlin_cocai_43.5470_13.6157,Merlin Cocai,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/merlin_cocai_43.5470_13.6157.json,custom
43.531516,13.605194,osm_trattoria_conerello_43.5315_13.6052,Trattoria Conerello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/trattoria_conerello_43.5315_13.6052.json,custom
43.547528,13.614857,osm_bar_conero_da_par__43.5475_13.6149,Bar Conero da Parò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/bar_conero_da_par_43.5475_13.6149.json,custom
43.510557,13.611949,osm_taverna_come_vie__vie__43.5106_13.6119,Taverna Come Vie' Vie',ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/taverna_come_vie_vie_43.5106_13.6119.json,custom
43.530402,13.608016,osm_hotel_le_cave_43.5304_13.6080,Hotel Le Cave,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/hotel_le_cave_43.5304_13.6080.json,custom
43.494721,13.595353,osm_villa_clelia_43.4947_13.5954,Villa Clelia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/villa_clelia_43.4947_13.5954.json,custom
43.526150,13.616180,ov_barric_43.5262_13.6162,Barric,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/barric_43.5262_13.6162.json,custom
43.525626,13.616099,ov_jolly_43.5256_13.6161,Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/jolly_43.5256_13.6161.json,custom
43.523640,13.619057,ov_plazabakery_sirolo_43.5236_13.6191,PlazaBakery Sirolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/plazabakery_sirolo_43.5236_13.6191.json,custom
43.522501,13.620293,ov_quacquarini_sirolo_43.5225_13.6203,Quacquarini Sirolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/quacquarini_sirolo_43.5225_13.6203.json,custom
43.522714,13.619845,ov_love_caff__centrale___sirolo_43.5227_13.6198,Love Caffè Centrale - Sirolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/love_caff_centrale_-_sirolo_43.5227_13.6198.json,custom
43.522797,13.620047,ov_l_oasi_bar_43.5228_13.6200,L'Oasi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/loasi_bar_43.5228_13.6200.json,custom
43.535992,13.610156,ov_bar_belvedere_43.5360_13.6102,Bar Belvedere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/bar_belvedere_43.5360_13.6102.json,custom
43.547329,13.614660,ov_la_cima__summer_pub__43.5473_13.6147,La Cima (Summer PUB),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_cima_summer_pub_43.5473_13.6147.json,custom
43.507784,13.594576,ov_american_bar_coppo_43.5078_13.5946,American Bar Coppo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/american_bar_coppo_43.5078_13.5946.json,custom
43.507711,13.593756,ov_hobo_wild_fire_43.5077_13.5938,HOBO Wild Fire,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/hobo_wild_fire_43.5077_13.5938.json,custom
43.507806,13.594476,osm_american_bar_43.5078_13.5945,American Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/american_bar_43.5078_13.5945.json,custom
43.547267,13.614560,osm_la_cima_43.5473_13.6146,La Cima,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_cima_43.5473_13.6146.json,custom
43.525025,13.617634,osm_caffetteria_pasticceria_sirolese_43.5250_13.6176,Caffetteria Pasticceria Sirolese,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/caffetteria_pasticceria_sirolese_43.5250_13.6176.json,custom
43.522525,13.620161,osm_gelateria_del_conero_43.5225_13.6202,Gelateria del Conero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/gelateria_del_conero_43.5225_13.6202.json,custom
43.522787,13.620031,osm_l_oasi_43.5228_13.6200,L'Oasi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/loasi_43.5228_13.6200.json,custom
43.518030,13.619800,ov_nuova_olympia_numana_43.5180_13.6198,Nuova Olympia Numana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/nuova_olympia_numana_43.5180_13.6198.json,custom
43.519660,13.621260,ov_martini_il_contadino_43.5197_13.6213,Martini il Contadino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/martini_il_contadino_43.5197_13.6213.json,custom
43.526547,13.615609,osm_poste_italiane_43.5265_13.6156,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/poste_italiane_43.5265_13.6156.json,custom
43.528661,13.613318,ov_trattoria_conerello_43.5287_13.6133,Trattoria Conerello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/trattoria_conerello_43.5287_13.6133.json,custom
